date,country_code,indicator_code,value
2019-01-01,GE,001,1690.2
2018-01-01,GE,001,1694.2
2017-01-01,GE,001,1706.6
2016-01-01,GE,001,1717.3
2015-01-01,GE,001,1733.8
2014-01-01,GE,001,1694.4
2013-01-01,GE,001,1643.4
2012-01-01,GE,001,1659.4
2011-01-01,GE,001,1643.5
2010-01-01,GE,001,1627.8
2009-01-01,GE,001,1611.0
2008-01-01,GE,001,1597.3
2007-01-01,GE,001,1577.3
2006-01-01,GE,001,1618.0
2005-01-01,GE,001,1683.0
2004-01-01,GE,001,1730.8
2003-01-01,GE,001,1789.6
2002-01-01,GE,001,1752.1
2001-01-01,GE,001,1877.7
2000-01-01,GE,001,1837.2
1999-01-01,GE,001,1694.4
1998-01-01,GE,001,1728.5
2019-10-01,GE,002,1319.633743
2019-07-01,GE,002,1217.116585
2019-04-01,GE,002,1179.782019
2019-01-01,GE,002,1092.702447
2018-10-01,GE,002,1202.046635
2018-07-01,GE,002,1125.521275
2018-04-01,GE,002,1103.524524
2018-01-01,GE,002,1059.223521
2017-10-01,GE,002,1140.911851
2017-07-01,GE,002,1069.135965
2017-04-01,GE,002,1071.12749
2017-01-01,GE,002,989.400515
2016-10-01,GE,002,1065.924537
2016-07-01,GE,002,980.644663
2016-04-01,GE,002,973.744102
2016-01-01,GE,002,913.038851
2015-10-01,GE,002,1011.46
2015-07-01,GE,002,930.137227
2015-04-01,GE,002,933.99859
2015-01-01,GE,002,855.878323
2014-10-01,GE,002,950.081863
2014-07-01,GE,002,850.816454
2014-04-01,GE,002,864.39855
2014-01-01,GE,002,795.460301
2013-10-01,GE,002,875.459802
2013-07-01,GE,002,799.831564
2013-04-01,GE,002,796.601034
2013-01-01,GE,002,729.624357
2012-10-01,GE,002,812.923621
2012-07-01,GE,002,753.218734
2012-04-01,GE,002,723.876775
2012-01-01,GE,002,676.03947
2011-10-01,GE,002,761.024546
2011-07-01,GE,002,687.419494
2011-04-01,GE,002,679.461022
2011-01-01,GE,002,631.293328
2010-10-01,GE,002,664.382465
2010-07-01,GE,002,609.533429
2010-04-01,GE,002,598.886365
2010-01-01,GE,002,564.686044
2009-10-01,GE,002,629.754326
2009-07-01,GE,002,568.668198
2009-04-01,GE,002,560.078215
2009-01-01,GE,002,531.322593
2008-10-01,GE,002,585.308605
2008-07-01,GE,002,559.985965
2008-04-01,GE,002,552.074491
2008-01-01,GE,002,504.920853
2007-10-01,GE,002,451.222019
2007-07-01,GE,002,385.231405
2007-04-01,GE,002,356.791956
2007-01-01,GE,002,320.765883
2018-01-01,GE,004,-4745.0
2017-01-01,GE,004,-4478.0
2016-01-01,GE,004,-5457.0
2015-01-01,GE,004,-5784.0
2014-01-01,GE,004,-5262.0
2013-01-01,GE,004,-3477.0
2012-01-01,GE,004,-5149.0
2011-01-01,GE,004,-4630.0
2010-01-01,GE,004,-3707.0
2009-01-01,GE,004,-3452.0
2008-01-01,GE,004,-5681.0
2007-01-01,GE,004,-4545.0
2006-01-01,GE,004,-3330.0
2005-01-01,GE,004,-2071.0
2004-01-01,GE,004,-1633.0
2003-01-01,GE,004,-1249.0
2002-01-01,GE,004,-982.0
2001-01-01,GE,004,-962.0
2000-01-01,GE,004,-1008.0
1999-01-01,GE,004,-1079.0
1998-01-01,GE,004,-1037.0
1997-01-01,GE,004,-1209.0
1996-01-01,GE,004,-737.0
1995-01-01,GE,004,-409.0
1994-01-01,GE,004,-463.0
1993-01-01,GE,004,-4.0
1992-01-01,GE,004,0.0
1991-01-01,GE,004,0.0
1990-01-01,GE,004,0.0
1989-01-01,GE,004,0.0
1988-01-01,GE,004,0.0
1987-01-01,GE,004,0.0
2020-03-01,GE,005,0.0
2020-02-01,GE,005,3.3
2020-01-01,GE,005,0.0
2019-12-01,GE,005,0.0
2019-11-01,GE,005,0.0
2019-10-01,GE,005,0.0
2019-09-01,GE,005,7.5
2019-08-01,GE,005,6.4
2019-07-01,GE,005,0.0
2019-06-01,GE,005,6.4
2019-05-01,GE,005,6.5
