date,country_code,indicator_code,value
2018-01-01,GG,009,277.0
2017-01-01,GG,009,266.0
2016-01-01,GG,009,261.0
2015-01-01,GG,009,253.0
2014-01-01,GG,009,225.0
2013-01-01,GG,009,221.0
2018-01-01,GG,043,0.0
2017-01-01,GG,043,0.0
2016-01-01,GG,043,0.0
2015-01-01,GG,043,0.0
2014-01-01,GG,043,0.0
2013-01-01,GG,043,0.0
2012-01-01,GG,043,0.0
2011-01-01,GG,043,0.0
2010-01-01,GG,043,0.0
2009-01-01,GG,043,0.0
2008-01-01,GG,043,0.0
2007-01-01,GG,043,0.0
2006-01-01,GG,043,0.0
2005-01-01,GG,043,0.0
2004-01-01,GG,043,0.0
2003-01-01,GG,043,0.0
2018-01-01,GG,081,3272.0
2017-01-01,GG,081,3143.0
2016-01-01,GG,081,2934.0
2015-01-01,GG,081,2816.0
2014-01-01,GG,081,2779.0
2013-01-01,GG,081,2715.0
2012-01-01,GG,081,2615.0
2011-01-01,GG,081,2629.0
2010-01-01,GG,081,2423.0
2009-01-01,GG,081,2458.0
2018-01-01,GG,082,4.10435889278
2017-01-01,GG,082,7.12338104976
2016-01-01,GG,082,4.19034090909
2015-01-01,GG,082,1.33141417776
2014-01-01,GG,082,2.35727440147
2013-01-01,GG,082,3.8240917782
2012-01-01,GG,082,-0.532521871434
2011-01-01,GG,082,8.50185720182
2010-01-01,GG,082,-1.42392188771
2018-01-01,GG,083,4.10435889278
2017-01-01,GG,083,7.12338104976
2016-01-01,GG,083,4.19034090909
2015-01-01,GG,083,1.33141417776
2014-01-01,GG,083,2.35727440147
2013-01-01,GG,083,3.8240917782
2012-01-01,GG,083,-0.532521871434
2011-01-01,GG,083,8.50185720182
2010-01-01,GG,083,-1.42392188771
2018-01-01,GG,084,3272.0
2017-01-01,GG,084,3218.0
2016-01-01,GG,084,3076.0
2015-01-01,GG,084,2986.0
2014-01-01,GG,084,2980.0
2013-01-01,GG,084,2946.0
2012-01-01,GG,084,2914.0
2011-01-01,GG,084,3025.0
2010-01-01,GG,084,2876.0
2009-01-01,GG,084,2982.0
2018-01-01,GG,086,14.0
2017-01-01,GG,086,13.0
2016-01-01,GG,086,14.0
