date,country_code,indicator_code,value
1991-01-01,GH,001,-43.3
1990-01-01,GH,001,14.7
1989-01-01,GH,001,-91.9
1988-01-01,GH,001,-87.5
1987-01-01,GH,001,-19.4
1986-01-01,GH,001,-50.6
2018-01-01,GH,004,105111.0
2017-01-01,GH,004,90497.0
2016-01-01,GH,004,68568.0
2015-01-01,GH,004,57653.0
2014-01-01,GH,004,44797.0
2013-01-01,GH,004,31938.0
2012-01-01,GH,004,30449.0
2011-01-01,GH,004,22255.0
2010-01-01,GH,004,13621.0
2009-01-01,GH,004,10976.0
2008-01-01,GH,004,7544.0
2007-01-01,GH,004,5663.0
2006-01-01,GH,004,4572.0
2005-01-01,GH,004,3573.0
2004-01-01,GH,004,3091.0
2003-01-01,GH,004,2791.0
2002-01-01,GH,004,2088.0
2001-01-01,GH,004,1733.0
2000-01-01,GH,004,1341.0
1999-01-01,GH,004,665.0
1998-01-01,GH,004,590.0
1997-01-01,GH,004,461.0
1996-01-01,GH,004,367.0
1995-01-01,GH,004,191.0
1994-01-01,GH,004,132.0
1993-01-01,GH,004,79.0
1992-01-01,GH,004,49.0
1991-01-01,GH,004,41.0
1990-01-01,GH,004,32.0
1989-01-01,GH,004,24.0
1988-01-01,GH,004,20.0
1987-01-01,GH,004,14.0
1986-01-01,GH,004,7.0
1985-01-01,GH,004,4.0
1984-01-01,GH,004,2.0
1983-01-01,GH,004,0.0
1982-01-01,GH,004,0.0
1981-01-01,GH,004,0.0
1980-01-01,GH,004,0.0
1979-01-01,GH,004,0.0
1978-01-01,GH,004,0.0
1977-01-01,GH,004,0.0
1976-01-01,GH,004,0.0
1975-01-01,GH,004,0.0
1974-01-01,GH,004,0.0
1973-01-01,GH,004,0.0
1972-01-01,GH,004,0.0
1971-01-01,GH,004,0.0
1970-01-01,GH,004,0.0
1969-01-01,GH,004,0.0
1968-01-01,GH,004,0.0
1967-01-01,GH,004,0.0
1966-01-01,GH,004,0.0
1965-01-01,GH,004,0.0
1964-01-01,GH,004,0.0
1963-01-01,GH,004,0.0
1962-01-01,GH,004,0.0
1961-01-01,GH,004,0.0
1960-01-01,GH,004,0.0
1959-01-01,GH,004,0.0
1958-01-01,GH,004,0.0
