date,country_code,indicator_code,value
2018-12-01,GL,004,-33.959769
2018-11-01,GL,004,-45.760858
2018-10-01,GL,004,-36.544611
2018-09-01,GL,004,-30.983871
2018-08-01,GL,004,8.5791
2018-07-01,GL,004,-22.813043
2018-06-01,GL,004,-4.948121
2018-05-01,GL,004,-18.2737
2018-04-01,GL,004,-15.524535
2018-03-01,GL,004,-35.530402
2018-02-01,GL,004,-44.630013
2018-01-01,GL,004,-26.971945
2017-12-01,GL,004,-73.902943
2017-11-01,GL,004,-11.745662
2017-10-01,GL,004,-20.433556
2017-09-01,GL,004,-35.434767
2017-08-01,GL,004,-35.52029
2017-07-01,GL,004,-13.505783
2017-06-01,GL,004,-6.065473
2017-05-01,GL,004,-28.443754
2017-04-01,GL,004,7.746399
2017-03-01,GL,004,10.147851
2017-02-01,GL,004,-27.71126
2017-01-01,GL,004,-10.475541
2016-12-01,GL,004,19.151916
2016-11-01,GL,004,-34.917588
2016-10-01,GL,004,-19.302711
2016-09-01,GL,004,9.61768
2016-08-01,GL,004,-21.664647
2016-07-01,GL,004,-36.752472
2016-06-01,GL,004,15.009191
2016-05-01,GL,004,-11.3423
2016-04-01,GL,004,-9.337448
2016-03-01,GL,004,-13.013303
2016-02-01,GL,004,-28.551073
2016-01-01,GL,004,-21.816681
2015-12-01,GL,004,-42.163582
2015-11-01,GL,004,-4.147094
2015-10-01,GL,004,-22.13959
2015-09-01,GL,004,-4.088442
2015-08-01,GL,004,-4.447252
2015-07-01,GL,004,-19.521564
2015-06-01,GL,004,15.759194
2015-05-01,GL,004,-4.611919
2015-04-01,GL,004,13.312863
2015-03-01,GL,004,-6.382454
2015-02-01,GL,004,-15.212838
2015-01-01,GL,004,-27.385077
2014-12-01,GL,004,-42.067963
2014-11-01,GL,004,10.464547
2014-10-01,GL,004,-13.136289
2014-09-01,GL,004,-7.054352
2014-08-01,GL,004,25.092296
2014-07-01,GL,004,46.332674
2014-06-01,GL,004,49.980408
2014-05-01,GL,004,38.845867
2014-04-01,GL,004,22.190093
2014-03-01,GL,004,-1.252967
2014-02-01,GL,004,-4.706091
2014-01-01,GL,004,-5.696085
2013-12-01,GL,004,-8.245416
2013-11-01,GL,004,14.250788
2013-10-01,GL,004,21.285504
2013-09-01,GL,004,22.33992
2013-08-01,GL,004,9.172531
2013-07-01,GL,004,16.437648
2013-06-01,GL,004,33.513583
2013-05-01,GL,004,-4.098171
2013-04-01,GL,004,0.347791
2013-03-01,GL,004,31.174835
2013-02-01,GL,004,-7.488964
2013-01-01,GL,004,-32.707548
2012-12-01,GL,004,5.823063
2012-11-01,GL,004,-10.213336
2012-10-01,GL,004,22.715798
2012-09-01,GL,004,-7.300369
2012-08-01,GL,004,51.86269
2012-07-01,GL,004,29.163646
2012-06-01,GL,004,5.164029
2012-05-01,GL,004,26.184671
2012-04-01,GL,004,32.895043
2012-03-01,GL,004,7.280903
2012-02-01,GL,004,-4.029921
2012-01-01,GL,004,-12.357319
2011-12-01,GL,004,0.143253
2011-11-01,GL,004,20.874
2011-10-01,GL,004,24.958525
2011-09-01,GL,004,1.665679
2011-08-01,GL,004,35.987796
2011-07-01,GL,004,48.327478
2011-06-01,GL,004,48.692705
2011-05-01,GL,004,61.927721
2011-04-01,GL,004,28.997057
2011-03-01,GL,004,23.982791
2011-02-01,GL,004,-0.891902
2011-01-01,GL,004,-20.992936
2010-12-01,GL,004,-14.215322
2010-11-01,GL,004,-17.136505
2010-10-01,GL,004,20.917894
2010-09-01,GL,004,51.711409
2010-08-01,GL,004,45.003361
2010-07-01,GL,004,49.451228
2010-06-01,GL,004,36.311838
2010-05-01,GL,004,19.851667
2010-04-01,GL,004,25.281175
2010-03-01,GL,004,28.401802
