date,country_code,indicator_code,value
2009-01-01,GM,001,-1121.0
2008-01-01,GM,001,-933.0
2007-01-01,GM,001,-314.0
2006-01-01,GM,001,-1545.0
2005-01-01,GM,001,-1626.0
2004-01-01,GM,001,-1742.0
2003-01-01,GM,001,-1244.0
2002-01-01,GM,001,-926.0
2001-01-01,GM,001,-729.0
1990-01-01,GM,001,52.0
2012-01-01,GM,002,9.4
2018-01-01,GM,004,-15455.0
2017-01-01,GM,004,-11573.0
2016-01-01,GM,004,-9795.0
2015-01-01,GM,004,-9594.0
2014-01-01,GM,004,-6710.0
2013-01-01,GM,004,-3831.0
2012-01-01,GM,004,-3639.0
2011-01-01,GM,004,-3705.0
2010-01-01,GM,004,-5048.0
2009-01-01,GM,004,-3974.0
2008-01-01,GM,004,-3514.0
2007-01-01,GM,004,-2619.0
2006-01-01,GM,004,-2457.0
2005-01-01,GM,004,-2999.0
2004-01-01,GM,004,-2526.0
2003-01-01,GM,004,-927.0
2002-01-01,GM,004,-614.0
2001-01-01,GM,004,-355.0
2000-01-01,GM,004,-477.0
1999-01-01,GM,004,-336.0
1998-01-01,GM,004,-292.0
1997-01-01,GM,004,-201.0
1996-01-01,GM,004,-611.0
1995-01-01,GM,004,-880.0
1994-01-01,GM,004,-532.0
1993-01-01,GM,004,-567.0
1992-01-01,GM,004,-398.0
1991-01-01,GM,004,-315.0
1990-01-01,GM,004,-292.0
1989-01-01,GM,004,-220.0
1988-01-01,GM,004,-145.0
1987-01-01,GM,004,-154.0
1986-01-01,GM,004,-122.0
1985-01-01,GM,004,-88.0
1984-01-01,GM,004,-87.0
1983-01-01,GM,004,-68.0
1982-01-01,GM,004,-76.0
1981-01-01,GM,004,-99.0
1980-01-01,GM,004,-87.0
1979-01-01,GM,004,-111.0
1978-01-01,GM,004,-94.0
1977-01-01,GM,004,-34.0
1976-01-01,GM,004,-13.0
1975-01-01,GM,004,2.0
1974-01-01,GM,004,-8.0
1973-01-01,GM,004,-9.0
1972-01-01,GM,004,-8.0
1971-01-01,GM,004,-6.0
1970-01-01,GM,004,-3.0
1969-01-01,GM,004,-10.0
1968-01-01,GM,004,-9.0
1967-01-01,GM,004,-6.0
1966-01-01,GM,004,-6.0
2019-06-01,GM,005,28.0
2019-05-01,GM,005,28.0
2019-04-01,GM,005,28.0
2019-03-01,GM,005,28.0
2019-02-01,GM,005,28.0
2019-01-01,GM,005,28.0
2018-12-01,GM,005,28.0
2018-11-01,GM,005,28.0
2018-10-01,GM,005,28.0
2018-09-01,GM,005,28.0
2018-08-01,GM,005,28.0
2018-07-01,GM,005,28.0
2018-06-01,GM,005,28.0
2018-05-01,GM,005,28.0
2018-04-01,GM,005,28.0
2018-03-01,GM,005,28.0
2018-02-01,GM,005,28.0
2018-01-01,GM,005,28.0
2017-12-01,GM,005,28.0
2017-11-01,GM,005,28.0
2017-10-01,GM,005,28.0
2017-09-01,GM,005,28.0
2017-08-01,GM,005,28.0
2017-07-01,GM,005,28.0
2017-06-01,GM,005,30.0
2017-05-01,GM,005,30.0
2017-04-01,GM,005,30.0
2017-03-01,GM,005,30.0
2017-02-01,GM,005,30.0
2017-01-01,GM,005,30.0
2014-12-01,GM,005,30.0
2014-11-01,GM,005,30.0
2014-10-01,GM,005,30.0
2014-09-01,GM,005,28.0
2014-08-01,GM,005,28.0
2014-07-01,GM,005,28.0
2014-06-01,GM,005,28.0
2014-05-01,GM,005,28.0
2014-04-01,GM,005,28.0
2014-03-01,GM,005,28.0
2014-02-01,GM,005,28.0
2014-01-01,GM,005,28.0
2013-12-01,GM,005,28.0
2013-11-01,GM,005,28.0
2013-10-01,GM,005,28.0
2013-09-01,GM,005,28.0
2013-08-01,GM,005,28.0
2013-07-01,GM,005,28.0
2013-06-01,GM,005,28.0
2013-05-01,GM,005,28.0
2013-04-01,GM,005,28.0
2013-03-01,GM,005,28.0
2013-02-01,GM,005,28.0
2013-01-01,GM,005,28.0
2012-12-01,GM,005,28.0
2012-11-01,GM,005,28.0
2012-10-01,GM,005,28.0
2012-09-01,GM,005,28.0
2012-08-01,GM,005,28.0
2012-07-01,GM,005,28.0
2012-06-01,GM,005,28.0
2012-05-01,GM,005,28.0
2012-04-01,GM,005,28.0
2012-03-01,GM,005,28.0
2012-02-01,GM,005,28.0
2012-01-01,GM,005,28.0
2011-12-01,GM,005,28.0
2011-11-01,GM,005,28.0
2011-10-01,GM,005,28.0
2011-09-01,GM,005,28.0
2011-08-01,GM,005,28.0
2011-07-01,GM,005,28.0
2011-06-01,GM,005,28.0
2011-05-01,GM,005,28.0
2011-04-01,GM,005,28.0
2011-03-01,GM,005,28.0
2011-02-01,GM,005,28.0
2011-01-01,GM,005,28.0
2010-12-01,GM,005,27.0
2010-11-01,GM,005,27.0
2010-10-01,GM,005,27.0
2010-09-01,GM,005,27.0
2010-08-01,GM,005,27.0
2010-07-01,GM,005,27.0
2010-06-01,GM,005,27.0
2010-05-01,GM,005,27.0
2010-04-01,GM,005,27.0
2010-03-01,GM,005,27.0
2010-02-01,GM,005,27.0
2010-01-01,GM,005,27.0
2009-12-01,GM,005,27.0
2009-11-01,GM,005,27.0
2009-10-01,GM,005,27.0
2009-09-01,GM,005,27.0
2009-08-01,GM,005,27.0
2009-07-01,GM,005,27.0
2009-06-01,GM,005,27.0
2009-05-01,GM,005,27.0
2009-04-01,GM,005,27.0
2009-03-01,GM,005,27.0
2009-02-01,GM,005,27.0
2009-01-01,GM,005,27.0
2008-12-01,GM,005,27.0
2008-11-01,GM,005,27.0
2008-10-01,GM,005,27.0
2008-09-01,GM,005,27.0
2008-08-01,GM,005,27.0
2008-07-01,GM,005,27.0
2008-06-01,GM,005,27.0
2008-05-01,GM,005,27.0
2008-04-01,GM,005,27.0
2008-03-01,GM,005,27.0
2008-02-01,GM,005,27.0
2008-01-01,GM,005,27.0
2007-12-01,GM,005,27.0
2007-11-01,GM,005,28.0
2007-10-01,GM,005,28.0
2007-09-01,GM,005,28.0
2007-08-01,GM,005,28.0
2007-07-01,GM,005,28.0
2007-06-01,GM,005,28.0
2007-05-01,GM,005,28.0
2007-04-01,GM,005,28.0
2007-03-01,GM,005,28.0
2007-02-01,GM,005,28.0
2007-01-01,GM,005,28.0
2006-12-01,GM,005,28.0
2006-11-01,GM,005,29.0
2006-10-01,GM,005,29.0
2006-09-01,GM,005,29.0
2006-08-01,GM,005,29.0
2006-07-01,GM,005,29.0
2006-06-01,GM,005,29.0
2006-05-01,GM,005,31.0
2006-04-01,GM,005,31.0
2006-03-01,GM,005,31.0
2006-02-01,GM,005,31.0
2006-01-01,GM,005,31.0
2005-12-01,GM,005,31.0
2005-11-01,GM,005,33.0
2005-10-01,GM,005,33.0
2005-09-01,GM,005,33.0
2005-08-01,GM,005,36.0
2005-07-01,GM,005,36.0
2005-06-01,GM,005,36.0
2005-05-01,GM,005,36.0
2005-04-01,GM,005,36.0
2005-03-01,GM,005,36.0
2005-02-01,GM,005,36.5
2005-01-01,GM,005,36.5
2004-12-01,GM,005,36.5
2004-11-01,GM,005,36.5
2004-10-01,GM,005,36.5
2004-09-01,GM,005,36.5
2004-08-01,GM,005,36.5
2004-07-01,GM,005,36.5
2004-06-01,GM,005,36.5
2004-05-01,GM,005,36.5
2004-04-01,GM,005,36.5
2004-03-01,GM,005,36.5
2004-02-01,GM,005,36.5
2004-01-01,GM,005,36.5
2003-12-01,GM,005,36.5
2003-11-01,GM,005,36.5
2003-10-01,GM,005,36.5
2003-09-01,GM,005,36.5
2003-08-01,GM,005,31.0
2003-07-01,GM,005,31.0
2003-06-01,GM,005,24.0
2003-05-01,GM,005,24.0
2003-04-01,GM,005,24.0
2003-03-01,GM,005,24.0
2003-02-01,GM,005,24.0
2003-01-01,GM,005,24.0
2002-12-01,GM,005,24.0
2002-11-01,GM,005,24.0
2002-10-01,GM,005,24.0
2002-09-01,GM,005,24.0
2002-08-01,GM,005,24.0
2002-07-01,GM,005,24.0
2002-06-01,GM,005,24.0
