date,country_code,indicator_code,value
2018-01-01,GN,004,36061300.0
2017-01-01,GN,004,37139397.0
2016-01-01,GN,004,22140537.0
2015-01-01,GN,004,13922704.0
2014-01-01,GN,004,13736403.0
2013-01-01,GN,004,13326714.0
2012-01-01,GN,004,14560412.0
2011-01-01,GN,004,11512747.0
2010-01-01,GN,004,8767103.0
2009-01-01,GN,004,6160005.0
2008-01-01,GN,004,7221264.0
2007-01-01,GN,004,5045783.0
2006-01-01,GN,004,6073939.0
2005-01-01,GN,004,3690284.0
2004-01-01,GN,004,2004579.0
2003-01-01,GN,004,1768226.0
2002-01-01,GN,004,1706937.0
2001-01-01,GN,004,1760681.0
2000-01-01,GN,004,1418024.0
1999-01-01,GN,004,1015728.0
1998-01-01,GN,004,924769.0
1997-01-01,GN,004,842336.0
1996-01-01,GN,004,745635.0
1995-01-01,GN,004,773368.0
1994-01-01,GN,004,751749.0
1993-01-01,GN,004,830862.0
1992-01-01,GN,004,736968.0
1991-01-01,GN,004,689398.0
1990-01-01,GN,004,547079.0
1989-01-01,GN,004,447406.0
1988-01-01,GN,004,303956.0
1987-01-01,GN,004,276648.0
1986-01-01,GN,004,206854.0
1985-01-01,GN,004,108406.0
1984-01-01,GN,004,92193.0
1983-01-01,GN,004,72711.0
1982-01-01,GN,004,48208.0
1981-01-01,GN,004,39739.0
1980-01-01,GN,004,39533.0
1979-01-01,GN,004,30380.0
1978-01-01,GN,004,25982.0
1977-01-01,GN,004,24891.0
1976-01-01,GN,004,21609.0
1975-01-01,GN,004,18389.0
1974-01-01,GN,004,10348.0
1973-01-01,GN,004,6430.0
1972-01-01,GN,004,5680.0
1971-01-01,GN,004,6338.0
1970-01-01,GN,004,6354.0
2018-06-01,GN,005,9.11
2018-05-01,GN,005,9.21
2018-04-01,GN,005,8.02
2018-03-01,GN,005,9.2
2018-02-01,GN,005,9.27
2018-01-01,GN,005,9.44
2017-12-01,GN,005,9.05
2017-11-01,GN,005,8.5
2017-10-01,GN,005,8.61
2017-09-01,GN,005,8.93
2017-08-01,GN,005,8.3
2017-07-01,GN,005,8.39
2017-06-01,GN,005,8.45
2017-05-01,GN,005,7.96
2017-04-01,GN,005,8.01
2017-03-01,GN,005,7.84
2017-02-01,GN,005,7.72
2017-01-01,GN,005,8.9
2016-12-01,GN,005,8.76
2016-11-01,GN,005,8.73
2016-10-01,GN,005,8.2
2016-09-01,GN,005,8.1
2016-08-01,GN,005,8.39
2016-07-01,GN,005,8.25
2016-06-01,GN,005,8.52
2016-05-01,GN,005,8.27
2016-04-01,GN,005,8.31
2016-03-01,GN,005,8.34
2016-02-01,GN,005,8.31
2016-01-01,GN,005,8.32
2015-12-01,GN,005,8.38
2015-11-01,GN,005,8.65
2015-10-01,GN,005,8.63
2015-09-01,GN,005,8.69
2015-08-01,GN,005,8.69
2015-07-01,GN,005,8.72
2015-06-01,GN,005,8.7
2015-05-01,GN,005,8.91
2015-04-01,GN,005,8.99
2015-03-01,GN,005,8.85
2015-02-01,GN,005,8.6
2015-01-01,GN,005,8.98
2014-12-01,GN,005,9.03
2014-11-01,GN,005,9.19
2014-10-01,GN,005,9.19
2014-09-01,GN,005,8.92
2014-08-01,GN,005,9.03
2014-07-01,GN,005,9.18
2014-06-01,GN,005,9.22
2014-05-01,GN,005,9.61
2014-04-01,GN,005,9.73
2014-03-01,GN,005,9.79
2014-02-01,GN,005,9.8
2014-01-01,GN,005,9.82
2013-12-01,GN,005,9.84
2013-11-01,GN,005,9.83
2013-10-01,GN,005,9.5
2013-09-01,GN,005,9.64
2013-08-01,GN,005,9.89
2013-07-01,GN,005,9.92
2013-06-01,GN,005,9.85
2013-05-01,GN,005,10.58
2013-04-01,GN,005,10.6
2013-03-01,GN,005,10.94
2013-02-01,GN,005,10.49
2013-01-01,GN,005,10.48
2012-12-01,GN,005,10.61
2012-11-01,GN,005,10.6
2012-10-01,GN,005,10.7
2012-09-01,GN,005,10.5
2012-08-01,GN,005,10.67
2012-07-01,GN,005,10.69
2012-06-01,GN,005,11.0
2012-05-01,GN,005,11.0
2012-04-01,GN,005,11.0
2012-03-01,GN,005,11.03
2012-02-01,GN,005,10.97
2012-01-01,GN,005,11.01
2011-12-01,GN,005,10.7
2011-11-01,GN,005,11.3
2011-10-01,GN,005,11.12
2011-09-01,GN,005,11.14
2011-08-01,GN,005,10.78
2011-07-01,GN,005,10.71
2011-06-01,GN,005,10.47
2011-05-01,GN,005,10.66
2011-04-01,GN,005,10.65
2011-03-01,GN,005,10.69
2011-02-01,GN,005,10.64
2011-01-01,GN,005,10.84
2010-12-01,GN,005,10.62
2010-11-01,GN,005,10.46
2010-10-01,GN,005,10.54
2010-09-01,GN,005,10.4
2010-08-01,GN,005,10.5
2010-07-01,GN,005,10.2
2010-06-01,GN,005,10.43
2010-05-01,GN,005,10.42
2010-04-01,GN,005,10.62
2010-03-01,GN,005,10.59
2010-02-01,GN,005,10.38
2010-01-01,GN,005,10.19
2009-12-01,GN,005,10.3
2009-11-01,GN,005,9.96
2009-10-01,GN,005,10.18
2009-09-01,GN,005,10.48
2009-08-01,GN,005,10.35
2009-07-01,GN,005,10.3
2009-06-01,GN,005,10.09
2009-05-01,GN,005,10.18
2009-04-01,GN,005,10.12
2009-03-01,GN,005,9.91
2009-02-01,GN,005,9.71
2009-01-01,GN,005,9.55
2008-12-01,GN,005,8.79
2008-11-01,GN,005,8.92
2008-10-01,GN,005,9.3
2008-09-01,GN,005,9.25
2008-08-01,GN,005,9.22
2008-07-01,GN,005,9.32
2008-06-01,GN,005,9.17
2008-05-01,GN,005,9.29
2008-04-01,GN,005,9.3
2008-03-01,GN,005,9.26
2008-02-01,GN,005,9.29
2008-01-01,GN,005,9.25
2007-12-01,GN,005,9.25
2007-11-01,GN,005,8.52
2007-10-01,GN,005,9.12
2007-09-01,GN,005,9.69
2007-08-01,GN,005,9.84
2007-07-01,GN,005,9.93
2007-06-01,GN,005,10.18
2007-05-01,GN,005,10.04
2007-04-01,GN,005,10.14
2007-03-01,GN,005,10.25
2007-02-01,GN,005,10.21
2007-01-01,GN,005,10.16
2006-12-01,GN,005,10.2
2006-11-01,GN,005,10.23
2006-10-01,GN,005,10.27
2006-09-01,GN,005,10.41
2006-08-01,GN,005,10.5
2006-07-01,GN,005,10.47
2006-06-01,GN,005,10.49
2006-05-01,GN,005,10.4
2006-04-01,GN,005,11.04
2006-03-01,GN,005,11.27
2006-02-01,GN,005,11.01
2006-01-01,GN,005,10.51
2005-12-01,GN,005,10.71
2005-11-01,GN,005,11.04
2005-10-01,GN,005,10.93
2005-09-01,GN,005,11.09
2005-08-01,GN,005,11.39
2005-07-01,GN,005,11.4
2005-06-01,GN,005,11.77
2005-05-01,GN,005,11.63
2005-04-01,GN,005,11.64
2005-03-01,GN,005,11.88
2005-02-01,GN,005,12.16
2005-01-01,GN,005,11.99
2004-12-01,GN,005,12.24
2004-11-01,GN,005,12.41
2004-10-01,GN,005,13.11
2004-09-01,GN,005,13.29
2004-08-01,GN,005,13.4
2004-07-01,GN,005,13.67
2004-06-01,GN,005,13.28
2004-05-01,GN,005,13.15
