date,country_code,indicator_code,value
2018-01-01,GQ,004,3209307.0
2017-01-01,GQ,004,2892223.0
2016-01-01,GQ,004,2630281.0
2015-01-01,GQ,004,3534579.0
2014-01-01,GQ,004,6333639.0
2013-01-01,GQ,004,7035784.0
2012-01-01,GQ,004,8492298.0
2011-01-01,GQ,004,7677493.0
2010-01-01,GQ,004,6552438.0
2009-01-01,GQ,004,5149713.0
2008-01-01,GQ,004,6423732.0
2007-01-01,GQ,004,5159356.0
2006-01-01,GQ,004,4063752.0
2005-01-01,GQ,004,3548611.0
2004-01-01,GQ,004,3033470.0
2003-01-01,GQ,004,2518329.0
2002-01-01,GQ,004,2003188.0
2001-01-01,GQ,004,1488047.0
2000-01-01,GQ,004,972906.0
1999-01-01,GQ,004,457765.0
1998-01-01,GQ,004,245481.0
1997-01-01,GQ,004,291701.0
1996-01-01,GQ,004,92178.0
1995-01-01,GQ,004,46974.0
1994-01-01,GQ,004,36288.0
1993-01-01,GQ,004,19837.0
1992-01-01,GQ,004,15269.0
1991-01-01,GQ,004,12184.0
1990-01-01,GQ,004,11523.0
1989-01-01,GQ,004,12903.0
1988-01-01,GQ,004,14921.0
1987-01-01,GQ,004,13000.0
1986-01-01,GQ,004,12139.0
1985-01-01,GQ,004,10761.0
1984-01-01,GQ,004,8347.0
1983-01-01,GQ,004,6840.0
1982-01-01,GQ,004,4777.0
1981-01-01,GQ,004,4333.0
1980-01-01,GQ,004,2748.0
1979-01-01,GQ,004,2977.0
1978-01-01,GQ,004,2129.0
2008-04-01,GQ,005,15.0
2008-01-01,GQ,005,15.0
2007-10-01,GQ,005,15.0
2007-07-01,GQ,005,15.0
2007-04-01,GQ,005,15.0
2007-01-01,GQ,005,15.0
2006-10-01,GQ,005,15.0
2006-07-01,GQ,005,15.0
2006-04-01,GQ,005,15.0
2006-01-01,GQ,005,16.33
2005-10-01,GQ,005,17.0
2005-07-01,GQ,005,17.67
2005-04-01,GQ,005,18.0
2005-01-01,GQ,005,18.0
2004-10-01,GQ,005,18.0
2004-07-01,GQ,005,18.0
2004-04-01,GQ,005,18.0
2004-01-01,GQ,005,18.0
2003-10-01,GQ,005,18.0
2003-07-01,GQ,005,18.0
2003-04-01,GQ,005,18.0
2003-01-01,GQ,005,18.0
2002-10-01,GQ,005,18.0
2002-07-01,GQ,005,18.0
2002-04-01,GQ,005,18.0
2002-01-01,GQ,005,18.0
2001-10-01,GQ,005,18.0
2001-07-01,GQ,005,20.67
2001-04-01,GQ,005,22.0
2001-01-01,GQ,005,22.0
2000-10-01,GQ,005,22.0
2000-07-01,GQ,005,22.0
2000-04-01,GQ,005,22.0
