date,country_code,indicator_code,value
2019-10-01,GR,001,3901.8
2019-07-01,GR,001,3971.9
2019-04-01,GR,001,3956.4
2019-01-01,GR,001,3814.0
2018-10-01,GR,001,3833.7
2018-07-01,GR,001,3894.2
2018-04-01,GR,001,3860.4
2018-01-01,GR,001,3723.8
2017-10-01,GR,001,3736.3
2017-07-01,GR,001,3823.7
2017-04-01,GR,001,3791.4
2017-01-01,GR,001,3659.3
2016-10-01,GR,001,3648.6
2016-07-01,GR,001,3736.7
2016-04-01,GR,001,3702.6
2016-01-01,GR,001,3606.3
2015-10-01,GR,001,3641.7
2015-07-01,GR,001,3671.1
2015-04-01,GR,001,3625.5
2015-01-01,GR,001,3504.4
2014-10-01,GR,001,3535.3
2014-07-01,GR,001,3586.9
2014-04-01,GR,001,3539.1
2014-01-01,GR,001,3483.7
2013-10-01,GR,001,3479.9
2013-07-01,GR,001,3533.7
2013-04-01,GR,001,3535.0
2013-01-01,GR,001,3504.2
2012-10-01,GR,001,3597.0
2012-07-01,GR,001,3668.0
2012-04-01,GR,001,3729.9
2012-01-01,GR,001,3785.0
2011-10-01,GR,001,3886.9
2011-07-01,GR,001,4040.8
2011-04-01,GR,001,4124.2
2011-01-01,GR,001,4165.5
2010-10-01,GR,001,4278.5
2010-07-01,GR,001,4398.0
2010-04-01,GR,001,4436.5
2010-01-01,GR,001,4446.0
2009-10-01,GR,001,4508.6
2009-07-01,GR,001,4585.2
2009-04-01,GR,001,4584.6
2009-01-01,GR,001,4545.5
2008-10-01,GR,001,4597.9
2008-07-01,GR,001,4639.6
2008-04-01,GR,001,4637.3
2008-01-01,GR,001,4567.1
2007-10-01,GR,001,4576.4
2007-07-01,GR,001,4595.8
2007-04-01,GR,001,4572.4
2007-01-01,GR,001,4511.6
2006-10-01,GR,001,4528.6
2006-07-01,GR,001,4568.0
2006-04-01,GR,001,4531.6
2006-01-01,GR,001,4481.9
2005-10-01,GR,001,4462.5
2005-07-01,GR,001,4461.0
2005-04-01,GR,001,4455.4
2005-01-01,GR,001,4395.2
2004-10-01,GR,001,4401.7
2004-07-01,GR,001,4416.1
2004-04-01,GR,001,4410.0
2004-01-01,GR,001,4330.3
2003-10-01,GR,001,4354.9
2003-07-01,GR,001,4388.3
2003-04-01,GR,001,4366.5
2003-01-01,GR,001,4303.4
2002-10-01,GR,001,4295.5
2002-07-01,GR,001,4311.8
2002-04-01,GR,001,4282.2
2002-01-01,GR,001,4170.3
2001-10-01,GR,001,4152.3
2001-07-01,GR,001,4226.0
2001-04-01,GR,001,4223.7
2001-01-01,GR,001,4206.7
2000-10-01,GR,001,4104.5
2000-07-01,GR,001,4125.8
2000-04-01,GR,001,4097.9
2000-01-01,GR,001,4025.7
1999-10-01,GR,001,4002.8
1999-07-01,GR,001,4041.6
1999-04-01,GR,001,4040.4
1999-01-01,GR,001,4040.7
1998-10-01,GR,001,4026.8
1998-07-01,GR,001,4058.5
1998-04-01,GR,001,4023.7
1998-01-01,GR,001,3962.6
2020-01-01,GR,002,903.57
2019-07-01,GR,002,903.57
2019-01-01,GR,002,814.72
2018-07-01,GR,002,803.88
2018-01-01,GR,002,803.88
2017-07-01,GR,002,812.86
2017-01-01,GR,002,812.86
2016-07-01,GR,002,825.28
2016-01-01,GR,002,825.28
2015-07-01,GR,002,803.11
2015-01-01,GR,002,803.11
2014-07-01,GR,002,761.51
2014-01-01,GR,002,761.51
2013-07-01,GR,002,734.49
2013-01-01,GR,002,734.49
2012-07-01,GR,002,714.24
2012-01-01,GR,002,915.7
