date,country_code,indicator_code,value
2017-01-01,GT,001,1304143.0
2016-01-01,GT,001,1300001.0
2015-01-01,GT,001,1267429.0
2014-01-01,GT,001,1237262.0
2013-01-01,GT,001,1222300.0
2012-01-01,GT,001,1185866.0
2011-01-01,GT,001,1154378.0
2010-01-01,GT,001,1107192.0
2009-01-01,GT,001,1088417.0
2008-01-01,GT,001,1072692.0
2007-01-01,GT,001,1073458.0
2006-01-01,GT,001,1026405.0
2005-01-01,GT,001,1002356.0
2004-01-01,GT,001,988892.0
2003-01-01,GT,001,957921.0
2002-01-01,GT,001,953052.0
2001-01-01,GT,001,927768.0
2000-01-01,GT,001,908122.0
1999-01-01,GT,001,893126.0
1998-01-01,GT,001,887228.0
1997-01-01,GT,001,844407.0
1996-01-01,GT,001,852243.0
1995-01-01,GT,001,855596.0
1994-01-01,GT,001,830324.0
1993-01-01,GT,001,823239.0
1992-01-01,GT,001,795708.0
1991-01-01,GT,001,786903.0
1990-01-01,GT,001,785753.0
1989-01-01,GT,001,788367.0
1988-01-01,GT,001,779560.0
1987-01-01,GT,001,678995.0
1986-01-01,GT,001,660444.0
1985-01-01,GT,001,631654.0
2017-01-01,GT,002,56268.3
2016-01-01,GT,002,54573.2
2015-01-01,GT,002,51973.2
2014-01-01,GT,002,47938.3
2013-01-01,GT,002,44680.5
2012-01-01,GT,002,41604.0
2011-01-01,GT,002,37528.0
2010-01-01,GT,002,40499.2
2009-01-01,GT,002,37278.0
2008-01-01,GT,002,36027.5
2007-01-01,GT,002,33238.1
2006-01-01,GT,002,30228.5
2005-01-01,GT,002,28015.7
2004-01-01,GT,002,26382.4
2003-01-01,GT,002,24299.5
2002-01-01,GT,002,22790.7
2001-01-01,GT,002,20705.6
2000-01-01,GT,002,18796.0
1999-01-01,GT,002,16802.6
1998-01-01,GT,002,14996.0
1997-01-01,GT,002,12920.2
1996-01-01,GT,002,11618.0
1995-01-01,GT,002,9576.8
1994-01-01,GT,002,7653.5
1993-01-01,GT,002,6702.3
1992-01-01,GT,002,5338.3
1991-01-01,GT,002,4164.8
1990-01-01,GT,002,3289.4
1989-01-01,GT,002,2858.4
1988-01-01,GT,002,2410.4
1987-01-01,GT,002,1800.3
1986-01-01,GT,002,1461.2
1985-01-01,GT,002,1248.3
2018-01-01,GT,004,-56425.0
2017-01-01,GT,004,-44814.0
2016-01-01,GT,004,-41333.0
2015-01-01,GT,004,-43860.0
2014-01-01,GT,004,-47226.0
2013-01-01,GT,004,-47002.0
2012-01-01,GT,004,-44387.0
2011-01-01,GT,004,-39822.0
2010-01-01,GT,004,-34986.0
2009-01-01,GT,004,-28195.0
2008-01-01,GT,004,-43460.0
2007-01-01,GT,004,-43892.0
2006-01-01,GT,004,-38968.0
2005-01-01,GT,004,-33111.0
2004-01-01,GT,004,-28808.0
2003-01-01,GT,004,-25084.0
2002-01-01,GT,004,-21831.0
2001-01-01,GT,004,-19298.0
2000-01-01,GT,004,-13111.0
1999-01-01,GT,004,-11297.0
1998-01-01,GT,004,-10022.0
1997-01-01,GT,004,-6084.0
1996-01-01,GT,004,-4557.0
1995-01-01,GT,004,-5255.0
1994-01-01,GT,004,-5474.0
1993-01-01,GT,004,-5379.0
1992-01-01,GT,004,-4983.0
1991-01-01,GT,004,-1710.0
1990-01-01,GT,004,-1309.0
1989-01-01,GT,004,-1224.0
1988-01-01,GT,004,-1198.0
1987-01-01,GT,004,-1141.0
1986-01-01,GT,004,231.0
1985-01-01,GT,004,-116.0
1984-01-01,GT,004,-204.0
1983-01-01,GT,004,-141.0
1982-01-01,GT,004,-340.0
1981-01-01,GT,004,-560.0
1980-01-01,GT,004,-215.0
1979-01-01,GT,004,-311.0
1978-01-01,GT,004,-351.0
1977-01-01,GT,004,-99.0
1976-01-01,GT,004,-262.0
1975-01-01,GT,004,-66.0
1974-01-01,GT,004,-103.0
1973-01-01,GT,004,17.0
1972-01-01,GT,004,8.0
1971-01-01,GT,004,-28.0
1970-01-01,GT,004,15.0
1969-01-01,GT,004,6.0
1968-01-01,GT,004,-27.0
1967-01-01,GT,004,-48.0
1966-01-01,GT,004,-3.0
1965-01-01,GT,004,-38.0
1964-01-01,GT,004,-35.0
1963-01-01,GT,004,-21.0
1962-01-01,GT,004,-19.0
1961-01-01,GT,004,-17.0
1960-01-01,GT,004,-20.0
2020-03-01,GT,005,12.64
2020-02-01,GT,005,12.68
2020-01-01,GT,005,12.65
2019-12-01,GT,005,12.64
2019-11-01,GT,005,12.67
2019-10-01,GT,005,12.7
2019-09-01,GT,005,12.78
2019-08-01,GT,005,12.79
2019-07-01,GT,005,12.77
2019-06-01,GT,005,12.75
2019-05-01,GT,005,12.74
2019-04-01,GT,005,12.75
2019-03-01,GT,005,12.79
2019-02-01,GT,005,12.77
2019-01-01,GT,005,12.74
2018-12-01,GT,005,12.72
2018-11-01,GT,005,12.81
2018-10-01,GT,005,12.85
2018-09-01,GT,005,12.87
2018-08-01,GT,005,12.92
2018-07-01,GT,005,12.96
2018-06-01,GT,005,12.94
2018-05-01,GT,005,12.98
2018-04-01,GT,005,13.02
2018-03-01,GT,005,13.01
2018-02-01,GT,005,13.05
2018-01-01,GT,005,13.07
2017-12-01,GT,005,13.0
2017-11-01,GT,005,13.05
2017-10-01,GT,005,13.08
2017-09-01,GT,005,13.05
2017-08-01,GT,005,13.06
2017-07-01,GT,005,13.06
2017-06-01,GT,005,13.05
2017-05-01,GT,005,13.04
2017-04-01,GT,005,13.08
2017-03-01,GT,005,13.08
2017-02-01,GT,005,13.05
2017-01-01,GT,005,13.05
2016-12-01,GT,005,13.03
2016-11-01,GT,005,13.08
2016-10-01,GT,005,13.1
2016-09-01,GT,005,13.12
2016-08-01,GT,005,13.1
2016-07-01,GT,005,13.11
2016-06-01,GT,005,13.14
2016-05-01,GT,005,13.15
2016-04-01,GT,005,13.13
