date,country_code,indicator_code,value
2018-01-01,GW,004,-57693.0
2017-01-01,GW,004,-41544.0
2016-01-01,GW,004,-33509.0
2015-01-01,GW,004,-29099.0
2014-01-01,GW,004,-58224.0
2013-01-01,GW,004,-39091.0
2012-01-01,GW,004,-51632.0
2011-01-01,GW,004,-27329.0
2010-01-01,GW,004,-85441.0
2009-01-01,GW,004,-63921.0
2008-01-01,GW,004,-50106.0
2007-01-01,GW,004,-45898.0
2006-01-01,GW,004,-45652.0
2005-01-01,GW,004,-27915.0
2004-01-01,GW,004,-22237.0
2003-01-01,GW,004,-16369.0
2002-01-01,GW,004,-15994.0
2001-01-01,GW,004,-16185.0
2000-01-01,GW,004,-29944.0
1999-01-01,GW,004,-24813.0
1998-01-01,GW,004,-26064.0
1997-01-01,GW,004,-29572.0
1996-01-01,GW,004,-23383.0
1995-01-01,GW,004,-16577.0
1994-01-01,GW,004,-8344.0
1993-01-01,GW,004,-8762.0
1992-01-01,GW,004,-10915.0
1991-01-01,GW,004,-4025.0
1990-01-01,GW,004,-2223.0
1989-01-01,GW,004,-2214.0
1988-01-01,GW,004,-1087.0
1987-01-01,GW,004,-412.0
1986-01-01,GW,004,-199.0
1985-01-01,GW,004,-170.0
1984-01-01,GW,004,-97.0
1983-01-01,GW,004,-39.0
1982-01-01,GW,004,-41.0
1981-01-01,GW,004,-25.0
1980-01-01,GW,004,-25.0
1979-01-01,GW,004,-31.0
1978-01-01,GW,004,-24.0
1977-01-01,GW,004,-16.0
1976-01-01,GW,004,-17.0
1975-01-01,GW,004,-14.0
1974-01-01,GW,004,-21.0
1973-01-01,GW,004,-18.0
1972-01-01,GW,004,-15.0
1971-01-01,GW,004,-13.0
1970-01-01,GW,004,-11.0
2017-01-01,GW,005,5.1
2016-01-01,GW,005,5.3
2015-01-01,GW,005,5.2
2014-01-01,GW,005,5.3
2013-01-01,GW,005,5.3
2012-01-01,GW,005,5.0
2011-01-01,GW,005,5.3
2010-01-01,GW,005,5.1
2009-01-01,GW,005,5.0
2008-01-01,GW,005,5.0
2007-01-01,GW,005,4.8
2006-01-01,GW,005,4.7
2005-01-01,GW,005,10.4
2020-02-01,GW,007,215678.0
2020-01-01,GW,007,203673.0
2019-12-01,GW,007,217639.0
2019-11-01,GW,007,213526.0
2019-10-01,GW,007,225957.0
2019-09-01,GW,007,223436.0
2019-08-01,GW,007,230127.0
2019-07-01,GW,007,231201.0
2019-06-01,GW,007,241198.0
2019-05-01,GW,007,220073.0
2019-04-01,GW,007,202050.0
2019-03-01,GW,007,205464.0
2019-02-01,GW,007,207532.0
2019-01-01,GW,007,215552.0
2018-12-01,GW,007,232575.0
2018-11-01,GW,007,223983.0
2018-10-01,GW,007,224908.0
