date,country_code,indicator_code,value
2018-01-01,GY,004,314773.0
2017-01-01,GY,004,332673.0
2016-01-01,GY,004,330437.0
2015-01-01,GY,004,267238.0
2014-01-01,GY,004,278290.0
2013-01-01,GY,004,315237.0
2012-01-01,GY,004,345931.0
2011-01-01,GY,004,291031.0
2010-01-01,GY,004,230729.0
2009-01-01,GY,004,191367.0
2008-01-01,GY,004,206378.0
2007-01-01,GY,004,176150.0
2006-01-01,GY,004,146748.0
2005-01-01,GY,004,139702.0
2004-01-01,GY,004,148687.0
2003-01-01,GY,004,129840.0
2002-01-01,GY,004,127345.0
2001-01-01,GY,004,124063.0
2000-01-01,GY,004,123049.0
1999-01-01,GY,004,119595.0
1998-01-01,GY,004,103693.0
1997-01-01,GY,004,100492.0
1996-01-01,GY,004,95708.0
1995-01-01,GY,004,92865.0
1994-01-01,GY,004,81573.0
1993-01-01,GY,004,68004.0
1992-01-01,GY,004,64513.0
1991-01-01,GY,004,40181.0
1990-01-01,GY,004,12623.0
1989-01-01,GY,004,7061.0
1988-01-01,GY,004,2720.0
1987-01-01,GY,004,2856.0
1986-01-01,GY,004,1089.0
1985-01-01,GY,004,1083.0
1984-01-01,GY,004,969.0
1983-01-01,GY,004,696.0
1982-01-01,GY,004,807.0
1981-01-01,GY,004,1079.0
1980-01-01,GY,004,1019.0
1979-01-01,GY,004,897.0
1978-01-01,GY,004,856.0
1977-01-01,GY,004,759.0
1976-01-01,GY,004,737.0
1975-01-01,GY,004,656.0
1974-01-01,GY,004,551.0
1973-01-01,GY,004,438.0
1972-01-01,GY,004,401.0
1971-01-01,GY,004,390.0
1970-01-01,GY,004,375.0
1969-01-01,GY,004,351.0
1968-01-01,GY,004,264.0
1967-01-01,GY,004,241.0
1966-01-01,GY,004,213.0
1965-01-01,GY,004,200.0
1964-01-01,GY,004,189.0
1963-01-01,GY,004,191.0
1962-01-01,GY,004,188.0
1961-01-01,GY,004,164.0
1960-01-01,GY,004,143.0
1959-01-01,GY,004,114.0
1958-01-01,GY,004,104.0
1957-01-01,GY,004,115.0
1956-01-01,GY,004,98.0
1955-01-01,GY,004,93.0
1954-01-01,GY,004,88.0
1953-01-01,GY,004,86.0
1952-01-01,GY,004,84.0
2020-03-01,GY,005,10.29
2020-02-01,GY,005,10.29
2020-01-01,GY,005,10.29
2019-12-01,GY,005,10.29
2019-11-01,GY,005,10.38
2019-10-01,GY,005,10.38
2019-09-01,GY,005,10.38
2019-08-01,GY,005,10.46
2019-07-01,GY,005,10.46
2019-06-01,GY,005,10.46
2019-05-01,GY,005,10.54
2019-04-01,GY,005,10.63
2019-03-01,GY,005,10.63
2019-02-01,GY,005,10.63
2019-01-01,GY,005,10.54
2018-12-01,GY,005,13.0
2018-11-01,GY,005,13.0
2018-10-01,GY,005,13.0
2018-09-01,GY,005,13.0
2018-08-01,GY,005,13.0
2018-07-01,GY,005,13.0
2018-06-01,GY,005,13.0
2018-05-01,GY,005,13.0
2018-04-01,GY,005,13.0
2018-03-01,GY,005,13.0
2018-02-01,GY,005,13.0
2018-01-01,GY,005,13.0
2017-12-01,GY,005,13.0
2017-11-01,GY,005,13.0
2017-10-01,GY,005,13.0
2017-09-01,GY,005,13.0
2017-08-01,GY,005,13.0
2017-07-01,GY,005,13.0
2017-06-01,GY,005,13.0
2017-05-01,GY,005,13.0
2017-04-01,GY,005,13.0
2017-03-01,GY,005,13.0
2017-02-01,GY,005,13.0
2017-01-01,GY,005,13.0
2016-12-01,GY,005,13.0
2016-11-01,GY,005,13.0
2016-10-01,GY,005,13.0
2016-09-01,GY,005,13.0
2016-08-01,GY,005,13.0
2016-07-01,GY,005,13.0
2016-06-01,GY,005,13.0
2016-05-01,GY,005,13.0
2016-04-01,GY,005,13.0
2016-03-01,GY,005,13.0
2016-02-01,GY,005,13.0
2016-01-01,GY,005,13.0
2015-12-01,GY,005,12.83
2015-11-01,GY,005,12.83
2015-10-01,GY,005,12.83
