date,country_code,indicator_code,value
2020-03-01,HK,001,3720.0
2020-02-01,HK,001,3768.8
2020-01-01,HK,001,3803.2
2019-12-01,HK,001,3817.8
2019-11-01,HK,001,3830.6
2019-10-01,HK,001,3843.8
2019-09-01,HK,001,3855.4
2019-08-01,HK,001,3863.6
2019-07-01,HK,001,3867.3
2019-06-01,HK,001,3870.7
2019-05-01,HK,001,3869.1
2019-04-01,HK,001,3865.0
2019-03-01,HK,001,3860.4
2019-02-01,HK,001,3866.7
2019-01-01,HK,001,3872.6
2018-12-01,HK,001,3867.7
2018-11-01,HK,001,3860.4
2018-10-01,HK,001,3865.2
2018-09-01,HK,001,3867.0
2018-08-01,HK,001,3873.9
2018-07-01,HK,001,3862.3
2018-06-01,HK,001,3856.9
2018-05-01,HK,001,3851.7
2018-04-01,HK,001,3866.6
2018-03-01,HK,001,3872.4
2018-02-01,HK,001,3872.4
2018-01-01,HK,001,3862.1
2017-12-01,HK,001,3840.3
2017-11-01,HK,001,3827.1
2017-10-01,HK,001,3823.0
2017-09-01,HK,001,3817.5
2017-08-01,HK,001,3821.6
2017-07-01,HK,001,3815.7
2017-06-01,HK,001,3805.3
2017-05-01,HK,001,3799.5
2017-04-01,HK,001,3816.7
2017-03-01,HK,001,3822.4
2017-02-01,HK,001,3824.4
2017-01-01,HK,001,3809.4
2016-12-01,HK,001,3787.1
2016-11-01,HK,001,3776.2
2016-10-01,HK,001,3782.6
2016-09-01,HK,001,3785.8
2016-08-01,HK,001,3791.3
2016-07-01,HK,001,3783.3
2016-06-01,HK,001,3774.3
2016-05-01,HK,001,3767.8
2016-04-01,HK,001,3774.0
2016-03-01,HK,001,3783.0
2016-02-01,HK,001,3787.6
2016-01-01,HK,001,3787.2
2015-12-01,HK,001,3780.2
2015-11-01,HK,001,3769.4
2015-10-01,HK,001,3764.9
2015-09-01,HK,001,3771.3
2015-08-01,HK,001,3781.7
2015-07-01,HK,001,3771.9
2015-06-01,HK,001,3761.7
2015-05-01,HK,001,3754.1
2015-04-01,HK,001,3766.2
2015-03-01,HK,001,3781.5
2015-02-01,HK,001,3786.6
2015-01-01,HK,001,3782.3
2014-12-01,HK,001,3772.6
2014-11-01,HK,001,3758.3
2014-10-01,HK,001,3755.7
2014-09-01,HK,001,3758.7
2014-08-01,HK,001,3760.7
2014-07-01,HK,001,3741.3
2014-06-01,HK,001,3723.5
2014-05-01,HK,001,3717.5
2014-04-01,HK,001,3699.0
2014-03-01,HK,001,3698.0
2014-02-01,HK,001,3714.6
2014-01-01,HK,001,3745.2
2013-12-01,HK,001,3739.2
2013-11-01,HK,001,3715.2
2013-10-01,HK,001,3722.5
2013-09-01,HK,001,3730.2
2013-08-01,HK,001,3733.3
2013-07-01,HK,001,3727.4
2013-06-01,HK,001,3723.4
2013-05-01,HK,001,3713.1
2013-04-01,HK,001,3696.1
2013-03-01,HK,001,3698.9
2013-02-01,HK,001,3691.2
2013-01-01,HK,001,3686.8
2012-12-01,HK,001,3673.2
2012-11-01,HK,001,3650.4
2012-10-01,HK,001,3650.2
2012-09-01,HK,001,3644.3
2012-08-01,HK,001,3661.1
2012-07-01,HK,001,3662.8
2012-06-01,HK,001,3654.7
2012-05-01,HK,001,3645.0
2012-04-01,HK,001,3633.8
2012-03-01,HK,001,3637.1
2012-02-01,HK,001,3635.2
2012-01-01,HK,001,3622.7
2011-12-01,HK,001,3614.8
2011-11-01,HK,001,3602.1
2011-10-01,HK,001,3596.2
2011-09-01,HK,001,3598.1
2011-08-01,HK,001,3590.3
2011-07-01,HK,001,3577.0
2011-06-01,HK,001,3564.0
2011-05-01,HK,001,3557.5
2011-04-01,HK,001,3542.3
2011-03-01,HK,001,3534.2
2011-02-01,HK,001,3531.7
2011-01-01,HK,001,3533.8
2010-12-01,HK,001,3515.8
2010-11-01,HK,001,3499.2
2010-10-01,HK,001,3488.8
2010-09-01,HK,001,3479.3
2010-08-01,HK,001,3472.3
2010-07-01,HK,001,3462.4
2010-06-01,HK,001,3453.9
2010-05-01,HK,001,3445.7
2010-04-01,HK,001,3454.6
2010-03-01,HK,001,3462.1
2010-02-01,HK,001,3465.8
2010-01-01,HK,001,3472.4
2009-12-01,HK,001,3460.8
2009-11-01,HK,001,3469.3
2009-10-01,HK,001,3462.0
2009-09-01,HK,001,3466.1
2009-08-01,HK,001,3463.6
2009-07-01,HK,001,3468.9
2009-06-01,HK,001,3470.5
2009-05-01,HK,001,3479.8
2009-04-01,HK,001,3467.6
2009-03-01,HK,001,3479.5
2009-02-01,HK,001,3488.3
2009-01-01,HK,001,3494.7
2008-12-01,HK,001,3506.7
2008-11-01,HK,001,3497.1
2008-10-01,HK,001,3508.8
2008-09-01,HK,001,3511.7
2008-08-01,HK,001,3519.5
2008-07-01,HK,001,3508.4
2008-06-01,HK,001,3506.3
2008-05-01,HK,001,3506.1
2008-04-01,HK,001,3509.1
2008-03-01,HK,001,3509.5
2008-02-01,HK,001,3520.1
2008-01-01,HK,001,3529.9
2007-12-01,HK,001,3513.1
2007-11-01,HK,001,3487.6
2007-10-01,HK,001,3479.4
2007-09-01,HK,001,3485.7
2007-08-01,HK,001,3485.4
2007-07-01,HK,001,3474.5
2007-06-01,HK,001,3465.3
2007-05-01,HK,001,3455.5
2007-04-01,HK,001,3448.1
2007-03-01,HK,001,3451.9
2007-02-01,HK,001,3464.9
2007-01-01,HK,001,3473.3
2006-12-01,HK,001,3462.6
2006-11-01,HK,001,3457.2
2006-10-01,HK,001,3443.5
2006-09-01,HK,001,3433.9
2006-08-01,HK,001,3412.3
2006-07-01,HK,001,3392.6
2006-06-01,HK,001,3369.9
2006-05-01,HK,001,3379.1
2006-04-01,HK,001,3371.3
2006-03-01,HK,001,3374.9
2006-02-01,HK,001,3365.4
2006-01-01,HK,001,3374.5
2005-12-01,HK,001,3372.6
2005-11-01,HK,001,3358.4
2005-10-01,HK,001,3359.8
2005-09-01,HK,001,3344.2
2005-08-01,HK,001,3340.7
2005-07-01,HK,001,3328.1
2005-06-01,HK,001,3326.3
2005-05-01,HK,001,3323.1
2005-04-01,HK,001,3313.0
2005-03-01,HK,001,3320.1
2005-02-01,HK,001,3315.0
2005-01-01,HK,001,3321.4
2004-12-01,HK,001,3313.6
2004-11-01,HK,001,3298.6
2004-10-01,HK,001,3290.3
2004-09-01,HK,001,3272.3
2004-08-01,HK,001,3281.6
2004-07-01,HK,001,3275.0
2004-06-01,HK,001,3270.7
2004-05-01,HK,001,3257.6
2004-04-01,HK,001,3248.3
2004-03-01,HK,001,3249.4
2004-02-01,HK,001,3243.3
2004-01-01,HK,001,3233.1
2003-12-01,HK,001,3227.3
2003-11-01,HK,001,3207.1
2003-10-01,HK,001,3187.7
2003-09-01,HK,001,3177.1
2003-08-01,HK,001,3175.4
2003-07-01,HK,001,3167.0
2003-06-01,HK,001,3174.4
2003-05-01,HK,001,3182.5
2003-04-01,HK,001,3193.1
2003-03-01,HK,001,3210.8
2003-02-01,HK,001,3217.8
2003-01-01,HK,001,3244.8
2002-12-01,HK,001,3241.4
2002-11-01,HK,001,3248.7
2002-10-01,HK,001,3241.6
2002-09-01,HK,001,3235.1
2002-08-01,HK,001,3225.4
2002-07-01,HK,001,3214.0
2002-06-01,HK,001,3190.7
2002-05-01,HK,001,3192.4
2002-04-01,HK,001,3196.8
2002-03-01,HK,001,3213.9
2002-02-01,HK,001,3223.9
2002-01-01,HK,001,3230.2
2001-12-01,HK,001,3236.5
2001-11-01,HK,001,3237.1
2001-10-01,HK,001,3249.4
2001-09-01,HK,001,3252.5
2001-08-01,HK,001,3253.2
2001-07-01,HK,001,3256.4
2001-06-01,HK,001,3259.7
2001-05-01,HK,001,3264.8
2001-04-01,HK,001,3257.7
2001-03-01,HK,001,3256.4
2001-02-01,HK,001,3266.2
2001-01-01,HK,001,3270.6
2000-12-01,HK,001,3252.5
2000-11-01,HK,001,3235.9
2000-10-01,HK,001,3225.5
2000-09-01,HK,001,3224.4
2000-08-01,HK,001,3209.4
2000-07-01,HK,001,3201.6
2000-06-01,HK,001,3197.8
2000-05-01,HK,001,3193.4
2000-04-01,HK,001,3170.7
2000-03-01,HK,001,3154.5
2000-02-01,HK,001,3134.8
2000-01-01,HK,001,3137.4
1999-12-01,HK,001,3131.1
1999-11-01,HK,001,3120.2
1999-10-01,HK,001,3108.1
1999-09-01,HK,001,3101.4
1999-08-01,HK,001,3113.1
1999-07-01,HK,001,3121.2
1999-06-01,HK,001,3123.3
1999-05-01,HK,001,3118.1
1999-04-01,HK,001,3098.0
1999-03-01,HK,001,3092.7
1999-02-01,HK,001,3097.4
1999-01-01,HK,001,3118.8
1998-12-01,HK,001,3115.0
1998-11-01,HK,001,3108.0
1998-10-01,HK,001,3112.1
1998-09-01,HK,001,3114.5
1998-08-01,HK,001,3120.7
1998-07-01,HK,001,3111.2
1998-06-01,HK,001,3117.4
1998-05-01,HK,001,3115.7
1998-04-01,HK,001,3122.6
1998-03-01,HK,001,3141.2
1998-02-01,HK,001,3178.2
1998-01-01,HK,001,3211.2
1997-12-01,HK,001,3221.3
1997-11-01,HK,001,3201.4
1997-10-01,HK,001,3172.4
1997-09-01,HK,001,3143.8
1997-08-01,HK,001,3135.7
1997-07-01,HK,001,3130.4
1997-06-01,HK,001,3144.8
1997-05-01,HK,001,3142.5
1997-04-01,HK,001,3144.6
1997-03-01,HK,001,3144.6
1997-02-01,HK,001,3148.1
1997-01-01,HK,001,3144.2
1996-12-01,HK,001,3124.3
1996-11-01,HK,001,3110.7
1996-10-01,HK,001,3104.5
1996-09-01,HK,001,3096.5
1996-08-01,HK,001,3091.2
1996-07-01,HK,001,3094.2
1996-06-01,HK,001,3099.0
1996-05-01,HK,001,2979.5
1996-04-01,HK,001,2970.8
1996-03-01,HK,001,2973.5
1996-02-01,HK,001,2972.2
1996-01-01,HK,001,2959.3
1995-12-01,HK,001,2940.6
1995-11-01,HK,001,2932.4
1995-10-01,HK,001,2920.0
1995-09-01,HK,001,2907.4
1995-08-01,HK,001,2909.6
1995-07-01,HK,001,2915.4
1995-06-01,HK,001,2920.5
1995-05-01,HK,001,2911.1
1995-04-01,HK,001,2867.5
1995-03-01,HK,001,2851.8
1995-02-01,HK,001,2867.1
1995-01-01,HK,001,2899.3
1994-12-01,HK,001,2916.9
1994-11-01,HK,001,2904.0
1994-10-01,HK,001,2875.5
1994-09-01,HK,001,2855.1
1994-08-01,HK,001,2859.0
1994-07-01,HK,001,2881.0
1994-06-01,HK,001,2871.0
1994-05-01,HK,001,2838.1
1994-04-01,HK,001,2834.5
1994-03-01,HK,001,2848.2
1994-02-01,HK,001,2871.6
1994-01-01,HK,001,2876.9
1993-12-01,HK,001,2857.5
1993-11-01,HK,001,2833.7
1993-10-01,HK,001,2800.7
1993-09-01,HK,001,2794.6
1993-08-01,HK,001,2779.5
1993-07-01,HK,001,2777.0
1993-06-01,HK,001,2775.2
1993-05-01,HK,001,2778.8
1993-04-01,HK,001,2776.6
1993-03-01,HK,001,2773.1
1993-02-01,HK,001,2770.1
1993-01-01,HK,001,2765.9
1992-12-01,HK,001,2760.6
1992-11-01,HK,001,2744.3
1992-10-01,HK,001,2727.7
1992-09-01,HK,001,2718.6
1992-08-01,HK,001,2728.2
1992-07-01,HK,001,2745.3
1992-06-01,HK,001,2743.9
1992-05-01,HK,001,2735.7
1992-04-01,HK,001,2717.8
1992-03-01,HK,001,2727.5
1992-02-01,HK,001,2750.2
1992-01-01,HK,001,2778.0
1991-12-01,HK,001,2789.8
1991-11-01,HK,001,2780.6
1991-10-01,HK,001,2772.5
1991-09-01,HK,001,2751.3
1991-08-01,HK,001,2729.7
1991-07-01,HK,001,2726.7
1991-06-01,HK,001,2732.3
1991-05-01,HK,001,2729.8
1991-04-01,HK,001,2722.0
1991-03-01,HK,001,2741.4
1991-02-01,HK,001,2753.2
1991-01-01,HK,001,2759.3
1990-12-01,HK,001,2743.5
1990-11-01,HK,001,2725.1
1990-10-01,HK,001,2712.0
1990-09-01,HK,001,2695.3
1990-08-01,HK,001,2695.1
1990-07-01,HK,001,2697.2
1990-06-01,HK,001,2701.7
1990-05-01,HK,001,2711.8
1990-04-01,HK,001,2703.5
1990-03-01,HK,001,2705.6
1990-02-01,HK,001,2709.7
1990-01-01,HK,001,2739.9
1989-12-01,HK,001,2742.9
1989-11-01,HK,001,2730.2
1989-10-01,HK,001,2711.8
1989-09-01,HK,001,2710.1
1989-08-01,HK,001,2716.2
1989-07-01,HK,001,2712.4
1989-06-01,HK,001,2705.2
1989-05-01,HK,001,2709.6
1989-04-01,HK,001,2714.1
1989-03-01,HK,001,2734.4
1989-02-01,HK,001,2741.9
1989-01-01,HK,001,2759.2
1988-12-01,HK,001,2760.2
1988-11-01,HK,001,2748.4
1988-10-01,HK,001,2734.8
1988-09-01,HK,001,2734.7
1988-08-01,HK,001,2726.6
