date,country_code,indicator_code,value
2016-01-01,HN,001,6.15
2015-01-01,HN,001,186.73
2014-01-01,HN,001,-26.1
2013-01-01,HN,001,243.13
2012-01-01,HN,001,17.74
2011-01-01,HN,001,-27.84
2010-01-01,HN,001,118.42
2009-01-01,HN,001,234.48
2008-01-01,HN,001,127.59
2007-01-01,HN,001,77.64
2006-01-01,HN,001,68.76
2005-01-01,HN,001,188.14
2004-01-01,HN,001,186.26
2003-01-01,HN,001,-143.94
2002-01-01,HN,001,62.03
1999-01-01,HN,001,164.09
1998-01-01,HN,001,46.44
1997-01-01,HN,001,103.46
1996-01-01,HN,001,178.57
1992-01-01,HN,001,180.3
1991-01-01,HN,001,281.5
1990-01-01,HN,001,-181.4
1989-01-01,HN,001,40.3
1988-01-01,HN,001,962.65
1987-01-01,HN,001,-14.68
1986-01-01,HN,001,125.37
2018-01-01,HN,004,-106402.0
2017-01-01,HN,004,-79007.0
2016-01-01,HN,004,-71351.0
2015-01-01,HN,004,-77951.0
2014-01-01,HN,004,-74011.0
2013-01-01,HN,004,-76901.0
2012-01-01,HN,004,-70039.0
2011-01-01,HN,004,-66006.0
2010-01-01,HN,004,-53644.0
2009-01-01,HN,004,-49185.0
2008-01-01,HN,004,-86856.0
2007-01-01,HN,004,-65522.0
2006-01-01,HN,004,-43367.0
2005-01-01,HN,004,-33953.0
2004-01-01,HN,004,-30066.0
2003-01-01,HN,004,-20081.0
2002-01-01,HN,004,-16193.0
2001-01-01,HN,004,-15607.0
2000-01-01,HN,004,-13276.0
1999-01-01,HN,004,-13134.0
1998-01-01,HN,004,-5566.0
1997-01-01,HN,004,-3654.0
1996-01-01,HN,004,-3663.0
1995-01-01,HN,004,-2861.0
1994-01-01,HN,004,-4407.0
1993-01-01,HN,004,-3468.0
1992-01-01,HN,004,-2566.0
1991-01-01,HN,004,-1717.0
1990-01-01,HN,004,-1534.0
1989-01-01,HN,004,-1226.0
1988-01-01,HN,004,-902.0
1987-01-01,HN,004,-782.0
1986-01-01,HN,004,-637.0
1985-01-01,HN,004,-938.0
1984-01-01,HN,004,-1028.0
1983-01-01,HN,004,-641.0
1982-01-01,HN,004,-455.0
1981-01-01,HN,004,-921.0
1980-01-01,HN,004,-960.0
1979-01-01,HN,004,-623.0
1978-01-01,HN,004,-548.0
1977-01-01,HN,004,-148.0
1976-01-01,HN,004,-120.0
1975-01-01,HN,004,-202.0
1974-01-01,HN,004,-247.0
1973-01-01,HN,004,-16.0
1972-01-01,HN,004,17.0
1971-01-01,HN,004,-12.0
1970-01-01,HN,004,-90.0
1969-01-01,HN,004,-39.0
1968-01-01,HN,004,-16.0
1967-01-01,HN,004,-24.0
1966-01-01,HN,004,-16.0
1965-01-01,HN,004,5.0
1964-01-01,HN,004,-21.0
1963-01-01,HN,004,-22.0
1962-01-01,HN,004,3.0
1961-01-01,HN,004,3.0
1960-01-01,HN,004,-11.0
2020-02-01,HN,005,17.39
2020-01-01,HN,005,17.38
2019-12-01,HN,005,17.39
2019-11-01,HN,005,17.36
2019-10-01,HN,005,17.27
2019-09-01,HN,005,17.3
2019-08-01,HN,005,17.24
2019-07-01,HN,005,17.29
2019-06-01,HN,005,17.37
2019-05-01,HN,005,17.31
2019-04-01,HN,005,17.31
2019-03-01,HN,005,17.4
2019-02-01,HN,005,17.43
2019-01-01,HN,005,17.4
2018-12-01,HN,005,17.43
2018-11-01,HN,005,17.64
2018-10-01,HN,005,17.65
2018-09-01,HN,005,17.65
2018-08-01,HN,005,17.54
2018-07-01,HN,005,17.55
2018-06-01,HN,005,17.71
2018-05-01,HN,005,18.02
2018-04-01,HN,005,18.02
2018-03-01,HN,005,18.19
2018-02-01,HN,005,18.16
2018-01-01,HN,005,18.09
2017-12-01,HN,005,18.24
2017-11-01,HN,005,18.45
2017-10-01,HN,005,18.5
2017-09-01,HN,005,19.31
2017-08-01,HN,005,19.37
2017-07-01,HN,005,19.35
2017-06-01,HN,005,19.39
2017-05-01,HN,005,19.55
2017-04-01,HN,005,19.72
2017-03-01,HN,005,19.7
2017-02-01,HN,005,19.75
2017-01-01,HN,005,19.78
2016-12-01,HN,005,18.79
2016-11-01,HN,005,18.94
2016-10-01,HN,005,18.91
2016-09-01,HN,005,19.0
2016-08-01,HN,005,19.14
2016-07-01,HN,005,19.23
2016-06-01,HN,005,19.39
2016-05-01,HN,005,19.55
2016-04-01,HN,005,19.64
2016-03-01,HN,005,19.65
2016-02-01,HN,005,19.75
2016-01-01,HN,005,20.01
2015-12-01,HN,005,20.02
2015-11-01,HN,005,20.13
2015-10-01,HN,005,20.28
2015-09-01,HN,005,20.71
2015-08-01,HN,005,20.85
2015-07-01,HN,005,20.8
2015-06-01,HN,005,20.88
2015-05-01,HN,005,21.25
2015-04-01,HN,005,20.68
2015-03-01,HN,005,20.67
2015-02-01,HN,005,20.84
2015-01-01,HN,005,20.79
2014-12-01,HN,005,20.65
2014-11-01,HN,005,20.72
2014-10-01,HN,005,20.85
2014-09-01,HN,005,20.71
2014-08-01,HN,005,20.54
2014-07-01,HN,005,20.48
2014-06-01,HN,005,20.58
2014-05-01,HN,005,20.69
2014-04-01,HN,005,20.59
2014-03-01,HN,005,20.62
2014-02-01,HN,005,20.36
2014-01-01,HN,005,20.55
2013-12-01,HN,005,20.28
2013-11-01,HN,005,20.24
2013-10-01,HN,005,20.25
2013-09-01,HN,005,20.14
2013-08-01,HN,005,20.28
2013-07-01,HN,005,20.16
2013-06-01,HN,005,20.17
2013-05-01,HN,005,20.22
2013-04-01,HN,005,20.18
2013-03-01,HN,005,19.77
2013-02-01,HN,005,19.8
2013-01-01,HN,005,19.5
2012-12-01,HN,005,19.25
2012-11-01,HN,005,18.96
2012-10-01,HN,005,18.89
2012-09-01,HN,005,18.81
2012-08-01,HN,005,18.44
2012-07-01,HN,005,18.25
2012-06-01,HN,005,18.17
2012-05-01,HN,005,18.04
2012-04-01,HN,005,18.13
2012-03-01,HN,005,18.14
2012-02-01,HN,005,18.2
2012-01-01,HN,005,18.13
2011-12-01,HN,005,18.1
2011-11-01,HN,005,18.22
2011-10-01,HN,005,18.3
2011-09-01,HN,005,18.26
2011-08-01,HN,005,18.32
2011-07-01,HN,005,18.24
2011-06-01,HN,005,18.68
2011-05-01,HN,005,18.81
2011-04-01,HN,005,18.89
2011-03-01,HN,005,18.93
2011-02-01,HN,005,18.98
2011-01-01,HN,005,18.97
2010-12-01,HN,005,18.98
2010-11-01,HN,005,18.97
2010-10-01,HN,005,18.6
2010-09-01,HN,005,18.64
2010-08-01,HN,005,18.64
2010-07-01,HN,005,18.88
2010-06-01,HN,005,18.89
2010-05-01,HN,005,18.78
2010-04-01,HN,005,18.97
2010-03-01,HN,005,18.89
2010-02-01,HN,005,19.06
2010-01-01,HN,005,19.07
2009-12-01,HN,005,18.94
2009-11-01,HN,005,18.97
2009-10-01,HN,005,19.12
2009-09-01,HN,005,19.06
2009-08-01,HN,005,19.07
2009-07-01,HN,005,19.32
2009-06-01,HN,005,19.6
2009-05-01,HN,005,19.82
2009-04-01,HN,005,19.94
2009-03-01,HN,005,20.06
2009-02-01,HN,005,19.94
2009-01-01,HN,005,19.5
2008-12-01,HN,005,20.04
2008-11-01,HN,005,19.66
2008-10-01,HN,005,19.26
2008-09-01,HN,005,18.95
2008-08-01,HN,005,18.58
2008-07-01,HN,005,17.63
2008-06-01,HN,005,17.3
2008-05-01,HN,005,17.04
2008-04-01,HN,005,16.94
2008-03-01,HN,005,16.75
2008-02-01,HN,005,16.69
2008-01-01,HN,005,16.4
2007-12-01,HN,005,16.5
2007-11-01,HN,005,16.4
2007-10-01,HN,005,16.28
2007-09-01,HN,005,16.28
2007-08-01,HN,005,16.24
2007-07-01,HN,005,16.42
2007-06-01,HN,005,16.6
2007-05-01,HN,005,16.7
2007-04-01,HN,005,16.74
2007-03-01,HN,005,16.94
2007-02-01,HN,005,17.0
2007-01-01,HN,005,17.16
2006-12-01,HN,005,16.6
2006-11-01,HN,005,16.39
2006-10-01,HN,005,16.72
2006-09-01,HN,005,16.92
2006-08-01,HN,005,17.07
2006-07-01,HN,005,17.25
2006-06-01,HN,005,17.6
2006-05-01,HN,005,17.65
2006-04-01,HN,005,18.01
2006-03-01,HN,005,18.22
2006-02-01,HN,005,18.42
2006-01-01,HN,005,18.39
2005-12-01,HN,005,18.36
2005-11-01,HN,005,18.64
2005-10-01,HN,005,18.39
2005-09-01,HN,005,18.48
2005-08-01,HN,005,18.49
2005-07-01,HN,005,18.8
2005-06-01,HN,005,19.07
2005-05-01,HN,005,19.05
2005-04-01,HN,005,18.94
2005-03-01,HN,005,19.06
2005-02-01,HN,005,19.33
2005-01-01,HN,005,19.36
2004-12-01,HN,005,19.45
2004-11-01,HN,005,19.67
2004-10-01,HN,005,19.72
2004-09-01,HN,005,19.72
2004-08-01,HN,005,19.68
2004-07-01,HN,005,19.82
2004-06-01,HN,005,19.94
2004-05-01,HN,005,19.98
2004-04-01,HN,005,20.17
2004-03-01,HN,005,20.0
2004-02-01,HN,005,20.12
2004-01-01,HN,005,20.24
2003-12-01,HN,005,20.24
2003-11-01,HN,005,20.05
2003-10-01,HN,005,20.43
2003-09-01,HN,005,20.47
2003-08-01,HN,005,20.55
2003-07-01,HN,005,20.62
2003-06-01,HN,005,20.65
2003-05-01,HN,005,21.02
2003-04-01,HN,005,21.15
2003-03-01,HN,005,21.26
2003-02-01,HN,005,21.4
2003-01-01,HN,005,21.82
2002-12-01,HN,005,22.06
2002-11-01,HN,005,22.09
2002-10-01,HN,005,22.07
2002-09-01,HN,005,22.43
2002-08-01,HN,005,22.63
2002-07-01,HN,005,22.81
2002-06-01,HN,005,22.92
2002-05-01,HN,005,22.89
2002-04-01,HN,005,23.08
2002-03-01,HN,005,23.11
2002-02-01,HN,005,23.08
2002-01-01,HN,005,23.13
2001-12-01,HN,005,23.18
2001-11-01,HN,005,23.42
2001-10-01,HN,005,23.27
2001-09-01,HN,005,23.45
2001-08-01,HN,005,23.47
2001-07-01,HN,005,23.44
2001-06-01,HN,005,23.63
2001-05-01,HN,005,23.98
2001-04-01,HN,005,24.13
2001-03-01,HN,005,24.27
2001-02-01,HN,005,24.31
2001-01-01,HN,005,24.62
2000-12-01,HN,005,24.57
2000-11-01,HN,005,25.25
2000-10-01,HN,005,25.33
2000-09-01,HN,005,25.41
2000-08-01,HN,005,25.64
2000-07-01,HN,005,26.0
2000-06-01,HN,005,26.9
