date,country_code,indicator_code,value
2019-10-01,HR,001,-29.0
2019-07-01,HR,001,26.0
2019-04-01,HR,001,17.0
2019-01-01,HR,001,17.0
2018-10-01,HR,001,-45.0
2018-07-01,HR,001,18.0
2018-04-01,HR,001,55.0
2018-01-01,HR,001,-23.0
2017-10-01,HR,001,-44.0
2017-07-01,HR,001,50.0
2017-04-01,HR,001,88.0
2017-01-01,HR,001,-34.4
2016-10-01,HR,001,-49.6
2016-07-01,HR,001,21.9
2016-04-01,HR,001,62.8
2016-01-01,HR,001,-30.2
2015-10-01,HR,001,-45.6
2015-07-01,HR,001,24.1
2015-04-01,HR,001,45.6
2015-01-01,HR,001,-1.6
2014-10-01,HR,001,-82.8
2014-07-01,HR,001,68.0
2014-04-01,HR,001,57.7
2014-01-01,HR,001,-16.2
2013-10-01,HR,001,-31.9
2013-07-01,HR,001,14.7
2013-04-01,HR,001,71.4
2013-01-01,HR,001,-38.5
2012-10-01,HR,001,-119.8
2012-07-01,HR,001,42.6
2012-04-01,HR,001,48.2
2012-01-01,HR,001,-72.6
2011-10-01,HR,001,-47.9
2011-07-01,HR,001,58.3
2011-04-01,HR,001,-27.7
2011-01-01,HR,001,-58.8
2010-10-01,HR,001,-8.3
2010-07-01,HR,001,26.2
2010-04-01,HR,001,-39.0
2010-01-01,HR,001,511.907
2009-10-01,HR,001,-24.725
2009-07-01,HR,001,-4.688
2009-04-01,HR,001,-2.71
2009-01-01,HR,001,-2.121
2008-10-01,HR,001,-13.239
2008-07-01,HR,001,13.781
2008-04-01,HR,001,31.073
2008-01-01,HR,001,-23.178
2007-10-01,HR,001,-9.233
2007-07-01,HR,001,18.2
2007-04-01,HR,001,-470.267
2007-01-01,HR,001,59.4
2006-10-01,HR,001,82.2
2006-07-01,HR,001,-6.4
2006-04-01,HR,001,29.4
2006-01-01,HR,001,-60.7
2005-10-01,HR,001,60.7
2005-07-01,HR,001,-47.1
2005-04-01,HR,001,488.567
2005-01-01,HR,001,-3.956
2004-10-01,HR,001,-13.873
2004-07-01,HR,001,7.978
2004-04-01,HR,001,10.985
2004-01-01,HR,001,22.213
2003-10-01,HR,001,-12.043
2003-07-01,HR,001,11.207
2003-04-01,HR,001,10.599
2003-01-01,HR,001,-15.977
2002-10-01,HR,001,-11.5
2002-07-01,HR,001,10.733
2002-04-01,HR,001,14.267
2002-01-01,HR,001,-9.433
2001-10-01,HR,001,-11.667
2001-07-01,HR,001,10.0
2001-04-01,HR,001,16.0
2001-01-01,HR,001,-0.667
2000-10-01,HR,001,-4.666
2000-07-01,HR,001,-10.334
2000-04-01,HR,001,7.0
2000-01-01,HR,001,0.0
1999-10-01,HR,001,-11.333
1999-07-01,HR,001,0.333
1999-04-01,HR,001,2.667
1999-01-01,HR,001,-2.667
1998-10-01,HR,001,-17.333
1998-07-01,HR,001,1.333
1998-04-01,HR,001,10.334
1998-01-01,HR,001,82.933
1997-10-01,HR,001,-13.467
1997-07-01,HR,001,-4.133
1997-04-01,HR,001,4.0
1997-01-01,HR,001,1.567
1996-10-01,HR,001,-17.234
1996-07-01,HR,001,-8.0
1996-04-01,HR,001,4.0
1996-01-01,HR,001,10.667
1995-10-01,HR,001,-20.333
1995-07-01,HR,001,-3.0
1995-04-01,HR,001,-12.0
1995-01-01,HR,001,-4.667
1994-10-01,HR,001,-16.667
1994-07-01,HR,001,5.667
1994-04-01,HR,001,-16.667
2020-02-01,HR,002,56.91
2020-01-01,HR,002,49.91
2019-12-01,HR,002,51.03
2019-11-01,HR,002,53.15
2019-10-01,HR,002,48.52
2019-09-01,HR,002,52.11
2019-08-01,HR,002,49.95
2019-07-01,HR,002,47.93
2019-06-01,HR,002,54.87
2019-05-01,HR,002,48.45
2019-04-01,HR,002,50.27
2019-03-01,HR,002,52.5
2019-02-01,HR,002,54.38
2019-01-01,HR,002,47.77
2018-12-01,HR,002,50.6
2018-11-01,HR,002,48.58
2018-10-01,HR,002,46.73
2018-09-01,HR,002,52.14
2018-08-01,HR,002,46.54
2018-07-01,HR,002,48.02
2018-06-01,HR,002,50.67
2018-05-01,HR,002,47.34
2018-04-01,HR,002,50.52
2018-03-01,HR,002,48.51
2018-02-01,HR,002,52.04
2018-01-01,HR,002,46.08
2017-12-01,HR,002,48.11
2017-11-01,HR,002,48.05
2017-10-01,HR,002,46.25
2017-09-01,HR,002,47.58
2017-08-01,HR,002,44.36
2017-07-01,HR,002,47.13
2017-06-01,HR,002,46.21
2017-05-01,HR,002,44.54
2017-04-01,HR,002,49.59
2017-03-01,HR,002,44.58
2017-02-01,HR,002,49.79
