date,country_code,indicator_code,value
2018-01-01,HT,004,107894.0
2017-01-01,HT,004,103969.0
2016-01-01,HT,004,99716.0
2015-01-01,HT,004,84760.0
2014-01-01,HT,004,72520.0
2013-01-01,HT,004,66544.0
2012-01-01,HT,004,55466.0
2011-01-01,HT,004,52848.0
2010-01-01,HT,004,40956.0
2009-01-01,HT,004,42084.0
2008-01-01,HT,004,31878.0
2007-01-01,HT,004,29543.0
2006-01-01,HT,004,28563.0
2005-01-01,HT,004,23592.0
2004-01-01,HT,004,20228.0
2003-01-01,HT,004,19032.0
2002-01-01,HT,004,11403.0
2001-01-01,HT,004,10594.0
2000-01-01,HT,004,9849.0
1999-01-01,HT,004,8483.0
1998-01-01,HT,004,6237.0
1997-01-01,HT,004,5646.0
1996-01-01,HT,004,5284.0
1995-01-01,HT,004,3285.0
1969-01-01,HT,004,242.0
1968-01-01,HT,004,232.0
1967-01-01,HT,004,201.0
1966-01-01,HT,004,207.0
1965-01-01,HT,004,224.0
1964-01-01,HT,004,224.0
1963-01-01,HT,004,262.0
1962-01-01,HT,004,269.0
1961-01-01,HT,004,226.0
1960-01-01,HT,004,270.0
1959-01-01,HT,004,199.0
1958-01-01,HT,004,265.0
1957-01-01,HT,004,220.0
1956-01-01,HT,004,300.0
1955-01-01,HT,004,228.0
2019-08-01,HT,005,14.42
2019-07-01,HT,005,17.07
2019-06-01,HT,005,10.8
2019-05-01,HT,005,13.62
2019-04-01,HT,005,12.83
2019-03-01,HT,005,13.56
2019-02-01,HT,005,12.03
2019-01-01,HT,005,14.16
2018-12-01,HT,005,16.78
2018-11-01,HT,005,12.44
2018-10-01,HT,005,12.65
2018-09-01,HT,005,13.33
2018-08-01,HT,005,12.89
2018-07-01,HT,005,12.56
2018-06-01,HT,005,13.01
2018-05-01,HT,005,13.97
2018-04-01,HT,005,13.95
2018-03-01,HT,005,10.04
2018-02-01,HT,005,12.89
2018-01-01,HT,005,12.72
2017-12-01,HT,005,11.08
2017-11-01,HT,005,11.77
2017-10-01,HT,005,15.09
2017-09-01,HT,005,15.42
2017-08-01,HT,005,11.04
2017-07-01,HT,005,14.11
2017-06-01,HT,005,13.83
2017-05-01,HT,005,13.97
2017-04-01,HT,005,15.24
2017-03-01,HT,005,9.07
2017-02-01,HT,005,12.74
2017-01-01,HT,005,9.63
2016-12-01,HT,005,10.83
2016-11-01,HT,005,17.63
2016-10-01,HT,005,13.73
2016-09-01,HT,005,10.32
2016-08-01,HT,005,9.04
2016-07-01,HT,005,12.29
2016-06-01,HT,005,14.58
2016-05-01,HT,005,14.4
2016-04-01,HT,005,17.82
2016-03-01,HT,005,12.61
2016-02-01,HT,005,13.57
2016-01-01,HT,005,11.97
2015-12-01,HT,005,15.37
2015-11-01,HT,005,14.07
2015-10-01,HT,005,15.25
