date,country_code,indicator_code,value
2019-10-01,HU,001,-1.41
2019-07-01,HU,001,10.13
2019-04-01,HU,001,13.81
2019-01-01,HU,001,15.73
2018-10-01,HU,001,-5.48
2018-07-01,HU,001,12.2
2018-04-01,HU,001,39.44
2018-01-01,HU,001,-12.23
2017-10-01,HU,001,-3.26
2017-07-01,HU,001,31.09
2017-04-01,HU,001,51.63
2017-01-01,HU,001,-43.07
2016-10-01,HU,001,20.33
2016-07-01,HU,001,47.95
2016-04-01,HU,001,80.55
2016-01-01,HU,001,2.83
2015-10-01,HU,001,12.8
2015-07-01,HU,001,77.69
2015-04-01,HU,001,46.04
2015-01-01,HU,001,-26.34
2014-10-01,HU,001,32.1
2014-07-01,HU,001,48.3
2014-04-01,HU,001,56.1
2014-01-01,HU,001,51.42
2013-10-01,HU,001,32.86
2013-07-01,HU,001,70.12
2013-04-01,HU,001,72.13
2013-01-01,HU,001,-93.32
2012-10-01,HU,001,11.39
2012-07-01,HU,001,78.7
2012-04-01,HU,001,46.26
2012-01-01,HU,001,-60.29
2011-10-01,HU,001,15.4
2011-07-01,HU,001,52.26
2011-04-01,HU,001,36.82
2011-01-01,HU,001,-67.64
2010-10-01,HU,001,9.45
2010-07-01,HU,001,46.58
2010-04-01,HU,001,20.08
2010-01-01,HU,001,-60.83
2009-10-01,HU,001,-9.98
2009-07-01,HU,001,11.14
2009-04-01,HU,001,-13.95
2009-01-01,HU,001,-102.56
2008-10-01,HU,001,-13.84
2008-07-01,HU,001,49.16
2008-04-01,HU,001,1.63
2008-01-01,HU,001,-64.04
2007-10-01,HU,001,-27.18
2007-07-01,HU,001,20.43
2007-04-01,HU,001,-6.86
2007-01-01,HU,001,-40.52
2006-10-01,HU,001,8.84
2006-07-01,HU,001,11.01
2006-04-01,HU,001,36.51
2006-01-01,HU,001,-34.69
2005-10-01,HU,001,8.26
2005-07-01,HU,001,33.8
2005-04-01,HU,001,5.02
2005-01-01,HU,001,-33.78
2004-10-01,HU,001,9.34
2004-07-01,HU,001,11.84
2004-04-01,HU,001,-11.78
2004-01-01,HU,001,-62.44
2003-10-01,HU,001,24.92
2003-07-01,HU,001,39.21
2003-04-01,HU,001,33.31
2003-01-01,HU,001,-23.98
2002-10-01,HU,001,15.04
2002-07-01,HU,001,18.69
2002-04-01,HU,001,16.48
2002-01-01,HU,001,-38.41
2001-10-01,HU,001,0.14
2001-07-01,HU,001,25.18
2001-04-01,HU,001,-17.8
2001-01-01,HU,001,-29.68
2000-10-01,HU,001,40.49
2000-07-01,HU,001,37.69
2000-04-01,HU,001,17.73
2000-01-01,HU,001,-16.71
1999-10-01,HU,001,10.7
1999-07-01,HU,001,28.1
1999-04-01,HU,001,40.2
1999-01-01,HU,001,-25.4
1998-10-01,HU,001,53.7
1998-07-01,HU,001,75.8
1998-04-01,HU,001,-0.6
1998-01-01,HU,001,-69.8
1997-10-01,HU,001,56.2
1997-07-01,HU,001,75.2
1997-04-01,HU,001,-24.5
1997-01-01,HU,001,-108.2
1996-10-01,HU,001,53.7
1996-07-01,HU,001,73.7
1996-04-01,HU,001,-8.8
