date,country_code,indicator_code,value
2019-03-01,ID,001,126510.0
2018-09-01,ID,001,129366.192
2018-03-01,ID,001,124004.95
2017-09-01,ID,001,127067.835
2017-03-01,ID,001,121022.423
2016-09-01,ID,001,124538.849
2016-03-01,ID,001,118411.973
2015-09-01,ID,001,120647.697
2015-03-01,ID,001,114819.199
2014-09-01,ID,001,120846.821
2014-03-01,ID,001,114628.026
2013-09-01,ID,001,118169.922
2013-03-01,ID,001,112761.072
2012-09-01,ID,001,115929.612
2012-03-01,ID,001,112504.868
2011-09-01,ID,001,114061.982
2011-03-01,ID,001,107416.309
2010-09-01,ID,001,112045.879
2010-03-01,ID,001,108207.767
2009-09-01,ID,001,107405.572
2009-03-01,ID,001,104870.663
2008-09-01,ID,001,104485.444
2008-03-01,ID,001,102552.75
2007-09-01,ID,001,102049.857
2007-03-01,ID,001,99930.217
2006-09-01,ID,001,97583.141
2006-03-01,ID,001,95456.935
2005-09-01,ID,001,95177.102
2005-03-01,ID,001,93958.387
2004-09-01,ID,001,94948.118
2004-03-01,ID,001,93722.036
2003-03-01,ID,001,92810.791
2002-03-01,ID,001,91647.166
2001-03-01,ID,001,90807.417
2000-03-01,ID,001,89837.73
1999-03-01,ID,001,88816.859
1998-03-01,ID,001,87672.449
1997-03-01,ID,001,85405.529
2019-03-01,ID,002,2829129.92013
2018-09-01,ID,002,2791517.29632
2018-03-01,ID,002,2829129.92013
2017-09-01,ID,002,2654070.0
2017-03-01,ID,002,2742621.0786
2016-09-01,ID,002,2702590.22285
2016-03-01,ID,002,2552962.0966
2015-09-01,ID,002,2180576.5402
2015-03-01,ID,002,2069305.62458
2014-09-01,ID,002,1981724.55129
2014-03-01,ID,002,1952588.83715
2013-09-01,ID,002,1885814.63624
2013-03-01,ID,002,1917151.58379
2012-09-01,ID,002,1667297.47162
2012-03-01,ID,002,1635965.4282
2011-09-01,ID,002,1582015.39482
2011-03-01,ID,002,1536959.77627
2010-09-01,ID,002,1501074.40101
2010-03-01,ID,002,1410981.51745
2009-09-01,ID,002,1337753.11131
2009-03-01,ID,002,1322380.20319
2008-09-01,ID,002,1296135.71832
2008-03-01,ID,002,1158085.48479
2007-09-01,ID,002,1126790.14898
2007-03-01,ID,002,1077312.42603
2006-09-01,ID,002,1049221.88246
2006-03-01,ID,002,996999.737916
2005-09-01,ID,002,906099.65512
2005-03-01,ID,002,853149.887759
2004-09-01,ID,002,841922.276141
2004-03-01,ID,002,841916.366231
2003-03-01,ID,002,787830.022417
2002-03-01,ID,002,692855.783314
2001-03-01,ID,002,591032.466971
2000-03-01,ID,002,430196.729541
1999-03-01,ID,002,346949.743435
1998-03-01,ID,002,290195.483667
1997-03-01,ID,002,240519.581319
1996-03-01,ID,002,207075.097932
1994-03-01,ID,002,157818.374721
1993-03-01,ID,002,146134.002711
1992-03-01,ID,002,118600.018127
1991-03-01,ID,002,107139.440876
