date,country_code,indicator_code,value
2018-10-01,IE,001,2.25
2018-07-01,IE,001,3.01
2018-04-01,IE,001,3.38
2018-01-01,IE,001,2.87
2017-10-01,IE,001,3.09
2017-07-01,IE,001,2.23
2017-04-01,IE,001,2.51
2017-01-01,IE,001,3.69
2016-10-01,IE,001,3.8
2016-07-01,IE,001,3.77
2016-04-01,IE,001,3.79
2016-01-01,IE,001,3.35
2015-10-01,IE,001,2.96
2015-07-01,IE,001,3.55
2015-04-01,IE,001,4.06
2015-01-01,IE,001,3.27
2014-10-01,IE,001,2.75
2014-07-01,IE,001,2.42
2014-04-01,IE,001,2.28
2014-01-01,IE,001,3.09
2013-10-01,IE,001,4.1
2013-07-01,IE,001,3.94
2013-04-01,IE,001,2.58
2013-01-01,IE,001,1.55
2012-10-01,IE,001,0.26
2012-07-01,IE,001,0.1
2012-04-01,IE,001,-1.17
2012-01-01,IE,001,-0.91
2011-10-01,IE,001,-0.5
2011-07-01,IE,001,-2.35
2011-04-01,IE,001,-1.96
2011-01-01,IE,001,-2.87
2010-10-01,IE,001,-1.23
2010-07-01,IE,001,-1.18
2010-04-01,IE,001,-1.82
2010-01-01,IE,001,-3.03
2009-10-01,IE,001,-7.78
2009-07-01,IE,001,-8.56
2009-04-01,IE,001,-8.07
2009-01-01,IE,001,-6.99
2008-10-01,IE,001,-3.36
2008-07-01,IE,001,-1.53
2008-04-01,IE,001,0.52
2008-01-01,IE,001,1.7
2007-10-01,IE,001,4.05
2007-07-01,IE,001,4.46
2007-04-01,IE,001,5.68
2007-01-01,IE,001,5.28
2006-10-01,IE,001,4.62
2006-07-01,IE,001,4.38
2006-04-01,IE,001,4.77
2006-01-01,IE,001,5.05
2005-10-01,IE,001,4.57
2005-07-01,IE,001,5.08
2005-04-01,IE,001,5.06
2005-01-01,IE,001,3.95
2004-10-01,IE,001,3.56
2004-07-01,IE,001,3.11
2004-04-01,IE,001,2.39
2004-01-01,IE,001,2.93
2003-10-01,IE,001,2.61
2003-07-01,IE,001,1.55
2003-04-01,IE,001,1.68
2003-01-01,IE,001,1.72
2002-10-01,IE,001,1.27
2002-07-01,IE,001,1.09
2002-04-01,IE,001,2.43
2002-01-01,IE,001,2.49
2001-10-01,IE,001,2.76
2001-07-01,IE,001,3.04
2001-04-01,IE,001,3.02
2001-01-01,IE,001,3.78
2000-10-01,IE,001,3.86
2000-07-01,IE,001,4.05
2000-04-01,IE,001,4.93
2000-01-01,IE,001,5.76
1999-10-01,IE,001,6.39
1999-07-01,IE,001,6.77
1999-04-01,IE,001,6.47
1999-01-01,IE,001,5.22
1998-10-01,IE,001,5.8
1998-04-01,IE,001,8.96
1997-04-01,IE,001,4.99
1996-04-01,IE,001,3.63
1995-04-01,IE,001,4.56
1994-04-01,IE,001,4.51
1993-04-01,IE,001,0.53
2019-10-01,IE,002,109.8
2019-07-01,IE,002,107.4
2019-04-01,IE,002,107.4
2019-01-01,IE,002,106.9
2018-10-01,IE,002,105.8
2018-07-01,IE,002,105.7
2018-04-01,IE,002,105.2
2018-01-01,IE,002,104.8
2017-10-01,IE,002,103.8
2017-07-01,IE,002,103.8
2017-04-01,IE,002,101.8
2017-01-01,IE,002,102.0
2016-10-01,IE,002,101.3
2016-07-01,IE,002,100.5
2016-04-01,IE,002,101.6
2016-01-01,IE,002,101.1
2015-10-01,IE,002,100.0
2015-07-01,IE,002,100.2
2015-04-01,IE,002,100.1
2015-01-01,IE,002,99.8
2014-10-01,IE,002,101.3
2014-07-01,IE,002,101.0
2014-04-01,IE,002,100.4
2014-01-01,IE,002,100.7
2013-10-01,IE,002,98.9
2013-07-01,IE,002,99.3
2013-04-01,IE,002,98.2
2013-01-01,IE,002,96.9
2012-10-01,IE,002,97.7
2012-07-01,IE,002,99.3
2012-04-01,IE,002,98.4
2012-01-01,IE,002,98.3
2011-10-01,IE,002,97.4
2011-07-01,IE,002,95.7
2011-04-01,IE,002,97.1
2011-01-01,IE,002,97.2
2010-10-01,IE,002,96.9
2010-07-01,IE,002,97.7
2010-04-01,IE,002,98.4
2010-01-01,IE,002,97.5
2009-10-01,IE,002,98.2
2009-07-01,IE,002,96.7
2009-04-01,IE,002,96.5
2009-01-01,IE,002,96.9
2008-10-01,IE,002,94.9
2008-07-01,IE,002,92.2
2008-04-01,IE,002,91.9
2008-01-01,IE,002,92.1
2007-10-01,IE,002,91.4
2007-07-01,IE,002,89.7
2007-04-01,IE,002,88.4
2007-01-01,IE,002,84.4
2006-10-01,IE,002,87.8
2006-07-01,IE,002,87.2
2006-04-01,IE,002,82.8
2006-01-01,IE,002,79.7
2005-10-01,IE,002,83.8
2005-07-01,IE,002,81.8
2005-04-01,IE,002,81.2
2005-01-01,IE,002,80.3
2004-10-01,IE,002,79.2
2004-07-01,IE,002,79.5
2004-04-01,IE,002,78.4
2004-01-01,IE,002,76.4
2003-10-01,IE,002,75.6
2003-07-01,IE,002,75.1
2003-04-01,IE,002,75.0
2003-01-01,IE,002,73.9
2002-10-01,IE,002,73.1
2002-07-01,IE,002,72.5
2002-04-01,IE,002,70.1
2002-01-01,IE,002,69.7
2001-10-01,IE,002,69.3
2001-07-01,IE,002,68.0
2001-04-01,IE,002,67.2
2001-01-01,IE,002,64.9
2000-10-01,IE,002,63.5
2000-07-01,IE,002,62.6
2000-04-01,IE,002,61.6
2000-01-01,IE,002,60.2
1999-10-01,IE,002,60.1
1999-07-01,IE,002,59.0
1999-04-01,IE,002,58.2
1999-01-01,IE,002,57.6
1998-10-01,IE,002,56.5
1998-07-01,IE,002,55.9
1998-04-01,IE,002,55.6
1998-01-01,IE,002,54.8
1997-10-01,IE,002,53.9
