date,country_code,indicator_code,value
2020-03-01,IL,001,3980.64490053
2020-02-01,IL,001,4004.48306029
2020-01-01,IL,001,3988.71065499
2019-12-01,IL,001,3986.01651263
2019-11-01,IL,001,3977.67905479
2019-10-01,IL,001,3925.18297348
2019-09-01,IL,001,3992.26815034
2019-08-01,IL,001,3964.18735458
2019-07-01,IL,001,3953.81621837
2019-06-01,IL,001,3963.26741776
2019-05-01,IL,001,3972.67064961
2019-04-01,IL,001,3966.78587022
2019-03-01,IL,001,3976.15882976
2019-02-01,IL,001,3971.22075904
2019-01-01,IL,001,3953.74746834
2018-12-01,IL,001,3960.92419232
2018-11-01,IL,001,3913.34086595
2018-10-01,IL,001,3895.340391
2018-09-01,IL,001,3908.97454363
2018-08-01,IL,001,3928.03396505
2018-07-01,IL,001,3914.69286551
2018-06-01,IL,001,3914.36494786
2018-05-01,IL,001,3912.77393245
2018-04-01,IL,001,3879.87014736
2018-03-01,IL,001,3876.81089557
2018-02-01,IL,001,3893.68020315
2018-01-01,IL,001,3862.53122252
2017-12-01,IL,001,3874.4098854
2017-11-01,IL,001,3843.38360353
2017-10-01,IL,001,3821.8863375
2017-09-01,IL,001,3840.99433871
2017-08-01,IL,001,3831.20018333
2017-07-01,IL,001,3858.02119451
2017-06-01,IL,001,3832.04720591
2017-05-01,IL,001,3827.90416737
2017-04-01,IL,001,3799.70421916
2017-03-01,IL,001,3797.53442495
2017-02-01,IL,001,3785.2661302
2017-01-01,IL,001,3785.26672024
2016-12-01,IL,001,3785.20905227
2016-11-01,IL,001,3772.1960076
2016-10-01,IL,001,3740.28379629
2016-09-01,IL,001,3747.51682942
2016-08-01,IL,001,3753.80346524
2016-07-01,IL,001,3778.8195008
2016-06-01,IL,001,3746.31695877
2016-05-01,IL,001,3736.94980832
2016-04-01,IL,001,3727.80472721
2016-03-01,IL,001,3702.04624938
2016-02-01,IL,001,3671.36179475
2016-01-01,IL,001,3679.86790231
2015-12-01,IL,001,3703.64807661
2015-11-01,IL,001,3683.48669609
2015-10-01,IL,001,3635.202973
2015-09-01,IL,001,3660.27116968
2015-08-01,IL,001,3681.71268175
2015-07-01,IL,001,3654.30466534
2015-06-01,IL,001,3643.27941577
2015-05-01,IL,001,3642.27092808
2015-04-01,IL,001,3636.19063234
2015-03-01,IL,001,3599.6767182
2015-02-01,IL,001,3595.29937384
2015-01-01,IL,001,3590.18105919
2014-12-01,IL,001,3611.49332202
2014-11-01,IL,001,3579.98116759
2014-10-01,IL,001,3555.32205747
2014-09-01,IL,001,3563.06496552
2014-08-01,IL,001,3555.18746909
2014-07-01,IL,001,3563.75830058
2014-06-01,IL,001,3573.26795049
2014-05-01,IL,001,3552.83110018
2014-04-01,IL,001,3532.63989448
2014-03-01,IL,001,3540.28368036
2014-02-01,IL,001,3528.72260672
2014-01-01,IL,001,3512.59732413
2013-12-01,IL,001,3500.45008215
2013-11-01,IL,001,3465.21125015
2013-10-01,IL,001,3465.57511444
2013-09-01,IL,001,3464.902693
2013-08-01,IL,001,3478.47739191
2013-07-01,IL,001,3468.49872446
2013-06-01,IL,001,3444.64383892
2013-05-01,IL,001,3430.1027069
2013-04-01,IL,001,3425.86833642
2013-03-01,IL,001,3427.25203632
2013-02-01,IL,001,3421.04519817
2013-01-01,IL,001,3402.09146426
2012-12-01,IL,001,3403.36836715
2012-11-01,IL,001,3374.06656133
2012-10-01,IL,001,3370.64520193
2012-09-01,IL,001,3384.50288629
2012-08-01,IL,001,3395.56354711
2012-07-01,IL,001,3401.42147837
2012-06-01,IL,001,3366.66812596
2012-05-01,IL,001,3351.97367098
2012-04-01,IL,001,3338.03709172
2012-03-01,IL,001,3333.21751235
2012-02-01,IL,001,3302.50389009
2012-01-01,IL,001,3285.70378635
2019-07-01,IL,002,125.9
2019-06-01,IL,002,127.15
2019-05-01,IL,002,118.57
2019-04-01,IL,002,122.34
2019-03-01,IL,002,127.05
2019-02-01,IL,002,122.44
2019-01-01,IL,002,121.29
2018-12-01,IL,002,124.43
2018-11-01,IL,002,118.67
2018-10-01,IL,002,117.73
2018-09-01,IL,002,119.09
2018-08-01,IL,002,121.39
2018-07-01,IL,002,123.59
2018-06-01,IL,002,124.75
2018-05-01,IL,002,116.37
2018-04-01,IL,002,119.82
2018-03-01,IL,002,126.0
2018-02-01,IL,002,119.19
2018-01-01,IL,002,118.88
2017-12-01,IL,002,120.35
2017-11-01,IL,002,114.9
2017-10-01,IL,002,113.75
2017-09-01,IL,002,117.62
2017-08-01,IL,002,118.67
2017-07-01,IL,002,119.55
2017-06-01,IL,002,122.47
2017-05-01,IL,002,114.08
2017-04-01,IL,002,116.86
2017-03-01,IL,002,121.12
2017-02-01,IL,002,116.19
2017-01-01,IL,002,115.33
2016-12-01,IL,002,122.76
2016-11-01,IL,002,116.68
2016-10-01,IL,002,123.38
2016-09-01,IL,002,120.87
2016-08-01,IL,002,118.04
2016-07-01,IL,002,121.29
2016-06-01,IL,002,121.71
2016-05-01,IL,002,122.02
2016-04-01,IL,002,121.5
2016-03-01,IL,002,120.56
2016-02-01,IL,002,115.74
2016-01-01,IL,002,116.37
2015-12-01,IL,002,116.37
2015-11-01,IL,002,114.59
2015-10-01,IL,002,117.94
2015-09-01,IL,002,118.25
2015-08-01,IL,002,113.96
2015-07-01,IL,002,118.15
2015-06-01,IL,002,115.95
2015-05-01,IL,002,117.1
2015-04-01,IL,002,116.89
2015-03-01,IL,002,117.73
2015-02-01,IL,002,112.39
2015-01-01,IL,002,114.38
2014-12-01,IL,002,111.76
2014-11-01,IL,002,104.95
2014-10-01,IL,002,104.84
2014-09-01,IL,002,108.82
2014-08-01,IL,002,107.57
2014-07-01,IL,002,110.08
2014-06-01,IL,002,112.49
2014-05-01,IL,002,104.32
2014-04-01,IL,002,106.94
2014-03-01,IL,002,110.92
2014-02-01,IL,002,105.16
2014-01-01,IL,002,107.15
2013-12-01,IL,002,109.98
2013-11-01,IL,002,102.75
2013-10-01,IL,002,103.06
2013-09-01,IL,002,105.47
2013-08-01,IL,002,106.42
2013-07-01,IL,002,108.62
2013-06-01,IL,002,111.02
2013-05-01,IL,002,103.9
2013-04-01,IL,002,106.42
2013-03-01,IL,002,109.35
2013-02-01,IL,002,105.16
2013-01-01,IL,002,106.73
2012-12-01,IL,002,110.71
2012-11-01,IL,002,103.06
2012-10-01,IL,002,102.12
2012-09-01,IL,002,103.59
2012-08-01,IL,002,104.64
2012-07-01,IL,002,107.67
2012-06-01,IL,002,109.87
2012-05-01,IL,002,103.59
2012-04-01,IL,002,103.59
2012-03-01,IL,002,107.15
2012-02-01,IL,002,103.48
2012-01-01,IL,002,104.95
2011-12-01,IL,002,106.73
2011-11-01,IL,002,102.12
2011-10-01,IL,002,106.31
2011-09-01,IL,002,106.94
2011-08-01,IL,002,102.54
2011-07-01,IL,002,105.16
2011-06-01,IL,002,105.79
2011-05-01,IL,002,105.89
2011-04-01,IL,002,106.63
2011-03-01,IL,002,106.42
2011-02-01,IL,002,100.97
2011-01-01,IL,002,101.28
2010-12-01,IL,002,102.16
2010-11-01,IL,002,99.21
2010-10-01,IL,002,100.25
2010-09-01,IL,002,100.17
2010-08-01,IL,002,98.25
2010-07-01,IL,002,101.12
2010-06-01,IL,002,101.04
2010-05-01,IL,002,101.12
2010-04-01,IL,002,103.28
2010-03-01,IL,002,101.92
2010-02-01,IL,002,95.22
2010-01-01,IL,002,96.26
2009-12-01,IL,002,97.37
2009-11-01,IL,002,94.74
2009-10-01,IL,002,96.34
2009-09-01,IL,002,97.69
2009-08-01,IL,002,94.9
2009-07-01,IL,002,97.45
2009-06-01,IL,002,96.26
2009-05-01,IL,002,97.77
2009-04-01,IL,002,98.09
2009-03-01,IL,002,97.77
2009-02-01,IL,002,93.3
2009-01-01,IL,002,93.78
2008-12-01,IL,002,94.74
2008-11-01,IL,002,89.55
2008-10-01,IL,002,93.86
2008-09-01,IL,002,92.9
2008-08-01,IL,002,92.42
2008-07-01,IL,002,94.26
2008-06-01,IL,002,93.46
