date,country_code,indicator_code,value
2019-01-01,IM,043,0.0
2018-01-01,IM,043,0.0
2017-01-01,IM,043,0.0
2016-01-01,IM,043,0.0
2015-01-01,IM,043,0.0
2014-01-01,IM,043,0.0
2013-01-01,IM,043,0.0
2012-01-01,IM,043,0.0
2011-01-01,IM,043,0.0
2010-01-01,IM,043,0.0
2009-01-01,IM,043,0.0
2008-01-01,IM,043,0.0
2007-01-01,IM,043,0.0
2006-01-01,IM,043,0.0
2005-01-01,IM,043,0.0
2004-01-01,IM,043,0.0
2003-01-01,IM,043,0.0
2017-01-01,IM,081,5261.0
2016-01-01,IM,081,4883.0
2015-01-01,IM,081,4446.0
2014-01-01,IM,081,4514.0
2013-01-01,IM,081,4321.0
2012-01-01,IM,081,4072.0
2011-01-01,IM,081,4098.0
2010-01-01,IM,081,3832.0
2009-01-01,IM,081,3522.0
2008-01-01,IM,081,3225.0
2007-01-01,IM,081,2232.0
2006-01-01,IM,081,1860.0
2005-01-01,IM,081,1668.0
2004-01-01,IM,081,1531.0
2003-01-01,IM,081,1380.0
2002-01-01,IM,081,1262.0
2001-01-01,IM,081,1159.0
2000-01-01,IM,081,1058.0
1999-01-01,IM,081,973.0
1998-01-01,IM,081,836.0
1997-01-01,IM,081,720.0
1996-01-01,IM,081,646.0
1995-01-01,IM,081,584.0
1994-01-01,IM,081,544.0
1993-01-01,IM,081,511.0
1992-01-01,IM,081,487.0
1991-01-01,IM,081,466.0
1990-01-01,IM,081,429.0
1989-01-01,IM,081,377.0
1988-01-01,IM,081,329.0
1987-01-01,IM,081,281.0
1986-01-01,IM,081,243.0
1985-01-01,IM,081,200.0
1984-01-01,IM,081,189.0
2017-01-01,IM,082,3.6
2016-01-01,IM,082,7.4
2015-01-01,IM,082,-0.9
2014-01-01,IM,082,5.0
2013-01-01,IM,082,4.5
2012-01-01,IM,082,3.2
2011-01-01,IM,082,2.0
2010-01-01,IM,082,3.4
2009-01-01,IM,082,2.1
2008-01-01,IM,082,4.7
2007-01-01,IM,082,7.5
2006-01-01,IM,082,7.7
2005-01-01,IM,082,5.9
2004-01-01,IM,082,5.2
2003-01-01,IM,082,6.3
2002-01-01,IM,082,5.9
2001-01-01,IM,082,5.4
2000-01-01,IM,082,5.3
1999-01-01,IM,082,13.7
1998-01-01,IM,082,13.5
1997-01-01,IM,082,8.6
1996-01-01,IM,082,7.7
1995-01-01,IM,082,4.3
1994-01-01,IM,082,4.0
1993-01-01,IM,082,2.6
1992-01-01,IM,082,0.8
1991-01-01,IM,082,1.6
1990-01-01,IM,082,4.2
1989-01-01,IM,082,6.8
1988-01-01,IM,082,11.8
1987-01-01,IM,082,9.9
1986-01-01,IM,082,19.1
1985-01-01,IM,082,0.4
2017-01-01,IM,083,3.6
2016-01-01,IM,083,7.4
2015-01-01,IM,083,-0.9
2014-01-01,IM,083,5.0
2013-01-01,IM,083,4.5
2012-01-01,IM,083,3.2
2011-01-01,IM,083,2.0
2010-01-01,IM,083,3.4
2009-01-01,IM,083,2.1
2008-01-01,IM,083,4.7
2007-01-01,IM,083,7.5
2006-01-01,IM,083,7.7
2005-01-01,IM,083,5.9
2004-01-01,IM,083,5.2
2003-01-01,IM,083,6.3
2002-01-01,IM,083,5.9
2001-01-01,IM,083,5.4
2000-01-01,IM,083,5.3
1999-01-01,IM,083,13.7
1998-01-01,IM,083,13.5
1997-01-01,IM,083,8.6
1996-01-01,IM,083,7.7
1995-01-01,IM,083,4.3
1994-01-01,IM,083,4.0
1993-01-01,IM,083,2.6
1992-01-01,IM,083,0.8
1991-01-01,IM,083,1.6
1990-01-01,IM,083,4.2
1989-01-01,IM,083,6.8
1988-01-01,IM,083,11.8
1987-01-01,IM,083,9.9
1986-01-01,IM,083,19.1
1985-01-01,IM,083,0.4
2017-01-01,IM,084,5058.0
2016-01-01,IM,084,4883.0
2015-01-01,IM,084,4546.0
2014-01-01,IM,084,4587.0
2013-01-01,IM,084,4369.0
2012-01-01,IM,084,4181.0
2011-01-01,IM,084,4051.0
2010-01-01,IM,084,3972.0
2009-01-01,IM,084,3841.0
2008-01-01,IM,084,3762.0
2007-01-01,IM,084,3593.0
2006-01-01,IM,084,3344.0
