date,country_code,indicator_code,value
2015-10-01,IN,001,-20.0
2015-07-01,IN,001,134.0
2015-04-01,IN,001,-43.0
2015-01-01,IN,001,64.0
2014-10-01,IN,001,117.0
2014-07-01,IN,001,158.0
2014-04-01,IN,001,182.0
2014-01-01,IN,001,-36.0
2013-10-01,IN,001,83.0
2013-07-01,IN,001,143.0
2013-04-01,IN,001,86.0
2013-01-01,IN,001,107.0
2012-10-01,IN,001,168.0
2012-04-01,IN,001,73.0
2012-01-01,IN,001,81.0
2011-10-01,IN,001,226.0
2011-07-01,IN,001,315.0
2011-04-01,IN,001,215.0
2011-01-01,IN,001,174.0
2010-10-01,IN,001,207.0
2010-07-01,IN,001,435.0
2010-04-01,IN,001,162.0
2010-01-01,IN,001,61.0
2009-10-01,IN,001,638.0
2009-07-01,IN,001,497.0
2009-04-01,IN,001,-131.0
2009-01-01,IN,001,276.0
2008-10-01,IN,001,-491.0
2018-01-01,IN,004,-7417036.0
2017-01-01,IN,004,-5479728.0
2016-01-01,IN,004,-2718193.0
2015-01-01,IN,004,-3162760.0
2014-01-01,IN,004,-3723256.0
2013-01-01,IN,004,-3350296.0
2012-01-01,IN,004,-6687210.0
2011-01-01,IN,004,-5716230.0
2010-01-01,IN,004,-3399890.0
2009-01-01,IN,004,-3483590.0
2008-01-01,IN,004,-2852750.0
2007-01-01,IN,004,-2002019.0
2006-01-01,IN,004,-1356630.0
2005-01-01,IN,004,-1013790.0
2004-01-01,IN,004,-568940.0
2003-01-01,IN,004,-194530.0
2002-01-01,IN,004,-244250.0
2001-01-01,IN,004,-202930.0
2000-01-01,IN,004,-193970.0
1999-01-01,IN,004,-380050.0
1998-01-01,IN,004,-294650.0
1997-01-01,IN,004,-191300.0
1996-01-01,IN,004,-161680.0
1995-01-01,IN,004,-142200.0
1994-01-01,IN,004,-31030.0
1993-01-01,IN,004,1480.0
1992-01-01,IN,004,-56880.0
1991-01-01,IN,004,50.0
1990-01-01,IN,004,-80630.0
1989-01-01,IN,004,-56030.0
1988-01-01,IN,004,-60970.0
1987-01-01,IN,004,-49780.0
1986-01-01,IN,004,-58160.0
1985-01-01,IN,004,-68030.0
1984-01-01,IN,004,-36380.0
1983-01-01,IN,004,-45360.0
1982-01-01,IN,004,-41730.0
1981-01-01,IN,004,-45530.0
1980-01-01,IN,004,-45670.0
1979-01-01,IN,004,-17540.0
1978-01-01,IN,004,-3080.0
1977-01-01,IN,004,1230.0
1976-01-01,IN,004,5250.0
1975-01-01,IN,004,-8520.0
1974-01-01,IN,004,-9440.0
1973-01-01,IN,004,-3460.0
1972-01-01,IN,004,1760.0
1971-01-01,IN,004,-1680.0
