date,country_code,indicator_code,value
2017-01-01,IQ,004,87853805.0
2016-01-01,IQ,004,66107794.0
2015-01-01,IQ,004,73183292.0
2014-01-01,IQ,004,113130606.0
2013-01-01,IQ,004,108514516.0
2012-01-01,IQ,004,113120046.0
2011-01-01,IQ,004,96466849.0
2010-01-01,IQ,004,63465670.0
2009-01-01,IQ,004,47533201.0
2008-01-01,IQ,004,75818975.0
2007-01-01,IQ,004,48540719.0
2006-01-01,IQ,004,44355838.0
2005-01-01,IQ,004,34458437.0
2004-01-01,IQ,004,25019478.0
1991-01-01,IQ,004,548.0
1990-01-01,IQ,004,4305.0
1989-01-01,IQ,004,4483.0
1988-01-01,IQ,004,3826.0
1986-01-01,IQ,004,2418.0
1985-01-01,IQ,004,3775.0
1984-01-01,IQ,004,3734.0
1983-01-01,IQ,004,3108.0
1982-01-01,IQ,004,3351.0
1981-01-01,IQ,004,3588.0
1980-01-01,IQ,004,10012.0
1979-01-01,IQ,004,6974.0
1978-01-01,IQ,004,3977.0
1977-01-01,IQ,004,3292.0
1976-01-01,IQ,004,3008.0
1975-01-01,IQ,004,2080.0
1974-01-01,IQ,004,2076.0
1973-01-01,IQ,004,721.0
1972-01-01,IQ,004,506.0
1971-01-01,IQ,004,597.0
1970-01-01,IQ,004,438.0
1969-01-01,IQ,004,412.0
1968-01-01,IQ,004,403.0
1967-01-01,IQ,004,326.0
1966-01-01,IQ,004,366.0
1965-01-01,IQ,004,344.0
1964-01-01,IQ,004,325.0
1963-01-01,IQ,004,293.0
1962-01-01,IQ,004,261.0
1961-01-01,IQ,004,251.0
1960-01-01,IQ,004,254.0
1959-01-01,IQ,004,232.0
1958-01-01,IQ,004,226.0
1957-01-01,IQ,004,152.0
1956-01-01,IQ,004,189.0
1955-01-01,IQ,004,204.0
1954-01-01,IQ,004,190.0
1953-01-01,IQ,004,156.0
2016-01-01,IQ,005,12.4
2015-01-01,IQ,005,12.3
2014-01-01,IQ,005,12.6
2013-01-01,IQ,005,13.6
2012-01-01,IQ,005,13.9
2011-01-01,IQ,005,14.1
2010-01-01,IQ,005,14.3
2009-01-01,IQ,005,16.2
2008-01-01,IQ,005,19.2
2007-01-01,IQ,005,18.8
2006-01-01,IQ,005,14.4
2005-01-01,IQ,005,13.4
2004-01-01,IQ,005,13.3
2003-01-01,IQ,005,15.0
2002-01-01,IQ,005,15.0
2019-08-01,IQ,007,101986513.0
2019-07-01,IQ,007,100785813.0
2019-06-01,IQ,007,100303429.0
2019-05-01,IQ,007,97599080.0
2019-04-01,IQ,007,96122617.0
2019-03-01,IQ,007,95375871.0
2019-02-01,IQ,007,93556618.0
2019-01-01,IQ,007,92401550.0
2018-12-01,IQ,007,91899532.0
2018-11-01,IQ,007,90236957.0
2018-10-01,IQ,007,88217489.0
2018-09-01,IQ,007,85553840.0
2018-08-01,IQ,007,83777240.0
2018-07-01,IQ,007,81108407.0
2018-06-01,IQ,007,78937537.0
2018-05-01,IQ,007,75634198.0
2018-04-01,IQ,007,74452145.0
2018-03-01,IQ,007,72707730.0
2018-02-01,IQ,007,71122316.0
2018-01-01,IQ,007,71183422.0
2017-12-01,IQ,007,69819640.0
2017-11-01,IQ,007,68236015.0
2017-10-01,IQ,007,67421585.0
2017-09-01,IQ,007,67541015.0
2017-08-01,IQ,007,67689531.0
2017-07-01,IQ,007,66485114.0
2017-06-01,IQ,007,67154184.0
2017-05-01,IQ,007,66633697.0
2017-04-01,IQ,007,65756055.0
2017-03-01,IQ,007,65264759.0
2017-02-01,IQ,007,65241878.0
2017-01-01,IQ,007,64764459.0
2016-12-01,IQ,007,65243973.0
2016-11-01,IQ,007,65604308.0
2016-10-01,IQ,007,66854898.0
2016-09-01,IQ,007,69049994.0
2016-08-01,IQ,007,69462518.0
2016-07-01,IQ,007,69974465.0
2016-06-01,IQ,007,69814125.0
2016-05-01,IQ,007,72215293.0
2016-04-01,IQ,007,72584215.0
2016-03-01,IQ,007,73033734.0
2016-02-01,IQ,007,73088739.0
2016-01-01,IQ,007,74791258.0
2015-12-01,IQ,007,78455351.0
2015-11-01,IQ,007,78545121.0
2015-10-01,IQ,007,80692971.0
2015-09-01,IQ,007,84635230.0
2015-08-01,IQ,007,86539780.0
2015-07-01,IQ,007,90305861.0
2015-06-01,IQ,007,93941896.0
2015-05-01,IQ,007,96816555.0
2015-04-01,IQ,007,97366274.0
2015-03-01,IQ,007,97542614.0
2015-02-01,IQ,007,98083848.0
2015-01-01,IQ,007,99070264.0
2014-12-01,IQ,007,102125931.0
