date,country_code,indicator_code,value
2009-01-01,IR,001,18550000.0
2008-01-01,IR,001,88986799.0
2007-01-01,IR,001,208454671.0
2006-01-01,IR,001,64667367.0
2005-01-01,IR,001,103051536.0
2004-01-01,IR,001,57744580.0
2003-01-01,IR,001,18087351.0
2002-01-01,IR,001,6563739.0
2001-01-01,IR,001,6581999.0
2000-01-01,IR,001,10399638.0
1999-01-01,IR,001,531015.0
1998-01-01,IR,001,-18878000.0
1997-01-01,IR,001,-1356000.0
1996-01-01,IR,001,2058000.0
1995-01-01,IR,001,2054000.0
1994-01-01,IR,001,-328000.0
1993-01-01,IR,001,-545000.0
1992-01-01,IR,001,-970000.0
1991-01-01,IR,001,-1168000.0
1990-01-01,IR,001,-671400.0
1989-01-01,IR,001,-1093700.0
1988-01-01,IR,001,-2047600.0
1987-01-01,IR,001,-1454300.0
1986-01-01,IR,001,-1420900.0
1985-01-01,IR,001,-619600.0
1984-01-01,IR,001,-609100.0
1983-01-01,IR,001,-862700.0
1982-01-01,IR,001,-619000.0
1981-01-01,IR,001,-891900.0
1980-01-01,IR,001,-937600.0
1979-01-01,IR,001,-323600.0
1978-01-01,IR,001,-549400.0
1977-01-01,IR,001,-262400.0
1976-01-01,IR,001,-37600.0
1975-01-01,IR,001,12000.0
1974-01-01,IR,001,140300.0
1973-01-01,IR,001,-14400.0
1972-01-01,IR,001,-55500.0
2018-01-01,IR,002,12.1
2017-01-01,IR,002,12.1
2016-01-01,IR,002,12.4
2015-01-01,IR,002,11.1
2014-01-01,IR,002,10.6
2013-01-01,IR,002,10.4
2012-01-01,IR,002,12.6
2011-01-01,IR,002,12.5
2010-01-01,IR,002,13.5
2009-01-01,IR,002,12.0
2008-01-01,IR,002,10.5
2007-01-01,IR,002,10.6
2006-01-01,IR,002,11.2
2005-01-01,IR,002,12.1
2004-01-01,IR,002,10.3
2002-01-01,IR,002,12.8
1996-01-01,IR,002,9.1
1991-01-01,IR,002,11.1
1986-01-01,IR,002,14.2
2018-01-01,IR,004,4384862985.73
2017-01-01,IR,004,3820276000.0
2016-01-01,IR,004,2946412000.0
2015-01-01,IR,004,2253543059.64
2014-01-01,IR,004,2665245852.82
2013-01-01,IR,004,2670435048.29
2012-01-01,IR,004,1771527350.26
2011-01-01,IR,004,1639568460.49
2010-01-01,IR,004,1228720738.5
2009-01-01,IR,004,932866744.825
2008-01-01,IR,004,1033245168.73
2007-01-01,IR,004,936639852.984
2006-01-01,IR,004,729465196.979
2005-01-01,IR,004,615687622.149
2004-01-01,IR,004,413627727.927
2003-01-01,IR,004,309845314.014
2002-01-01,IR,004,249903878.57
2001-01-01,IR,004,142517851.896
2000-01-01,IR,004,134828165.085
1999-01-01,IR,004,91632428.734
1998-01-01,IR,004,44841812.1824
1997-01-01,IR,004,54708549.1112
1996-01-01,IR,004,54613131.5075
1995-01-01,IR,004,42782429.8974
1994-01-01,IR,004,39524761.1144
1993-01-01,IR,004,26968547.5084
1992-01-01,IR,004,9460234.76906
1991-01-01,IR,004,7435471.30095
1990-01-01,IR,004,5044134.88903
1989-01-01,IR,004,2676179.56093
1988-01-01,IR,004,1595494.39248
1987-01-01,IR,004,1778311.70691
1986-01-01,IR,004,597289.454017
1985-01-01,IR,004,1404323.23307
1984-01-01,IR,004,1687236.0369
1983-01-01,IR,004,1982329.30285
1982-01-01,IR,004,1817827.83582
1981-01-01,IR,004,994854.610831
1980-01-01,IR,004,927728.415592
1979-01-01,IR,004,1703839.90528
1978-01-01,IR,004,1290313.02692
1977-01-01,IR,004,1751845.05851
1976-01-01,IR,004,1785944.49982
1975-01-01,IR,004,1437718.09092
1974-01-01,IR,004,1480289.41232
1973-01-01,IR,004,623805.068796
1972-01-01,IR,004,298173.493021
1971-01-01,IR,004,240336.82553
1970-01-01,IR,004,153531.878986
1969-01-01,IR,004,133054.302413
1968-01-01,IR,004,114174.97572
1967-01-01,IR,004,98991.6018705
1966-01-01,IR,004,83808.2280216
