date,country_code,indicator_code,value
2019-10-01,IS,001,-2.0
2019-07-01,IS,001,-1.8
2019-04-01,IS,001,3.9
2019-01-01,IS,001,0.7
2018-10-01,IS,001,-3.3
2018-07-01,IS,001,4.1
2018-04-01,IS,001,3.6
2018-01-01,IS,001,0.1
2017-10-01,IS,001,0.0
2017-07-01,IS,001,-1.3
2017-04-01,IS,001,4.2
2017-01-01,IS,001,0.0
2016-10-01,IS,001,-2.9
2016-07-01,IS,001,2.3
2016-04-01,IS,001,7.8
2016-01-01,IS,001,1.0
2015-10-01,IS,001,-2.7
2015-07-01,IS,001,-0.5
2015-04-01,IS,001,7.3
2015-01-01,IS,001,1.3
2014-10-01,IS,001,-4.8
2014-07-01,IS,001,3.9
2014-04-01,IS,001,7.3
2014-01-01,IS,001,-3.1
2013-10-01,IS,001,-3.9
2013-07-01,IS,001,4.8
2013-04-01,IS,001,7.2
2013-01-01,IS,001,-1.3
2012-10-01,IS,001,-3.0
2012-07-01,IS,001,0.4
2012-04-01,IS,001,7.4
2012-01-01,IS,001,-1.6
2011-10-01,IS,001,-5.2
2011-07-01,IS,001,0.9
2011-04-01,IS,001,7.9
2011-01-01,IS,001,-4.1
2010-10-01,IS,001,-2.6
2010-07-01,IS,001,0.1
2010-04-01,IS,001,4.6
2010-01-01,IS,001,-2.5
2009-10-01,IS,001,-3.9
2009-07-01,IS,001,3.4
2009-04-01,IS,001,1.6
2009-01-01,IS,001,-9.5
2008-10-01,IS,001,-7.4
2008-07-01,IS,001,1.0
2008-04-01,IS,001,7.2
2008-01-01,IS,001,-2.4
2007-10-01,IS,001,-3.0
2007-07-01,IS,001,1.4
2007-04-01,IS,001,5.7
2007-01-01,IS,001,3.2
2006-10-01,IS,001,-3.0
2006-07-01,IS,001,1.3
2006-04-01,IS,001,7.5
2006-01-01,IS,001,2.2
2005-10-01,IS,001,-2.0
2005-07-01,IS,001,-0.4
2005-04-01,IS,001,7.8
2005-01-01,IS,001,-0.4
2004-10-01,IS,001,-1.9
2004-07-01,IS,001,0.6
2004-04-01,IS,001,5.2
2004-01-01,IS,001,-0.5
2003-10-01,IS,001,-8.6
2003-07-01,IS,001,2.8
2003-04-01,IS,001,7.0
2019-03-01,IS,002,179.7
2019-02-01,IS,002,179.36
2019-01-01,IS,002,178.99
2018-12-01,IS,002,178.48
2018-11-01,IS,002,178.45
2018-10-01,IS,002,178.19
2018-09-01,IS,002,177.5
2018-08-01,IS,002,176.38
