date,country_code,indicator_code,value
2011-11-01,IT,001,813.0
2011-08-01,IT,001,867.0
2011-05-01,IT,001,890.0
2011-02-01,IT,001,838.0
2010-11-01,IT,001,807.0
2010-08-01,IT,001,913.0
2010-05-01,IT,001,879.0
2010-02-01,IT,001,879.0
2009-11-01,IT,001,797.0
2009-08-01,IT,001,888.0
2009-05-01,IT,001,868.0
2009-02-01,IT,001,824.0
2008-11-01,IT,001,817.0
2008-08-01,IT,001,929.0
2008-05-01,IT,001,918.0
2008-02-01,IT,001,859.0
2007-11-01,IT,001,875.0
2007-08-01,IT,001,938.0
2007-05-01,IT,001,947.0
2007-02-01,IT,001,915.0
2006-11-01,IT,001,895.0
2006-08-01,IT,001,1019.0
2006-05-01,IT,001,1018.0
2006-02-01,IT,001,979.0
2005-11-01,IT,001,910.0
2005-08-01,IT,001,999.0
2005-05-01,IT,001,994.0
2005-02-01,IT,001,926.0
2004-11-01,IT,001,870.0
2004-08-01,IT,001,1034.0
2004-05-01,IT,001,1081.0
2004-02-01,IT,001,943.0
2003-11-01,IT,001,903.0
2003-08-01,IT,001,1020.0
2003-05-01,IT,001,1059.0
2003-02-01,IT,001,901.0
2002-11-01,IT,001,890.0
2002-08-01,IT,001,1017.0
2002-05-01,IT,001,1025.0
2002-02-01,IT,001,964.0
2001-11-01,IT,001,953.0
2001-08-01,IT,001,1041.0
2001-05-01,IT,001,1036.0
2001-02-01,IT,001,1004.0
2000-11-01,IT,001,990.0
2000-08-01,IT,001,1057.0
2000-05-01,IT,001,1032.0
2000-02-01,IT,001,989.0
1999-11-01,IT,001,979.0
1999-08-01,IT,001,1056.0
1999-05-01,IT,001,1061.0
1999-02-01,IT,001,1012.0
1998-11-01,IT,001,989.0
1998-08-01,IT,001,1106.0
1998-05-01,IT,001,1110.0
1998-02-01,IT,001,1063.0
1997-11-01,IT,001,1086.0
1997-08-01,IT,001,1196.0
1997-05-01,IT,001,1170.0
1997-02-01,IT,001,1074.0
1996-11-01,IT,001,1089.0
1996-08-01,IT,001,1234.0
1996-05-01,IT,001,1208.0
1996-02-01,IT,001,1119.0
1995-11-01,IT,001,1096.0
1995-08-01,IT,001,1251.0
1995-05-01,IT,001,1260.0
1995-02-01,IT,001,1198.0
1994-11-01,IT,001,1160.0
1994-08-01,IT,001,1299.0
1994-05-01,IT,001,1325.0
1994-02-01,IT,001,1269.0
1993-11-01,IT,001,1267.0
1993-08-01,IT,001,1427.0
1993-05-01,IT,001,1337.0
1993-02-01,IT,001,1324.0
1992-11-01,IT,001,1365.0
1992-08-01,IT,001,1539.0
2020-02-01,IT,002,103.5
2020-01-01,IT,002,103.5
2019-12-01,IT,002,103.6
2019-11-01,IT,002,103.5
2019-10-01,IT,002,103.4
2019-09-01,IT,002,103.4
2019-08-01,IT,002,103.3
2019-07-01,IT,002,103.2
2019-06-01,IT,002,103.1
2019-05-01,IT,002,103.0
2019-04-01,IT,002,102.9
2019-03-01,IT,002,102.8
2019-02-01,IT,002,102.7
2019-01-01,IT,002,102.7
2018-12-01,IT,002,102.7
2018-11-01,IT,002,102.6
2018-10-01,IT,002,102.5
2018-09-01,IT,002,102.4
2018-08-01,IT,002,102.3
2018-07-01,IT,002,102.2
2018-06-01,IT,002,102.1
2018-05-01,IT,002,101.8
2018-04-01,IT,002,101.7
2018-03-01,IT,002,101.6
2018-02-01,IT,002,101.6
2018-01-01,IT,002,101.5
2017-12-01,IT,002,101.6
2017-11-01,IT,002,101.5
2017-10-01,IT,002,101.5
2017-09-01,IT,002,101.3
2017-08-01,IT,002,101.3
2017-07-01,IT,002,101.2
2017-06-01,IT,002,101.1
2017-05-01,IT,002,101.1
2017-04-01,IT,002,101.0
2017-03-01,IT,002,101.0
2017-02-01,IT,002,100.7
2017-01-01,IT,002,100.7
2016-12-01,IT,002,100.9
2016-11-01,IT,002,100.8
2016-10-01,IT,002,100.7
2016-09-01,IT,002,100.6
2016-08-01,IT,002,100.6
2016-07-01,IT,002,100.5
2016-06-01,IT,002,100.4
2016-05-01,IT,002,100.4
2016-04-01,IT,002,100.4
2016-03-01,IT,002,100.4
2016-02-01,IT,002,100.2
2016-01-01,IT,002,100.1
2015-12-01,IT,002,100.7
2015-11-01,IT,002,100.6
2015-10-01,IT,002,100.4
2015-09-01,IT,002,100.3
2015-08-01,IT,002,100.1
2015-07-01,IT,002,100.0
2015-06-01,IT,002,99.8
2015-05-01,IT,002,99.8
2015-04-01,IT,002,99.7
2015-03-01,IT,002,99.5
2015-02-01,IT,002,99.4
2015-01-01,IT,002,99.3
2014-12-01,IT,002,98.4
2014-11-01,IT,002,98.3
2014-10-01,IT,002,98.0
2014-09-01,IT,002,97.8
2014-08-01,IT,002,97.8
2014-07-01,IT,002,97.6
