date,country_code,indicator_code,value
2018-01-01,JE,009,409.0
2017-01-01,JE,009,408.0
2016-01-01,JE,009,404.0
2015-01-01,JE,009,419.0
2014-01-01,JE,009,416.0
2013-01-01,JE,009,400.0
2012-01-01,JE,009,391.0
2011-01-01,JE,009,396.0
2010-01-01,JE,009,402.0
2009-01-01,JE,009,397.0
2008-01-01,JE,009,397.0
2007-01-01,JE,009,386.0
2006-01-01,JE,009,369.0
2005-01-01,JE,009,359.0
2004-01-01,JE,009,354.0
2003-01-01,JE,009,347.0
2002-01-01,JE,009,341.0
2001-01-01,JE,009,339.0
2000-01-01,JE,009,329.0
1999-01-01,JE,009,320.0
1998-01-01,JE,009,302.0
2020-01-01,JE,043,0.0
2019-01-01,JE,043,0.0
2018-01-01,JE,043,20.0
2017-01-01,JE,043,20.0
2016-01-01,JE,043,20.0
2015-01-01,JE,043,20.0
2014-01-01,JE,043,0.0
2013-01-01,JE,043,0.0
2012-01-01,JE,043,0.0
2011-01-01,JE,043,0.0
2010-01-01,JE,043,0.0
2009-01-01,JE,043,0.0
2008-01-01,JE,043,0.0
2007-01-01,JE,043,0.0
2006-01-01,JE,043,0.0
2005-01-01,JE,043,0.0
2004-01-01,JE,043,0.0
2003-01-01,JE,043,0.0
2018-01-01,JE,084,4642.0
2017-01-01,JE,084,4561.0
2016-01-01,JE,084,4521.0
2015-01-01,JE,084,4513.0
2014-01-01,JE,084,4457.0
2013-01-01,JE,084,4291.0
2012-01-01,JE,084,4283.0
2018-01-01,JE,086,58.0
2017-01-01,JE,086,59.0
2016-01-01,JE,086,59.0
2015-01-01,JE,086,52.0
2014-01-01,JE,086,47.0
2013-01-01,JE,086,57.0
2012-01-01,JE,086,51.0
2011-01-01,JE,086,52.0
2010-01-01,JE,086,62.0
2009-01-01,JE,086,72.0
2008-01-01,JE,086,68.0
2007-01-01,JE,086,65.0
2006-01-01,JE,086,63.0
2005-01-01,JE,086,60.0
2004-01-01,JE,086,59.0
2003-01-01,JE,086,65.0
2002-01-01,JE,086,67.0
2001-01-01,JE,086,66.0
2000-01-01,JE,086,73.0
1999-01-01,JE,086,76.0
1998-01-01,JE,086,77.0
2018-01-01,JE,087,335.0
2017-01-01,JE,087,340.0
2016-01-01,JE,087,312.0
2015-01-01,JE,087,289.0
2014-01-01,JE,087,264.0
2013-01-01,JE,087,251.0
