date,country_code,indicator_code,value
2019-07-01,JM,001,2.26
2019-04-01,JM,001,2.23
2019-01-01,JM,001,2.16
2018-10-01,JM,001,1.03
2018-07-01,JM,001,1.05
2018-04-01,JM,001,1.22
2018-01-01,JM,001,1.91
2017-10-01,JM,001,2.2
2017-07-01,JM,001,2.24
2017-04-01,JM,001,2.87
2017-01-01,JM,001,1.74
2016-10-01,JM,001,2.96
2016-07-01,JM,001,3.42
2016-04-01,JM,001,3.59
2016-01-01,JM,001,2.81
2015-10-01,JM,001,2.03
2015-07-01,JM,001,2.08
2015-04-01,JM,001,-0.39
2015-01-01,JM,001,0.17
2014-10-01,JM,001,1.2
2014-07-01,JM,001,1.46
2014-04-01,JM,001,2.3
2014-01-01,JM,001,1.81
2013-10-01,JM,001,0.61
2013-07-01,JM,001,-0.28
2013-04-01,JM,001,0.79
2013-01-01,JM,001,0.95
2012-10-01,JM,001,1.39
2012-07-01,JM,001,2.55
2012-01-01,JM,001,-0.63
2011-10-01,JM,001,-0.2
2011-07-01,JM,001,-2.32
2011-01-01,JM,001,1.36
2010-10-01,JM,001,-2.0
2010-07-01,JM,001,-1.8
2010-04-01,JM,001,-3.16
2010-01-01,JM,001,-4.09
2009-10-01,JM,001,-4.66
2009-07-01,JM,001,-2.94
2009-04-01,JM,001,-1.15
2009-01-01,JM,001,-2.52
2008-10-01,JM,001,-0.21
2008-07-01,JM,001,1.02
2008-04-01,JM,001,-1.55
2008-01-01,JM,001,2.96
2007-10-01,JM,001,3.6
2007-07-01,JM,001,1.09
2007-04-01,JM,001,3.27
2007-01-01,JM,001,2.35
2006-10-01,JM,001,6.29
2006-07-01,JM,001,7.18
2006-04-01,JM,001,6.73
2006-01-01,JM,001,5.07
2005-10-01,JM,001,0.38
2005-04-01,JM,001,0.66
2004-10-01,JM,001,0.21
2004-04-01,JM,001,0.13
2003-10-01,JM,001,2.98
2003-04-01,JM,001,-0.82
2018-01-01,JM,004,740016.0
2017-01-01,JM,004,636618.0
2016-01-01,JM,004,550986.0
2015-01-01,JM,004,496037.0
2014-01-01,JM,004,481916.0
2013-01-01,JM,004,437876.0
2012-01-01,JM,004,396652.0
2011-01-01,JM,004,376784.0
2010-01-01,JM,004,361227.0
2009-01-01,JM,004,367317.0
2008-01-01,JM,004,418361.0
2007-01-01,JM,004,351850.0
2006-01-01,JM,004,314766.0
2005-01-01,JM,004,247010.0
2004-01-01,JM,004,233772.0
2003-01-01,JM,004,199364.0
2002-01-01,JM,004,154163.0
2001-01-01,JM,004,150409.0
2000-01-01,JM,004,150152.0
1999-01-01,JM,004,135450.0
1998-01-01,JM,004,123436.0
1997-01-01,JM,004,120712.0
1996-01-01,JM,004,124192.0
1995-01-01,JM,004,118523.0
1994-01-01,JM,004,100231.0
1993-01-01,JM,004,86753.0
1992-01-01,JM,004,54229.0
1991-01-01,JM,004,59547.0
1990-01-01,JM,004,19585.0
1989-01-01,JM,004,12151.0
1988-01-01,JM,004,11077.0
1987-01-01,JM,004,8907.0
1986-01-01,JM,004,7831.0
1985-01-01,JM,004,7015.0
1984-01-01,JM,004,6155.0
1983-01-01,JM,004,3476.0
1982-01-01,JM,004,2393.0
1981-01-01,JM,004,2515.0
1980-01-01,JM,004,2565.0
1979-01-01,JM,004,2101.0
1978-01-01,JM,004,1562.0
1977-01-01,JM,004,895.0
1976-01-01,JM,004,838.0
1975-01-01,JM,004,997.0
1974-01-01,JM,004,939.0
1973-01-01,JM,004,577.0
1972-01-01,JM,004,473.0
1971-01-01,JM,004,455.0
1970-01-01,JM,004,438.0
1969-01-01,JM,004,391.0
1968-01-01,JM,004,347.0
1967-01-01,JM,004,311.0
1966-01-01,JM,004,306.0
1965-01-01,JM,004,258.0
1964-01-01,JM,004,239.0
1963-01-01,JM,004,206.0
1962-01-01,JM,004,186.0
1961-01-01,JM,004,182.0
1960-01-01,JM,004,170.0
1959-01-01,JM,004,138.0
1958-01-01,JM,004,122.0
1957-01-01,JM,004,120.0
1956-01-01,JM,004,92.0
1955-01-01,JM,004,82.0
1954-01-01,JM,004,74.0
1953-01-01,JM,004,63.0
1952-01-01,JM,004,49.0
1951-01-01,JM,004,41.0
1950-01-01,JM,004,37.0
2019-12-01,JM,005,12.47
2019-11-01,JM,005,12.42
2019-10-01,JM,005,12.64
2019-09-01,JM,005,12.9
2019-08-01,JM,005,12.94
2019-07-01,JM,005,13.0
2019-06-01,JM,005,13.09
2019-05-01,JM,005,13.35
2019-04-01,JM,005,13.25
2019-03-01,JM,005,13.3
2019-02-01,JM,005,13.3
2019-01-01,JM,005,13.32
2018-12-01,JM,005,13.46
2018-11-01,JM,005,14.05
2018-10-01,JM,005,13.86
2018-09-01,JM,005,14.03
2018-08-01,JM,005,14.07
2018-07-01,JM,005,14.05
2018-06-01,JM,005,14.11
2018-05-01,JM,005,14.18
2018-04-01,JM,005,14.14
2018-03-01,JM,005,14.32
2018-02-01,JM,005,14.4
2018-01-01,JM,005,14.46
2017-12-01,JM,005,14.59
2017-11-01,JM,005,14.63
2017-10-01,JM,005,14.62
2017-09-01,JM,005,14.64
2017-08-01,JM,005,14.91
2017-07-01,JM,005,14.84
2017-06-01,JM,005,14.95
2017-05-01,JM,005,14.82
2017-04-01,JM,005,14.83
2017-03-01,JM,005,14.94
2017-02-01,JM,005,14.98
2017-01-01,JM,005,16.12
2016-12-01,JM,005,16.2
2016-11-01,JM,005,16.21
2016-10-01,JM,005,16.21
2016-09-01,JM,005,16.22
2016-08-01,JM,005,16.33
2016-07-01,JM,005,16.41
2016-06-01,JM,005,16.44
2016-05-01,JM,005,16.5
2016-04-01,JM,005,16.61
2016-03-01,JM,005,16.67
2016-02-01,JM,005,16.81
2016-01-01,JM,005,17.27
2015-12-01,JM,005,16.92
2015-11-01,JM,005,17.03
2015-10-01,JM,005,17.01
2015-09-01,JM,005,16.99
2015-08-01,JM,005,17.17
2015-07-01,JM,005,16.84
2015-06-01,JM,005,17.17
2015-05-01,JM,005,17.08
2015-04-01,JM,005,16.66
2015-03-01,JM,005,17.1
2015-02-01,JM,005,16.74
2015-01-01,JM,005,17.01
2014-12-01,JM,005,17.18
2014-11-01,JM,005,17.24
2014-10-01,JM,005,16.62
2014-09-01,JM,005,16.91
2014-08-01,JM,005,17.42
2014-07-01,JM,005,17.38
2014-06-01,JM,005,17.5
2014-05-01,JM,005,17.35
2014-04-01,JM,005,17.66
2014-03-01,JM,005,17.57
2014-02-01,JM,005,16.45
2014-01-01,JM,005,17.33
2013-12-01,JM,005,17.49
2013-11-01,JM,005,17.44
2013-10-01,JM,005,17.48
2013-09-01,JM,005,17.45
2013-08-01,JM,005,17.53
2013-07-01,JM,005,17.57
2013-06-01,JM,005,17.66
2013-05-01,JM,005,17.77
2013-04-01,JM,005,17.92
2013-03-01,JM,005,17.97
2013-02-01,JM,005,18.09
2013-01-01,JM,005,18.23
2012-12-01,JM,005,18.44
2012-11-01,JM,005,17.15
2012-10-01,JM,005,17.28
2012-09-01,JM,005,17.4
2012-08-01,JM,005,17.54
2012-07-01,JM,005,17.64
2012-06-01,JM,005,17.36
2012-05-01,JM,005,17.45
2012-04-01,JM,005,17.77
2012-03-01,JM,005,17.7
2012-02-01,JM,005,17.77
2012-01-01,JM,005,18.04
2011-12-01,JM,005,18.03
2011-11-01,JM,005,18.44
2011-10-01,JM,005,18.29
2011-09-01,JM,005,18.34
2011-08-01,JM,005,19.88
2011-07-01,JM,005,19.91
2011-06-01,JM,005,20.1
2011-05-01,JM,005,20.0
2011-04-01,JM,005,20.3
2011-03-01,JM,005,20.33
2011-02-01,JM,005,20.52
2011-01-01,JM,005,19.98
2010-12-01,JM,005,20.43
2010-11-01,JM,005,20.38
2010-10-01,JM,005,20.48
2010-09-01,JM,005,20.74
2010-08-01,JM,005,20.12
2010-07-01,JM,005,19.28
2010-06-01,JM,005,21.11
2010-05-01,JM,005,20.06
2010-04-01,JM,005,20.61
2010-03-01,JM,005,20.67
2010-02-01,JM,005,20.43
2010-01-01,JM,005,21.16
2009-12-01,JM,005,16.19
2009-11-01,JM,005,16.25
2009-10-01,JM,005,16.29
2009-09-01,JM,005,16.3
2009-08-01,JM,005,16.46
2009-07-01,JM,005,16.42
2009-06-01,JM,005,16.49
2009-05-01,JM,005,15.89
2009-04-01,JM,005,16.44
2009-03-01,JM,005,16.58
2009-02-01,JM,005,16.93
2009-01-01,JM,005,16.94
2008-12-01,JM,005,16.78
2008-11-01,JM,005,16.39
2008-10-01,JM,005,16.22
2008-09-01,JM,005,16.46
2008-08-01,JM,005,16.3
2008-07-01,JM,005,16.74
2008-06-01,JM,005,16.97
2008-05-01,JM,005,17.1
2008-04-01,JM,005,16.99
2008-03-01,JM,005,17.33
2008-02-01,JM,005,17.19
2008-01-01,JM,005,17.44
2007-12-01,JM,005,17.11
2007-11-01,JM,005,17.2
2007-10-01,JM,005,16.99
2007-09-01,JM,005,17.06
2007-08-01,JM,005,17.0
2007-07-01,JM,005,17.13
2007-06-01,JM,005,17.23
2007-05-01,JM,005,17.06
2007-04-01,JM,005,17.43
2007-03-01,JM,005,17.29
2007-02-01,JM,005,17.36
2007-01-01,JM,005,17.51
2006-12-01,JM,005,17.59
2006-11-01,JM,005,17.64
2006-10-01,JM,005,17.64
2006-09-01,JM,005,17.83
2006-08-01,JM,005,17.7
2006-07-01,JM,005,17.65
2006-06-01,JM,005,17.28
2006-05-01,JM,005,17.73
2006-04-01,JM,005,17.67
2006-03-01,JM,005,17.54
2006-02-01,JM,005,17.94
2006-01-01,JM,005,17.5
2005-12-01,JM,005,17.32
2005-11-01,JM,005,17.08
2005-10-01,JM,005,17.46
2005-09-01,JM,005,17.41
2005-08-01,JM,005,17.65
2005-07-01,JM,005,17.56
2005-06-01,JM,005,16.43
2005-05-01,JM,005,17.23
2005-04-01,JM,005,17.74
2005-03-01,JM,005,17.35
2005-02-01,JM,005,17.56
2005-01-01,JM,005,17.54
2004-12-01,JM,005,17.72
2004-11-01,JM,005,17.67
2004-10-01,JM,005,17.69
2004-09-01,JM,005,17.76
2004-08-01,JM,005,17.92
2004-07-01,JM,005,17.84
2004-06-01,JM,005,17.75
2004-05-01,JM,005,17.59
2004-04-01,JM,005,18.26
2004-03-01,JM,005,19.1
2004-02-01,JM,005,19.17
2004-01-01,JM,005,19.18
2003-12-01,JM,005,19.32
2003-11-01,JM,005,19.4
2003-10-01,JM,005,19.36
2003-09-01,JM,005,19.87
2003-08-01,JM,005,19.7
2003-07-01,JM,005,19.02
2003-06-01,JM,005,19.23
2003-05-01,JM,005,18.76
2003-04-01,JM,005,19.26
2003-03-01,JM,005,17.16
2003-02-01,JM,005,17.44
2003-01-01,JM,005,18.12
2002-12-01,JM,005,18.26
2002-11-01,JM,005,18.03
2002-10-01,JM,005,18.1
2002-09-01,JM,005,18.08
2002-08-01,JM,005,17.85
2002-07-01,JM,005,17.98
2002-06-01,JM,005,18.15
2002-05-01,JM,005,18.5
2002-04-01,JM,005,18.64
2002-03-01,JM,005,19.61
2002-02-01,JM,005,19.33
2002-01-01,JM,005,19.49
2001-12-01,JM,005,19.5
2001-11-01,JM,005,19.53
2001-10-01,JM,005,19.57
2001-09-01,JM,005,19.41
2001-08-01,JM,005,19.76
2001-07-01,JM,005,20.11
2001-06-01,JM,005,20.86
2001-05-01,JM,005,21.42
2001-04-01,JM,005,21.47
2001-03-01,JM,005,21.49
2001-02-01,JM,005,22.07
2001-01-01,JM,005,22.1
2000-12-01,JM,005,22.12
2000-11-01,JM,005,22.18
2000-10-01,JM,005,22.1
2000-09-01,JM,005,22.24
2000-08-01,JM,005,22.76
2000-07-01,JM,005,22.85
2000-06-01,JM,005,23.48
2000-05-01,JM,005,23.8
2000-04-01,JM,005,24.34
2000-03-01,JM,005,24.32
2000-02-01,JM,005,24.84
2000-01-01,JM,005,25.15
1999-12-01,JM,005,24.56
1999-11-01,JM,005,24.72
1999-10-01,JM,005,25.07
1999-09-01,JM,005,26.18
1999-08-01,JM,005,26.15
1999-07-01,JM,005,26.47
1999-06-01,JM,005,27.15
1999-05-01,JM,005,27.62
1999-04-01,JM,005,26.83
1999-03-01,JM,005,29.65
1999-02-01,JM,005,29.93
1999-01-01,JM,005,29.73
1998-12-01,JM,005,30.08
1998-11-01,JM,005,29.99
1998-10-01,JM,005,29.83
1998-09-01,JM,005,30.68
1998-08-01,JM,005,30.87
1998-07-01,JM,005,32.46
1998-06-01,JM,005,33.03
1998-05-01,JM,005,33.0
1998-04-01,JM,005,32.74
1998-03-01,JM,005,32.09
1998-02-01,JM,005,32.54
1998-01-01,JM,005,31.74
1997-12-01,JM,005,31.93
1997-11-01,JM,005,32.35
1997-10-01,JM,005,32.5
1997-09-01,JM,005,31.7
1997-08-01,JM,005,33.3
1997-07-01,JM,005,33.33
1997-06-01,JM,005,33.85
1997-05-01,JM,005,29.87
1997-04-01,JM,005,30.36
1997-03-01,JM,005,33.0
1997-02-01,JM,005,35.18
1997-01-01,JM,005,37.0
1996-12-01,JM,005,37.81
1996-11-01,JM,005,37.79
1996-10-01,JM,005,38.44
1996-09-01,JM,005,38.67
1996-08-01,JM,005,39.11
1996-07-01,JM,005,40.77
1996-06-01,JM,005,40.77
1996-05-01,JM,005,38.18
1996-04-01,JM,005,38.62
1996-03-01,JM,005,39.69
1996-02-01,JM,005,44.54
1996-01-01,JM,005,43.62
1995-12-01,JM,005,48.56
1995-11-01,JM,005,46.99
1995-10-01,JM,005,45.28
1995-09-01,JM,005,41.4
1995-08-01,JM,005,41.16
1995-07-01,JM,005,41.11
1995-06-01,JM,005,40.91
1995-05-01,JM,005,42.37
1995-04-01,JM,005,43.14
1995-03-01,JM,005,43.53
1995-02-01,JM,005,43.88
1995-01-01,JM,005,44.59
1994-12-01,JM,005,45.79
1994-11-01,JM,005,45.83
1994-10-01,JM,005,47.54
1994-09-01,JM,005,47.61
1994-08-01,JM,005,49.81
1994-07-01,JM,005,50.56
1994-06-01,JM,005,50.0
1994-05-01,JM,005,52.15
1994-04-01,JM,005,51.08
1994-03-01,JM,005,51.48
1994-02-01,JM,005,51.11
1994-01-01,JM,005,50.53
1993-12-01,JM,005,49.6
1993-11-01,JM,005,49.35
1993-10-01,JM,005,48.87
1993-09-01,JM,005,46.68
1993-08-01,JM,005,43.81
1993-07-01,JM,005,42.98
1993-06-01,JM,005,40.68
1993-05-01,JM,005,39.62
1993-04-01,JM,005,39.35
1993-03-01,JM,005,40.4
1993-02-01,JM,005,41.1
1993-01-01,JM,005,42.1
1992-12-01,JM,005,46.04
1992-11-01,JM,005,45.68
1992-10-01,JM,005,46.24
1992-09-01,JM,005,48.21
1992-08-01,JM,005,47.01
1992-07-01,JM,005,48.32
1992-06-01,JM,005,48.38
1992-05-01,JM,005,46.89
1992-04-01,JM,005,45.27
1992-03-01,JM,005,43.86
1992-02-01,JM,005,34.06
1992-01-01,JM,005,37.79
1991-12-01,JM,005,34.03
1991-11-01,JM,005,32.35
1991-10-01,JM,005,30.17
1991-09-01,JM,005,29.82
1991-08-01,JM,005,30.03
1991-07-01,JM,005,30.3
1991-06-01,JM,005,30.82
1991-05-01,JM,005,31.51
1991-04-01,JM,005,32.16
1991-03-01,JM,005,32.52
1991-02-01,JM,005,32.12
1991-01-01,JM,005,32.28
1990-12-01,JM,005,31.59
1990-11-01,JM,005,31.78
1990-10-01,JM,005,31.34
1990-09-01,JM,005,31.17
1990-08-01,JM,005,30.96
1990-07-01,JM,005,30.8
1990-06-01,JM,005,31.0
1990-05-01,JM,005,30.79
1990-04-01,JM,005,30.08
1990-03-01,JM,005,29.24
1990-02-01,JM,005,28.91
1990-01-01,JM,005,28.35
1989-12-01,JM,005,28.15
