date,country_code,indicator_code,value
2016-01-01,JO,001,8610.0
2015-01-01,JO,001,111342.0
2014-01-01,JO,001,24052.0
2013-01-01,JO,001,-5471.0
2018-01-01,JO,004,10688.0
2017-01-01,JO,004,10151.0
2016-01-01,JO,004,9645.0
2015-01-01,JO,004,10013.0
2014-01-01,JO,004,11023.0
2013-01-01,JO,004,10102.0
2012-01-01,JO,004,10158.0
2011-01-01,JO,004,9758.0
2010-01-01,JO,004,9054.0
2009-01-01,JO,004,7853.0
2008-01-01,JO,004,9013.0
2007-01-01,JO,004,6590.0
2006-01-01,JO,004,5758.0
2005-01-01,JO,004,4713.0
2004-01-01,JO,004,4211.0
2003-01-01,JO,004,3391.0
2002-01-01,JO,004,3196.0
2001-01-01,JO,004,2655.0
2000-01-01,JO,004,2484.0
1999-01-01,JO,004,2480.0
1998-01-01,JO,004,2491.0
1997-01-01,JO,004,2508.0
1996-01-01,JO,004,2572.0
1995-01-01,JO,004,2443.0
1994-01-01,JO,004,2079.0
1993-01-01,JO,004,1962.0
1992-01-01,JO,004,1820.0
1991-01-01,JO,004,1698.0
1990-01-01,JO,004,1652.0
1989-01-01,JO,004,1360.0
1988-01-01,JO,004,1021.0
1987-01-01,JO,004,756.0
1986-01-01,JO,004,634.0
1985-01-01,JO,004,782.0
1984-01-01,JO,004,746.0
1983-01-01,JO,004,640.0
1982-01-01,JO,004,670.0
1981-01-01,JO,004,632.0
1980-01-01,JO,004,471.0
1979-01-01,JO,004,341.0
1978-01-01,JO,004,262.0
1977-01-01,JO,004,223.0
1976-01-01,JO,004,181.0
1975-01-01,JO,004,122.0
1974-01-01,JO,004,77.0
1973-01-01,JO,004,57.0
1972-01-01,JO,004,41.0
1971-01-01,JO,004,38.0
1970-01-01,JO,004,42.0
1969-01-01,JO,004,44.0
1968-01-01,JO,004,34.0
1967-01-01,JO,004,35.0
1966-01-01,JO,004,32.0
1965-01-01,JO,004,29.0
1964-01-01,JO,004,25.0
1963-01-01,JO,004,20.0
1962-01-01,JO,004,19.0
1961-01-01,JO,004,17.0
1960-01-01,JO,004,13.0
1959-01-01,JO,004,12.0
2019-11-01,JO,005,9.56
2019-10-01,JO,005,9.63
2019-09-01,JO,005,9.66
2019-08-01,JO,005,9.73
2019-07-01,JO,005,9.79
2019-06-01,JO,005,9.79
2019-05-01,JO,005,9.79
2019-04-01,JO,005,9.79
2019-03-01,JO,005,9.79
2019-02-01,JO,005,9.79
2019-01-01,JO,005,9.69
2018-12-01,JO,005,9.57
2018-11-01,JO,005,9.51
2018-10-01,JO,005,9.43
2018-09-01,JO,005,9.45
2018-08-01,JO,005,9.45
2018-07-01,JO,005,9.44
2018-06-01,JO,005,9.41
2018-05-01,JO,005,9.36
2018-04-01,JO,005,9.13
2018-03-01,JO,005,9.04
2018-02-01,JO,005,8.91
2018-01-01,JO,005,8.91
2017-12-01,JO,005,8.83
2017-11-01,JO,005,8.78
2017-10-01,JO,005,8.78
2017-09-01,JO,005,8.75
2017-08-01,JO,005,8.75
2017-07-01,JO,005,8.74
2017-06-01,JO,005,8.63
2017-05-01,JO,005,8.59
2017-04-01,JO,005,8.59
2017-03-01,JO,005,8.58
2017-02-01,JO,005,8.43
2017-01-01,JO,005,8.38
2016-12-01,JO,005,8.37
2016-11-01,JO,005,8.39
2016-10-01,JO,005,8.39
2016-09-01,JO,005,8.39
2016-08-01,JO,005,8.39
2016-07-01,JO,005,8.39
2016-06-01,JO,005,8.39
2016-05-01,JO,005,8.39
2016-04-01,JO,005,8.39
2016-03-01,JO,005,8.37
2016-02-01,JO,005,8.37
2016-01-01,JO,005,8.37
2015-12-01,JO,005,8.37
2015-11-01,JO,005,8.37
2015-10-01,JO,005,8.37
2015-09-01,JO,005,8.37
2015-08-01,JO,005,8.37
2015-07-01,JO,005,8.37
2015-06-01,JO,005,8.46
2015-05-01,JO,005,8.51
2015-04-01,JO,005,8.49
2015-03-01,JO,005,8.51
2015-02-01,JO,005,8.63
2015-01-01,JO,005,8.72
2014-12-01,JO,005,8.72
2014-11-01,JO,005,8.72
2014-10-01,JO,005,8.74
2014-09-01,JO,005,8.74
2014-08-01,JO,005,8.74
2014-07-01,JO,005,8.74
2014-06-01,JO,005,8.74
2014-05-01,JO,005,8.76
2014-04-01,JO,005,8.76
2014-03-01,JO,005,8.76
2014-02-01,JO,005,8.79
2014-01-01,JO,005,8.79
2013-12-01,JO,005,8.85
2013-11-01,JO,005,8.85
2013-10-01,JO,005,8.85
2013-09-01,JO,005,8.85
2013-08-01,JO,005,8.85
2013-07-01,JO,005,8.85
2013-06-01,JO,005,8.85
2013-05-01,JO,005,8.97
2013-04-01,JO,005,8.87
2013-03-01,JO,005,8.87
2013-02-01,JO,005,8.87
2013-01-01,JO,005,8.78
