date,country_code,indicator_code,value
2019-02-01,JP,001,1.19
2019-01-01,JP,001,1.01
2018-12-01,JP,001,1.74
2018-11-01,JP,001,2.4
2018-10-01,JP,001,2.19
2018-09-01,JP,001,1.8
2018-08-01,JP,001,1.66
2018-07-01,JP,001,1.48
2018-06-01,JP,001,1.58
2018-05-01,JP,001,2.31
2018-04-01,JP,001,2.63
2018-03-01,JP,001,2.91
2018-02-01,JP,001,2.35
2018-01-01,JP,001,1.42
2017-12-01,JP,001,0.8
2017-11-01,JP,001,1.16
2017-10-01,JP,001,0.94
2017-09-01,JP,001,1.13
2017-08-01,JP,001,1.29
2017-07-01,JP,001,0.91
2017-06-01,JP,001,0.94
2017-05-01,JP,001,1.17
2017-04-01,JP,001,1.25
2017-03-01,JP,001,1.08
2017-02-01,JP,001,0.8
2017-01-01,JP,001,0.72
2016-12-01,JP,001,1.25
2016-11-01,JP,001,1.11
2016-10-01,JP,001,0.94
2016-09-01,JP,001,0.87
2016-08-01,JP,001,1.3
2016-07-01,JP,001,1.51
2016-06-01,JP,001,1.1
2016-05-01,JP,001,0.72
2016-04-01,JP,001,0.83
2016-03-01,JP,001,0.33
2016-02-01,JP,001,0.47
2016-01-01,JP,001,1.45
2015-12-01,JP,001,0.47
2015-11-01,JP,001,0.19
2015-10-01,JP,001,0.73
2015-09-01,JP,001,0.65
2015-08-01,JP,001,0.34
2015-07-01,JP,001,0.45
2015-06-01,JP,001,0.66
2015-05-01,JP,001,0.11
2015-04-01,JP,001,0.16
2015-03-01,JP,001,0.41
2015-02-01,JP,001,0.71
2015-01-01,JP,001,0.83
2014-12-01,JP,001,0.68
2014-11-01,JP,001,0.09
2014-10-01,JP,001,0.45
2014-09-01,JP,001,0.77
2014-08-01,JP,001,0.92
2014-07-01,JP,001,0.82
2014-06-01,JP,001,0.96
2014-05-01,JP,001,1.01
2014-04-01,JP,001,0.49
2014-03-01,JP,001,0.91
2014-02-01,JP,001,0.74
2014-01-01,JP,001,0.62
2013-12-01,JP,001,1.55
2013-11-01,JP,001,1.25
2013-10-01,JP,001,0.81
2013-09-01,JP,001,0.89
2013-08-01,JP,001,0.56
2013-07-01,JP,001,0.62
2013-06-01,JP,001,0.55
2013-05-01,JP,001,0.76
2013-04-01,JP,001,0.67
2013-03-01,JP,001,0.59
2013-02-01,JP,001,0.34
2013-01-01,JP,001,0.37
2012-12-01,JP,001,-0.53
2012-11-01,JP,001,0.0
2012-10-01,JP,001,0.29
2012-09-01,JP,001,-0.11
2012-08-01,JP,001,0.05
2012-07-01,JP,001,-0.06
2012-06-01,JP,001,-0.02
2012-05-01,JP,001,-0.39
2012-04-01,JP,001,-0.33
2012-03-01,JP,001,-0.29
2012-02-01,JP,001,-0.54
2012-01-01,JP,001,-0.69
2011-12-01,JP,001,-0.08
2011-11-01,JP,001,0.17
2011-10-01,JP,001,-0.25
2011-09-01,JP,001,-0.41
2011-08-01,JP,001,-0.51
2011-07-01,JP,001,-0.35
2011-06-01,JP,001,-0.11
2011-05-01,JP,001,-0.06
2011-04-01,JP,001,-0.06
2011-03-01,JP,001,-0.13
2011-02-01,JP,001,0.72
2011-01-01,JP,001,0.18
2010-12-01,JP,001,0.88
2010-11-01,JP,001,0.61
2010-10-01,JP,001,0.94
2010-09-01,JP,001,0.91
2010-08-01,JP,001,0.38
2010-07-01,JP,001,0.69
2010-06-01,JP,001,0.33
2010-05-01,JP,001,-0.11
2010-04-01,JP,001,-0.21
2010-03-01,JP,001,0.06
2010-02-01,JP,001,-0.67
2010-01-01,JP,001,-0.67
2009-12-01,JP,001,-1.71
2009-11-01,JP,001,-2.05
2009-10-01,JP,001,-1.83
2009-09-01,JP,001,-1.53
2009-08-01,JP,001,-1.7
2009-07-01,JP,001,-2.12
2009-06-01,JP,001,-2.34
2009-05-01,JP,001,-2.1
2009-04-01,JP,001,-1.66
2009-03-01,JP,001,-1.44
2009-02-01,JP,001,-0.43
2009-01-01,JP,001,-0.46
2008-12-01,JP,001,-1.02
2008-11-01,JP,001,-0.65
2008-10-01,JP,001,-0.56
2008-09-01,JP,001,-0.45
2008-08-01,JP,001,-0.64
2008-07-01,JP,001,-0.81
2008-06-01,JP,001,-0.62
2008-05-01,JP,001,-0.32
2008-04-01,JP,001,-0.23
2008-03-01,JP,001,-0.24
2008-02-01,JP,001,-0.16
2008-01-01,JP,001,0.68
2007-12-01,JP,001,0.66
2007-11-01,JP,001,0.36
2007-10-01,JP,001,-0.2
2007-09-01,JP,001,-0.14
2007-08-01,JP,001,0.3
2007-07-01,JP,001,0.58
2007-06-01,JP,001,0.82
2007-05-01,JP,001,0.79
2007-04-01,JP,001,1.19
2007-03-01,JP,001,0.68
2007-02-01,JP,001,0.48
2007-01-01,JP,001,0.14
2006-12-01,JP,001,0.62
2006-11-01,JP,001,1.04
2006-10-01,JP,001,0.44
2006-09-01,JP,001,-0.09
2006-08-01,JP,001,0.34
2006-07-01,JP,001,0.17
2006-06-01,JP,001,0.31
2006-05-01,JP,001,0.2
2006-04-01,JP,001,0.25
2006-03-01,JP,001,0.77
2006-02-01,JP,001,0.77
2006-01-01,JP,001,0.13
2005-12-01,JP,001,0.14
2005-11-01,JP,001,0.35
2005-10-01,JP,001,0.9
2005-09-01,JP,001,1.07
2005-08-01,JP,001,0.16
2005-07-01,JP,001,0.58
2005-06-01,JP,001,0.69
2005-05-01,JP,001,0.72
2005-04-01,JP,001,-0.03
2005-03-01,JP,001,-0.3
2005-02-01,JP,001,0.24
2005-01-01,JP,001,0.64
2004-12-01,JP,001,-0.02
2004-11-01,JP,001,-0.02
2004-10-01,JP,001,0.24
2004-09-01,JP,001,0.36
2004-08-01,JP,001,0.53
2004-07-01,JP,001,-0.13
2004-06-01,JP,001,-0.58
2004-05-01,JP,001,0.46
2004-04-01,JP,001,0.76
2004-03-01,JP,001,0.21
2004-02-01,JP,001,0.26
2004-01-01,JP,001,0.29
2003-12-01,JP,001,0.25
2003-11-01,JP,001,-0.36
2003-10-01,JP,001,-0.28
2003-09-01,JP,001,-0.11
2003-08-01,JP,001,-0.16
2003-07-01,JP,001,0.11
2003-06-01,JP,001,0.6
2003-05-01,JP,001,0.06
2003-04-01,JP,001,-0.43
2003-03-01,JP,001,-0.49
2003-02-01,JP,001,-0.88
2003-01-01,JP,001,-1.02
2002-12-01,JP,001,-1.12
2002-11-01,JP,001,-1.31
2002-10-01,JP,001,-0.78
2002-09-01,JP,001,-0.67
2002-08-01,JP,001,-1.12
2002-07-01,JP,001,-1.21
2002-06-01,JP,001,-1.44
2002-05-01,JP,001,-1.81
2002-04-01,JP,001,-1.46
2002-03-01,JP,001,-1.29
2002-02-01,JP,001,-1.64
2002-01-01,JP,001,-1.46
2001-12-01,JP,001,-1.21
2001-11-01,JP,001,-1.11
2001-10-01,JP,001,-1.58
2001-09-01,JP,001,-1.3
2001-08-01,JP,001,-0.59
2001-07-01,JP,001,-0.57
2001-06-01,JP,001,-0.57
2001-05-01,JP,001,-0.46
2001-04-01,JP,001,-0.2
2001-03-01,JP,001,0.54
2001-02-01,JP,001,0.65
2001-01-01,JP,001,0.08
2000-12-01,JP,001,0.2
2000-11-01,JP,001,0.32
2000-10-01,JP,001,0.12
2000-09-01,JP,001,-0.52
2000-08-01,JP,001,-0.46
2000-07-01,JP,001,-0.11
2000-06-01,JP,001,-0.25
2000-05-01,JP,001,-0.44
2000-04-01,JP,001,-0.45
2000-03-01,JP,001,-0.63
2000-02-01,JP,001,-0.38
2000-01-01,JP,001,-0.38
1999-12-01,JP,001,-0.26
1999-11-01,JP,001,0.0
1999-10-01,JP,001,-0.4
1999-09-01,JP,001,-0.18
1999-08-01,JP,001,-0.52
1999-07-01,JP,001,-1.23
1999-06-01,JP,001,-1.35
1999-05-01,JP,001,-1.0
1999-04-01,JP,001,-0.96
1999-03-01,JP,001,-1.28
1999-02-01,JP,001,-1.19
1999-01-01,JP,001,-1.18
1998-12-01,JP,001,-0.98
1998-11-01,JP,001,-0.74
1998-10-01,JP,001,-1.08
1998-09-01,JP,001,-1.06
1998-08-01,JP,001,-0.68
1998-07-01,JP,001,-1.08
1998-06-01,JP,001,-1.06
1998-05-01,JP,001,-0.51
1998-04-01,JP,001,-0.64
1998-03-01,JP,001,-0.32
1998-02-01,JP,001,-0.09
1998-01-01,JP,001,0.55
1997-12-01,JP,001,0.82
1997-11-01,JP,001,0.49
1997-10-01,JP,001,0.79
1997-09-01,JP,001,0.43
1997-08-01,JP,001,0.73
1997-07-01,JP,001,0.91
1997-06-01,JP,001,1.35
1997-05-01,JP,001,1.56
1997-04-01,JP,001,1.2
1997-03-01,JP,001,1.42
1997-02-01,JP,001,1.89
1997-01-01,JP,001,1.57
1996-12-01,JP,001,0.88
1996-11-01,JP,001,0.9
1996-10-01,JP,001,0.75
1996-09-01,JP,001,0.58
1996-08-01,JP,001,0.74
1996-07-01,JP,001,0.72
1996-06-01,JP,001,0.49
1996-05-01,JP,001,0.06
1996-04-01,JP,001,0.31
1996-03-01,JP,001,0.27
1996-02-01,JP,001,-0.27
1996-01-01,JP,001,-0.03
1995-12-01,JP,001,-0.17
1995-11-01,JP,001,-0.28
1995-10-01,JP,001,0.25
1995-09-01,JP,001,0.71
1995-08-01,JP,001,0.06
1995-07-01,JP,001,0.4
1995-06-01,JP,001,0.09
1995-05-01,JP,001,-0.47
1995-04-01,JP,001,-0.31
1995-03-01,JP,001,0.25
1995-02-01,JP,001,0.19
1995-01-01,JP,001,-0.03
1994-12-01,JP,001,-0.34
1994-11-01,JP,001,-0.4
1994-10-01,JP,001,-0.32
1994-09-01,JP,001,-0.14
1994-08-01,JP,001,-0.06
1994-07-01,JP,001,-0.06
1994-06-01,JP,001,0.23
1994-05-01,JP,001,0.46
1994-04-01,JP,001,0.36
1994-03-01,JP,001,-0.3
1994-02-01,JP,001,0.27
1994-01-01,JP,001,0.44
2019-02-01,JP,002,99.98
2019-01-01,JP,002,99.38
2018-12-01,JP,002,101.58
2018-11-01,JP,002,101.98
2018-10-01,JP,002,101.78
2018-09-01,JP,002,100.98
2018-08-01,JP,002,100.98
2018-07-01,JP,002,101.58
2018-06-01,JP,002,101.88
2018-05-01,JP,002,101.08
2018-04-01,JP,002,102.48
2018-03-01,JP,002,101.48
2018-02-01,JP,002,100.18
2018-01-01,JP,002,99.98
2017-12-01,JP,002,100.98
2017-11-01,JP,002,100.68
2017-10-01,JP,002,100.68
2017-09-01,JP,002,100.58
2017-08-01,JP,002,99.98
2017-07-01,JP,002,100.78
2017-06-01,JP,002,100.88
2017-05-01,JP,002,99.98
2017-04-01,JP,002,101.78
2017-03-01,JP,002,100.48
2017-02-01,JP,002,99.68
2017-01-01,JP,002,99.18
2016-12-01,JP,002,100.38
2016-11-01,JP,002,100.18
2016-10-01,JP,002,100.28
2016-09-01,JP,002,99.78
2016-08-01,JP,002,99.48
2016-07-01,JP,002,100.28
2016-06-01,JP,002,100.38
2016-05-01,JP,002,99.38
2016-04-01,JP,002,101.28
2016-03-01,JP,002,100.48
2016-02-01,JP,002,99.48
2016-01-01,JP,002,98.68
2015-12-01,JP,002,99.88
2015-11-01,JP,002,99.88
2015-10-01,JP,002,100.08
2015-09-01,JP,002,99.58
2015-08-01,JP,002,99.38
2015-07-01,JP,002,99.98
2015-06-01,JP,002,100.28
2015-05-01,JP,002,99.38
2015-04-01,JP,002,101.28
2015-03-01,JP,002,99.78
2015-02-01,JP,002,98.98
2015-01-01,JP,002,98.78
2014-12-01,JP,002,99.38
2014-11-01,JP,002,99.28
2014-10-01,JP,002,99.48
2014-09-01,JP,002,99.08
2014-08-01,JP,002,98.88
2014-07-01,JP,002,99.28
2014-06-01,JP,002,99.38
2014-05-01,JP,002,98.98
2014-04-01,JP,002,100.48
2014-03-01,JP,002,99.28
2014-02-01,JP,002,98.38
2014-01-01,JP,002,98.18
2013-12-01,JP,002,98.98
2013-11-01,JP,002,99.18
2013-10-01,JP,002,99.28
2013-09-01,JP,002,98.58
2013-08-01,JP,002,98.68
2013-07-01,JP,002,98.68
2013-06-01,JP,002,99.08
2013-05-01,JP,002,98.78
2013-04-01,JP,002,100.38
2013-03-01,JP,002,99.18
2013-02-01,JP,002,98.78
2013-01-01,JP,002,98.08
2012-12-01,JP,002,99.38
2012-11-01,JP,002,99.48
2012-10-01,JP,002,99.58
2012-09-01,JP,002,99.18
2012-08-01,JP,002,99.18
2012-07-01,JP,002,99.68
2012-06-01,JP,002,100.08
2012-05-01,JP,002,99.58
2012-04-01,JP,002,101.08
2012-03-01,JP,002,100.88
2012-02-01,JP,002,100.18
2012-01-01,JP,002,99.28
2011-12-01,JP,002,100.28
2011-11-01,JP,002,100.28
2011-10-01,JP,002,100.48
2011-09-01,JP,002,99.88
2011-08-01,JP,002,99.28
2011-07-01,JP,002,99.88
2011-06-01,JP,002,100.08
2011-05-01,JP,002,98.68
2011-04-01,JP,002,100.38
2011-03-01,JP,002,99.78
2011-02-01,JP,002,99.68
2011-01-01,JP,002,99.28
2010-12-01,JP,002,100.38
2010-11-01,JP,002,100.08
2010-10-01,JP,002,100.28
2010-09-01,JP,002,99.88
2010-08-01,JP,002,99.68
2010-07-01,JP,002,99.98
2010-06-01,JP,002,100.28
2010-05-01,JP,002,99.28
2010-04-01,JP,002,101.28
2010-03-01,JP,002,100.48
2010-02-01,JP,002,99.38
2010-01-01,JP,002,98.98
2009-12-01,JP,002,99.78
2009-11-01,JP,002,99.68
2009-10-01,JP,002,99.68
2009-09-01,JP,002,99.18
2009-08-01,JP,002,98.98
2009-07-01,JP,002,99.18
2009-06-01,JP,002,99.18
2009-05-01,JP,002,98.58
2009-04-01,JP,002,100.28
2009-03-01,JP,002,99.28
2009-02-01,JP,002,99.88
2009-01-01,JP,002,99.38
2008-12-01,JP,002,100.78
2008-11-01,JP,002,101.38
2008-10-01,JP,002,101.88
2008-09-01,JP,002,101.58
2008-08-01,JP,002,101.58
2008-07-01,JP,002,102.28
2008-06-01,JP,002,102.18
2008-05-01,JP,002,101.98
2008-04-01,JP,002,103.98
2008-03-01,JP,002,103.28
2008-02-01,JP,002,102.88
2008-01-01,JP,002,102.18
2007-12-01,JP,002,103.18
2007-11-01,JP,002,103.18
2007-10-01,JP,002,103.08
2007-09-01,JP,002,102.58
2007-08-01,JP,002,102.38
2007-07-01,JP,002,102.98
2007-06-01,JP,002,103.08
2007-05-01,JP,002,102.58
2007-04-01,JP,002,104.28
2007-03-01,JP,002,103.08
2007-02-01,JP,002,102.68
2007-01-01,JP,002,102.68
2006-12-01,JP,002,103.48
2006-11-01,JP,002,103.28
2006-10-01,JP,002,103.58
2006-09-01,JP,002,102.88
2006-08-01,JP,002,102.38
2006-07-01,JP,002,102.88
2006-06-01,JP,002,103.28
2006-05-01,JP,002,102.28
2006-04-01,JP,002,104.28
2006-03-01,JP,002,103.38
2006-02-01,JP,002,102.48
2006-01-01,JP,002,101.88
2005-12-01,JP,002,103.38
2005-11-01,JP,002,103.28
2005-10-01,JP,002,102.88
2005-09-01,JP,002,102.18
2005-08-01,JP,002,101.88
2005-07-01,JP,002,102.38
2005-06-01,JP,002,102.28
2005-05-01,JP,002,101.48
2005-04-01,JP,002,103.48
2005-03-01,JP,002,102.18
2005-02-01,JP,002,101.78
2005-01-01,JP,002,101.28
2004-12-01,JP,002,102.18
2004-11-01,JP,002,102.08
2004-10-01,JP,002,101.98
