date,country_code,indicator_code,value
2018-01-01,KE,001,65.69
2017-01-01,KE,001,-13333.33
2016-01-01,KE,001,829.7
2015-01-01,KE,001,847.3
2014-01-01,KE,001,838.8
2013-01-01,KE,001,755.8
2012-01-01,KE,001,645.0
2011-01-01,KE,001,10057.1
2010-01-01,KE,001,58.0
2009-01-01,KE,001,57.2
2008-01-01,KE,001,34.1
2007-01-01,KE,001,52.2
2006-01-01,KE,001,46.0
2005-01-01,KE,001,46.9
2004-01-01,KE,001,37.4
2003-01-01,KE,001,27.6
2002-01-01,KE,001,22.6
2001-01-01,KE,001,-18.3
2000-01-01,KE,001,6.7
1999-01-01,KE,001,10.3
1998-01-01,KE,001,31.0
1997-01-01,KE,001,28.6
1996-01-01,KE,001,61.8
1995-01-01,KE,001,51.5
1994-01-01,KE,001,30.0
1993-01-01,KE,001,13.4
1992-01-01,KE,001,20.4
1991-01-01,KE,001,32.3
1990-01-01,KE,001,41.0
1989-01-01,KE,001,22.5
1988-01-01,KE,001,71.8
1987-01-01,KE,001,47.5
1986-01-01,KE,001,52.2
1985-01-01,KE,001,54.7
1984-01-01,KE,001,26.4
1983-01-01,KE,001,47.3
1982-01-01,KE,001,21.7
1981-01-01,KE,001,18.5
1980-01-01,KE,001,33.5
1979-01-01,KE,001,60.8
1978-01-01,KE,001,8.6
1977-01-01,KE,001,45.4
1976-01-01,KE,001,38.4
1975-01-01,KE,001,-7.2
1974-01-01,KE,001,64.9
1973-01-01,KE,001,41.6
2018-01-01,KE,004,-875284.0
2017-01-01,KE,004,-894089.0
2016-01-01,KE,004,-633728.0
2015-01-01,KE,004,-692922.0
2014-01-01,KE,004,-794424.0
2013-01-01,KE,004,-630253.0
2012-01-01,KE,004,-567204.0
2011-01-01,KE,004,-640736.0
2010-01-01,KE,004,-409253.0
2009-01-01,KE,004,-309232.0
2008-01-01,KE,004,-303690.0
2007-01-01,KE,004,-216357.0
2006-01-01,KE,004,-172548.0
2005-01-01,KE,004,-105624.0
2004-01-01,KE,004,-79728.0
2003-01-01,KE,004,-67439.0
2002-01-01,KE,004,-55669.0
2001-01-01,KE,004,-102876.0
2000-01-01,KE,004,-98080.0
1999-01-01,KE,004,-59193.0
1998-01-01,KE,004,-72818.0
1997-01-01,KE,004,-66897.0
1996-01-01,KE,004,-47547.0
1995-01-01,KE,004,-30531.0
1994-01-01,KE,004,11276.0
1993-01-01,KE,004,16510.0
1992-01-01,KE,004,-1085.0
1991-01-01,KE,004,-3396.0
1990-01-01,KE,004,-11070.0
1989-01-01,KE,004,-12082.0
1988-01-01,KE,004,-7759.0
1987-01-01,KE,004,-6679.0
1986-01-01,KE,004,-4751.0
1985-01-01,KE,004,-4887.0
1984-01-01,KE,004,-4734.0
1983-01-01,KE,004,-1801.0
1982-01-01,KE,004,-3443.0
1981-01-01,KE,004,-2084.0
1980-01-01,KE,004,-3441.0
1979-01-01,KE,004,-2730.0
1978-01-01,KE,004,-3998.0
1977-01-01,KE,004,1252.0
1976-01-01,KE,004,202.0
1975-01-01,KE,004,-1122.0
1974-01-01,KE,004,-1532.0
1973-01-01,KE,004,-224.0
1972-01-01,KE,004,-322.0
1971-01-01,KE,004,-832.0
1970-01-01,KE,004,-96.0
1969-01-01,KE,004,150.0
1968-01-01,KE,004,10.0
1967-01-01,KE,004,-80.0
1966-01-01,KE,004,128.0
1965-01-01,KE,004,50.0
1964-01-01,KE,004,298.0
1963-01-01,KE,004,203.0
1962-01-01,KE,004,119.0
1961-01-01,KE,004,90.0
1960-01-01,KE,004,-146.0
2019-05-01,KE,005,12.47
2019-04-01,KE,005,12.5
2019-03-01,KE,005,12.51
2019-02-01,KE,005,12.47
2019-01-01,KE,005,12.5
2018-12-01,KE,005,12.51
2018-11-01,KE,005,12.55
2018-10-01,KE,005,12.61
2018-09-01,KE,005,12.66
2018-08-01,KE,005,12.78
2018-07-01,KE,005,13.1
2018-06-01,KE,005,13.22
2018-05-01,KE,005,13.25
2018-04-01,KE,005,13.24
2018-03-01,KE,005,13.49
2018-02-01,KE,005,13.68
2018-01-01,KE,005,13.65
2017-12-01,KE,005,13.64
2017-11-01,KE,005,13.68
2017-10-01,KE,005,13.71
2017-09-01,KE,005,13.69
2017-08-01,KE,005,13.65
