date,country_code,indicator_code,value
2020-02-01,KG,001,1756.0
2020-01-01,KG,001,-4006.0
2019-12-01,KG,001,-109.0
2019-11-01,KG,001,618.0
2019-10-01,KG,001,1102.0
2019-09-01,KG,001,1272.0
2019-08-01,KG,001,-423.0
2019-07-01,KG,001,688.0
2019-06-01,KG,001,1348.0
2019-05-01,KG,001,-662.0
2019-04-01,KG,001,2316.0
2019-03-01,KG,001,2808.0
2019-02-01,KG,001,-47.0
2019-01-01,KG,001,-3117.0
2018-12-01,KG,001,195.0
2018-11-01,KG,001,-1157.0
2018-10-01,KG,001,1312.0
2018-09-01,KG,001,-1436.0
2018-08-01,KG,001,-1894.0
2018-07-01,KG,001,-152.0
2018-06-01,KG,001,2535.0
2018-05-01,KG,001,-178.0
2018-04-01,KG,001,2674.0
2018-03-01,KG,001,3425.0
2018-02-01,KG,001,285.0
2018-01-01,KG,001,-4739.0
2017-12-01,KG,001,-1445.0
2017-11-01,KG,001,1259.0
2017-10-01,KG,001,-457.0
2017-09-01,KG,001,4447.0
2017-08-01,KG,001,979.0
2017-07-01,KG,001,-1704.0
2017-06-01,KG,001,1113.0
2017-05-01,KG,001,1845.0
2017-04-01,KG,001,1393.0
2017-03-01,KG,001,3344.0
2017-02-01,KG,001,863.0
2017-01-01,KG,001,-6672.0
2016-12-01,KG,001,499.0
2016-11-01,KG,001,41.0
2016-10-01,KG,001,2186.0
2016-09-01,KG,001,3112.0
2016-08-01,KG,001,-1344.0
2016-07-01,KG,001,253.0
2016-06-01,KG,001,1402.0
2016-05-01,KG,001,-922.0
2016-04-01,KG,001,2545.0
2016-03-01,KG,001,2429.0
2016-02-01,KG,001,685.0
2016-01-01,KG,001,-5522.0
2015-12-01,KG,001,-444.0
2015-11-01,KG,001,304.0
2015-10-01,KG,001,769.0
2015-09-01,KG,001,5188.0
2015-08-01,KG,001,-1908.0
2015-07-01,KG,001,-1279.0
2015-06-01,KG,001,1073.0
2015-05-01,KG,001,42.0
2015-04-01,KG,001,1407.0
2015-03-01,KG,001,3317.0
2015-02-01,KG,001,342.0
2015-01-01,KG,001,-4676.0
2014-12-01,KG,001,1826.0
2014-11-01,KG,001,1885.0
2014-10-01,KG,001,143.0
2014-09-01,KG,001,1986.0
2014-08-01,KG,001,-4067.0
2014-07-01,KG,001,-742.0
2014-06-01,KG,001,1996.0
2014-05-01,KG,001,978.0
2014-04-01,KG,001,2305.0
2014-03-01,KG,001,2964.0
2014-02-01,KG,001,63.0
2014-01-01,KG,001,-6095.0
2013-12-01,KG,001,1070.0
2013-11-01,KG,001,1019.0
2013-10-01,KG,001,-816.0
2013-09-01,KG,001,3373.0
2013-08-01,KG,001,-838.0
2013-07-01,KG,001,-1192.0
2013-06-01,KG,001,446.0
2013-05-01,KG,001,798.0
2013-04-01,KG,001,504.0
2013-03-01,KG,001,3539.0
2013-02-01,KG,001,1680.0
2013-01-01,KG,001,-4556.0
2012-12-01,KG,001,1384.0
2012-11-01,KG,001,-649.0
2012-10-01,KG,001,101.0
2012-09-01,KG,001,1063.0
2012-08-01,KG,001,-1132.0
2012-07-01,KG,001,975.0
2012-06-01,KG,001,1207.0
2012-05-01,KG,001,78.0
2012-04-01,KG,001,610.0
2012-03-01,KG,001,3053.0
2012-02-01,KG,001,-390.0
2012-01-01,KG,001,-7273.0
2011-12-01,KG,001,1907.0
2011-11-01,KG,001,1420.0
2011-10-01,KG,001,3829.0
2011-09-01,KG,001,4616.0
2011-08-01,KG,001,-287.0
2011-07-01,KG,001,374.0
2011-06-01,KG,001,1230.0
2011-05-01,KG,001,3840.0
2011-04-01,KG,001,226.0
2011-03-01,KG,001,3261.0
2011-02-01,KG,001,2943.0
2011-01-01,KG,001,-4249.0
2010-12-01,KG,001,1305.0
2010-11-01,KG,001,406.0
2010-10-01,KG,001,-824.0
2010-09-01,KG,001,2177.0
2010-08-01,KG,001,-2844.0
2010-07-01,KG,001,-1434.0
2010-06-01,KG,001,832.0
2010-05-01,KG,001,-179.0
2010-04-01,KG,001,781.0
2010-03-01,KG,001,2529.0
2010-02-01,KG,001,2639.0
2010-01-01,KG,001,-9881.0
2009-12-01,KG,001,572.0
2009-11-01,KG,001,-117.0
2009-10-01,KG,001,-736.0
2009-09-01,KG,001,2133.0
2009-08-01,KG,001,-308.0
2009-07-01,KG,001,-2230.0
2009-06-01,KG,001,1115.0
2009-05-01,KG,001,-160.0
2009-04-01,KG,001,-454.0
2009-03-01,KG,001,-648.0
2009-02-01,KG,001,1838.0
2009-01-01,KG,001,-7190.0
2008-12-01,KG,001,-2539.0
2008-11-01,KG,001,1717.0
2008-10-01,KG,001,-2637.0
2008-09-01,KG,001,2787.0
2008-08-01,KG,001,-595.0
2008-07-01,KG,001,-912.0
2008-06-01,KG,001,2186.0
2008-05-01,KG,001,72.0
2008-04-01,KG,001,812.0
2008-03-01,KG,001,-30.0
2008-02-01,KG,001,2717.0
2008-01-01,KG,001,-3687.0
2007-12-01,KG,001,1577.0
2007-11-01,KG,001,587.0
2007-10-01,KG,001,502.0
2007-09-01,KG,001,2631.0
2007-08-01,KG,001,-2134.0
2007-07-01,KG,001,-957.0
2007-06-01,KG,001,1406.0
2007-05-01,KG,001,-171.0
2007-04-01,KG,001,1533.0
2007-03-01,KG,001,2021.0
2007-02-01,KG,001,-1731.0
2007-01-01,KG,001,-11106.0
2006-12-01,KG,001,871.0
2006-11-01,KG,001,155.0
2006-10-01,KG,001,-2216.0
2006-09-01,KG,001,-1433.0
2006-08-01,KG,001,1131.0
2006-07-01,KG,001,-2450.0
2006-06-01,KG,001,3000.0
2006-05-01,KG,001,1884.0
2006-04-01,KG,001,2556.0
2006-03-01,KG,001,11083.0
2006-02-01,KG,001,-2609.0
2006-01-01,KG,001,2309.0
2005-12-01,KG,001,-557.0
2005-11-01,KG,001,306.0
2005-10-01,KG,001,-544.0
2005-09-01,KG,001,635.0
2005-08-01,KG,001,101.0
2005-07-01,KG,001,1786.0
2005-06-01,KG,001,522.0
2005-05-01,KG,001,1108.0
2005-04-01,KG,001,-2289.0
2005-03-01,KG,001,3979.0
2005-02-01,KG,001,-452.0
2005-01-01,KG,001,-5162.0
2004-12-01,KG,001,-142.0
2004-11-01,KG,001,2408.0
2004-10-01,KG,001,-1117.0
2004-09-01,KG,001,684.0
2004-08-01,KG,001,-1375.0
2004-07-01,KG,001,1130.0
2004-06-01,KG,001,1050.0
2004-05-01,KG,001,173.0
2004-04-01,KG,001,358.0
2004-03-01,KG,001,1096.0
2004-02-01,KG,001,1510.0
2001-12-01,KG,001,1191.0
2001-11-01,KG,001,212.0
2001-10-01,KG,001,-4016.0
2001-09-01,KG,001,1525.0
2001-08-01,KG,001,-723.0
2001-07-01,KG,001,-4000.0
2001-06-01,KG,001,-300.0
2001-05-01,KG,001,-17600.0
2001-04-01,KG,001,-800.0
2001-03-01,KG,001,1900.0
2001-02-01,KG,001,-900.0
2001-01-01,KG,001,1500.0
2000-12-01,KG,001,-2800.0
2000-11-01,KG,001,200.0
2000-10-01,KG,001,-5700.0
2000-09-01,KG,001,2100.0
2000-08-01,KG,001,-900.0
2000-07-01,KG,001,-5100.0
2000-06-01,KG,001,4900.0
2000-05-01,KG,001,-1700.0
2000-04-01,KG,001,-3900.0
2000-03-01,KG,001,3800.0
2000-02-01,KG,001,-1500.0
2000-01-01,KG,001,-11400.0
1999-12-01,KG,001,-1200.0
1999-11-01,KG,001,500.0
1999-10-01,KG,001,-3700.0
1999-09-01,KG,001,1500.0
1999-08-01,KG,001,-100.0
1999-07-01,KG,001,-2000.0
1999-06-01,KG,001,4500.0
1999-05-01,KG,001,-2300.0
1999-04-01,KG,001,-2600.0
1999-03-01,KG,001,-5000.0
1999-02-01,KG,001,-1600.0
2016-10-01,KG,002,197.77
2016-09-01,KG,002,198.58
2016-08-01,KG,002,195.24
2016-07-01,KG,002,201.31
2016-06-01,KG,002,216.15
2016-05-01,KG,002,194.64
2016-04-01,KG,002,192.28
2016-03-01,KG,002,200.08
2016-02-01,KG,002,184.33
2016-01-01,KG,002,184.85
2015-12-01,KG,002,251.24
2015-11-01,KG,002,188.08
2015-10-01,KG,002,187.96
2015-09-01,KG,002,189.54
2015-08-01,KG,002,177.94
2015-07-01,KG,002,187.05
2015-06-01,KG,002,191.47
2015-05-01,KG,002,176.52
2015-04-01,KG,002,174.06
2015-03-01,KG,002,179.52
2015-02-01,KG,002,164.01
2015-01-01,KG,002,163.81
2014-12-01,KG,002,233.17
2014-11-01,KG,002,171.63
2014-10-01,KG,002,174.13
2014-09-01,KG,002,170.01
2014-08-01,KG,002,171.48
2014-07-01,KG,002,174.08
2014-06-01,KG,002,178.36
2014-05-01,KG,002,170.87
2014-04-01,KG,002,167.59
2014-03-01,KG,002,170.6
2014-02-01,KG,002,153.94
2014-01-01,KG,002,154.27
2013-12-01,KG,002,212.02
2013-11-01,KG,002,156.22
2013-10-01,KG,002,159.4
2013-09-01,KG,002,153.58
2013-08-01,KG,002,154.76
2013-07-01,KG,002,161.95
2013-06-01,KG,002,165.0
2013-05-01,KG,002,157.66
2013-04-01,KG,002,154.61
2013-03-01,KG,002,157.23
2013-02-01,KG,002,145.47
2013-01-01,KG,002,143.63
2012-12-01,KG,002,201.95
2012-11-01,KG,002,148.4
2012-10-01,KG,002,150.67
2012-09-01,KG,002,149.81
2012-08-01,KG,002,146.67
2012-07-01,KG,002,152.66
2012-06-01,KG,002,159.4
2012-05-01,KG,002,151.21
2012-04-01,KG,002,143.91
2012-03-01,KG,002,151.63
2012-02-01,KG,002,137.97
2012-01-01,KG,002,136.05
2011-12-01,KG,002,196.77
2011-11-01,KG,002,140.95
2011-10-01,KG,002,141.65
2011-09-01,KG,002,136.33
2011-08-01,KG,002,131.91
2011-07-01,KG,002,134.56
2011-06-01,KG,002,137.39
2011-05-01,KG,002,129.39
2011-04-01,KG,002,109.27
2011-03-01,KG,002,108.03
2011-02-01,KG,002,101.48
2011-01-01,KG,002,99.4
2010-12-01,KG,002,141.49
2010-11-01,KG,002,101.59
2010-10-01,KG,002,100.48
2010-09-01,KG,002,100.76
2010-08-01,KG,002,96.88
2010-07-01,KG,002,102.82
2010-06-01,KG,002,101.81
2010-05-01,KG,002,94.5
2010-04-01,KG,002,94.15
2010-03-01,KG,002,94.99
2010-02-01,KG,002,86.51
2010-01-01,KG,002,84.03
2009-12-01,KG,002,118.77
2009-11-01,KG,002,86.41
2009-10-01,KG,002,88.11
2009-09-01,KG,002,86.85
2009-08-01,KG,002,86.99
2009-07-01,KG,002,89.77
2009-06-01,KG,002,90.83
2009-05-01,KG,002,86.07
2009-04-01,KG,002,82.49
2009-03-01,KG,002,82.33
2009-02-01,KG,002,76.98
2009-01-01,KG,002,74.99
2008-12-01,KG,002,107.6
2008-11-01,KG,002,77.18
2008-10-01,KG,002,79.32
2008-09-01,KG,002,76.87
2008-08-01,KG,002,73.83
2008-07-01,KG,002,78.77
2008-06-01,KG,002,78.92
2008-05-01,KG,002,72.11
2008-04-01,KG,002,71.27
2008-03-01,KG,002,72.44
2008-02-01,KG,002,62.66
2008-01-01,KG,002,60.76
2007-12-01,KG,002,79.28
2007-11-01,KG,002,57.6
2007-10-01,KG,002,58.08
2007-09-01,KG,002,55.64
2007-08-01,KG,002,54.34
2007-07-01,KG,002,56.42
2007-06-01,KG,002,59.7
2007-05-01,KG,002,52.82
2007-04-01,KG,002,51.62
2007-03-01,KG,002,53.19
2007-02-01,KG,002,47.61
2007-01-01,KG,002,44.08
2006-12-01,KG,002,61.71
2006-11-01,KG,002,43.86
2006-10-01,KG,002,44.95
2006-09-01,KG,002,44.07
2006-08-01,KG,002,41.85
2006-07-01,KG,002,42.88
2006-06-01,KG,002,43.55
2006-05-01,KG,002,39.35
2006-04-01,KG,002,39.5
2006-03-01,KG,002,40.2
2006-02-01,KG,002,35.73
2006-01-01,KG,002,35.83
2005-12-01,KG,002,49.42
2005-11-01,KG,002,37.1
2005-10-01,KG,002,36.72
2005-09-01,KG,002,36.94
2005-08-01,KG,002,35.82
2005-07-01,KG,002,36.06
2005-06-01,KG,002,36.39
2005-05-01,KG,002,34.23
2005-04-01,KG,002,33.05
2005-03-01,KG,002,34.48
2005-02-01,KG,002,30.94
2005-01-01,KG,002,30.26
2004-12-01,KG,002,42.53
2004-11-01,KG,002,31.69
2004-10-01,KG,002,30.99
2004-09-01,KG,002,31.6
2004-08-01,KG,002,29.45
2004-07-01,KG,002,31.51
2004-06-01,KG,002,32.32
2004-05-01,KG,002,29.03
2004-04-01,KG,002,28.72
2004-03-01,KG,002,28.97
2004-02-01,KG,002,27.29
2004-01-01,KG,002,26.23
2001-12-01,KG,002,25.48
2001-11-01,KG,002,19.91
2001-10-01,KG,002,19.55
2001-09-01,KG,002,19.47
2001-08-01,KG,002,19.88
2001-07-01,KG,002,20.06
2001-06-01,KG,002,19.74
2001-05-01,KG,002,18.93
2001-04-01,KG,002,18.15
2001-03-01,KG,002,19.16
2001-02-01,KG,002,17.29
2001-01-01,KG,002,16.85
2000-12-01,KG,002,23.72
2000-11-01,KG,002,18.02
2000-10-01,KG,002,17.88
2000-09-01,KG,002,17.18
2000-08-01,KG,002,16.4
2000-07-01,KG,002,16.8
2000-06-01,KG,002,16.09
2000-05-01,KG,002,15.0
2000-04-01,KG,002,14.52
2000-03-01,KG,002,14.89
2000-02-01,KG,002,14.23
2000-01-01,KG,002,13.7
1999-12-01,KG,002,18.29
1999-11-01,KG,002,14.55
1999-10-01,KG,002,13.98
1999-09-01,KG,002,14.22
1999-08-01,KG,002,13.92
1999-07-01,KG,002,14.0
1999-06-01,KG,002,13.77
1999-05-01,KG,002,12.64
1999-04-01,KG,002,12.19
1999-03-01,KG,002,12.56
1999-02-01,KG,002,11.67
1999-01-01,KG,002,11.21
2018-01-01,KG,004,-198644.0
2017-01-01,KG,004,-170345.0
2016-01-01,KG,004,-162776.0
2015-01-01,KG,004,-174703.0
2014-01-01,KG,004,-201264.0
2013-01-01,KG,004,-175965.0
2012-01-01,KG,004,-157929.0
2011-01-01,KG,004,-77511.0
2010-01-01,KG,004,-66385.0
2009-01-01,KG,004,-48258.0
2008-01-01,KG,004,-73332.0
2007-01-01,KG,004,-44318.0
2006-01-01,KG,004,-42457.0
2005-01-01,KG,004,-18639.0
2004-01-01,KG,004,-8212.0
2003-01-01,KG,004,-5511.0
2002-01-01,KG,004,-2832.0
2001-01-01,KG,004,-220.0
2000-01-01,KG,004,-3748.0
1999-01-01,KG,004,-7211.0
1998-01-01,KG,004,-7364.0
1997-01-01,KG,004,-2425.0
1996-01-01,KG,004,-6042.0
1995-01-01,KG,004,-2081.0
1994-01-01,KG,004,-758.0
1993-01-01,KG,004,-409.0
1992-01-01,KG,004,-89.0
1991-01-01,KG,004,-1.0
1990-01-01,KG,004,-9.0
2020-02-01,KG,005,19.55
2020-01-01,KG,005,19.45
2019-12-01,KG,005,18.94
2019-11-01,KG,005,20.17
2019-10-01,KG,005,19.14
2019-09-01,KG,005,19.35
2019-08-01,KG,005,19.23
2019-07-01,KG,005,19.01
2019-06-01,KG,005,18.45
2019-05-01,KG,005,18.33
2019-04-01,KG,005,18.27
2019-03-01,KG,005,17.63
2019-02-01,KG,005,19.31
2019-01-01,KG,005,20.13
2018-12-01,KG,005,19.57
2018-11-01,KG,005,20.45
2018-10-01,KG,005,20.32
2018-09-01,KG,005,20.4
2018-08-01,KG,005,19.81
2018-07-01,KG,005,19.95
2018-06-01,KG,005,18.1
2018-05-01,KG,005,19.15
2018-04-01,KG,005,17.55
2018-03-01,KG,005,18.91
2018-02-01,KG,005,19.4
2018-01-01,KG,005,20.54
2017-12-01,KG,005,18.49
2017-11-01,KG,005,19.58
2017-10-01,KG,005,20.05
2017-09-01,KG,005,18.45
2017-08-01,KG,005,20.18
2017-07-01,KG,005,19.06
2017-06-01,KG,005,18.29
2017-05-01,KG,005,19.37
2017-04-01,KG,005,20.01
2017-03-01,KG,005,20.3
2017-02-01,KG,005,21.54
2017-01-01,KG,005,22.5
2016-12-01,KG,005,22.23
2016-11-01,KG,005,22.66
2016-10-01,KG,005,22.67
2016-09-01,KG,005,23.35
2016-08-01,KG,005,23.74
2016-07-01,KG,005,27.29
2016-06-01,KG,005,27.18
2016-05-01,KG,005,27.15
2016-04-01,KG,005,24.77
2016-03-01,KG,005,24.27
2016-02-01,KG,005,24.81
2016-01-01,KG,005,24.27
2015-12-01,KG,005,24.25
2015-11-01,KG,005,24.56
2015-10-01,KG,005,24.46
2015-09-01,KG,005,25.42
2015-08-01,KG,005,24.66
2015-07-01,KG,005,24.77
2015-06-01,KG,005,23.92
2015-05-01,KG,005,22.14
2015-04-01,KG,005,22.0
2015-03-01,KG,005,23.89
2015-02-01,KG,005,21.74
2015-01-01,KG,005,21.76
2014-12-01,KG,005,22.36
2014-11-01,KG,005,21.32
2014-10-01,KG,005,20.45
2014-09-01,KG,005,19.84
2014-08-01,KG,005,21.6
2014-07-01,KG,005,20.94
2014-06-01,KG,005,19.45
2014-05-01,KG,005,18.77
2014-04-01,KG,005,17.92
2014-03-01,KG,005,17.6
2014-02-01,KG,005,19.02
2014-01-01,KG,005,22.31
2013-12-01,KG,005,21.73
2013-11-01,KG,005,22.05
2013-10-01,KG,005,21.59
2013-09-01,KG,005,21.72
2013-08-01,KG,005,21.67
