date,country_code,indicator_code,value
2014-01-01,KH,001,10001.0
2013-01-01,KH,001,9604.0
2012-01-01,KH,001,9167.0
2011-01-01,KH,001,9037.6
2010-01-01,KH,001,8853.0
2009-01-01,KH,001,8865.0
2008-01-01,KH,001,8379.0
2007-01-01,KH,001,8232.0
2005-01-01,KH,001,7877.9
2004-01-01,KH,001,7495.6
2003-01-01,KH,001,6965.1
2002-01-01,KH,001,6571.3
2001-01-01,KH,001,6243.3
2000-01-01,KH,001,5917.5
1999-01-01,KH,001,5635.2
1998-01-01,KH,001,5549.8
1997-01-01,KH,001,5230.9
1996-01-01,KH,001,5123.9
1995-01-01,KH,001,4933.5
1994-01-01,KH,001,4728.0
1993-01-01,KH,001,4621.2
2018-01-01,KH,004,-1699378.0
2017-01-01,KH,004,-3075670.0
2016-01-01,KH,004,-3564064.0
2015-01-01,KH,004,-3250584.0
2014-01-01,KH,004,-2970782.0
2013-01-01,KH,004,-3232306.0
2012-01-01,KH,004,-2730866.0
2011-01-01,KH,004,-2822296.0
2010-01-01,KH,004,-2558541.0
2009-01-01,KH,004,-2883487.0
2008-01-01,KH,004,-937472.0
2007-01-01,KH,004,-2668886.0
2006-01-01,KH,004,-2217209.0
2005-01-01,KH,004,-2230970.0
2004-01-01,KH,004,-1564919.0
2003-01-01,KH,004,-1860907.0
2002-01-01,KH,004,-1484855.0
2001-01-01,KH,004,-1353990.0
2000-01-01,KH,004,-1678237.0
1999-01-01,KH,004,-1750729.0
1998-01-01,KH,004,-1540423.0
1997-01-01,KH,004,-1187082.0
1996-01-01,KH,004,-1696241.0
1995-01-01,KH,004,-1298653.0
1994-01-01,KH,004,-915421.0
1993-01-01,KH,004,-1131679.0
1970-01-01,KH,004,-800.0
1969-01-01,KH,004,-1500.0
1968-01-01,KH,004,-800.0
1967-01-01,KH,004,-400.0
1966-01-01,KH,004,-1600.0
1965-01-01,KH,004,-300.0
1964-01-01,KH,004,-200.0
1963-01-01,KH,004,-900.0
1962-01-01,KH,004,-2100.0
1961-01-01,KH,004,-1300.0
1960-01-01,KH,004,-1800.0
2020-01-01,KH,005,10.21
2019-12-01,KH,005,10.52
2019-11-01,KH,005,10.63
2019-10-01,KH,005,10.64
2019-09-01,KH,005,10.56
2019-08-01,KH,005,10.62
2019-07-01,KH,005,10.52
2019-06-01,KH,005,10.67
2019-05-01,KH,005,10.51
2019-04-01,KH,005,10.54
2019-03-01,KH,005,10.54
2019-02-01,KH,005,10.61
2019-01-01,KH,005,10.39
2018-12-01,KH,005,10.72
2018-11-01,KH,005,11.04
2018-10-01,KH,005,10.47
2018-09-01,KH,005,10.58
2018-08-01,KH,005,10.7
2018-07-01,KH,005,10.72
2018-06-01,KH,005,10.72
2018-05-01,KH,005,10.68
2018-04-01,KH,005,10.65
2018-03-01,KH,005,10.67
2018-02-01,KH,005,11.23
2018-01-01,KH,005,10.62
2017-12-01,KH,005,11.03
2017-11-01,KH,005,10.93
2017-10-01,KH,005,10.41
2017-09-01,KH,005,10.88
2017-08-01,KH,005,10.78
2017-07-01,KH,005,10.98
2017-06-01,KH,005,10.98
2017-05-01,KH,005,10.86
2017-04-01,KH,005,10.91
2017-03-01,KH,005,11.22
2017-02-01,KH,005,11.24
2017-01-01,KH,005,10.84
2016-12-01,KH,005,10.9
2016-11-01,KH,005,10.9
2016-10-01,KH,005,11.22
2016-09-01,KH,005,11.56
2016-08-01,KH,005,11.53
2016-07-01,KH,005,11.52
2016-06-01,KH,005,11.5
2016-05-01,KH,005,11.49
2016-04-01,KH,005,11.0
2016-03-01,KH,005,11.41
2016-02-01,KH,005,11.49
2016-01-01,KH,005,11.79
2015-12-01,KH,005,11.67
2015-11-01,KH,005,11.82
2015-10-01,KH,005,11.69
2015-09-01,KH,005,11.71
2015-08-01,KH,005,11.71
2015-07-01,KH,005,11.6
2015-06-01,KH,005,11.65
2015-05-01,KH,005,11.68
2015-04-01,KH,005,11.38
2015-03-01,KH,005,11.37
2015-02-01,KH,005,12.26
2015-01-01,KH,005,11.93
2014-12-01,KH,005,12.24
2014-11-01,KH,005,12.2
2014-10-01,KH,005,12.16
2014-09-01,KH,005,12.16
2014-08-01,KH,005,12.2
2014-07-01,KH,005,12.24
2014-06-01,KH,005,12.29
2014-05-01,KH,005,12.11
2014-04-01,KH,005,12.37
2014-03-01,KH,005,12.85
2014-02-01,KH,005,12.52
2014-01-01,KH,005,12.32
2013-12-01,KH,005,12.48
2013-11-01,KH,005,12.47
2013-10-01,KH,005,12.51
2013-09-01,KH,005,13.37
2013-08-01,KH,005,12.66
2013-07-01,KH,005,12.66
2013-06-01,KH,005,12.66
2013-05-01,KH,005,12.66
2013-04-01,KH,005,12.87
2013-03-01,KH,005,13.09
2013-02-01,KH,005,13.09
2013-01-01,KH,005,13.08
2012-12-01,KH,005,13.08
2012-11-01,KH,005,13.1
2012-10-01,KH,005,13.11
2012-09-01,KH,005,13.16
2012-08-01,KH,005,13.13
2012-07-01,KH,005,13.1
2012-06-01,KH,005,13.3
2012-05-01,KH,005,12.16
2012-04-01,KH,005,12.53
2012-03-01,KH,005,13.25
2012-02-01,KH,005,12.86
2012-01-01,KH,005,12.92
2011-12-01,KH,005,15.26
2011-11-01,KH,005,15.32
2011-10-01,KH,005,15.32
2011-09-01,KH,005,14.57
2011-08-01,KH,005,15.47
2011-07-01,KH,005,15.47
2011-06-01,KH,005,15.51
2011-05-01,KH,005,15.48
2011-04-01,KH,005,15.01
2011-03-01,KH,005,14.8
2011-02-01,KH,005,15.23
2011-01-01,KH,005,15.23
2010-12-01,KH,005,15.9
2010-11-01,KH,005,15.84
2010-10-01,KH,005,15.57
2010-09-01,KH,005,15.58
2010-08-01,KH,005,15.58
2010-07-01,KH,005,15.58
2010-06-01,KH,005,15.54
2010-05-01,KH,005,15.54
2010-04-01,KH,005,15.6
2010-03-01,KH,005,15.61
2010-02-01,KH,005,15.62
2010-01-01,KH,005,15.64
2009-12-01,KH,005,15.58
2009-11-01,KH,005,15.64
2009-10-01,KH,005,15.45
2009-09-01,KH,005,15.45
2009-08-01,KH,005,15.97
2009-07-01,KH,005,15.99
2009-06-01,KH,005,15.75
2009-05-01,KH,005,15.73
2009-04-01,KH,005,15.73
2009-03-01,KH,005,15.95
2009-02-01,KH,005,15.9
2009-01-01,KH,005,16.6
2008-12-01,KH,005,15.93
2008-11-01,KH,005,15.96
2008-10-01,KH,005,16.2
2008-09-01,KH,005,16.2
2008-08-01,KH,005,16.2
2008-07-01,KH,005,15.96
2008-06-01,KH,005,15.96
2008-05-01,KH,005,15.95
2008-04-01,KH,005,15.88
2008-03-01,KH,005,15.86
2008-02-01,KH,005,15.91
2008-01-01,KH,005,16.16
2007-12-01,KH,005,16.19
2007-11-01,KH,005,16.19
2007-10-01,KH,005,16.06
2007-09-01,KH,005,16.08
2007-08-01,KH,005,15.99
2007-07-01,KH,005,16.23
2007-06-01,KH,005,16.23
2007-05-01,KH,005,16.22
2007-04-01,KH,005,16.22
2007-03-01,KH,005,16.23
2007-02-01,KH,005,16.23
2007-01-01,KH,005,16.23
2006-12-01,KH,005,16.23
2006-11-01,KH,005,16.22
2006-10-01,KH,005,16.43
2006-09-01,KH,005,16.21
2006-08-01,KH,005,16.22
2006-07-01,KH,005,16.33
2006-06-01,KH,005,16.22
2006-05-01,KH,005,16.23
2006-04-01,KH,005,16.31
2006-03-01,KH,005,16.84
2006-02-01,KH,005,16.81
2006-01-01,KH,005,16.74
2005-12-01,KH,005,17.33
2005-11-01,KH,005,17.33
2005-10-01,KH,005,17.33
2005-09-01,KH,005,17.38
2005-08-01,KH,005,17.33
2005-07-01,KH,005,17.33
2005-06-01,KH,005,17.33
2005-05-01,KH,005,17.33
2005-04-01,KH,005,17.33
2005-03-01,KH,005,17.33
2005-02-01,KH,005,17.33
2005-01-01,KH,005,17.33
2004-12-01,KH,005,17.33
2004-11-01,KH,005,17.33
2004-10-01,KH,005,17.33
2004-09-01,KH,005,17.33
2004-08-01,KH,005,16.9
2004-07-01,KH,005,16.9
2004-06-01,KH,005,17.3
2004-05-01,KH,005,18.2
2004-04-01,KH,005,18.2
2004-03-01,KH,005,18.2
2004-02-01,KH,005,18.2
2004-01-01,KH,005,18.2
2003-12-01,KH,005,18.2
2003-11-01,KH,005,18.2
2003-10-01,KH,005,18.2
2003-09-01,KH,005,18.2
2003-08-01,KH,005,18.6
2003-07-01,KH,005,18.6
2003-06-01,KH,005,18.6
2003-05-01,KH,005,18.6
2003-04-01,KH,005,18.6
2003-03-01,KH,005,18.6
2003-02-01,KH,005,18.6
2003-01-01,KH,005,18.6
2002-12-01,KH,005,18.6
2002-11-01,KH,005,16.8
