date,country_code,indicator_code,value
2017-01-01,KI,004,-191.0
2016-01-01,KI,004,-185.0
2015-01-01,KI,004,-197.0
2014-01-01,KI,004,-161.0
2013-01-01,KI,004,-142.0
2012-01-01,KI,004,-145.0
2011-01-01,KI,004,-121.0
2010-01-01,KI,004,-111.0
2009-01-01,KI,004,-120.0
2008-01-01,KI,004,-122.0
2007-01-01,KI,004,-112.0
2006-01-01,KI,004,-115.0
2005-01-01,KI,004,-142.0
2004-01-01,KI,004,-110.0
2003-01-01,KI,004,-105.0
2002-01-01,KI,004,-120.0
2001-01-01,KI,004,-100.0
2000-01-01,KI,004,-94.0
1999-01-01,KI,004,-80.0
1998-01-01,KI,004,-66.0
1997-01-01,KI,004,-65.0
1996-01-01,KI,004,-67.0
1995-01-01,KI,004,-64.0
1994-01-01,KI,004,-47.0
1993-01-01,KI,004,-57.0
1992-01-01,KI,004,-67.0
1991-01-01,KI,004,-44.0
1990-01-01,KI,004,-50.0
1989-01-01,KI,004,-38.0
1988-01-01,KI,004,-35.0
1987-01-01,KI,004,-39.0
1986-01-01,KI,004,-5.0
1985-01-01,KI,004,-8.0
1984-01-01,KI,004,-6.0
1983-01-01,KI,004,-14.0
1982-01-01,KI,004,-16.0
1981-01-01,KI,004,-16.0
1980-01-01,KI,004,-1.0
1979-01-01,KI,004,1.0
1978-01-01,KI,004,3.0
1977-01-01,KI,004,6.0
1976-01-01,KI,004,7.0
1975-01-01,KI,004,17.0
1974-01-01,KI,004,17.0
1973-01-01,KI,004,3.0
1972-01-01,KI,004,1.0
2017-01-01,KI,012,32.0
2016-01-01,KI,012,50.0
2015-01-01,KI,012,33.0
2014-01-01,KI,012,39.0
2013-01-01,KI,012,35.0
2012-01-01,KI,012,22.0
2011-01-01,KI,012,15.0
2010-01-01,KI,012,13.0
2009-01-01,KI,012,13.0
2008-01-01,KI,012,0.0
2007-01-01,KI,012,-3.0
2006-01-01,KI,012,-8.0
1994-01-01,KI,012,3.0
1993-01-01,KI,012,6.0
1992-01-01,KI,012,16.0
1991-01-01,KI,012,6.0
1990-01-01,KI,012,12.0
1989-01-01,KI,012,7.0
1988-01-01,KI,012,7.0
1987-01-01,KI,012,7.0
1986-01-01,KI,012,9.0
1985-01-01,KI,012,7.0
1992-01-01,KI,019,0.0
1991-01-01,KI,019,0.0
1990-01-01,KI,019,0.0
1989-01-01,KI,019,0.0
1988-01-01,KI,019,1.0
1987-01-01,KI,019,0.0
1986-01-01,KI,019,0.0
1985-01-01,KI,019,0.0
1984-01-01,KI,019,0.0
1983-01-01,KI,019,1.0
1982-01-01,KI,019,1.0
1981-01-01,KI,019,0.0
1980-01-01,KI,019,1.0
1979-01-01,KI,019,1.0
2017-01-01,KI,034,127.13891
2016-01-01,KI,034,126.68851
2015-01-01,KI,034,124.30519
2014-01-01,KI,034,123.59819
2013-01-01,KI,034,121.05129
2012-01-01,KI,034,122.87981
2011-01-01,KI,034,126.74014
2010-01-01,KI,034,124.87032
2009-01-01,KI,034,128.71017
2008-01-01,KI,034,118.32226
2007-01-01,KI,034,104.09699
2006-01-01,KI,034,100.11196
1992-01-01,KI,035,32.0
1991-01-01,KI,035,30.0
1990-01-01,KI,035,27.0
1989-01-01,KI,035,27.0
1988-01-01,KI,035,25.0
1987-01-01,KI,035,24.0
1986-01-01,KI,035,23.0
1985-01-01,KI,035,22.0
1984-01-01,KI,035,21.0
1983-01-01,KI,035,21.0
1982-01-01,KI,035,19.0
1981-01-01,KI,035,23.0
1980-01-01,KI,035,23.0
1979-01-01,KI,035,21.0
1978-01-01,KI,035,20.0
1977-01-01,KI,035,17.0
1976-01-01,KI,035,16.0
1975-01-01,KI,035,16.0
1974-01-01,KI,035,12.0
1973-01-01,KI,035,11.0
1972-01-01,KI,035,9.0
2011-01-01,KI,044,31.0
2010-01-01,KI,044,32.0
2009-01-01,KI,044,28.0
2008-01-01,KI,044,31.0
2007-01-01,KI,044,33.0
2011-01-01,KI,045,95.0
2010-01-01,KI,045,91.0
2009-01-01,KI,045,111.0
2008-01-01,KI,045,96.0
2007-01-01,KI,045,84.0
2007-04-01,KI,046,103.66
2007-01-01,KI,046,103.66
2006-10-01,KI,046,103.6
2006-07-01,KI,046,103.6
2006-04-01,KI,046,103.6
2006-01-01,KI,046,1036.0
2005-10-01,KI,046,103.7
2005-07-01,KI,046,103.7
2005-04-01,KI,046,103.7
2005-01-01,KI,046,103.7
2004-10-01,KI,046,103.66
2004-07-01,KI,046,103.66
2004-04-01,KI,046,103.66
2004-01-01,KI,046,103.66
2003-10-01,KI,046,103.7
2003-07-01,KI,046,103.7
2003-04-01,KI,046,104.1
2003-01-01,KI,046,104.3
2002-10-01,KI,046,104.3
2002-07-01,KI,046,103.4
2002-04-01,KI,046,103.1
2002-01-01,KI,046,103.0
2001-10-01,KI,046,103.0
2001-07-01,KI,046,103.0
2001-04-01,KI,046,103.0
2001-01-01,KI,046,103.0
2000-10-01,KI,046,102.3
2000-07-01,KI,046,101.0
2000-04-01,KI,046,100.7
2000-01-01,KI,046,100.9
2007-04-01,KI,047,123.72
2007-01-01,KI,047,119.01
2006-10-01,KI,047,107.02
2006-07-01,KI,047,107.02
2006-04-01,KI,047,108.11
2006-01-01,KI,047,103.8
2005-10-01,KI,047,104.1
2005-07-01,KI,047,107.0
2005-04-01,KI,047,107.0
2005-01-01,KI,047,107.0
2004-10-01,KI,047,106.99
2004-07-01,KI,047,106.0
2004-04-01,KI,047,105.77
2004-01-01,KI,047,105.8
2003-10-01,KI,047,105.7
2003-07-01,KI,047,106.0
2003-04-01,KI,047,106.2
2003-01-01,KI,047,106.2
2002-10-01,KI,047,106.2
2002-07-01,KI,047,106.2
2002-04-01,KI,047,109.0
2002-01-01,KI,047,109.1
2001-10-01,KI,047,106.0
2001-07-01,KI,047,105.3
2001-04-01,KI,047,103.8
2001-01-01,KI,047,103.9
2000-10-01,KI,047,102.3
2000-07-01,KI,047,102.3
