date,country_code,indicator_code,value
2016-01-01,KM,004,48046.0
2015-01-01,KM,004,43010.0
2014-01-01,KM,004,46346.0
2013-01-01,KM,004,37989.0
2012-01-01,KM,004,34032.0
2011-01-01,KM,004,35782.0
2010-01-01,KM,004,31747.0
2009-01-01,KM,004,26103.0
2008-01-01,KM,004,25884.0
2007-01-01,KM,004,25584.0
2006-01-01,KM,004,23579.0
2005-01-01,KM,004,21656.0
2004-01-01,KM,004,21703.0
2003-01-01,KM,004,24774.0
2002-01-01,KM,004,20654.0
2001-01-01,KM,004,18783.0
2000-01-01,KM,004,18044.0
1999-01-01,KM,004,13065.0
1998-01-01,KM,004,10821.0
1997-01-01,KM,004,16813.0
1996-01-01,KM,004,16204.0
1995-01-01,KM,004,17157.0
1994-01-01,KM,004,15527.0
1993-01-01,KM,004,14904.0
1992-01-01,KM,004,12711.0
1991-01-01,KM,004,13934.0
1990-01-01,KM,004,9702.0
1989-01-01,KM,004,11406.0
1988-01-01,KM,004,11557.0
1987-01-01,KM,004,6320.0
1986-01-01,KM,004,12684.0
1985-01-01,KM,004,12448.0
1984-01-01,KM,004,5663.0
1983-01-01,KM,004,8201.0
1982-01-01,KM,004,8181.0
1981-01-01,KM,004,5064.0
1980-01-01,KM,004,3258.0
1979-01-01,KM,004,4937.0
1978-01-01,KM,004,2940.0
1977-01-01,KM,004,2992.0
1976-01-01,KM,004,3589.0
1975-01-01,KM,004,2627.0
1974-01-01,KM,004,2778.0
1973-01-01,KM,004,1492.0
1972-01-01,KM,004,1953.0
1971-01-01,KM,004,2044.0
1970-01-01,KM,004,1698.0
2019-03-01,KM,005,10.5
2019-02-01,KM,005,10.5
2019-01-01,KM,005,10.5
2018-12-01,KM,005,10.5
2018-11-01,KM,005,10.5
2018-10-01,KM,005,10.5
2018-09-01,KM,005,10.5
2018-08-01,KM,005,10.5
2018-07-01,KM,005,10.5
2018-06-01,KM,005,10.5
2018-05-01,KM,005,10.5
2018-04-01,KM,005,10.5
2018-03-01,KM,005,10.5
2018-02-01,KM,005,10.5
2018-01-01,KM,005,10.5
2017-12-01,KM,005,10.5
2017-11-01,KM,005,10.5
2017-10-01,KM,005,10.5
2017-09-01,KM,005,10.5
2017-08-01,KM,005,10.5
2017-07-01,KM,005,10.5
2017-06-01,KM,005,10.5
2017-05-01,KM,005,10.5
2017-04-01,KM,005,10.5
2017-03-01,KM,005,10.5
2017-02-01,KM,005,10.5
2017-01-01,KM,005,10.5
2016-12-01,KM,005,10.5
2016-11-01,KM,005,10.5
2016-10-01,KM,005,10.5
2016-09-01,KM,005,10.5
2016-08-01,KM,005,10.5
2016-07-01,KM,005,10.5
2016-06-01,KM,005,10.5
2016-05-01,KM,005,10.5
2016-04-01,KM,005,10.5
2016-03-01,KM,005,10.5
2016-02-01,KM,005,10.5
2016-01-01,KM,005,10.5
2015-12-01,KM,005,10.5
2015-11-01,KM,005,10.5
2015-10-01,KM,005,10.5
2015-09-01,KM,005,10.5
2015-08-01,KM,005,10.5
2015-07-01,KM,005,10.5
2015-06-01,KM,005,10.5
2015-05-01,KM,005,10.5
2015-04-01,KM,005,10.5
2015-03-01,KM,005,10.5
2015-02-01,KM,005,10.5
2015-01-01,KM,005,10.5
2014-12-01,KM,005,10.5
2014-11-01,KM,005,10.5
2014-10-01,KM,005,10.5
2014-09-01,KM,005,10.5
2014-08-01,KM,005,10.5
2014-07-01,KM,005,10.5
2014-06-01,KM,005,10.5
2014-05-01,KM,005,10.5
2014-04-01,KM,005,10.5
2014-03-01,KM,005,10.5
2014-02-01,KM,005,10.5
2014-01-01,KM,005,10.5
2013-12-01,KM,005,10.5
2013-11-01,KM,005,10.5
2013-10-01,KM,005,10.5
2013-09-01,KM,005,10.5
2013-08-01,KM,005,10.5
2013-07-01,KM,005,10.5
2013-06-01,KM,005,10.5
2013-05-01,KM,005,10.5
2013-04-01,KM,005,10.5
2013-03-01,KM,005,10.5
2013-02-01,KM,005,10.5
2013-01-01,KM,005,10.5
2012-12-01,KM,005,10.5
2012-11-01,KM,005,10.5
2012-10-01,KM,005,10.5
2012-09-01,KM,005,10.5
2012-08-01,KM,005,10.5
2012-07-01,KM,005,10.5
2012-06-01,KM,005,10.5
2012-05-01,KM,005,10.5
2012-04-01,KM,005,10.5
2012-03-01,KM,005,10.5
2012-02-01,KM,005,10.5
2012-01-01,KM,005,10.5
2011-12-01,KM,005,10.5
2011-11-01,KM,005,10.5
2011-10-01,KM,005,10.5
2011-09-01,KM,005,10.5
2011-08-01,KM,005,10.5
2011-07-01,KM,005,10.5
2011-06-01,KM,005,10.5
2011-05-01,KM,005,10.5
2011-04-01,KM,005,10.5
2011-03-01,KM,005,10.5
2011-02-01,KM,005,10.5
2011-01-01,KM,005,10.5
2010-12-01,KM,005,10.5
2010-11-01,KM,005,10.5
2010-10-01,KM,005,10.5
2010-09-01,KM,005,10.5
2010-08-01,KM,005,10.5
2010-07-01,KM,005,10.5
2010-06-01,KM,005,10.5
2010-05-01,KM,005,10.5
2010-04-01,KM,005,10.5
2010-03-01,KM,005,10.5
2010-02-01,KM,005,10.5
2010-01-01,KM,005,10.5
2009-12-01,KM,005,10.5
2009-11-01,KM,005,10.5
2009-10-01,KM,005,10.5
2009-09-01,KM,005,10.5
2009-08-01,KM,005,10.5
2009-07-01,KM,005,10.5
2009-06-01,KM,005,10.5
2009-05-01,KM,005,10.5
2009-04-01,KM,005,10.5
2009-03-01,KM,005,10.5
2009-02-01,KM,005,10.5
2009-01-01,KM,005,10.5
2008-12-01,KM,005,10.5
2008-11-01,KM,005,10.5
2008-10-01,KM,005,10.5
2008-09-01,KM,005,10.5
2008-08-01,KM,005,10.5
2008-07-01,KM,005,10.5
2008-06-01,KM,005,10.5
2008-05-01,KM,005,10.5
2008-04-01,KM,005,10.5
2008-03-01,KM,005,10.5
2008-02-01,KM,005,10.5
2008-01-01,KM,005,10.5
2007-12-01,KM,005,10.5
2007-11-01,KM,005,10.5
2007-10-01,KM,005,10.5
2007-09-01,KM,005,10.5
2007-08-01,KM,005,10.5
2007-07-01,KM,005,10.5
2007-06-01,KM,005,10.5
2007-05-01,KM,005,10.5
2007-04-01,KM,005,10.5
2007-03-01,KM,005,10.5
2007-02-01,KM,005,10.5
2007-01-01,KM,005,10.5
2006-12-01,KM,005,10.5
2006-11-01,KM,005,10.5
2006-10-01,KM,005,10.5
2006-09-01,KM,005,10.5
2006-08-01,KM,005,10.5
2006-07-01,KM,005,10.5
2006-06-01,KM,005,10.5
2006-05-01,KM,005,10.5
2006-04-01,KM,005,10.5
2006-03-01,KM,005,10.5
2006-02-01,KM,005,10.5
2006-01-01,KM,005,10.5
2005-12-01,KM,005,11.0
2005-11-01,KM,005,11.0
2005-10-01,KM,005,11.0
2005-09-01,KM,005,11.0
2005-08-01,KM,005,11.0
2005-07-01,KM,005,11.0
2005-06-01,KM,005,11.0
2005-05-01,KM,005,11.0
2005-04-01,KM,005,11.0
2005-03-01,KM,005,11.0
2005-02-01,KM,005,11.0
2005-01-01,KM,005,11.0
2004-12-01,KM,005,11.0
2004-11-01,KM,005,11.0
2004-10-01,KM,005,11.0
2004-09-01,KM,005,11.0
