date,country_code,indicator_code,value
2017-01-01,KN,001,51.0
2016-01-01,KN,001,48.0
2015-01-01,KN,001,168.0
2014-01-01,KN,001,242.0
2013-01-01,KN,001,283.0
2012-01-01,KN,001,222.0
2011-01-01,KN,001,48.0
2010-01-01,KN,001,-74.0
2009-01-01,KN,001,-11.0
2008-01-01,KN,001,11.0
2007-01-01,KN,001,-46.0
2006-01-01,KN,001,-57.0
2005-01-01,KN,001,-74.0
2004-01-01,KN,001,-20.0
2003-01-01,KN,001,-30.0
2002-01-01,KN,001,-18.0
2001-01-01,KN,001,-110.0
2000-01-01,KN,001,-127.0
1994-01-01,KN,001,-10.0
1993-01-01,KN,001,-14.0
1992-01-01,KN,001,-10.0
1991-01-01,KN,001,-14.0
1990-01-01,KN,001,-6.0
2001-01-01,KN,002,5.1
1991-01-01,KN,002,5.1
1980-01-01,KN,002,9.8
2018-01-01,KN,004,31.0
2017-01-01,KN,004,-92.0
2016-01-01,KN,004,-141.0
2015-01-01,KN,004,11.0
2014-01-01,KN,004,217.0
2013-01-01,KN,004,-149.0
2012-01-01,KN,004,-198.0
2011-01-01,KN,004,-305.0
2010-01-01,KN,004,-419.0
2009-01-01,KN,004,-515.0
2008-01-01,KN,004,-544.0
2007-01-01,KN,004,-306.0
2006-01-01,KN,004,-229.0
2005-01-01,KN,004,-144.0
2004-01-01,KN,004,-129.0
2003-01-01,KN,004,-245.0
2002-01-01,KN,004,-278.0
2001-01-01,KN,004,-240.0
2000-01-01,KN,004,-267.0
1999-01-01,KN,004,-160.0
1998-01-01,KN,004,-130.0
1997-01-01,KN,004,-151.0
1996-01-01,KN,004,-177.0
1995-01-01,KN,004,-145.0
1994-01-01,KN,004,-60.0
1993-01-01,KN,004,-68.0
1992-01-01,KN,004,-33.0
1991-01-01,KN,004,-95.0
1990-01-01,KN,004,-135.0
1989-01-01,KN,004,-109.0
1988-01-01,KN,004,-86.0
1987-01-01,KN,004,-60.0
1986-01-01,KN,004,-40.0
1985-01-01,KN,004,-47.0
1984-01-01,KN,004,-53.0
1983-01-01,KN,004,-72.0
1982-01-01,KN,004,-50.0
1981-01-01,KN,004,-44.0
1980-01-01,KN,004,-39.0
1979-01-01,KN,004,-26.0
1978-01-01,KN,004,-11.0
1977-01-01,KN,004,-13.0
2019-12-01,KN,005,8.41
2019-11-01,KN,005,8.5
2019-10-01,KN,005,8.5
2019-09-01,KN,005,8.5
2019-08-01,KN,005,8.52
2019-07-01,KN,005,8.52
2019-06-01,KN,005,8.52
2019-05-01,KN,005,8.52
2019-04-01,KN,005,8.52
2019-03-01,KN,005,8.52
2019-02-01,KN,005,8.62
2019-01-01,KN,005,8.62
2018-12-01,KN,005,8.62
2018-11-01,KN,005,8.64
2018-10-01,KN,005,8.64
2018-09-01,KN,005,8.64
2018-08-01,KN,005,8.95
2018-07-01,KN,005,8.95
2018-06-01,KN,005,8.95
2018-05-01,KN,005,8.97
2018-04-01,KN,005,8.97
2018-03-01,KN,005,8.97
2018-02-01,KN,005,9.0
2018-01-01,KN,005,9.0
2017-12-01,KN,005,9.0
2017-11-01,KN,005,9.0
2017-10-01,KN,005,9.0
2017-09-01,KN,005,9.08
2017-08-01,KN,005,9.08
2017-07-01,KN,005,9.08
2017-06-01,KN,005,9.12
2017-05-01,KN,005,9.12
2017-04-01,KN,005,9.12
2017-03-01,KN,005,9.17
2017-02-01,KN,005,9.17
2017-01-01,KN,005,9.17
2016-12-01,KN,005,9.23
2016-11-01,KN,005,9.23
2016-10-01,KN,005,9.23
2016-09-01,KN,005,9.21
2016-08-01,KN,005,9.21
2016-07-01,KN,005,9.21
2016-06-01,KN,005,9.21
2016-05-01,KN,005,9.21
2016-04-01,KN,005,9.21
2016-03-01,KN,005,9.27
2016-02-01,KN,005,9.27
2016-01-01,KN,005,9.27
2015-12-01,KN,005,9.29
2015-11-01,KN,005,9.29
2015-10-01,KN,005,9.29
2015-09-01,KN,005,9.3
2015-08-01,KN,005,9.3
2015-07-01,KN,005,9.3
2015-06-01,KN,005,9.3
2015-05-01,KN,005,9.3
2015-04-01,KN,005,9.3
2015-03-01,KN,005,9.3
2015-02-01,KN,005,9.3
2015-01-01,KN,005,9.3
2014-12-01,KN,005,9.36
2014-11-01,KN,005,9.36
2014-10-01,KN,005,9.36
2014-09-01,KN,005,9.3
2014-08-01,KN,005,9.3
2014-07-01,KN,005,9.3
2014-06-01,KN,005,9.33
2014-05-01,KN,005,9.33
2014-04-01,KN,005,9.33
2014-03-01,KN,005,9.14
2014-02-01,KN,005,9.14
2014-01-01,KN,005,9.14
2013-12-01,KN,005,9.16
2013-11-01,KN,005,9.16
2013-10-01,KN,005,9.16
2013-09-01,KN,005,9.13
2013-08-01,KN,005,9.13
2013-07-01,KN,005,9.13
2013-06-01,KN,005,8.32
2013-05-01,KN,005,8.32
2013-04-01,KN,005,8.32
2013-03-01,KN,005,8.5
2013-02-01,KN,005,8.5
2013-01-01,KN,005,8.5
2012-12-01,KN,005,8.52
2012-11-01,KN,005,8.52
2012-10-01,KN,005,8.52
2012-09-01,KN,005,8.5
2012-08-01,KN,005,8.5
2012-07-01,KN,005,8.5
2012-06-01,KN,005,8.64
2012-05-01,KN,005,8.64
2012-04-01,KN,005,8.64
2012-03-01,KN,005,9.28
2012-02-01,KN,005,9.28
2012-01-01,KN,005,9.28
2011-12-01,KN,005,9.38
2011-11-01,KN,005,9.38
2011-10-01,KN,005,9.38
2011-09-01,KN,005,9.42
2011-08-01,KN,005,9.42
2011-07-01,KN,005,9.42
2011-06-01,KN,005,9.43
2011-05-01,KN,005,9.43
2011-04-01,KN,005,9.43
