date,country_code,indicator_code,value
2019-01-01,KP,002,3.301
2018-01-01,KP,002,3.303
2017-01-01,KP,002,3.287
2016-01-01,KP,002,3.447
2015-01-01,KP,002,3.544
2014-01-01,KP,002,3.583
2013-01-01,KP,002,3.672
2012-01-01,KP,002,3.637
2011-01-01,KP,002,3.669
2010-01-01,KP,002,3.654
2009-01-01,KP,002,3.637
2008-01-01,KP,002,3.278
2007-01-01,KP,002,3.381
2006-01-01,KP,002,3.663
2005-01-01,KP,002,3.918
2004-01-01,KP,002,4.079
2003-01-01,KP,002,4.158
2002-01-01,KP,002,4.272
2001-01-01,KP,002,4.198
2000-01-01,KP,002,4.254
1999-01-01,KP,002,4.308
1998-01-01,KP,002,4.204
1997-01-01,KP,002,4.246
1996-01-01,KP,002,4.158
1995-01-01,KP,002,4.128
1994-01-01,KP,002,3.998
1993-01-01,KP,002,3.891
1992-01-01,KP,002,3.629
1991-01-01,KP,002,3.581
2016-01-01,KP,016,7100.0
2015-01-01,KP,016,6700.0
2014-01-01,KP,016,6700.0
2013-01-01,KP,016,6600.0
2012-01-01,KP,016,6400.0
2011-01-01,KP,016,6400.0
2010-01-01,KP,016,6400.0
2009-01-01,KP,016,6400.0
2008-01-01,KP,016,6415.0
2007-01-01,KP,016,6130.0
2006-01-01,KP,016,6160.0
2005-01-01,KP,016,5700.0
2004-01-01,KP,016,5630.0
2003-01-01,KP,016,5540.0
2002-01-01,KP,016,5320.0
2001-01-01,KP,016,5160.0
2000-01-01,KP,016,4600.0
1999-01-01,KP,016,4000.0
1998-01-01,KP,016,3200.0
2018-01-01,KP,021,52.0
2017-01-01,KP,021,-13.0
2016-01-01,KP,021,89.0
2015-01-01,KP,021,79.0
2014-01-01,KP,021,102.0
2013-01-01,KP,021,119.0
2012-01-01,KP,021,205.0
2011-01-01,KP,021,103.0
2010-01-01,KP,021,14.0
2009-01-01,KP,021,86.0
2008-01-01,KP,021,171.0
2007-01-01,KP,021,22.0
2006-01-01,KP,021,-236.0
2005-01-01,KP,021,-6.0
2004-01-01,KP,021,65.0
2003-01-01,KP,021,6.0
2002-01-01,KP,021,6.0
2001-01-01,KP,021,-20.0
2000-01-01,KP,021,8.0
1998-01-01,KP,021,31.0
1996-01-01,KP,021,1.0
1994-01-01,KP,021,-1.0
1993-01-01,KP,021,6.0
1992-01-01,KP,021,1.0
1991-01-01,KP,021,1.0
1990-01-01,KP,021,5.0
1989-01-01,KP,021,0.0
1988-01-01,KP,021,0.0
1987-01-01,KP,021,0.0
1986-01-01,KP,021,0.0
2019-01-01,KP,024,79.619017
2018-01-01,KP,024,78.838395
2017-01-01,KP,024,78.025443
2019-01-01,KP,025,13.0
2018-01-01,KP,025,15.0
2017-01-01,KP,025,17.0
2016-01-01,KP,025,26.0
2015-01-01,KP,025,26.0
2014-01-01,KP,025,26.0
2013-01-01,KP,025,25.0
2012-01-01,KP,025,19.0
2011-01-01,KP,025,24.0
2010-01-01,KP,025,22.0
2009-01-01,KP,025,19.0
2008-01-01,KP,025,13.0
2007-01-01,KP,025,11.0
2019-01-01,KP,044,17.0
2018-01-01,KP,044,14.0
2017-01-01,KP,044,17.0
2016-01-01,KP,044,12.0
2015-01-01,KP,044,8.0
2014-01-01,KP,044,8.0
2013-01-01,KP,044,8.0
2012-01-01,KP,044,8.0
2011-01-01,KP,044,10.0
2019-01-01,KP,045,172.0
2018-01-01,KP,045,176.0
2017-01-01,KP,045,171.0
2016-01-01,KP,045,174.0
2015-01-01,KP,045,167.0
2014-01-01,KP,045,174.0
2013-01-01,KP,045,175.0
2012-01-01,KP,045,174.0
2011-01-01,KP,045,182.0
2019-05-01,KP,048,0.0
2019-04-01,KP,048,0.0
2019-03-01,KP,048,0.0
2019-02-01,KP,048,0.0
2019-01-01,KP,048,0.0
2018-12-01,KP,048,0.0
2018-11-01,KP,048,0.0
2018-10-01,KP,048,0.0
2018-09-01,KP,048,0.0
2018-08-01,KP,048,0.0
2018-07-01,KP,048,0.0
2018-06-01,KP,048,0.0
2018-05-01,KP,048,0.0
2018-04-01,KP,048,0.0
2018-03-01,KP,048,0.0
2018-02-01,KP,048,0.0
2018-01-01,KP,048,0.0
2017-12-01,KP,048,0.0
2017-11-01,KP,048,0.0
2017-10-01,KP,048,0.0
2017-09-01,KP,048,0.0
2017-08-01,KP,048,0.0
2017-07-01,KP,048,0.0
2017-06-01,KP,048,0.0
2017-05-01,KP,048,0.0
2017-04-01,KP,048,0.0
2017-03-01,KP,048,0.0
2017-02-01,KP,048,0.0
2017-01-01,KP,048,0.0
2016-12-01,KP,048,0.0
2016-11-01,KP,048,0.0
2016-10-01,KP,048,0.0
2016-09-01,KP,048,0.0
2016-08-01,KP,048,0.0
2016-07-01,KP,048,0.0
2016-06-01,KP,048,0.0
2016-05-01,KP,048,0.0
2016-04-01,KP,048,0.0
2016-03-01,KP,048,0.0
2016-02-01,KP,048,0.0
2016-01-01,KP,048,0.0
2015-12-01,KP,048,0.0
2015-11-01,KP,048,0.0
2015-10-01,KP,048,0.0
2015-09-01,KP,048,0.0
2015-08-01,KP,048,0.0
2015-07-01,KP,048,0.0
2015-06-01,KP,048,0.0
2015-05-01,KP,048,0.0
2015-04-01,KP,048,0.0
2015-03-01,KP,048,0.0
2015-02-01,KP,048,0.0
2015-01-01,KP,048,0.0
2014-12-01,KP,048,0.0
2014-11-01,KP,048,0.0
2014-10-01,KP,048,0.0
2014-09-01,KP,048,0.0
2014-08-01,KP,048,0.0
2014-07-01,KP,048,0.0
