date,country_code,indicator_code,value
2018-01-01,KW,004,24092.0
2017-01-01,KW,004,18743.0
2016-01-01,KW,004,15745.0
2015-01-01,KW,004,18535.0
2014-01-01,KW,004,31708.0
2013-01-01,KW,004,35000.0
2012-01-01,KW,004,36411.0
2011-01-01,KW,004,31126.0
2010-01-01,KW,004,22055.0
2009-01-01,KW,004,18125.0
2008-01-01,KW,004,26450.0
2007-01-01,KW,004,20661.0
2006-01-01,KW,004,19316.0
2005-01-01,KW,004,15094.0
2004-01-01,KW,004,9970.0
2003-01-01,KW,004,7432.0
2002-01-01,KW,004,5171.0
2001-01-01,KW,004,5490.0
2000-01-01,KW,004,6534.0
1999-01-01,KW,004,4212.0
1998-01-01,KW,004,3468.0
1997-01-01,KW,004,4866.0
1996-01-01,KW,004,4930.0
1995-01-01,KW,004,4248.0
1994-01-01,KW,004,3753.0
1993-01-01,KW,004,3454.0
1992-01-01,KW,004,2358.0
1991-01-01,KW,004,529.0
1990-01-01,KW,004,2385.0
1989-01-01,KW,004,3743.0
1988-01-01,KW,004,2746.0
1987-01-01,KW,004,3275.0
1986-01-01,KW,004,2403.0
1985-01-01,KW,004,3462.0
1984-01-01,KW,004,3862.0
1983-01-01,KW,004,3597.0
1982-01-01,KW,004,3386.0
1981-01-01,KW,004,4855.0
1980-01-01,KW,004,6065.0
1979-01-01,KW,004,5333.0
1978-01-01,KW,004,3382.0
1977-01-01,KW,004,3214.0
1976-01-01,KW,004,3045.0
1975-01-01,KW,004,2590.0
1974-01-01,KW,004,2431.0
1973-01-01,KW,004,1154.0
1972-01-01,KW,004,1004.0
1971-01-01,KW,004,917.0
1970-01-01,KW,004,614.0
1969-01-01,KW,004,628.0
1968-01-01,KW,004,587.0
1967-01-01,KW,004,519.0
1966-01-01,KW,004,561.0
1965-01-01,KW,004,516.0
1964-01-01,KW,004,480.0
1963-01-01,KW,004,444.0
1962-01-01,KW,004,422.0
2019-12-01,KW,005,4.75
2019-11-01,KW,005,4.77
2019-10-01,KW,005,4.77
2019-09-01,KW,005,4.83
2019-08-01,KW,005,4.84
2019-07-01,KW,005,4.79
2019-06-01,KW,005,4.83
2019-05-01,KW,005,4.83
2019-04-01,KW,005,4.84
2019-03-01,KW,005,4.83
2019-02-01,KW,005,4.83
2019-01-01,KW,005,4.83
2018-12-01,KW,005,4.83
2018-11-01,KW,005,4.84
2018-10-01,KW,005,4.83
2018-09-01,KW,005,4.82
2018-08-01,KW,005,4.82
2018-07-01,KW,005,4.81
2018-06-01,KW,005,4.81
2018-05-01,KW,005,4.8
2018-04-01,KW,005,4.81
2018-03-01,KW,005,4.8
2018-02-01,KW,005,4.76
2018-01-01,KW,005,4.99
2017-12-01,KW,005,4.75
2017-11-01,KW,005,4.74
2017-10-01,KW,005,4.75
2017-09-01,KW,005,4.74
2017-08-01,KW,005,4.73
2017-07-01,KW,005,4.74
2017-06-01,KW,005,4.72
2017-05-01,KW,005,4.73
2017-04-01,KW,005,4.7
2017-03-01,KW,005,4.68
2017-02-01,KW,005,4.52
2017-01-01,KW,005,4.54
2016-12-01,KW,005,4.54
2016-11-01,KW,005,4.49
2016-10-01,KW,005,4.5
2016-09-01,KW,005,4.47
2016-08-01,KW,005,4.46
2016-07-01,KW,005,4.47
2016-06-01,KW,005,4.46
2016-05-01,KW,005,4.46
2016-04-01,KW,005,4.48
2016-03-01,KW,005,4.47
2016-02-01,KW,005,4.46
2016-01-01,KW,005,4.47
2015-12-01,KW,005,4.44
2015-11-01,KW,005,4.33
2015-10-01,KW,005,4.35
2015-09-01,KW,005,4.25
2015-08-01,KW,005,4.24
2015-07-01,KW,005,4.25
2015-06-01,KW,005,4.25
2015-05-01,KW,005,4.29
2015-04-01,KW,005,4.26
2015-03-01,KW,005,4.27
2015-02-01,KW,005,4.32
2015-01-01,KW,005,4.28
2014-12-01,KW,005,4.28
2014-11-01,KW,005,4.28
2014-10-01,KW,005,4.29
2014-09-01,KW,005,4.26
2014-08-01,KW,005,4.24
2014-07-01,KW,005,4.22
2014-06-01,KW,005,4.21
2014-05-01,KW,005,4.27
2014-04-01,KW,005,4.28
2014-03-01,KW,005,4.27
2014-02-01,KW,005,4.3
2014-01-01,KW,005,4.31
2013-12-01,KW,005,4.44
2013-11-01,KW,005,4.52
2013-10-01,KW,005,4.52
2013-09-01,KW,005,4.53
2013-08-01,KW,005,4.49
2013-07-01,KW,005,4.52
2013-06-01,KW,005,4.5
2013-05-01,KW,005,4.57
2013-04-01,KW,005,4.6
2013-03-01,KW,005,4.65
2013-02-01,KW,005,4.67
2013-01-01,KW,005,4.71
2012-12-01,KW,005,4.72
2012-11-01,KW,005,4.76
2012-10-01,KW,005,4.79
2012-09-01,KW,005,4.99
2012-08-01,KW,005,5.0
2012-07-01,KW,005,5.02
2012-06-01,KW,005,5.03
2012-05-01,KW,005,5.05
2012-04-01,KW,005,5.08
2012-03-01,KW,005,5.1
2012-02-01,KW,005,5.13
2012-01-01,KW,005,5.13
2011-12-01,KW,005,5.1
2011-11-01,KW,005,5.13
2011-10-01,KW,005,5.14
2011-09-01,KW,005,5.19
2011-08-01,KW,005,5.19
2011-07-01,KW,005,5.21
2011-06-01,KW,005,5.22
2011-05-01,KW,005,5.25
2011-04-01,KW,005,5.22
2011-03-01,KW,005,5.22
2011-02-01,KW,005,5.23
2011-01-01,KW,005,5.22
2010-12-01,KW,005,5.22
2010-11-01,KW,005,5.34
2010-10-01,KW,005,5.32
2010-09-01,KW,005,5.33
2010-08-01,KW,005,5.35
2010-07-01,KW,005,5.35
2010-06-01,KW,005,5.37
2010-05-01,KW,005,5.44
2010-04-01,KW,005,5.43
2010-03-01,KW,005,5.47
2010-02-01,KW,005,5.57
2010-01-01,KW,005,5.88
2009-12-01,KW,005,5.86
2009-11-01,KW,005,5.91
2009-10-01,KW,005,5.97
2009-09-01,KW,005,5.96
2009-08-01,KW,005,5.97
2009-07-01,KW,005,5.92
2009-06-01,KW,005,5.94
2009-05-01,KW,005,6.03
2009-04-01,KW,005,6.37
2009-03-01,KW,005,6.61
2009-02-01,KW,005,6.66
2009-01-01,KW,005,6.7
2008-12-01,KW,005,6.81
2008-11-01,KW,005,6.9
2008-10-01,KW,005,6.95
2008-09-01,KW,005,8.13
2008-08-01,KW,005,7.97
2008-07-01,KW,005,7.84
2008-06-01,KW,005,7.78
2008-05-01,KW,005,7.75
2008-04-01,KW,005,7.76
2008-03-01,KW,005,7.68
2008-02-01,KW,005,7.84
2008-01-01,KW,005,7.95
2007-12-01,KW,005,8.27
2007-11-01,KW,005,8.29
2007-10-01,KW,005,8.41
2007-09-01,KW,005,8.46
2007-08-01,KW,005,8.49
2007-07-01,KW,005,8.47
2007-06-01,KW,005,8.47
2007-05-01,KW,005,8.65
2007-04-01,KW,005,8.64
2007-03-01,KW,005,8.73
2007-02-01,KW,005,8.75
2007-01-01,KW,005,8.8
2006-12-01,KW,005,8.78
2006-11-01,KW,005,8.75
2006-10-01,KW,005,8.73
2006-09-01,KW,005,8.85
2006-08-01,KW,005,8.81
2006-07-01,KW,005,8.75
2006-06-01,KW,005,8.41
2006-05-01,KW,005,8.39
2006-04-01,KW,005,8.45
2006-03-01,KW,005,8.37
2006-02-01,KW,005,8.37
2006-01-01,KW,005,8.3
2005-12-01,KW,005,8.39
2005-11-01,KW,005,8.08
2005-10-01,KW,005,8.1
2005-09-01,KW,005,7.5
2005-08-01,KW,005,7.5
2005-07-01,KW,005,7.39
2005-06-01,KW,005,7.32
2005-05-01,KW,005,7.26
2005-04-01,KW,005,7.24
2005-03-01,KW,005,7.32
2005-02-01,KW,005,7.01
2005-01-01,KW,005,6.87
2004-12-01,KW,005,6.74
2004-11-01,KW,005,6.49
2004-10-01,KW,005,6.28
2004-09-01,KW,005,6.23
2004-08-01,KW,005,5.91
2004-07-01,KW,005,5.3
2004-06-01,KW,005,5.0
2004-05-01,KW,005,4.99
2004-04-01,KW,005,5.08
2004-03-01,KW,005,5.15
2004-02-01,KW,005,5.23
2004-01-01,KW,005,5.25
2003-12-01,KW,005,5.29
2003-11-01,KW,005,5.38
2003-10-01,KW,005,5.33
2003-09-01,KW,005,5.25
2003-08-01,KW,005,5.4
2003-07-01,KW,005,5.34
2003-06-01,KW,005,5.38
2003-05-01,KW,005,5.44
2003-04-01,KW,005,5.39
2003-03-01,KW,005,5.42
2003-02-01,KW,005,5.67
2003-01-01,KW,005,5.71
2002-12-01,KW,005,5.76
2002-11-01,KW,005,5.95
2002-10-01,KW,005,6.28
2002-09-01,KW,005,6.27
2002-08-01,KW,005,6.44
2002-07-01,KW,005,6.41
2002-06-01,KW,005,6.54
2002-05-01,KW,005,6.92
2002-04-01,KW,005,6.84
2002-03-01,KW,005,6.77
2002-02-01,KW,005,6.8
2002-01-01,KW,005,6.81
2001-12-01,KW,005,6.87
2001-11-01,KW,005,6.91
2001-10-01,KW,005,7.11
2001-09-01,KW,005,7.42
2001-08-01,KW,005,7.77
2001-07-01,KW,005,7.89
2001-06-01,KW,005,7.92
2001-05-01,KW,005,8.13
2001-04-01,KW,005,8.34
2001-03-01,KW,005,8.55
2001-02-01,KW,005,8.75
2001-01-01,KW,005,8.95
2000-12-01,KW,005,9.06
2000-11-01,KW,005,9.07
2000-10-01,KW,005,9.07
2000-09-01,KW,005,9.07
2000-08-01,KW,005,9.04
2000-07-01,KW,005,8.93
2000-06-01,KW,005,8.88
2000-05-01,KW,005,8.83
2000-04-01,KW,005,8.57
2000-03-01,KW,005,8.62
2000-02-01,KW,005,8.64
2000-01-01,KW,005,8.62
1999-12-01,KW,005,8.52
1999-11-01,KW,005,8.53
1999-10-01,KW,005,8.45
1999-09-01,KW,005,8.43
1999-08-01,KW,005,8.37
1999-07-01,KW,005,8.41
1999-06-01,KW,005,8.56
1999-05-01,KW,005,8.65
1999-04-01,KW,005,8.67
1999-03-01,KW,005,8.69
1999-02-01,KW,005,8.66
1999-01-01,KW,005,8.8
1998-12-01,KW,005,8.81
1998-11-01,KW,005,8.83
1998-10-01,KW,005,8.92
1998-09-01,KW,005,8.95
1998-08-01,KW,005,8.91
1998-07-01,KW,005,8.97
1998-06-01,KW,005,8.95
1998-05-01,KW,005,8.99
1998-04-01,KW,005,9.0
1998-03-01,KW,005,8.96
1998-02-01,KW,005,8.97
1998-01-01,KW,005,8.94
1997-12-01,KW,005,8.94
1997-11-01,KW,005,8.84
1997-10-01,KW,005,8.75
1997-09-01,KW,005,8.76
1997-08-01,KW,005,8.72
1997-07-01,KW,005,8.81
1997-06-01,KW,005,8.76
1997-05-01,KW,005,8.79
1997-04-01,KW,005,8.74
1997-03-01,KW,005,8.74
1997-02-01,KW,005,8.85
1997-01-01,KW,005,8.86
1996-12-01,KW,005,8.85
1996-11-01,KW,005,8.89
1996-10-01,KW,005,8.8
1996-09-01,KW,005,8.84
1996-08-01,KW,005,8.9
1996-07-01,KW,005,8.87
1996-06-01,KW,005,8.72
1996-05-01,KW,005,8.73
1996-04-01,KW,005,8.74
1996-03-01,KW,005,8.71
1996-02-01,KW,005,8.59
1996-01-01,KW,005,8.61
1995-12-01,KW,005,8.59
1995-11-01,KW,005,8.5
1995-10-01,KW,005,8.56
1995-09-01,KW,005,8.59
1995-08-01,KW,005,8.55
1995-07-01,KW,005,8.45
1995-06-01,KW,005,8.46
1995-05-01,KW,005,8.41
1995-04-01,KW,005,8.27
1995-03-01,KW,005,8.16
1995-02-01,KW,005,8.06
1995-01-01,KW,005,7.83
1994-12-01,KW,005,7.9
1994-11-01,KW,005,7.88
1994-10-01,KW,005,7.72
1994-09-01,KW,005,7.67
1994-08-01,KW,005,7.66
1994-07-01,KW,005,7.54
1994-06-01,KW,005,7.53
1994-05-01,KW,005,7.33
1994-04-01,KW,005,7.38
1994-03-01,KW,005,7.55
1994-02-01,KW,005,7.61
1994-01-01,KW,005,7.53
1993-12-01,KW,005,7.52
1993-11-01,KW,005,7.74
1993-10-01,KW,005,7.83
1993-09-01,KW,005,7.89
1993-08-01,KW,005,7.98
1993-07-01,KW,005,8.0
1993-06-01,KW,005,8.02
1993-05-01,KW,005,8.03
1993-04-01,KW,005,7.96
1993-03-01,KW,005,8.1
1993-02-01,KW,005,8.14
1993-01-01,KW,005,8.23
1992-12-01,KW,005,8.19
1992-11-01,KW,005,8.05
1992-10-01,KW,005,8.03
1992-09-01,KW,005,8.04
1992-08-01,KW,005,8.05
1992-07-01,KW,005,7.91
1992-06-01,KW,005,8.04
1992-05-01,KW,005,7.95
1992-04-01,KW,005,7.91
1992-03-01,KW,005,8.0
1992-02-01,KW,005,7.88
1992-01-01,KW,005,7.89
1991-12-01,KW,005,7.99
1991-11-01,KW,005,8.72
1991-10-01,KW,005,8.72
