date,country_code,indicator_code,value
2020-03-01,KZ,001,8750.1
2020-02-01,KZ,001,8760.9
2020-01-01,KZ,001,8773.4
2019-12-01,KZ,001,8773.2
2019-11-01,KZ,001,8773.6
2019-10-01,KZ,001,8773.4
2019-09-01,KZ,001,8773.7
2019-08-01,KZ,001,8773.4
2019-07-01,KZ,001,8772.5
2019-06-01,KZ,001,8768.7
2019-05-01,KZ,001,8762.5
2019-04-01,KZ,001,8757.5
2019-03-01,KZ,001,8744.9
2019-02-01,KZ,001,8735.7
2019-01-01,KZ,001,8716.9
2018-12-01,KZ,001,8704.0
2018-11-01,KZ,001,8707.2
2018-10-01,KZ,001,8717.9
2018-09-01,KZ,001,8748.4
2018-08-01,KZ,001,8732.7
2018-07-01,KZ,001,8702.6
2018-06-01,KZ,001,8663.9
2018-05-01,KZ,001,8647.8
2018-04-01,KZ,001,8600.8
2018-03-01,KZ,001,8578.9
2018-02-01,KZ,001,8571.5
2018-01-01,KZ,001,8551.8
2017-12-01,KZ,001,8530.8
2017-11-01,KZ,001,8538.0
2017-10-01,KZ,001,8555.1
2017-09-01,KZ,001,8572.2
2017-08-01,KZ,001,8572.1
2017-07-01,KZ,001,8572.0
2017-06-01,KZ,001,8555.4
2017-05-01,KZ,001,8550.0
2017-04-01,KZ,001,8517.6
2017-03-01,KZ,001,8463.5
2017-02-01,KZ,001,8450.1
2017-01-01,KZ,001,8449.0
2016-12-01,KZ,001,8481.3
2016-11-01,KZ,001,8519.5
2016-10-01,KZ,001,8566.1
2016-09-01,KZ,001,8594.6
2016-08-01,KZ,001,8595.6
2016-07-01,KZ,001,8569.6
2016-06-01,KZ,001,8530.5
2016-05-01,KZ,001,8485.2
2016-04-01,KZ,001,8439.0
2016-03-01,KZ,001,8384.4
2016-02-01,KZ,001,8383.9
2016-01-01,KZ,001,8396.9
2015-12-01,KZ,001,8510.9
2015-11-01,KZ,001,8508.4
2015-10-01,KZ,001,8512.8
2015-09-01,KZ,001,8635.5
2015-08-01,KZ,001,8637.4
2015-07-01,KZ,001,8630.9
2015-06-01,KZ,001,8575.7
2015-05-01,KZ,001,8575.3
2015-04-01,KZ,001,8574.9
2015-03-01,KZ,001,8444.3
2015-02-01,KZ,001,8420.0
2015-01-01,KZ,001,8483.0
2014-12-01,KZ,001,8651.1
2014-11-01,KZ,001,8651.0
2014-10-01,KZ,001,8651.2
2014-09-01,KZ,001,8679.3
2014-08-01,KZ,001,8679.4
2014-07-01,KZ,001,8677.1
2014-06-01,KZ,001,8654.9
2014-05-01,KZ,001,8655.4
2014-04-01,KZ,001,8641.8
2014-03-01,KZ,001,8587.3
2014-02-01,KZ,001,8587.1
2014-01-01,KZ,001,8586.9
2013-12-01,KZ,001,8575.8
2013-11-01,KZ,001,8575.9
2013-10-01,KZ,001,8576.3
2013-09-01,KZ,001,8608.3
2013-08-01,KZ,001,8607.9
2013-07-01,KZ,001,8606.9
2013-06-01,KZ,001,8591.8
2013-05-01,KZ,001,8590.8
2013-04-01,KZ,001,8589.4
2013-03-01,KZ,001,8551.5
2013-02-01,KZ,001,8549.7
2013-01-01,KZ,001,8537.1
2012-12-01,KZ,001,8499.9
2012-11-01,KZ,001,8499.8
2012-10-01,KZ,001,8500.1
2012-09-01,KZ,001,8536.3
2012-08-01,KZ,001,8540.7
2012-07-01,KZ,001,8543.9
2012-06-01,KZ,001,8559.8
2012-05-01,KZ,001,8530.4
2012-04-01,KZ,001,8490.0
2012-03-01,KZ,001,8474.6
2012-02-01,KZ,001,8469.9
2012-01-01,KZ,001,8442.9
2011-12-01,KZ,001,8465.9
2011-11-01,KZ,001,8406.5
2011-10-01,KZ,001,8415.0
2011-09-01,KZ,001,8437.9
2011-08-01,KZ,001,8443.5
2011-07-01,KZ,001,8448.4
2011-06-01,KZ,001,8222.7
2011-05-01,KZ,001,8205.5
2011-04-01,KZ,001,8184.9
2011-03-01,KZ,001,8138.2
2011-02-01,KZ,001,8134.6
2011-01-01,KZ,001,8130.8
2010-12-01,KZ,001,8137.6
2010-11-01,KZ,001,8141.3
2010-10-01,KZ,001,8145.2
2010-09-01,KZ,001,8163.3
2010-08-01,KZ,001,8180.1
2010-07-01,KZ,001,8169.9
2010-06-01,KZ,001,8172.0
2010-05-01,KZ,001,8117.5
2010-04-01,KZ,001,8060.0
2010-03-01,KZ,001,8133.4
2010-02-01,KZ,001,8033.9
2010-01-01,KZ,001,7920.6
2009-12-01,KZ,001,7930.7
2009-11-01,KZ,001,7937.4
2009-10-01,KZ,001,7944.0
2009-09-01,KZ,001,7961.8
2009-08-01,KZ,001,7955.2
2009-07-01,KZ,001,7948.5
2009-06-01,KZ,001,7975.8
2009-05-01,KZ,001,7867.8
2009-04-01,KZ,001,7846.2
2009-03-01,KZ,001,7830.4
2009-02-01,KZ,001,7822.6
2009-01-01,KZ,001,7838.2
2008-12-01,KZ,001,7836.2
2008-11-01,KZ,001,7870.7
2008-10-01,KZ,001,7879.3
2008-09-01,KZ,001,7975.2
2008-08-01,KZ,001,7916.7
2008-07-01,KZ,001,7884.2
2008-06-01,KZ,001,7936.1
2008-05-01,KZ,001,7886.8
2008-04-01,KZ,001,7782.4
2008-03-01,KZ,001,7876.0
2008-02-01,KZ,001,7815.5
2008-01-01,KZ,001,7597.2
2007-12-01,KZ,001,7672.1
2007-11-01,KZ,001,7677.6
2007-10-01,KZ,001,7691.4
2007-09-01,KZ,001,7818.2
2007-08-01,KZ,001,7703.7
2007-07-01,KZ,001,7618.5
2007-06-01,KZ,001,7814.7
2007-05-01,KZ,001,7572.7
2007-04-01,KZ,001,7539.0
2007-03-01,KZ,001,7654.0
2007-02-01,KZ,001,7443.6
2007-01-01,KZ,001,7375.3
2006-12-01,KZ,001,7400.7
2006-11-01,KZ,001,7414.0
2006-10-01,KZ,001,7430.0
2006-09-01,KZ,001,7601.3
2006-08-01,KZ,001,7453.8
2006-07-01,KZ,001,7396.0
2006-06-01,KZ,001,7728.4
2006-05-01,KZ,001,7413.0
2006-04-01,KZ,001,7139.6
2006-03-01,KZ,001,7443.8
2006-02-01,KZ,001,7252.4
2006-01-01,KZ,001,7170.8
2005-12-01,KZ,001,7215.6
2005-11-01,KZ,001,7238.4
2005-10-01,KZ,001,7264.2
2005-09-01,KZ,001,7457.5
2005-08-01,KZ,001,7321.0
2005-07-01,KZ,001,7271.2
2005-06-01,KZ,001,7574.9
2005-05-01,KZ,001,7267.8
2005-04-01,KZ,001,7012.9
2005-03-01,KZ,001,7250.0
2005-02-01,KZ,001,7063.0
2005-01-01,KZ,001,6993.3
2004-12-01,KZ,001,7066.9
2004-11-01,KZ,001,7114.8
2004-10-01,KZ,001,7161.8
2004-09-01,KZ,001,7388.7
2004-08-01,KZ,001,7276.0
2004-07-01,KZ,001,7250.3
2004-06-01,KZ,001,7523.7
2004-05-01,KZ,001,7227.0
2004-04-01,KZ,001,6966.9
2004-03-01,KZ,001,7143.7
2004-02-01,KZ,001,6965.5
2004-01-01,KZ,001,6905.2
2003-12-01,KZ,001,6893.7
2003-11-01,KZ,001,6992.6
2003-10-01,KZ,001,7088.5
2003-09-01,KZ,001,7303.9
2003-08-01,KZ,001,7199.5
2003-07-01,KZ,001,7182.7
2003-06-01,KZ,001,7365.9
2003-05-01,KZ,001,7100.8
2003-04-01,KZ,001,6856.4
2003-03-01,KZ,001,6636.0
2003-02-01,KZ,001,6536.8
2003-01-01,KZ,001,6462.8
2020-02-01,KZ,002,109733.0
2020-01-01,KZ,002,109750.0
2019-12-01,KZ,002,111099.0
2019-11-01,KZ,002,111188.0
2019-10-01,KZ,002,111311.0
2019-09-01,KZ,002,105190.0
2019-08-01,KZ,002,105292.0
2019-07-01,KZ,002,105454.0
2019-06-01,KZ,002,103737.0
2019-05-01,KZ,002,103800.0
