date,country_code,indicator_code,value
2015-01-01,LA,001,3474582.0
2005-01-01,LA,001,2738893.0
1995-01-01,LA,001,2166192.0
2016-01-01,LA,004,-11212414.0
2015-01-01,LA,004,-20980847.0
2014-01-01,LA,004,-18743614.0
2013-01-01,LA,004,-20494051.0
2012-01-01,LA,004,-18306454.0
2011-01-01,LA,004,-7736958.0
2010-01-01,LA,004,-8213264.0
2009-01-01,LA,004,-8327592.0
2008-01-01,LA,004,-7397963.0
2007-01-01,LA,004,-4859967.0
2006-01-01,LA,004,-1982509.0
2005-01-01,LA,004,-4041398.0
2004-01-01,LA,004,-4071886.0
2003-01-01,LA,004,-2887588.0
2002-01-01,LA,004,-1723971.0
2001-01-01,LA,004,-1594222.0
2000-01-01,LA,004,-1024691.0
1999-01-01,LA,004,-858040.0
1998-01-01,LA,004,-479577.0
1997-01-01,LA,004,-382404.0
1996-01-01,LA,004,-316831.0
1995-01-01,LA,004,-200287.0
1994-01-01,LA,004,-164346.0
1993-01-01,LA,004,-92300.0
1992-01-01,LA,004,-81400.0
1991-01-01,LA,004,-88600.0
1990-01-01,LA,004,-80800.0
1989-01-01,LA,004,-82700.0
1988-01-01,LA,004,-42900.0
1987-01-01,LA,004,-15100.0
1986-01-01,LA,004,-6900.0
1985-01-01,LA,004,-6100.0
1984-01-01,LA,004,-2200.0
2011-03-01,LA,005,21.17
2011-02-01,LA,005,22.0
2011-01-01,LA,005,22.0
2010-12-01,LA,005,22.0
2010-11-01,LA,005,22.0
2010-10-01,LA,005,22.0
2010-09-01,LA,005,22.0
2010-08-01,LA,005,22.0
2010-07-01,LA,005,23.05
2010-06-01,LA,005,23.05
2010-05-01,LA,005,23.05
2010-04-01,LA,005,23.05
2010-03-01,LA,005,23.05
2010-02-01,LA,005,23.05
2010-01-01,LA,005,23.05
2009-12-01,LA,005,22.0
2009-11-01,LA,005,22.0
2009-10-01,LA,005,22.0
2009-09-01,LA,005,26.55
2009-08-01,LA,005,26.55
2009-07-01,LA,005,26.55
2009-06-01,LA,005,26.55
2009-05-01,LA,005,26.55
2009-04-01,LA,005,26.55
2009-03-01,LA,005,24.0
2009-02-01,LA,005,24.0
2009-01-01,LA,005,24.0
2008-12-01,LA,005,24.0
2008-11-01,LA,005,24.0
2008-10-01,LA,005,24.0
2008-09-01,LA,005,24.0
2008-08-01,LA,005,24.0
2008-07-01,LA,005,24.0
2008-06-01,LA,005,24.0
2008-05-01,LA,005,24.0
2008-04-01,LA,005,24.0
2008-03-01,LA,005,24.0
2008-02-01,LA,005,24.0
2008-01-01,LA,005,24.0
2007-12-01,LA,005,24.0
2007-11-01,LA,005,24.0
2007-10-01,LA,005,24.0
2007-09-01,LA,005,30.0
2007-08-01,LA,005,30.0
2007-07-01,LA,005,30.0
2007-06-01,LA,005,30.0
2007-05-01,LA,005,30.0
2007-04-01,LA,005,30.0
2007-03-01,LA,005,30.0
2007-02-01,LA,005,30.0
2007-01-01,LA,005,30.0
2006-12-01,LA,005,30.0
2006-11-01,LA,005,30.0
2006-10-01,LA,005,30.0
2006-09-01,LA,005,30.0
2006-08-01,LA,005,30.0
2006-07-01,LA,005,30.0
2006-06-01,LA,005,30.0
2006-05-01,LA,005,30.0
2006-04-01,LA,005,30.0
2006-03-01,LA,005,30.0
2006-02-01,LA,005,30.0
2006-01-01,LA,005,30.0
2005-12-01,LA,005,30.0
2005-11-01,LA,005,30.0
2005-10-01,LA,005,30.0
2005-09-01,LA,005,26.0
2005-08-01,LA,005,26.0
2005-07-01,LA,005,24.0
2005-06-01,LA,005,24.0
2005-05-01,LA,005,24.0
2005-04-01,LA,005,26.0
2005-03-01,LA,005,26.0
2005-02-01,LA,005,26.0
2005-01-01,LA,005,30.0
2004-12-01,LA,005,30.0
2004-11-01,LA,005,30.0
2004-10-01,LA,005,30.0
2004-09-01,LA,005,30.0
2004-08-01,LA,005,30.0
2004-07-01,LA,005,30.0
2004-06-01,LA,005,30.0
2004-05-01,LA,005,30.0
2004-04-01,LA,005,30.0
2004-03-01,LA,005,27.0
2004-02-01,LA,005,27.0
2004-01-01,LA,005,27.0
2003-12-01,LA,005,27.0
2003-11-01,LA,005,27.0
2003-10-01,LA,005,27.0
2003-09-01,LA,005,27.0
2003-08-01,LA,005,27.0
2003-07-01,LA,005,27.0
2003-06-01,LA,005,30.0
2003-05-01,LA,005,30.0
2003-04-01,LA,005,36.0
2003-03-01,LA,005,36.0
2003-02-01,LA,005,36.0
2003-01-01,LA,005,36.0
2002-12-01,LA,005,36.0
2002-11-01,LA,005,36.0
2002-10-01,LA,005,28.0
2002-09-01,LA,005,28.0
2002-08-01,LA,005,28.0
2002-07-01,LA,005,28.0
2002-06-01,LA,005,28.0
2002-05-01,LA,005,28.0
2002-04-01,LA,005,28.0
2002-03-01,LA,005,28.0
2002-02-01,LA,005,28.0
2002-01-01,LA,005,28.0
2001-12-01,LA,005,28.0
2001-11-01,LA,005,28.0
2001-10-01,LA,005,28.0
2001-09-01,LA,005,28.0
2001-08-01,LA,005,28.0
2001-07-01,LA,005,22.0
2001-06-01,LA,005,22.0
2001-05-01,LA,005,22.0
2001-04-01,LA,005,22.0
2001-03-01,LA,005,32.0
2001-02-01,LA,005,22.0
2001-01-01,LA,005,32.0
2000-12-01,LA,005,32.0
2000-11-01,LA,005,32.0
2000-10-01,LA,005,32.0
2000-09-01,LA,005,32.0
2000-08-01,LA,005,32.0
2000-07-01,LA,005,32.0
2000-06-01,LA,005,32.0
2000-05-01,LA,005,32.0
2000-04-01,LA,005,32.0
2000-03-01,LA,005,32.0
2000-02-01,LA,005,32.0
2000-01-01,LA,005,32.0
1999-12-01,LA,005,32.0
1999-11-01,LA,005,32.0
1999-10-01,LA,005,32.0
1999-09-01,LA,005,32.0
1999-08-01,LA,005,32.0
1999-07-01,LA,005,32.0
1999-06-01,LA,005,32.0
1999-05-01,LA,005,32.0
1999-04-01,LA,005,32.0
1999-03-01,LA,005,32.0
1999-02-01,LA,005,32.0
1999-01-01,LA,005,32.0
1998-12-01,LA,005,32.0
1998-11-01,LA,005,32.0
1998-10-01,LA,005,32.0
1998-09-01,LA,005,32.0
1998-08-01,LA,005,29.0
1998-07-01,LA,005,29.0
1998-06-01,LA,005,29.0
1998-05-01,LA,005,29.0
1998-04-01,LA,005,29.0
1998-03-01,LA,005,29.0
1998-02-01,LA,005,24.67
1998-01-01,LA,005,24.67
1997-12-01,LA,005,26.0
1997-11-01,LA,005,26.0
1997-10-01,LA,005,26.0
1997-09-01,LA,005,26.0
1996-12-01,LA,005,27.0
1996-11-01,LA,005,27.0
1996-10-01,LA,005,27.0
1996-09-01,LA,005,27.0
1996-08-01,LA,005,27.0
1996-07-01,LA,005,27.0
1996-06-01,LA,005,27.0
1996-05-01,LA,005,27.0
1996-04-01,LA,005,27.0
1996-03-01,LA,005,27.0
1996-02-01,LA,005,27.0
1996-01-01,LA,005,27.0
1995-12-01,LA,005,28.0
1995-11-01,LA,005,28.0
1995-10-01,LA,005,28.0
1995-09-01,LA,005,28.0
1995-08-01,LA,005,28.0
1995-07-01,LA,005,24.0
1995-06-01,LA,005,24.0
1995-05-01,LA,005,24.0
1995-04-01,LA,005,24.0
1995-03-01,LA,005,24.0
1995-02-01,LA,005,24.0
1995-01-01,LA,005,24.0
1994-12-01,LA,005,24.0
1994-11-01,LA,005,24.0
1994-10-01,LA,005,24.0
1994-09-01,LA,005,24.0
1994-08-01,LA,005,24.0
1994-07-01,LA,005,24.0
1994-06-01,LA,005,24.0
1994-05-01,LA,005,24.0
1994-04-01,LA,005,24.0
1994-03-01,LA,005,24.0
1994-02-01,LA,005,24.0
1994-01-01,LA,005,24.0
1993-12-01,LA,005,24.0
1993-11-01,LA,005,24.0
1993-10-01,LA,005,24.0
1993-09-01,LA,005,24.0
1993-08-01,LA,005,26.0
1993-07-01,LA,005,26.0
1993-06-01,LA,005,26.0
1993-05-01,LA,005,26.0
1993-04-01,LA,005,26.0
1993-03-01,LA,005,26.0
1993-02-01,LA,005,26.0
1993-01-01,LA,005,26.0
1992-12-01,LA,005,26.0
1992-11-01,LA,005,26.0
1992-10-01,LA,005,26.0
1992-09-01,LA,005,26.0
1992-08-01,LA,005,26.0
1992-07-01,LA,005,26.0
1992-06-01,LA,005,26.0
1992-05-01,LA,005,26.0
1992-04-01,LA,005,26.0
1992-03-01,LA,005,26.0
1992-02-01,LA,005,26.0
1992-01-01,LA,005,26.0
1991-12-01,LA,005,26.0
1991-11-01,LA,005,26.0
1991-10-01,LA,005,30.0
1991-09-01,LA,005,30.0
1991-08-01,LA,005,30.0
1991-07-01,LA,005,30.0
1991-06-01,LA,005,30.0
1991-05-01,LA,005,30.0
1991-04-01,LA,005,30.0
1991-03-01,LA,005,30.0
1991-02-01,LA,005,30.0
1991-01-01,LA,005,30.0
1990-11-01,LA,005,30.0
1990-10-01,LA,005,30.0
1990-09-01,LA,005,30.0
1990-08-01,LA,005,30.0
1990-07-01,LA,005,30.0
1990-06-01,LA,005,29.0
1990-05-01,LA,005,29.0
1990-04-01,LA,005,29.0
1990-03-01,LA,005,29.0
1990-02-01,LA,005,29.0
1990-01-01,LA,005,29.0
1989-11-01,LA,005,29.0
1989-10-01,LA,005,29.0
1989-09-01,LA,005,29.0
1989-08-01,LA,005,29.0
