date,country_code,indicator_code,value
2017-01-01,LB,004,19222203.0
2016-01-01,LB,004,18589855.0
2015-01-01,LB,004,19632159.0
2014-01-01,LB,004,19505989.0
2013-01-01,LB,004,22672634.0
2012-01-01,LB,004,22639004.0
2011-01-01,LB,004,22317514.0
2010-01-01,LB,004,20730813.0
2009-01-01,LB,004,18022796.0
2008-01-01,LB,004,17171191.0
2007-01-01,LB,004,14114437.0
2006-01-01,LB,004,12011866.0
2005-01-01,LB,004,12084474.0
2004-01-01,LB,004,11388130.0
2003-01-01,LB,004,8800860.0
2002-01-01,LB,004,8084571.0
2001-01-01,LB,004,7237107.0
2000-01-01,LB,004,6320602.0
1999-01-01,LB,004,6355122.0
1998-01-01,LB,004,6213590.0
1997-01-01,LB,004,6082414.0
1996-01-01,LB,004,5731798.0
1995-01-01,LB,004,5360820.0
1994-01-01,LB,004,4915429.0
1993-01-01,LB,004,4630468.0
1992-01-01,LB,004,3944331.0
1991-01-01,LB,004,1991849.0
1990-01-01,LB,004,1192291.0
1982-01-01,LB,004,5255.0
1981-01-01,LB,004,5724.0
1980-01-01,LB,004,5460.0
1979-01-01,LB,004,4168.0
1978-01-01,LB,004,2120.0
1977-01-01,LB,004,1561.0
1976-01-01,LB,004,861.0
1973-01-01,LB,004,1991.0
1972-01-01,LB,004,1731.0
1971-01-01,LB,004,1377.0
1970-01-01,LB,004,1149.0
1969-01-01,LB,004,1032.0
1968-01-01,LB,004,1008.0
1967-01-01,LB,004,780.0
1966-01-01,LB,004,727.0
1965-01-01,LB,004,668.0
1964-01-01,LB,004,619.0
2019-03-01,LB,005,10.58
2019-02-01,LB,005,10.55
2019-01-01,LB,005,10.41
2018-12-01,LB,005,9.97
2018-11-01,LB,005,10.15
2018-10-01,LB,005,9.6
2018-09-01,LB,005,9.31
2018-08-01,LB,005,8.81
2018-07-01,LB,005,8.66
2018-06-01,LB,005,8.82
2018-05-01,LB,005,8.65
2018-04-01,LB,005,8.99
2018-03-01,LB,005,8.95
2018-02-01,LB,005,8.67
2018-01-01,LB,005,8.56
2017-12-01,LB,005,8.09
2017-11-01,LB,005,7.98
2017-10-01,LB,005,8.24
2017-09-01,LB,005,8.31
2017-08-01,LB,005,8.1
2017-07-01,LB,005,8.33
2017-06-01,LB,005,8.39
2017-05-01,LB,005,8.48
2017-04-01,LB,005,8.33
2017-03-01,LB,005,8.43
2017-02-01,LB,005,8.37
2017-01-01,LB,005,8.47
2016-12-01,LB,005,8.23
2016-11-01,LB,005,8.26
2016-10-01,LB,005,8.35
2016-09-01,LB,005,8.44
2016-08-01,LB,005,8.29
2016-07-01,LB,005,8.32
2016-06-01,LB,005,8.31
2016-05-01,LB,005,8.53
2016-04-01,LB,005,8.4
2016-03-01,LB,005,8.62
2016-02-01,LB,005,8.18
2016-01-01,LB,005,8.28
2015-12-01,LB,005,7.45
2015-11-01,LB,005,6.93
