date,country_code,indicator_code,value
2017-01-01,LC,001,-47.0
2016-01-01,LC,001,-23.0
2015-01-01,LC,001,-93.0
2014-01-01,LC,001,-138.0
2013-01-01,LC,001,-241.0
2012-01-01,LC,001,-229.0
2011-01-01,LC,001,-162.0
2010-01-01,LC,001,-20.0
2009-01-01,LC,001,-65.0
2008-01-01,LC,001,1.0
2007-01-01,LC,001,14.0
2006-01-01,LC,001,-84.0
2005-01-01,LC,001,-133.0
2004-01-01,LC,001,-100.0
2003-01-01,LC,001,-130.0
2002-01-01,LC,001,-45.0
2001-01-01,LC,001,-63.0
2000-01-01,LC,001,-23.0
2016-01-01,LC,002,21.3
2015-01-01,LC,002,24.1
2013-01-01,LC,002,22.2
2012-01-01,LC,002,19.1
2011-01-01,LC,002,18.9
2009-01-01,LC,002,15.4
2008-01-01,LC,002,12.7
2007-01-01,LC,002,14.0
2006-01-01,LC,002,16.0
2005-01-01,LC,002,18.7
2004-01-01,LC,002,21.0
2003-01-01,LC,002,22.2
2002-01-01,LC,002,20.4
2000-01-01,LC,002,16.5
1999-01-01,LC,002,18.1
1998-01-01,LC,002,21.6
1997-01-01,LC,002,20.5
1996-01-01,LC,002,16.3
1995-01-01,LC,002,15.8
1994-01-01,LC,002,17.0
1993-01-01,LC,002,16.8
2016-01-01,LC,004,-339.0
2015-01-01,LC,004,-202.0
2014-01-01,LC,004,-211.0
2013-01-01,LC,004,-347.0
2012-01-01,LC,004,-399.0
2011-01-01,LC,004,-657.0
2010-01-01,LC,004,-482.0
2009-01-01,LC,004,-281.0
2008-01-01,LC,004,-767.0
2007-01-01,LC,004,-784.0
2006-01-01,LC,004,-719.0
2005-01-01,LC,004,-189.0
2004-01-01,LC,004,-294.0
2003-01-01,LC,004,-298.0
2002-01-01,LC,004,-218.0
2001-01-01,LC,004,-204.0
2000-01-01,LC,004,-192.0
1999-01-01,LC,004,-171.0
1998-01-01,LC,004,-108.0
1997-01-01,LC,004,-162.0
1996-01-01,LC,004,-94.0
