date,country_code,indicator_code,value
2019-01-01,LI,043,12.5
2018-01-01,LI,043,12.5
2017-01-01,LI,043,12.5
2016-01-01,LI,043,12.5
2015-01-01,LI,043,12.5
2014-01-01,LI,043,12.5
2013-01-01,LI,043,12.5
2012-01-01,LI,043,12.5
2011-01-01,LI,043,12.5
2018-01-01,LI,077,-87212.0935084
2017-01-01,LI,077,38999.5864606
2016-01-01,LI,077,60669.8338627
2015-01-01,LI,077,80400.4301078
2014-01-01,LI,077,9340.07389462
2013-01-01,LI,077,1154.91669221
2012-01-01,LI,077,29482.9743469
2011-01-01,LI,077,26414.902947
2010-01-01,LI,077,29875.9408655
2009-01-01,LI,077,29934.8969483
2008-01-01,LI,077,16214.8661933
2007-01-01,LI,077,33538.2423753
2006-01-01,LI,077,44598.4336119
2005-01-01,LI,077,-266.949356719
2004-01-01,LI,077,1845.83835947
2003-01-01,LI,077,17305.4617013
2002-01-01,LI,077,6864.25725486
2001-01-01,LI,077,9389.13611557
2000-01-01,LI,077,19854.5747377
1999-01-01,LI,077,11718.5918943
1998-01-01,LI,077,8940.75775446
1997-01-01,LI,077,6635.79800318
1996-01-01,LI,077,3078.45405782
1995-01-01,LI,077,2222.46653192
1994-01-01,LI,077,3366.99105792
1993-01-01,LI,077,-83.2419701953
1992-01-01,LI,077,411.030990883
1991-01-01,LI,077,2642.27784015
1990-01-01,LI,077,5483.88954476
1989-01-01,LI,077,1448.11482224
1988-01-01,LI,077,1924.4174127
1987-01-01,LI,077,2178.79679987
1986-01-01,LI,077,1172.92597781
1985-01-01,LI,077,1050.41247309
1984-01-01,LI,077,520.496408021
1983-01-01,LI,077,286.307726021
2016-01-01,LI,081,6215.0
2015-01-01,LI,081,6268.0
2014-01-01,LI,081,6657.0
2013-01-01,LI,081,6392.0
2012-01-01,LI,081,5456.0
2011-01-01,LI,081,5740.0
2010-01-01,LI,081,5082.0
2009-01-01,LI,081,4505.0
2008-01-01,LI,081,5081.0
2007-01-01,LI,081,4601.0
2006-01-01,LI,081,4000.0
2005-01-01,LI,081,3659.0
2004-01-01,LI,081,3454.0
2003-01-01,LI,081,3071.0
2002-01-01,LI,081,2689.0
2001-01-01,LI,081,2492.0
2000-01-01,LI,081,2484.0
1999-01-01,LI,081,2664.0
1998-01-01,LI,081,2480.0
1997-01-01,LI,081,2298.0
1996-01-01,LI,081,2504.0
1995-01-01,LI,081,2428.0
1994-01-01,LI,081,1948.0
1993-01-01,LI,081,1673.0
1992-01-01,LI,081,1631.0
1991-01-01,LI,081,1484.0
1990-01-01,LI,081,1421.0
1989-01-01,LI,081,1120.0
1988-01-01,LI,081,1162.0
1987-01-01,LI,081,1053.0
1986-01-01,LI,081,779.0
1985-01-01,LI,081,529.0
1984-01-01,LI,081,503.0
1983-01-01,LI,081,524.0
1982-01-01,LI,081,522.0
1981-01-01,LI,081,512.0
1980-01-01,LI,081,535.0
1979-01-01,LI,081,503.0
1978-01-01,LI,081,437.0
1977-01-01,LI,081,303.0
1976-01-01,LI,081,272.0
1975-01-01,LI,081,246.0
1974-01-01,LI,081,194.0
1973-01-01,LI,081,166.0
1972-01-01,LI,081,125.0
1971-01-01,LI,081,105.0
1970-01-01,LI,081,90.0
2016-01-01,LI,082,1.51176090308
2015-01-01,LI,082,-1.09192858197
2014-01-01,LI,082,2.95045995443
2013-01-01,LI,082,15.801098493
2012-01-01,LI,082,0.372760981735
2011-01-01,LI,082,-3.83555958041
2010-01-01,LI,082,8.14053127678
2009-01-01,LI,082,-10.9435470683
2008-01-01,LI,082,-0.356664373393
2007-01-01,LI,082,10.1266075167
2006-01-01,LI,082,10.0735213431
2005-01-01,LI,082,6.07612617856
2004-01-01,LI,082,3.87396319493
2003-01-01,LI,082,-1.31726524281
2002-01-01,LI,082,-0.349567202511
2001-01-01,LI,082,0.245536246394
2000-01-01,LI,082,4.82270921312
1999-01-01,LI,082,11.3154015187
1998-01-01,LI,082,7.77702797298
1997-01-01,LI,082,7.77703284507
1996-01-01,LI,082,7.77701089546
1995-01-01,LI,082,7.77705342321
1994-01-01,LI,082,7.77702585452
1993-01-01,LI,082,7.77699450386
1992-01-01,LI,082,7.77705314259
1991-01-01,LI,082,7.77702548386
1990-01-01,LI,082,7.77700154458
1989-01-01,LI,082,7.77705882353
1988-01-01,LI,082,8.28025477707
1987-01-01,LI,082,11.9828815977
1986-01-01,LI,082,7.84615384615
1985-01-01,LI,082,10.0762066046
1984-01-01,LI,082,7.36363636364
1983-01-01,LI,082,3.77358490566
1982-01-01,LI,082,5.47263681592
1981-01-01,LI,082,12.1651785714
1980-01-01,LI,082,7.09517486036
1979-01-01,LI,082,7.09527527809
1978-01-01,LI,082,7.09531662766
1977-01-01,LI,082,7.09516300949
1976-01-01,LI,082,7.09528301887
1975-01-01,LI,082,10.0505955883
1974-01-01,LI,082,10.05052015
1973-01-01,LI,082,10.0505471753
1972-01-01,LI,082,10.0505305593
1971-01-01,LI,082,10.0505076142
2016-01-01,LI,083,1.51176090308
2015-01-01,LI,083,-1.09192858197
2014-01-01,LI,083,2.95045995443
2013-01-01,LI,083,15.801098493
2012-01-01,LI,083,0.372760981735
2011-01-01,LI,083,-3.83555958041
2010-01-01,LI,083,8.14053127678
2009-01-01,LI,083,-10.9435470683
2008-01-01,LI,083,-0.356664373393
2007-01-01,LI,083,10.1266075167
2006-01-01,LI,083,10.0735213431
2005-01-01,LI,083,6.07612617856
2004-01-01,LI,083,3.87396319493
2003-01-01,LI,083,-1.31726524281
2002-01-01,LI,083,-0.349567202511
2001-01-01,LI,083,0.245536246394
2000-01-01,LI,083,4.82270921312
1999-01-01,LI,083,11.3154015187
1998-01-01,LI,083,7.77702797298
1997-01-01,LI,083,7.77703284507
1996-01-01,LI,083,7.77701089546
1995-01-01,LI,083,7.77705342321
1994-01-01,LI,083,7.77702585452
1993-01-01,LI,083,7.77699450386
1992-01-01,LI,083,7.77705314259
1991-01-01,LI,083,7.77702548386
1990-01-01,LI,083,7.77700154458
1989-01-01,LI,083,7.77705882353
1988-01-01,LI,083,8.28025477707
1987-01-01,LI,083,11.9828815977
1986-01-01,LI,083,7.84615384615
1985-01-01,LI,083,10.0762066046
1984-01-01,LI,083,7.36363636364
1983-01-01,LI,083,3.77358490566
1982-01-01,LI,083,5.47263681592
1981-01-01,LI,083,12.1651785714
1980-01-01,LI,083,7.09517486036
1979-01-01,LI,083,7.09527527809
1978-01-01,LI,083,7.09531662766
1977-01-01,LI,083,7.09516300949
1976-01-01,LI,083,7.09528301887
1975-01-01,LI,083,10.0505955883
1974-01-01,LI,083,10.05052015
1973-01-01,LI,083,10.0505471753
1972-01-01,LI,083,10.0505305593
1971-01-01,LI,083,10.0505076142
2009-01-01,LI,084,4818.0
2008-01-01,LI,084,4874.0
2007-01-01,LI,084,4788.0
2006-01-01,LI,084,4634.0
2005-01-01,LI,084,4265.0
2004-01-01,LI,084,4069.0
2003-01-01,LI,084,3949.0
2002-01-01,LI,084,4027.0
2001-01-01,LI,084,4067.0
2000-01-01,LI,084,4097.0
1999-01-01,LI,084,3969.0
1998-01-01,LI,084,3595.0
1997-01-01,LI,084,3336.0
1996-01-01,LI,084,3111.0
1995-01-01,LI,084,2910.0
1994-01-01,LI,084,2749.0
1993-01-01,LI,084,2572.0
1992-01-01,LI,084,2465.0
1991-01-01,LI,084,2380.0
1990-01-01,LI,084,2338.0
