date,country_code,indicator_code,value
2018-01-01,LR,004,-2230.0
2017-01-01,LR,004,-2445.0
2016-01-01,LR,004,-2584.0
2015-01-01,LR,004,-2767.0
2014-01-01,LR,004,-2518.0
2013-01-01,LR,004,-1896.0
2012-01-01,LR,004,-1533.0
2011-01-01,LR,004,-1742.0
2010-01-01,LR,004,-1468.0
2009-01-01,LR,004,-1409.0
2008-01-01,LR,004,-1904.0
2007-01-01,LR,004,-2216.0
2006-01-01,LR,004,-1256.0
2005-01-01,LR,004,-1444.0
2004-01-01,LR,004,-1393.0
2003-01-01,LR,004,1.0
2002-01-01,LR,004,107.0
2001-01-01,LR,004,23.0
2000-01-01,LR,004,-66.0
2017-01-01,LR,005,13.3
2016-01-01,LR,005,13.6
2015-01-01,LR,005,13.6
2014-01-01,LR,005,13.5
2013-01-01,LR,005,13.5
2012-01-01,LR,005,13.5
2011-01-01,LR,005,13.8
2010-01-01,LR,005,14.2
2009-01-01,LR,005,14.2
2008-01-01,LR,005,14.4
2007-01-01,LR,005,15.0
2006-01-01,LR,005,15.5
2005-01-01,LR,005,17.0
2004-01-01,LR,005,18.1
2003-01-01,LR,005,17.1
2002-01-01,LR,005,20.2
2001-01-01,LR,005,22.1
2000-01-01,LR,005,20.5
1999-01-01,LR,005,16.7
1998-01-01,LR,005,21.7
1997-01-01,LR,005,16.8
1996-01-01,LR,005,15.3
1995-01-01,LR,005,15.6
1994-01-01,LR,005,14.5
1992-01-01,LR,005,15.1
1991-01-01,LR,005,14.0
1989-01-01,LR,005,13.8
1988-01-01,LR,005,13.4
1987-01-01,LR,005,13.6
1986-01-01,LR,005,14.5
1985-01-01,LR,005,19.3
1984-01-01,LR,005,20.6
1983-01-01,LR,005,20.7
1982-01-01,LR,005,18.2
1981-01-01,LR,005,15.3
2018-01-01,LR,012,465.0
2017-01-01,LR,012,65.0
2016-01-01,LR,012,63.0
2015-01-01,LR,012,100.0
2014-01-01,LR,012,73.0
2013-01-01,LR,012,107.0
2012-01-01,LR,012,88.0
2011-01-01,LR,012,89.0
2010-01-01,LR,012,2136.0
2009-01-01,LR,012,1526.0
2008-01-01,LR,012,1197.0
1987-01-01,LR,012,1.0
1986-01-01,LR,012,1.0
2019-04-01,LR,016,40398.0
