date,country_code,indicator_code,value
2018-01-01,LS,004,-14643.0
2017-01-01,LS,004,-14764.0
2016-01-01,LS,004,-13920.0
2015-01-01,LS,004,-13229.0
2014-01-01,LS,004,-13244.0
2013-01-01,LS,004,-12989.0
2012-01-01,LS,004,-13554.0
2011-01-01,LS,004,-10178.0
2010-01-01,LS,004,-10772.0
2009-01-01,LS,004,-10233.0
2008-01-01,LS,004,-8071.0
2007-01-01,LS,004,-6939.0
1981-01-01,LS,004,-372.0
1980-01-01,LS,004,-299.0
1979-01-01,LS,004,-248.0
1978-01-01,LS,004,-170.0
1977-01-01,LS,004,-169.0
1976-01-01,LS,004,-155.0
1975-01-01,LS,004,-99.0
1974-01-01,LS,004,-65.0
1973-01-01,LS,004,-45.0
1972-01-01,LS,004,-33.0
1971-01-01,LS,004,-23.0
1970-01-01,LS,004,-18.0
1969-01-01,LS,004,-18.0
1968-01-01,LS,004,-19.0
1967-01-01,LS,004,-19.0
1966-01-01,LS,004,-19.0
1965-01-01,LS,004,-15.0
1964-01-01,LS,004,-13.0
1963-01-01,LS,004,-12.0
1962-01-01,LS,004,-10.0
1961-01-01,LS,004,-8.0
1960-01-01,LS,004,-7.0
2020-01-01,LS,005,11.19
2019-12-01,LS,005,11.19
2019-11-01,LS,005,11.19
2019-10-01,LS,005,11.19
2019-09-01,LS,005,11.19
2019-08-01,LS,005,11.19
2019-07-01,LS,005,11.44
2019-06-01,LS,005,11.44
2019-05-01,LS,005,11.44
2019-04-01,LS,005,11.44
2019-03-01,LS,005,11.44
2019-02-01,LS,005,11.44
2019-01-01,LS,005,11.44
2018-12-01,LS,005,11.25
2018-11-01,LS,005,11.25
2018-10-01,LS,005,11.19
2018-09-01,LS,005,11.19
2018-08-01,LS,005,11.19
2018-07-01,LS,005,11.19
2018-06-01,LS,005,11.31
2018-05-01,LS,005,11.44
2018-04-01,LS,005,11.56
2018-03-01,LS,005,11.63
2018-02-01,LS,005,11.56
2018-01-01,LS,005,11.5
2017-12-01,LS,005,11.44
2017-11-01,LS,005,11.44
2017-10-01,LS,005,11.44
2017-09-01,LS,005,11.44
2017-08-01,LS,005,11.44
2017-07-01,LS,005,11.63
2017-06-01,LS,005,11.69
2017-05-01,LS,005,11.69
2017-04-01,LS,005,11.69
2017-03-01,LS,005,11.69
2017-02-01,LS,005,11.69
2017-01-01,LS,005,11.69
2016-12-01,LS,005,11.69
2016-11-01,LS,005,11.69
2016-10-01,LS,005,11.69
2016-09-01,LS,005,11.69
2016-08-01,LS,005,11.69
2016-07-01,LS,005,11.69
2016-06-01,LS,005,11.69
2016-05-01,LS,005,11.63
2016-04-01,LS,005,11.63
2016-03-01,LS,005,11.44
2016-02-01,LS,005,11.44
2016-01-01,LS,005,10.94
2015-12-01,LS,005,10.94
2015-11-01,LS,005,10.69
2015-10-01,LS,005,10.69
2015-09-01,LS,005,10.69
2015-08-01,LS,005,10.69
2015-07-01,LS,005,10.5
2015-06-01,LS,005,10.44
2015-05-01,LS,005,10.44
2015-04-01,LS,005,10.44
2015-03-01,LS,005,10.44
2015-02-01,LS,005,10.44
2015-01-01,LS,005,10.44
2014-12-01,LS,005,10.44
2014-11-01,LS,005,10.44
2014-10-01,LS,005,10.44
2014-09-01,LS,005,10.42
2014-08-01,LS,005,10.42
2014-07-01,LS,005,10.42
2014-06-01,LS,005,10.25
2014-05-01,LS,005,10.25
2014-04-01,LS,005,10.25
2014-03-01,LS,005,10.25
2014-02-01,LS,005,10.25
2014-01-01,LS,005,10.25
2013-12-01,LS,005,9.92
2013-11-01,LS,005,9.92
2013-10-01,LS,005,9.92
2013-09-01,LS,005,9.92
2013-08-01,LS,005,9.92
2013-07-01,LS,005,9.92
2013-06-01,LS,005,9.92
2013-05-01,LS,005,9.92
2013-04-01,LS,005,9.92
2013-03-01,LS,005,9.92
2013-02-01,LS,005,9.92
2013-01-01,LS,005,9.92
2012-12-01,LS,005,9.92
2012-11-01,LS,005,9.92
2012-10-01,LS,005,9.92
2012-09-01,LS,005,9.92
2012-08-01,LS,005,9.92
2012-07-01,LS,005,10.08
2012-06-01,LS,005,10.25
2012-05-01,LS,005,10.25
2012-04-01,LS,005,10.25
