date,country_code,indicator_code,value
2018-07-01,LT,001,1.53
2018-04-01,LT,001,0.59
2018-01-01,LT,001,0.13
2017-10-01,LT,001,-0.45
2017-07-01,LT,001,-0.72
2017-04-01,LT,001,-0.36
2017-01-01,LT,001,-0.41
2016-10-01,LT,001,1.49
2016-07-01,LT,001,1.58
2016-04-01,LT,001,2.35
2016-01-01,LT,001,2.53
2015-10-01,LT,001,1.22
2015-07-01,LT,001,-0.13
2015-04-01,LT,001,2.07
2015-01-01,LT,001,1.71
2014-10-01,LT,001,1.83
2014-07-01,LT,001,3.13
2014-04-01,LT,001,0.93
2014-01-01,LT,001,2.22
2013-10-01,LT,001,2.3
2013-07-01,LT,001,0.79
2013-04-01,LT,001,1.01
2013-01-01,LT,001,1.26
2012-10-01,LT,001,0.85
2012-07-01,LT,001,2.96
2012-04-01,LT,001,1.74
2012-01-01,LT,001,1.5
2011-10-01,LT,001,-1.37
2011-07-01,LT,001,-0.06
2011-04-01,LT,001,2.53
2011-01-01,LT,001,0.9
2010-10-01,LT,001,1.29
2010-07-01,LT,001,-2.96
2010-04-01,LT,001,-4.8
2010-01-01,LT,001,-6.37
2009-10-01,LT,001,-8.96
2009-07-01,LT,001,-8.13
2009-04-01,LT,001,-7.84
2009-01-01,LT,001,-5.78
2008-10-01,LT,001,-1.7
2008-07-01,LT,001,-2.35
2008-04-01,LT,001,-2.09
2008-01-01,LT,001,-1.0
2007-10-01,LT,001,0.57
2007-07-01,LT,001,2.4
2007-04-01,LT,001,1.56
2007-01-01,LT,001,0.29
2006-10-01,LT,001,-1.69
2006-07-01,LT,001,-0.91
2006-04-01,LT,001,0.0
2006-01-01,LT,001,0.29
2005-10-01,LT,001,0.15
2005-07-01,LT,001,-0.38
2005-04-01,LT,001,-1.22
2005-01-01,LT,001,-0.48
2004-10-01,LT,001,0.08
2004-07-01,LT,001,-1.31
2004-04-01,LT,001,-3.01
2004-01-01,LT,001,0.96
2003-10-01,LT,001,1.95
2003-07-01,LT,001,0.88
2003-04-01,LT,001,3.65
2003-01-01,LT,001,2.58
2002-10-01,LT,001,4.72
2002-04-01,LT,001,3.49
2001-10-01,LT,001,-3.31
2001-04-01,LT,001,-3.28
2000-10-01,LT,001,-3.45
2000-04-01,LT,001,-4.58
1999-10-01,LT,001,-4.8
1999-04-01,LT,001,0.43
1998-10-01,LT,001,-10.73
1998-07-01,LT,001,-1.45
1998-04-01,LT,001,-10.96
1998-01-01,LT,001,-1.14
1997-10-01,LT,001,1.49
1997-07-01,LT,001,0.14
1997-04-01,LT,001,0.24
1997-01-01,LT,001,0.6
