date,country_code,indicator_code,value
2018-03-01,LU,001,1.207
2018-02-01,LU,001,0.957
2018-01-01,LU,001,1.757
2017-12-01,LU,001,-2.803
2017-11-01,LU,001,1.391
2017-10-01,LU,001,1.53
2017-09-01,LU,001,3.33
2017-08-01,LU,001,0.496
2017-07-01,LU,001,-2.503
2017-06-01,LU,001,0.575
2017-05-01,LU,001,0.96
2017-04-01,LU,001,0.661
2017-03-01,LU,001,1.342
2017-02-01,LU,001,1.117
2017-01-01,LU,001,1.231
2016-12-01,LU,001,-2.475
2016-11-01,LU,001,0.565
2016-10-01,LU,001,1.477
2016-09-01,LU,001,3.394
2016-08-01,LU,001,0.057
2016-07-01,LU,001,-1.827
2016-06-01,LU,001,0.658
2016-05-01,LU,001,0.65
2016-04-01,LU,001,0.87
2016-03-01,LU,001,0.782
2016-02-01,LU,001,0.552
2016-01-01,LU,001,1.824
2015-12-01,LU,001,-2.545
2015-11-01,LU,001,0.187
2015-10-01,LU,001,1.196
2015-09-01,LU,001,3.213
2015-08-01,LU,001,0.299
2015-07-01,LU,001,-2.361
2015-06-01,LU,001,0.583
2015-05-01,LU,001,0.313
2015-04-01,LU,001,0.608
2015-03-01,LU,001,1.041
2015-02-01,LU,001,1.156
2015-01-01,LU,001,1.356
2014-12-01,LU,001,-2.602
2014-11-01,LU,001,0.67
2014-10-01,LU,001,1.145
2014-09-01,LU,001,2.487
2014-08-01,LU,001,0.144
2014-07-01,LU,001,-1.995
2014-06-01,LU,001,0.513
2014-05-01,LU,001,0.509
2014-04-01,LU,001,0.899
2014-03-01,LU,001,1.103
2014-02-01,LU,001,0.669
2014-01-01,LU,001,1.89
2013-12-01,LU,001,-2.661
2013-11-01,LU,001,0.526
2013-10-01,LU,001,1.048
2013-09-01,LU,001,2.283
2013-08-01,LU,001,0.634
2013-07-01,LU,001,-2.031
2013-06-01,LU,001,0.803
2013-05-01,LU,001,0.514
2013-04-01,LU,001,0.935
2013-03-01,LU,001,0.958
2013-02-01,LU,001,0.44
2013-01-01,LU,001,1.065
2012-12-01,LU,001,-2.491
2012-11-01,LU,001,0.511
2012-10-01,LU,001,1.125
2012-09-01,LU,001,2.474
2012-08-01,LU,001,0.162
2012-07-01,LU,001,-1.866
2012-06-01,LU,001,0.788
2012-05-01,LU,001,0.141
2012-04-01,LU,001,0.818
2012-03-01,LU,001,1.47
2012-02-01,LU,001,0.636
2012-01-01,LU,001,1.567
2011-12-01,LU,001,-2.714
2011-11-01,LU,001,0.967
2011-10-01,LU,001,0.397
2011-09-01,LU,001,3.084
2011-08-01,LU,001,-0.121
2011-07-01,LU,001,-1.544
2011-06-01,LU,001,0.553
2011-05-01,LU,001,0.478
2011-04-01,LU,001,1.152
2011-03-01,LU,001,1.571
2011-02-01,LU,001,0.591
2011-01-01,LU,001,1.701
2010-12-01,LU,001,-1.888
2010-11-01,LU,001,-0.322
2010-10-01,LU,001,0.829
2010-09-01,LU,001,3.07
2010-08-01,LU,001,-0.34
2010-07-01,LU,001,-1.319
2010-06-01,LU,001,0.48
2010-05-01,LU,001,0.419
2010-04-01,LU,001,0.87
2010-03-01,LU,001,0.702
2010-02-01,LU,001,0.428
2010-01-01,LU,001,0.755
2009-12-01,LU,001,-2.053
2009-11-01,LU,001,0.117
2009-10-01,LU,001,0.762
2009-09-01,LU,001,3.544
2009-08-01,LU,001,-0.445
2009-07-01,LU,001,-1.798
2009-06-01,LU,001,0.191
2009-05-01,LU,001,0.093
2009-04-01,LU,001,0.361
2009-03-01,LU,001,0.158
