date,country_code,indicator_code,value
2019-07-01,LV,001,12.2
2019-04-01,LV,001,2.0
2019-01-01,LV,001,-6.2
2018-10-01,LV,001,-10.3
2018-07-01,LV,001,10.5
2018-04-01,LV,001,11.6
2018-01-01,LV,001,-4.2
2017-10-01,LV,001,-0.7
2017-07-01,LV,001,11.2
2017-04-01,LV,001,9.2
2017-01-01,LV,001,-7.9
2016-10-01,LV,001,-4.6
2016-07-01,LV,001,-3.5
2016-04-01,LV,001,9.3
2016-01-01,LV,001,-10.8
2015-10-01,LV,001,-2.0
2015-07-01,LV,001,3.8
2015-04-01,LV,001,14.1
2015-01-01,LV,001,2.0
2014-10-01,LV,001,-3.6
2014-07-01,LV,001,-3.4
2014-04-01,LV,001,7.4
2014-01-01,LV,001,-18.5
2013-10-01,LV,001,-5.9
2013-07-01,LV,001,17.1
2013-04-01,LV,001,8.8
2013-01-01,LV,001,-12.6
2012-10-01,LV,001,-1.9
2012-07-01,LV,001,28.0
2012-04-01,LV,001,18.4
2012-01-01,LV,001,-28.4
2011-10-01,LV,001,1.5
2011-07-01,LV,001,16.7
2011-04-01,LV,001,22.6
2011-01-01,LV,001,-26.5
2010-10-01,LV,001,-5.9
2010-07-01,LV,001,26.7
2010-04-01,LV,001,11.2
2010-01-01,LV,001,-32.6
2009-10-01,LV,001,-16.5
2009-07-01,LV,001,-44.1
2009-04-01,LV,001,-44.3
2009-01-01,LV,001,-56.1
2008-10-01,LV,001,-38.1
2008-07-01,LV,001,-11.4
2008-04-01,LV,001,13.4
2008-01-01,LV,001,-20.2
2007-10-01,LV,001,0.2
2007-07-01,LV,001,30.4
2007-04-01,LV,001,30.0
2007-01-01,LV,001,-19.1
2006-10-01,LV,001,-25.6
2006-07-01,LV,001,40.7
2006-04-01,LV,001,26.9
2006-01-01,LV,001,5.3
2005-10-01,LV,001,8.8
2005-07-01,LV,001,12.4
2005-04-01,LV,001,25.4
2005-01-01,LV,001,-22.0
2004-10-01,LV,001,-5.9
2004-07-01,LV,001,12.2
2004-04-01,LV,001,5.5
2004-01-01,LV,001,-4.2
2003-10-01,LV,001,-23.4
2003-07-01,LV,001,28.8
2003-04-01,LV,001,1.6
2003-01-01,LV,001,-18.8
2002-10-01,LV,001,-5.6
2002-07-01,LV,001,25.7
