date,country_code,indicator_code,value
2013-01-01,LY,001,163990.0
2010-01-01,LY,001,-82799.0
2009-01-01,LY,001,51612.0
2008-01-01,LY,001,49810.0
2006-01-01,LY,004,51572.0
2005-01-01,LY,004,39955.0
2004-01-01,LY,004,24897.0
2003-01-01,LY,004,18432.0
2002-01-01,LY,004,14434.0
2001-01-01,LY,004,5563.0
1999-01-01,LY,004,3374.0
1998-01-01,LY,004,2468.0
1997-01-01,LY,004,3790.0
1996-01-01,LY,004,3490.0
1995-01-01,LY,004,3116.0
1994-01-01,LY,004,2695.0
1993-01-01,LY,004,2636.0
1992-01-01,LY,004,2919.0
1991-01-01,LY,004,3038.0
1990-01-01,LY,004,3248.0
1989-01-01,LY,004,2213.0
1988-01-01,LY,004,1652.0
1987-01-01,LY,004,1697.0
1986-01-01,LY,004,2459.0
1985-01-01,LY,004,3094.0
1984-01-01,LY,004,3315.0
1983-01-01,LY,004,3703.0
1982-01-01,LY,004,4105.0
1981-01-01,LY,004,4410.0
1980-01-01,LY,004,6538.0
1979-01-01,LY,004,4801.0
1978-01-01,LY,004,2978.0
1977-01-01,LY,004,3431.0
1976-01-01,LY,004,2881.0
1975-01-01,LY,004,2053.0
1974-01-01,LY,004,2490.0
1973-01-01,LY,004,1240.0
1972-01-01,LY,004,998.0
1971-01-01,LY,004,975.0
1969-01-01,LY,004,788.0
1968-01-01,LY,004,680.0
1967-01-01,LY,004,431.0
1966-01-01,LY,004,370.0
1965-01-01,LY,004,299.0
1964-01-01,LY,004,234.0
1963-01-01,LY,004,131.0
1962-01-01,LY,004,63.0
2014-12-01,LY,005,6.0
2014-11-01,LY,005,6.0
2014-10-01,LY,005,6.0
2014-09-01,LY,005,6.0
2014-08-01,LY,005,6.0
2014-07-01,LY,005,6.0
2014-06-01,LY,005,6.0
2014-05-01,LY,005,6.0
2014-04-01,LY,005,6.0
2014-03-01,LY,005,6.0
2014-02-01,LY,005,6.0
2014-01-01,LY,005,6.0
2013-12-01,LY,005,6.0
2013-11-01,LY,005,6.0
2013-10-01,LY,005,6.0
2013-09-01,LY,005,6.0
2013-08-01,LY,005,6.0
2013-07-01,LY,005,6.0
2013-06-01,LY,005,6.0
2013-05-01,LY,005,6.0
2013-04-01,LY,005,6.0
2013-03-01,LY,005,6.0
2013-02-01,LY,005,6.0
2013-01-01,LY,005,6.0
2012-12-01,LY,005,6.0
2012-11-01,LY,005,6.0
2012-10-01,LY,005,6.0
2012-09-01,LY,005,6.0
2012-08-01,LY,005,6.0
2012-07-01,LY,005,6.0
2012-06-01,LY,005,6.0
2012-05-01,LY,005,6.0
2012-04-01,LY,005,6.0
2012-03-01,LY,005,6.0
2012-02-01,LY,005,6.0
2012-01-01,LY,005,6.0
2011-12-01,LY,005,6.0
2011-11-01,LY,005,6.0
2011-10-01,LY,005,6.0
2011-09-01,LY,005,6.0
2011-08-01,LY,005,6.0
2011-07-01,LY,005,6.0
2011-06-01,LY,005,6.0
2011-05-01,LY,005,6.0
2011-04-01,LY,005,6.0
2011-03-01,LY,005,6.0
2011-02-01,LY,005,6.0
2011-01-01,LY,005,6.0
2010-12-01,LY,005,6.0
2010-11-01,LY,005,6.0
2010-10-01,LY,005,6.0
2010-09-01,LY,005,6.0
2010-08-01,LY,005,6.0
2010-07-01,LY,005,6.0
2010-06-01,LY,005,6.0
2010-05-01,LY,005,6.0
2010-04-01,LY,005,6.0
2010-03-01,LY,005,6.0
2010-02-01,LY,005,6.0
2010-01-01,LY,005,6.0
2009-12-01,LY,005,6.0
2009-11-01,LY,005,6.0
2009-10-01,LY,005,6.0
2009-09-01,LY,005,6.0
2009-08-01,LY,005,6.0
2009-07-01,LY,005,6.0
2009-06-01,LY,005,6.0
2009-05-01,LY,005,6.0
2009-04-01,LY,005,6.0
2009-03-01,LY,005,6.0
2009-02-01,LY,005,6.0
2009-01-01,LY,005,6.0
2008-12-01,LY,005,6.0
2008-11-01,LY,005,6.0
2008-10-01,LY,005,6.0
2008-09-01,LY,005,6.0
2008-08-01,LY,005,6.0
2008-07-01,LY,005,6.0
2008-06-01,LY,005,6.0
2008-05-01,LY,005,6.0
2008-04-01,LY,005,6.0
2008-03-01,LY,005,6.0
2008-02-01,LY,005,6.0
2008-01-01,LY,005,6.0
2007-12-01,LY,005,6.0
2007-11-01,LY,005,6.0
2007-10-01,LY,005,6.0
