date,country_code,indicator_code,value
2018-10-01,MA,001,174.0
2018-07-01,MA,001,-550.0
2018-04-01,MA,001,193.0
2018-01-01,MA,001,274.0
2017-10-01,MA,001,205.0
2017-07-01,MA,001,-555.0
2017-04-01,MA,001,192.0
2017-01-01,MA,001,60.0
2016-10-01,MA,001,-7.0
2016-07-01,MA,001,-190.0
2016-04-01,MA,001,403.0
2016-01-01,MA,001,-197.0
2015-10-01,MA,001,-88.8
2015-07-01,MA,001,-143.2
2015-04-01,MA,001,416.1
2015-01-01,MA,001,-154.8
2014-10-01,MA,001,-77.0
2014-07-01,MA,001,-146.1
2014-04-01,MA,001,405.5
2014-01-01,MA,001,-139.2
2013-10-01,MA,001,-63.1
2013-07-01,MA,001,-163.9
2013-04-01,MA,001,454.7
2013-01-01,MA,001,-128.3
2012-10-01,MA,001,-23.4
2012-07-01,MA,001,-158.8
2012-04-01,MA,001,409.0
2012-01-01,MA,001,-341.9
2011-10-01,MA,001,148.1
2011-07-01,MA,001,-102.6
2011-04-01,MA,001,188.1
2011-01-01,MA,001,55.9
2010-10-01,MA,001,48.6
2010-07-01,MA,001,-376.5
2010-04-01,MA,001,374.3
2010-01-01,MA,001,-51.1
2009-10-01,MA,001,-39.3
2009-07-01,MA,001,-344.5
2009-04-01,MA,001,330.4
2009-01-01,MA,001,49.8
2008-10-01,MA,001,-25.0
2008-07-01,MA,001,-130.6
2008-04-01,MA,001,127.0
2008-01-01,MA,001,289.7
2007-10-01,MA,001,-162.2
2007-07-01,MA,001,-285.6
2007-04-01,MA,001,119.4
2007-01-01,MA,001,218.9
2006-10-01,MA,001,-325.9
2006-07-01,MA,001,-318.4
2006-04-01,MA,001,538.9
2006-01-01,MA,001,388.8
2005-10-01,MA,001,226.0
2005-07-01,MA,001,-228.0
2005-04-01,MA,001,-34.0
2005-01-01,MA,001,293.0
2004-10-01,MA,001,5.0
2004-07-01,MA,001,-224.7
2004-04-01,MA,001,-202.4
2004-01-01,MA,001,744.1
2003-10-01,MA,001,65.0
2003-07-01,MA,001,-521.0
2003-04-01,MA,001,74.0
2003-01-01,MA,001,508.0
2002-10-01,MA,001,211.0
2002-07-01,MA,001,-298.0
2002-04-01,MA,001,340.0
2002-01-01,MA,001,166.0
2001-10-01,MA,001,45.0
2001-07-01,MA,001,-344.0
2001-04-01,MA,001,79.0
2001-01-01,MA,001,297.0
2000-10-01,MA,001,-56.0
2000-07-01,MA,001,-198.0
2000-04-01,MA,001,0.0
2000-01-01,MA,001,400.0
1999-10-01,MA,001,-71.0
1999-07-01,MA,001,-361.0
1999-04-01,MA,001,15.0
1999-01-01,MA,001,4815.0
1998-10-01,MA,001,10.0
1998-07-01,MA,001,75.0
1998-04-01,MA,001,31.0
1998-01-01,MA,001,-244.0
1997-10-01,MA,001,165.0
1997-07-01,MA,001,80.0
1997-04-01,MA,001,105.0
1997-01-01,MA,001,-152.0
1996-10-01,MA,001,57.0
1996-07-01,MA,001,44.0
1996-04-01,MA,001,72.0
2018-01-01,MA,004,404720.0
2017-01-01,MA,004,375713.0
2016-01-01,MA,004,337290.0
2015-01-01,MA,004,325112.0
2014-01-01,MA,004,300878.0
2013-01-01,MA,004,280225.0
2012-01-01,MA,004,275150.0
2011-01-01,MA,004,258211.0
2010-01-01,MA,004,229658.0
2009-01-01,MA,004,192650.0
2008-01-01,MA,004,220005.0
2007-01-01,MA,004,180309.0
2006-01-01,MA,004,148879.0
2005-01-01,MA,004,136934.0
2004-01-01,MA,004,116911.0
2003-01-01,MA,004,105282.0
2002-01-01,MA,004,104233.0
2001-01-01,MA,004,98705.0
2000-01-01,MA,004,83882.0
1999-01-01,MA,004,78239.0
1998-01-01,MA,004,71969.0
1997-01-01,MA,004,68096.0
1996-01-01,MA,004,63078.0
1995-01-01,MA,004,58085.0
1994-01-01,MA,004,52256.0
1993-01-01,MA,004,49082.0
1992-01-01,MA,004,45923.0
1991-01-01,MA,004,44175.0
1990-01-01,MA,004,42523.0
1989-01-01,MA,004,34384.0
1988-01-01,MA,004,35467.0
1987-01-01,MA,004,28086.0
1986-01-01,MA,004,25977.0
1985-01-01,MA,004,25158.0
1984-01-01,MA,004,21051.0
1983-01-01,MA,004,16512.0
1982-01-01,MA,004,14163.0
1981-01-01,MA,004,12622.0
1980-01-01,MA,004,10147.0
1979-01-01,MA,004,9582.0
1978-01-01,MA,004,8290.0
1977-01-01,MA,004,7751.0
1976-01-01,MA,004,6868.0
1975-01-01,MA,004,5914.0
1974-01-01,MA,004,5265.0
1973-01-01,MA,004,3919.0
1972-01-01,MA,004,3625.0
1971-01-01,MA,004,3421.0
1970-01-01,MA,004,3106.0
1969-01-01,MA,004,2920.0
1968-01-01,MA,004,0.0
1967-01-01,MA,004,0.0
1966-01-01,MA,004,0.0
1965-01-01,MA,004,0.0
1964-01-01,MA,004,0.0
1963-01-01,MA,004,0.0
1962-01-01,MA,004,0.0
1961-01-01,MA,004,2230.0
1960-01-01,MA,004,2430.0
1959-01-01,MA,004,1890.0
1958-01-01,MA,004,1880.0
1957-01-01,MA,004,1810.0
1956-01-01,MA,004,1700.0
1955-01-01,MA,004,1640.0
1954-01-01,MA,004,1580.0
1953-01-01,MA,004,1510.0
1952-01-01,MA,004,1420.0
2005-07-01,MA,005,11.5
2005-04-01,MA,005,11.5
2005-01-01,MA,005,11.5
2004-10-01,MA,005,11.5
2004-07-01,MA,005,11.5
2004-04-01,MA,005,11.5
2004-01-01,MA,005,11.5
2003-10-01,MA,005,12.0
2003-07-01,MA,005,12.75
2003-04-01,MA,005,12.75
2003-01-01,MA,005,12.75
2002-10-01,MA,005,12.75
2002-07-01,MA,005,13.25
2002-04-01,MA,005,13.25
2002-01-01,MA,005,13.25
2001-10-01,MA,005,13.25
2001-07-01,MA,005,13.25
2001-04-01,MA,005,13.25
2001-01-01,MA,005,13.25
2000-10-01,MA,005,13.25
2000-07-01,MA,005,13.25
2000-04-01,MA,005,13.25
2000-01-01,MA,005,13.5
1999-10-01,MA,005,13.5
1999-07-01,MA,005,13.5
1999-04-01,MA,005,13.5
1999-01-01,MA,005,13.5
1998-10-01,MA,005,13.5
1998-07-01,MA,005,13.5
1998-04-01,MA,005,13.5
1998-01-01,MA,005,13.5
1997-10-01,MA,005,13.75
1995-04-01,MA,005,10.0
1995-01-01,MA,005,10.0
1994-10-01,MA,005,10.0
1994-07-01,MA,005,10.0
1994-04-01,MA,005,10.0
1994-01-01,MA,005,10.0
1991-10-01,MA,005,9.0
1991-07-01,MA,005,9.0
1991-04-01,MA,005,9.0
1991-01-01,MA,005,9.0
1990-10-01,MA,005,9.0
1990-07-01,MA,005,9.0
1990-04-01,MA,005,9.0
1990-01-01,MA,005,9.0
1989-10-01,MA,005,9.0
1989-07-01,MA,005,9.0
1989-04-01,MA,005,9.0
1989-01-01,MA,005,9.0
1988-10-01,MA,005,9.0
1988-07-01,MA,005,9.0
1988-04-01,MA,005,9.0
1988-01-01,MA,005,9.0
1987-10-01,MA,005,9.0
1987-07-01,MA,005,9.0
1987-04-01,MA,005,9.0
1987-01-01,MA,005,9.0
1986-10-01,MA,005,9.0
1986-07-01,MA,005,9.0
1986-04-01,MA,005,9.0
1986-01-01,MA,005,8.0
1985-10-01,MA,005,8.0
1985-07-01,MA,005,8.0
1985-04-01,MA,005,8.0
1985-01-01,MA,005,7.0
1984-10-01,MA,005,7.0
1984-07-01,MA,005,7.0
1984-04-01,MA,005,7.0
1984-01-01,MA,005,7.0
1983-10-01,MA,005,7.0
1983-07-01,MA,005,7.0
1983-04-01,MA,005,7.0
1983-01-01,MA,005,7.0
1982-10-01,MA,005,7.0
1982-07-01,MA,005,7.0
1982-04-01,MA,005,7.0
1982-01-01,MA,005,7.0
1981-10-01,MA,005,7.0
1981-07-01,MA,005,7.0
1981-04-01,MA,005,7.0
1981-01-01,MA,005,7.0
1980-10-01,MA,005,7.0
1980-07-01,MA,005,7.0
1980-04-01,MA,005,7.0
1980-01-01,MA,005,7.0
1979-10-01,MA,005,7.0
1979-07-01,MA,005,7.0
1979-04-01,MA,005,7.0
1979-01-01,MA,005,7.0
1978-10-01,MA,005,7.0
1978-07-01,MA,005,7.0
2020-02-01,MA,007,258808.0
2020-01-01,MA,007,259078.0
2019-12-01,MA,007,263236.0
2019-11-01,MA,007,260819.0
2019-10-01,MA,007,253369.0
2019-09-01,MA,007,257781.0
2019-08-01,MA,007,258650.0
2019-07-01,MA,007,249817.0
2019-06-01,MA,007,247955.0
2019-05-01,MA,007,256035.0
2019-04-01,MA,007,251960.0
2019-03-01,MA,007,246486.0
2019-02-01,MA,007,245500.0
2019-01-01,MA,007,246530.0
2018-12-01,MA,007,250204.0
2018-11-01,MA,007,248248.0
2018-10-01,MA,007,251882.0
2018-09-01,MA,007,250051.0
2018-08-01,MA,007,252888.0
2018-07-01,MA,007,240609.0
2018-06-01,MA,007,241658.0
2018-05-01,MA,007,248923.0
2018-04-01,MA,007,251842.0
2018-03-01,MA,007,255098.0
2018-02-01,MA,007,260681.0
2018-01-01,MA,007,257648.0
2017-12-01,MA,007,262300.0
2017-11-01,MA,007,259575.0
2017-10-01,MA,007,248981.0
2017-09-01,MA,007,244644.0
2017-08-01,MA,007,241660.0
2017-07-01,MA,007,228493.0
2017-06-01,MA,007,224045.0
2017-05-01,MA,007,239394.0
2017-04-01,MA,007,238114.0
2017-03-01,MA,007,237053.0
2017-02-01,MA,007,239972.0
2017-01-01,MA,007,239995.0
2016-12-01,MA,007,241386.0
2016-11-01,MA,007,241366.0
2016-10-01,MA,007,240846.0
2016-09-01,MA,007,244801.0
2016-08-01,MA,007,246387.0
2016-07-01,MA,007,235616.0
2016-06-01,MA,007,237833.0
2016-05-01,MA,007,240105.0
2016-04-01,MA,007,235937.0
2016-03-01,MA,007,231978.0
2016-02-01,MA,007,231437.0
2016-01-01,MA,007,225429.0
2015-12-01,MA,007,223778.0
2015-11-01,MA,007,216393.0
2015-10-01,MA,007,216391.0
2015-09-01,MA,007,211447.0
2015-08-01,MA,007,211062.0
2015-07-01,MA,007,195693.0
2015-06-01,MA,007,195087.0
2015-05-01,MA,007,192849.0
2015-04-01,MA,007,190169.0
2015-03-01,MA,007,179567.0
2015-02-01,MA,007,174733.0
2015-01-01,MA,007,176609.0
2014-12-01,MA,007,173809.0
2014-11-01,MA,007,168034.0
2014-10-01,MA,007,166436.0
2014-09-01,MA,007,167014.0
2014-08-01,MA,007,165552.0
2014-07-01,MA,007,159346.0
2014-06-01,MA,007,157107.0
2014-05-01,MA,007,148736.0
2014-04-01,MA,007,143229.0
2014-03-01,MA,007,134525.0
2014-02-01,MA,007,140089.0
2014-01-01,MA,007,142059.0
2013-12-01,MA,007,142266.0
2013-11-01,MA,007,136407.0
2013-10-01,MA,007,137786.0
2013-09-01,MA,007,138422.0
2013-08-01,MA,007,149316.0
2013-07-01,MA,007,143928.0
2013-06-01,MA,007,143802.0
2013-05-01,MA,007,145891.0
2013-04-01,MA,007,141063.0
2013-03-01,MA,007,140587.0
2013-02-01,MA,007,142778.0
2013-01-01,MA,007,139129.0
2012-12-01,MA,007,141431.0
2012-11-01,MA,007,133894.0
2012-10-01,MA,007,134076.0
2012-09-01,MA,007,135114.0
2012-08-01,MA,007,141028.0
2012-07-01,MA,007,140744.0
2012-06-01,MA,007,141001.0
2012-05-01,MA,007,149756.0
2012-04-01,MA,007,157138.0
2012-03-01,MA,007,160210.0
2012-02-01,MA,007,162155.0
2012-01-01,MA,007,164750.0
2011-12-01,MA,007,169796.0
2011-11-01,MA,007,173543.0
2011-10-01,MA,007,175184.0
2011-09-01,MA,007,176019.0
2011-08-01,MA,007,178770.0
2011-07-01,MA,007,178480.0
2011-06-01,MA,007,174878.0
2011-05-01,MA,007,181045.0
2011-04-01,MA,007,183657.0
2011-03-01,MA,007,186723.0
2011-02-01,MA,007,190705.0
2011-01-01,MA,007,196747.0
2010-12-01,MA,007,194293.0
2010-11-01,MA,007,192879.0
2010-10-01,MA,007,190281.0
2010-09-01,MA,007,182994.0
2010-08-01,MA,007,181881.0
2010-07-01,MA,007,180321.0
2010-06-01,MA,007,175955.0
2010-05-01,MA,007,181151.0
2010-04-01,MA,007,184487.0
2010-03-01,MA,007,184226.0
2010-02-01,MA,007,186148.0
2010-01-01,MA,007,186236.0
2009-12-01,MA,007,192714.0
2009-11-01,MA,007,188663.0
2009-10-01,MA,007,191719.0
2009-09-01,MA,007,192588.0
2009-08-01,MA,007,193506.0
2009-07-01,MA,007,190374.0
2009-06-01,MA,007,190023.0
2009-05-01,MA,007,195839.0
2009-04-01,MA,007,194955.0
2009-03-01,MA,007,198695.0
2009-02-01,MA,007,198675.0
2009-01-01,MA,007,195816.0
2008-12-01,MA,007,197099.0
2008-11-01,MA,007,200651.0
2008-10-01,MA,007,205454.0
2008-09-01,MA,007,211776.0
2008-08-01,MA,007,221233.0
2008-07-01,MA,007,221031.0
2008-06-01,MA,007,211638.0
2008-05-01,MA,007,209030.0
2008-04-01,MA,007,211114.0
2008-03-01,MA,007,213066.0
2008-02-01,MA,007,206877.0
2008-01-01,MA,007,211954.0
2007-12-01,MA,007,208069.0
2007-11-01,MA,007,209567.0
2007-10-01,MA,007,212602.0
2007-09-01,MA,007,211868.0
2007-08-01,MA,007,211201.0
2007-07-01,MA,007,206250.0
2007-06-01,MA,007,198868.0
2007-05-01,MA,007,194277.0
2007-04-01,MA,007,197440.0
2007-03-01,MA,007,196450.0
2007-02-01,MA,007,192759.0
2007-01-01,MA,007,192031.0
2006-12-01,MA,007,191537.0
2006-11-01,MA,007,194340.0
2006-10-01,MA,007,192777.0
2006-09-01,MA,007,193742.0
2006-08-01,MA,007,193748.0
2006-07-01,MA,007,180226.0
2006-06-01,MA,007,173145.0
2006-05-01,MA,007,178664.0
2006-04-01,MA,007,175297.0
2006-03-01,MA,007,171245.0
2006-02-01,MA,007,168092.0
2006-01-01,MA,007,167070.0
2005-12-01,MA,007,165997.0
2005-11-01,MA,007,156628.0
2005-10-01,MA,007,156402.0
2005-09-01,MA,007,158694.0
2005-08-01,MA,007,156025.0
2005-07-01,MA,007,149977.0
2005-06-01,MA,007,149280.0
2005-05-01,MA,007,149298.0
2005-04-01,MA,007,150595.0
2005-03-01,MA,007,153294.0
2005-02-01,MA,007,151647.0
2005-01-01,MA,007,151333.0
2004-12-01,MA,007,143164.0
2004-11-01,MA,007,138398.0
2004-10-01,MA,007,138806.0
2004-09-01,MA,007,137595.0
2004-08-01,MA,007,137337.0
2004-07-01,MA,007,130850.0
2004-06-01,MA,007,130666.0
2004-05-01,MA,007,132323.0
2004-04-01,MA,007,128096.0
2004-03-01,MA,007,128180.0
2004-02-01,MA,007,127065.0
2004-01-01,MA,007,124474.0
2003-12-01,MA,007,124791.0
2003-11-01,MA,007,121648.0
2003-10-01,MA,007,121182.0
2003-09-01,MA,007,119433.0
2003-08-01,MA,007,118228.0
2003-07-01,MA,007,115082.0
2003-06-01,MA,007,100587.0
2003-05-01,MA,007,99203.0
2003-04-01,MA,007,98368.0
2003-03-01,MA,007,99094.0
2003-02-01,MA,007,98100.0
2003-01-01,MA,007,100266.0
2002-12-01,MA,007,100529.0
2002-11-01,MA,007,97881.0
2002-10-01,MA,007,96587.0
2002-09-01,MA,007,96655.0
2002-08-01,MA,007,95953.0
2002-07-01,MA,007,93752.0
2002-06-01,MA,007,91378.0
2002-05-01,MA,007,90147.0
2002-04-01,MA,007,89636.0
2002-03-01,MA,007,88320.0
2002-02-01,MA,007,87488.0
2002-01-01,MA,007,86175.0
2001-12-01,MA,007,90939.0
2018-01-01,MA,012,-47727.6
2017-01-01,MA,012,-26624.0
2016-01-01,MA,012,-35017.8
2015-01-01,MA,012,-14404.7
2014-01-01,MA,012,-46836.1
2013-01-01,MA,012,63374.0
2012-01-01,MA,012,83116.0
2011-01-01,MA,012,67398.0
2010-01-01,MA,012,37194.0
2009-01-01,MA,012,44042.0
2008-01-01,MA,012,39115.0
2007-01-01,MA,012,16660.0
