date,country_code,indicator_code,value
2019-01-01,MC,043,33.0
2018-01-01,MC,043,33.0
2017-01-01,MC,043,33.33
2018-01-01,MC,081,7185.0
2017-01-01,MC,081,6415.0
2016-01-01,MC,081,6469.0
2015-01-01,MC,081,6259.0
2014-01-01,MC,081,7060.0
2013-01-01,MC,081,6553.0
2012-01-01,MC,081,5743.0
2011-01-01,MC,081,6080.0
2010-01-01,MC,081,5363.0
2009-01-01,MC,081,5452.0
2008-01-01,MC,081,6476.0
2007-01-01,MC,081,5868.0
2006-01-01,MC,081,4583.0
2005-01-01,MC,081,4203.0
2004-01-01,MC,081,4110.0
2003-01-01,MC,081,3589.0
2002-01-01,MC,081,2906.0
2001-01-01,MC,081,2671.0
2000-01-01,MC,081,2648.0
1999-01-01,MC,081,2906.0
1998-01-01,MC,081,2935.0
1997-01-01,MC,081,2840.0
1996-01-01,MC,081,3138.0
1995-01-01,MC,081,3130.0
1994-01-01,MC,081,2720.0
1993-01-01,MC,081,2574.0
1992-01-01,MC,081,2737.0
1991-01-01,MC,081,2480.0
1990-01-01,MC,081,2481.0
1989-01-01,MC,081,2010.0
1988-01-01,MC,081,2001.0
1987-01-01,MC,081,1839.0
1986-01-01,MC,081,1515.0
1985-01-01,MC,081,1083.0
1984-01-01,MC,081,1037.0
1983-01-01,MC,081,1093.0
1982-01-01,MC,081,1143.0
1981-01-01,MC,081,1205.0
1980-01-01,MC,081,1378.0
1979-01-01,MC,081,1210.0
1978-01-01,MC,081,1001.0
1977-01-01,MC,081,811.0
1976-01-01,MC,081,735.0
1975-01-01,MC,081,712.0
1974-01-01,MC,081,564.0
1973-01-01,MC,081,524.0
1972-01-01,MC,081,402.0
1971-01-01,MC,081,328.0
1970-01-01,MC,081,293.0
2018-01-01,MC,082,6.1
2017-01-01,MC,082,-3.4
2016-01-01,MC,082,3.5
2015-01-01,MC,082,4.9
2014-01-01,MC,082,7.2
2013-01-01,MC,082,9.6
2012-01-01,MC,082,1.0
2011-01-01,MC,082,7.0
2010-01-01,MC,082,2.1
2009-01-01,MC,082,-11.3
2008-01-01,MC,082,0.7
2007-01-01,MC,082,14.4
2006-01-01,MC,082,5.8
2005-01-01,MC,082,1.9
2004-01-01,MC,082,2.5
2003-01-01,MC,082,1.1
2002-01-01,MC,082,1.0
2001-01-01,MC,082,2.2
2000-01-01,MC,082,3.9
1999-01-01,MC,082,3.3
1998-01-01,MC,082,3.5
1997-01-01,MC,082,2.2
1996-01-01,MC,082,1.1
1995-01-01,MC,082,2.1
1994-01-01,MC,082,2.2
1993-01-01,MC,082,-0.9
1992-01-01,MC,082,1.4
1991-01-01,MC,082,1.0
1990-01-01,MC,082,2.6
1989-01-01,MC,082,4.2
1988-01-01,MC,082,4.6
1987-01-01,MC,082,2.5
1986-01-01,MC,082,2.5
1985-01-01,MC,082,1.7
1984-01-01,MC,082,1.5
1983-01-01,MC,082,1.2
1982-01-01,MC,082,2.4
1981-01-01,MC,082,0.9
1980-01-01,MC,082,1.7
1979-01-01,MC,082,3.5
1978-01-01,MC,082,4.0
1977-01-01,MC,082,3.6
1976-01-01,MC,082,4.4
1975-01-01,MC,082,-1.0
1974-01-01,MC,082,4.5
1973-01-01,MC,082,6.6
1972-01-01,MC,082,4.6
1971-01-01,MC,082,5.2
2018-01-01,MC,083,6.1
2017-01-01,MC,083,-3.4
2016-01-01,MC,083,3.5
2015-01-01,MC,083,4.9
2014-01-01,MC,083,7.2
2013-01-01,MC,083,9.6
2012-01-01,MC,083,1.0
2011-01-01,MC,083,7.0
2010-01-01,MC,083,2.1
2009-01-01,MC,083,-11.3
2008-01-01,MC,083,0.7
2007-01-01,MC,083,14.4
2006-01-01,MC,083,5.8
2005-01-01,MC,083,1.9
2004-01-01,MC,083,2.5
2003-01-01,MC,083,1.1
2002-01-01,MC,083,1.0
2001-01-01,MC,083,2.2
