date,country_code,indicator_code,value
2019-07-01,MD,001,-16.9
2019-04-01,MD,001,-15.81
2019-01-01,MD,001,-5.21
2018-10-01,MD,001,-21.85
2018-07-01,MD,001,-13.39
2018-04-01,MD,001,-15.74
2018-01-01,MD,001,-22.31
2017-10-01,MD,001,1.88
2017-07-01,MD,001,-2.63
2017-04-01,MD,001,-2.87
2017-01-01,MD,001,-6.04
2016-10-01,MD,001,-1.95
2016-07-01,MD,001,-0.53
2016-04-01,MD,001,1.86
2016-01-01,MD,001,13.67
2015-10-01,MD,001,-1.16
2015-07-01,MD,001,2.31
2015-04-01,MD,001,0.3
2015-01-01,MD,001,-1.55
2014-10-01,MD,001,2.46
2014-07-01,MD,001,-0.09
2014-04-01,MD,001,4.28
2014-01-01,MD,001,3.92
2013-10-01,MD,001,2.41
2013-07-01,MD,001,4.25
2013-04-01,MD,001,1.51
2013-01-01,MD,001,0.62
2012-10-01,MD,001,-1.03
2012-07-01,MD,001,-4.04
2012-04-01,MD,001,-2.95
2012-01-01,MD,001,-0.64
2011-10-01,MD,001,11.49
2011-07-01,MD,001,6.53
2011-04-01,MD,001,-0.55
2011-01-01,MD,001,-8.31
2010-10-01,MD,001,-8.75
2010-07-01,MD,001,-4.2
2010-04-01,MD,001,-1.75
2010-01-01,MD,001,3.11
2009-10-01,MD,001,-5.26
2009-07-01,MD,001,-4.54
2009-04-01,MD,001,-6.0
2009-01-01,MD,001,-5.5
2008-10-01,MD,001,0.08
2008-07-01,MD,001,1.24
2008-04-01,MD,001,2.31
2008-01-01,MD,001,-2.72
2007-10-01,MD,001,-6.93
2007-07-01,MD,001,-7.84
2007-04-01,MD,001,0.41
2007-01-01,MD,001,14.74
2006-10-01,MD,001,-2.48
2006-07-01,MD,001,2.95
2006-04-01,MD,001,-2.81
2006-01-01,MD,001,-17.23
2005-10-01,MD,001,-0.57
2005-07-01,MD,001,-1.8
2005-04-01,MD,001,-0.21
2005-01-01,MD,001,3.81
2004-10-01,MD,001,1.42
2004-07-01,MD,001,-2.74
2004-04-01,MD,001,-3.78
2004-01-01,MD,001,-6.78
2003-10-01,MD,001,-11.74
2003-07-01,MD,001,-8.85
2003-04-01,MD,001,-7.74
2003-01-01,MD,001,-11.36
2002-10-01,MD,001,0.02
2002-07-01,MD,001,0.68
2002-04-01,MD,001,0.08
2002-01-01,MD,001,0.87
2001-10-01,MD,001,-1.41
2001-07-01,MD,001,-0.8
2001-04-01,MD,001,-1.62
2001-01-01,MD,001,-0.26
2017-01-01,MD,002,40.41
2016-01-01,MD,002,35.91
2015-01-01,MD,002,32.62
2012-01-01,MD,002,24.55
2011-01-01,MD,002,21.8
2010-01-01,MD,002,20.97
2009-01-01,MD,002,19.09
2018-04-01,MD,004,13595.0
2018-01-01,MD,004,13873.0
2017-10-01,MD,004,16921.0
2017-07-01,MD,004,14473.0
2017-04-01,MD,004,12459.0
2017-01-01,MD,004,13252.0
2016-10-01,MD,004,17163.0
2016-07-01,MD,004,15290.0
2016-04-01,MD,004,14230.0
2016-01-01,MD,004,12166.0
2015-10-01,MD,004,14728.0
2015-07-01,MD,004,12787.0
2015-04-01,MD,004,12799.0
2015-01-01,MD,004,12148.0
2014-10-01,MD,004,12685.0
2014-07-01,MD,004,11371.0
2014-04-01,MD,004,11671.0
2014-01-01,MD,004,10811.0
2013-10-01,MD,004,12595.0
2013-07-01,MD,004,11264.0
2013-04-01,MD,004,9857.0
2013-01-01,MD,004,9849.0
2012-10-01,MD,004,10869.0
2012-07-01,MD,004,9653.0
2012-04-01,MD,004,9308.0
2012-01-01,MD,004,8534.0
2011-10-01,MD,004,10827.0
2011-07-01,MD,004,9380.0
2011-04-01,MD,004,8870.0
2011-01-01,MD,004,7956.0
2010-10-01,MD,004,9608.0
2010-07-01,MD,004,6922.0
2010-04-01,MD,004,5875.0
2010-01-01,MD,004,5792.0
2009-10-01,MD,004,6729.0
2009-07-01,MD,004,5615.0
2009-04-01,MD,004,5036.0
2009-01-01,MD,004,4902.0
2008-10-01,MD,004,7723.0
2008-07-01,MD,004,6513.0
2008-04-01,MD,004,5751.0
2008-01-01,MD,004,5697.0
2007-10-01,MD,004,7268.0
2007-07-01,MD,004,6237.0
2007-04-01,MD,004,5420.0
2007-01-01,MD,004,5429.0
2006-10-01,MD,004,6093.0
2006-07-01,MD,004,5237.0
2006-04-01,MD,004,4470.0
2006-01-01,MD,004,4454.0
2005-10-01,MD,004,5889.0
2005-07-01,MD,004,4884.0
2005-04-01,MD,004,4300.0
2005-01-01,MD,004,4191.0
2004-10-01,MD,004,5063.0
2004-07-01,MD,004,4118.0
2004-04-01,MD,004,3623.0
2004-01-01,MD,004,3594.0
2003-10-01,MD,004,4568.0
2003-07-01,MD,004,3698.0
2003-04-01,MD,004,3227.0
2003-01-01,MD,004,3231.0
2002-10-01,MD,004,3767.0
2002-07-01,MD,004,3005.0
2002-04-01,MD,004,2576.0
2002-01-01,MD,004,2485.0
2001-10-01,MD,004,2873.0
2001-07-01,MD,004,1994.0
2001-04-01,MD,004,2369.0
2001-01-01,MD,004,2301.0
2000-10-01,MD,004,2319.0
2000-07-01,MD,004,1861.0
2000-04-01,MD,004,1795.0
2000-01-01,MD,004,1971.0
1999-10-01,MD,004,2385.0
1999-07-01,MD,004,1678.0
1999-04-01,MD,004,1309.0
1999-01-01,MD,004,1074.0
