date,country_code,indicator_code,value
2017-10-01,ME,001,-17.7
2017-07-01,ME,001,7.3
2017-04-01,ME,001,9.8
2017-01-01,ME,001,0.3
2016-10-01,ME,001,-10.0
2016-07-01,ME,001,7.7
2016-04-01,ME,001,7.3
2016-01-01,ME,001,-2.4
2015-10-01,ME,001,-10.1
2015-07-01,ME,001,3.8
2015-04-01,ME,001,15.2
2015-01-01,ME,001,38.988
2014-10-01,ME,001,-6.057
2014-07-01,ME,001,2.338
2014-04-01,ME,001,6.765
2014-01-01,ME,001,1.401
2013-10-01,ME,001,-4.892
2013-07-01,ME,001,-5.325
2013-04-01,ME,001,9.209
2013-01-01,ME,001,0.659
2012-10-01,ME,001,-2.387
2012-07-01,ME,001,3.049
2012-04-01,ME,001,4.369
2012-01-01,ME,001,0.769
2011-10-01,ME,001,-3.232
2011-07-01,ME,001,-1.994
2011-04-01,ME,001,8.4
2011-01-01,ME,001,1.093
2010-10-01,ME,001,-0.261
2010-07-01,ME,001,-1.379
2010-04-01,ME,001,-7.623
2010-01-01,ME,001,-5.289
2009-10-01,ME,001,-4.841
2009-07-01,ME,001,-0.086
2009-04-01,ME,001,6.284
2009-01-01,ME,001,1.761
2008-10-01,ME,001,0.917
2008-07-01,ME,001,-0.075
2008-04-01,ME,001,6.289
2008-01-01,ME,001,2.913
2007-10-01,ME,001,1.132
2007-07-01,ME,001,-0.346
2007-04-01,ME,001,5.242
2007-01-01,ME,001,0.63
2006-10-01,ME,001,-1.913
2006-07-01,ME,001,2.485
2006-04-01,ME,001,5.299
2006-01-01,ME,001,1.352
2005-10-01,ME,001,-0.879
2005-07-01,ME,001,0.592
2005-04-01,ME,001,4.1
2018-01-01,ME,004,-1113.0
2017-01-01,ME,004,-1008.0
2016-01-01,ME,004,-889.0
2015-01-01,ME,004,-674.0
2014-01-01,ME,004,-686.0
2013-01-01,ME,004,-675.0
2012-01-01,ME,004,-777.0
2011-01-01,ME,004,-717.0
2010-01-01,ME,004,-803.0
2009-01-01,ME,004,-921.0
2008-01-01,ME,004,-1654.0
2007-01-01,ME,004,-1149.0
2006-01-01,ME,004,-800.0
2005-01-01,ME,004,-318.0
2004-01-01,ME,004,-268.0
2003-01-01,ME,004,-247.0
2002-01-01,ME,004,-334.0
2001-01-01,ME,004,-305.0
2000-01-01,ME,004,-152.0
2018-01-01,ME,005,6.4
2017-01-01,ME,005,6.8
2016-01-01,ME,005,7.5
2015-01-01,ME,005,8.5
2014-01-01,ME,005,9.2
2013-01-01,ME,005,9.4
2012-01-01,ME,005,9.5
2011-01-01,ME,005,9.7
2010-01-01,ME,005,9.6
2009-01-01,ME,005,9.4
2008-01-01,ME,005,9.4
2007-01-01,ME,005,9.1
2006-01-01,ME,005,9.9
2005-01-01,ME,005,12.1
2019-07-01,ME,008,1122.0
2019-04-01,ME,008,1206.0
2019-01-01,ME,008,1024.0
2018-10-01,ME,008,1098.0
2018-07-01,ME,008,1150.0
2018-04-01,ME,008,1081.0
2018-01-01,ME,008,1162.0
2017-10-01,ME,008,1079.0
2017-07-01,ME,008,1142.0
2017-04-01,ME,008,1102.0
2017-01-01,ME,008,1172.0
2016-10-01,ME,008,975.0
2016-07-01,ME,008,1057.0
2016-04-01,ME,008,1050.0
