date,country_code,indicator_code,value
1995-01-01,MG,001,14.93
1994-01-01,MG,001,7.26
1991-01-01,MG,001,5.14
1990-01-01,MG,001,15.61
1989-01-01,MG,001,7.17
1988-01-01,MG,001,-0.49
1987-01-01,MG,001,-0.56
2018-01-01,MG,004,-2373105.0
2017-01-01,MG,004,-1452719.0
2016-01-01,MG,004,-997230.0
2015-01-01,MG,004,-1474495.0
2014-01-01,MG,004,-1634687.0
2013-01-01,MG,004,-2693311.0
2012-01-01,MG,004,-2310350.0
2011-01-01,MG,004,-2583567.0
2010-01-01,MG,004,-2947187.0
2009-01-01,MG,004,-4074815.0
2008-01-01,MG,004,-3470825.0
2007-01-01,MG,004,-1774772.0
2006-01-01,MG,004,-1895409.0
2005-01-01,MG,004,-1750311.0
2004-01-01,MG,004,-1210895.0
2003-01-01,MG,004,-609247.0
2002-01-01,MG,004,-394477.0
2001-01-01,MG,004,-191807.0
2000-01-01,MG,004,-384488.0
1999-01-01,MG,004,-361808.0
1998-01-01,MG,004,-315607.0
1997-01-01,MG,004,-292207.0
1996-01-01,MG,004,-178858.0
1995-01-01,MG,004,-204260.0
1994-01-01,MG,004,-138190.0
1993-01-01,MG,004,-119961.0
1992-01-01,MG,004,-93396.0
1991-01-01,MG,004,-83551.0
1990-01-01,MG,004,-105206.0
1989-01-01,MG,004,-30619.0
1988-01-01,MG,004,-46739.0
1987-01-01,MG,004,-32597.0
1986-01-01,MG,004,-14978.0
1985-01-01,MG,004,-31301.0
1984-01-01,MG,004,-15682.0
1983-01-01,MG,004,-21052.0
1982-01-01,MG,004,-23287.0
1981-01-01,MG,004,-22098.0
1980-01-01,MG,004,-28003.0
1979-01-01,MG,004,-23299.0
1978-01-01,MG,004,-8321.0
1977-01-01,MG,004,-4177.0
1976-01-01,MG,004,-2462.0
1975-01-01,MG,004,-4923.0
1974-01-01,MG,004,-4321.0
1973-01-01,MG,004,-3412.0
1972-01-01,MG,004,-2746.0
1971-01-01,MG,004,-4375.0
1970-01-01,MG,004,-1498.0
1969-01-01,MG,004,-2745.0
1968-01-01,MG,004,-2567.0
1967-01-01,MG,004,-1884.0
1966-01-01,MG,004,-2624.0
1965-01-01,MG,004,-2794.0
1964-01-01,MG,004,-2625.0
1963-01-01,MG,004,-2679.0
1962-01-01,MG,004,-1689.0
1961-01-01,MG,004,-1691.0
1960-01-01,MG,004,-2191.0
2020-01-01,MG,005,49.0
2019-12-01,MG,005,49.0
2019-11-01,MG,005,49.0
2019-10-01,MG,005,49.0
2019-09-01,MG,005,49.0
2019-08-01,MG,005,49.0
2019-07-01,MG,005,49.0
2019-06-01,MG,005,49.0
2019-05-01,MG,005,49.0
2019-04-01,MG,005,49.0
2019-03-01,MG,005,49.0
2019-02-01,MG,005,49.0
2019-01-01,MG,005,49.0
2018-12-01,MG,005,48.8
