date,country_code,indicator_code,value
2018-01-01,MH,004,-99.0
2017-01-01,MH,004,-95.0
2016-01-01,MH,004,-83.0
2015-01-01,MH,004,-86.0
2014-01-01,MH,004,-89.0
2013-01-01,MH,004,-104.0
2012-01-01,MH,004,-82.0
2011-01-01,MH,004,-86.0
2010-01-01,MH,004,-117.0
2009-01-01,MH,004,-109.0
2008-01-01,MH,004,-92.0
2007-01-01,MH,004,-93.0
2006-01-01,MH,004,-88.0
2005-01-01,MH,004,-81.0
2004-01-01,MH,004,-70.0
2003-01-01,MH,004,-74.0
2002-01-01,MH,004,-63.0
2001-01-01,MH,004,-83.0
2000-01-01,MH,004,-83.0
1999-01-01,MH,004,-72.0
1998-01-01,MH,004,-70.0
1997-01-01,MH,004,-61.0
1996-01-01,MH,004,-74.0
1995-01-01,MH,004,-75.0
2017-01-01,MH,012,9.756382
2016-01-01,MH,012,10.899165
2015-01-01,MH,012,8.465943
2014-01-01,MH,012,9.593138
2013-01-01,MH,012,15.905195
2012-01-01,MH,012,8.557879
2011-01-01,MH,012,14.541592
2010-01-01,MH,012,18.637414
2009-01-01,MH,012,23.809273
2008-01-01,MH,012,19.672801
2007-01-01,MH,012,23.244556
2006-01-01,MH,012,22.338459
2005-01-01,MH,012,6.081719
2004-01-01,MH,012,-22.386104
2003-01-01,MH,012,19.239333
2002-01-01,MH,012,20.600519
2001-01-01,MH,012,28.57971
2000-01-01,MH,012,28.2241
1999-01-01,MH,012,28.194851
1998-01-01,MH,012,29.096918
1997-01-01,MH,012,28.219876
1996-01-01,MH,012,72.871283
1995-01-01,MH,012,28.544537
2018-01-01,MH,019,4.0
2017-01-01,MH,019,0.0
2016-01-01,MH,019,1.0
2015-01-01,MH,019,-1.0
2014-01-01,MH,019,1.0
2013-01-01,MH,019,0.0
2012-01-01,MH,019,-7.0
2011-01-01,MH,019,6.0
2010-01-01,MH,019,-3.0
2009-01-01,MH,019,3.0
2008-01-01,MH,019,0.0
2007-01-01,MH,019,2.0
2006-01-01,MH,019,2.0
2005-01-01,MH,019,0.0
2004-01-01,MH,019,1.0
2017-01-01,MH,030,26.283458
2016-01-01,MH,030,21.029567
2015-01-01,MH,030,15.321598
2014-01-01,MH,030,19.394216
2013-01-01,MH,030,25.707978
2012-01-01,MH,030,14.773653
2011-01-01,MH,030,21.320598
2010-01-01,MH,030,24.028301
2009-01-01,MH,030,19.372839
2008-01-01,MH,030,22.382821
2007-01-01,MH,030,29.381439
2006-01-01,MH,030,29.067547
2005-01-01,MH,030,16.72426
2004-01-01,MH,030,12.247631
2018-04-01,MH,034,148.138495
2018-01-01,MH,034,147.983533
2017-10-01,MH,034,147.632557
2017-07-01,MH,034,147.507313
2017-04-01,MH,034,146.730256
2017-01-01,MH,034,145.807764
2016-10-01,MH,034,146.062011
2016-07-01,MH,034,146.323724
2016-04-01,MH,034,146.144567
2016-01-01,MH,034,146.239421
2015-10-01,MH,034,147.208321
2015-07-01,MH,034,146.712748
2015-04-01,MH,034,147.954599
2015-01-01,MH,034,147.125757
2014-10-01,MH,034,153.091148
2014-07-01,MH,034,152.910967
2014-04-01,MH,034,152.511243
2014-01-01,MH,034,151.928329
2013-10-01,MH,034,151.142432
2013-07-01,MH,034,150.927937
2013-04-01,MH,034,150.719049
2013-01-01,MH,034,150.248395
2012-10-01,MH,034,149.990055
2012-07-01,MH,034,149.247069
2012-04-01,MH,034,148.895753
2012-01-01,MH,034,147.050849
2011-10-01,MH,034,145.754713
2011-07-01,MH,034,146.766687
2011-04-01,MH,034,144.651987
2011-01-01,MH,034,137.86047
2010-10-01,MH,034,137.085451
2010-07-01,MH,034,136.744236
2010-04-01,MH,034,137.32877
2010-01-01,MH,034,133.249594
2009-10-01,MH,034,130.263134
2009-07-01,MH,034,130.072989
2009-04-01,MH,034,130.211879
2009-01-01,MH,034,129.6421
2008-10-01,MH,034,138.320513
2008-07-01,MH,034,150.633976
2008-04-01,MH,034,134.513519
2008-01-01,MH,034,121.975039
2007-10-01,MH,034,118.613932
2007-07-01,MH,034,116.414822
2007-04-01,MH,034,115.132731
2007-01-01,MH,034,113.216157
2006-10-01,MH,034,113.693943
2006-07-01,MH,034,112.96
2006-04-01,MH,034,111.6
2006-01-01,MH,034,111.28
2005-10-01,MH,034,110.84
2005-07-01,MH,034,108.26
2005-04-01,MH,034,106.66
2005-01-01,MH,034,105.08
2004-10-01,MH,034,104.387584
2004-07-01,MH,034,103.44
2004-04-01,MH,034,102.46
2004-01-01,MH,034,102.22
2003-10-01,MH,034,101.97
2003-07-01,MH,034,100.99
2003-04-01,MH,034,100.5
2003-01-01,MH,034,100.0
2017-01-01,MH,035,148.467576
2016-01-01,MH,035,135.842594
2015-01-01,MH,035,129.677739
2014-01-01,MH,035,130.691957
2013-01-01,MH,035,128.951641
2012-01-01,MH,035,131.252676
2011-01-01,MH,035,127.818913
2010-01-01,MH,035,122.899535
2009-01-01,MH,035,118.523915
2008-01-01,MH,035,120.574832
2007-01-01,MH,035,112.158721
2006-01-01,MH,035,101.453904
2005-01-01,MH,035,100.698711
2004-01-01,MH,035,96.149206
2018-04-01,MH,046,206.205679
2018-01-01,MH,046,206.205679
2017-10-01,MH,046,206.205679
2017-07-01,MH,046,206.205679
2017-04-01,MH,046,206.077118
2017-01-01,MH,046,206.077118
2016-10-01,MH,046,206.077118
2016-07-01,MH,046,206.077118
2016-04-01,MH,046,206.077079
2016-01-01,MH,046,206.077079
2015-10-01,MH,046,206.077079
2015-07-01,MH,046,206.003746
2015-04-01,MH,046,205.76
2015-01-01,MH,046,205.757184
2014-10-01,MH,046,237.34584
2014-07-01,MH,046,236.969657
2014-04-01,MH,046,236.842617
2014-01-01,MH,046,237.110492
2013-10-01,MH,046,236.611945
2013-07-01,MH,046,236.327481
2013-04-01,MH,046,236.327481
2013-01-01,MH,046,236.395908
2012-10-01,MH,046,232.263683
2012-07-01,MH,046,232.263683
2012-04-01,MH,046,231.421274
2012-01-01,MH,046,231.519366
2011-10-01,MH,046,231.519366
2011-07-01,MH,046,232.023037
2011-04-01,MH,046,234.369042
2011-01-01,MH,046,204.046479
2010-10-01,MH,046,203.985864
2010-07-01,MH,046,193.992433
2010-04-01,MH,046,192.509065
2010-01-01,MH,046,180.317836
2009-10-01,MH,046,158.818023
2009-07-01,MH,046,157.965598
2009-04-01,MH,046,157.109939
2009-01-01,MH,046,157.509345
2008-10-01,MH,046,197.008634
2008-07-01,MH,046,230.261549
2008-04-01,MH,046,192.255704
2008-01-01,MH,046,148.424732
2007-10-01,MH,046,143.463306
2007-07-01,MH,046,142.281959
2007-04-01,MH,046,129.863137
2007-01-01,MH,046,127.947605
2006-10-01,MH,046,127.705501
2006-07-01,MH,046,128.449146
2006-04-01,MH,046,120.93
2006-01-01,MH,046,119.45
2005-10-01,MH,046,119.47
2005-07-01,MH,046,107.12
2005-04-01,MH,046,105.91
2005-01-01,MH,046,104.75
2004-10-01,MH,046,98.902477
2004-07-01,MH,046,100.37
2004-04-01,MH,046,99.44
2004-01-01,MH,046,99.02
2003-10-01,MH,046,98.97
2003-07-01,MH,046,99.24
2003-04-01,MH,046,99.3
2003-01-01,MH,046,100.0
2018-04-01,MH,047,159.842216
2018-01-01,MH,047,158.229153
2017-10-01,MH,047,154.947241
2017-07-01,MH,047,153.939077
2017-04-01,MH,047,153.864253
2017-01-01,MH,047,153.864253
2016-10-01,MH,047,153.10813
2016-07-01,MH,047,152.352006
2016-04-01,MH,047,152.295518
2016-01-01,MH,047,151.690619
2015-10-01,MH,047,157.434987
2015-07-01,MH,047,153.971805
2015-04-01,MH,047,157.744128
2015-01-01,MH,047,155.223717
2014-10-01,MH,047,162.78495
2014-07-01,MH,047,162.78495
2014-04-01,MH,047,162.78495
2014-01-01,MH,047,162.78495
2013-10-01,MH,047,161.706424
2013-07-01,MH,047,161.706424
2013-04-01,MH,047,161.706424
2013-01-01,MH,047,162.565826
2012-10-01,MH,047,161.557662
2012-07-01,MH,047,161.557662
2012-04-01,MH,047,160.547481
2012-01-01,MH,047,153.051477
2011-10-01,MH,047,153.03333
2011-07-01,MH,047,157.538672
2011-04-01,MH,047,151.182008
2011-01-01,MH,047,144.211298
2010-10-01,MH,047,140.952052
2010-07-01,MH,047,155.511493
2010-04-01,MH,047,158.778257
2010-01-01,MH,047,158.442202
2009-10-01,MH,047,156.544941
2009-07-01,MH,047,158.51479
2009-04-01,MH,047,156.891243
2009-01-01,MH,047,147.983548
2008-10-01,MH,047,158.216597
2008-07-01,MH,047,196.928303
2008-04-01,MH,047,159.43336
2008-01-01,MH,047,152.965998
2007-10-01,MH,047,141.526006
2007-07-01,MH,047,138.601936
2007-04-01,MH,047,138.501018
2007-01-01,MH,047,126.301692
2006-10-01,MH,047,131.736226
2006-07-01,MH,047,131.254447
2006-04-01,MH,047,123.11
2006-01-01,MH,047,121.29
2005-10-01,MH,047,121.74
2005-07-01,MH,047,118.44
2005-04-01,MH,047,110.71
2005-01-01,MH,047,107.05
2004-10-01,MH,047,106.888237
2004-07-01,MH,047,102.15
2004-04-01,MH,047,99.19
2004-01-01,MH,047,97.95
2003-10-01,MH,047,97.78
2003-07-01,MH,047,97.65
2003-04-01,MH,047,98.08
2003-01-01,MH,047,100.0
2017-01-01,MH,053,9.987036
2016-01-01,MH,053,19.206013
2015-01-01,MH,053,26.092637
2014-01-01,MH,053,-3.209795
2013-01-01,MH,053,-20.664749
2012-01-01,MH,053,-11.779168
2011-01-01,MH,053,-3.93862
2010-01-01,MH,053,-30.057518
2009-01-01,MH,053,-12.469015
2008-01-01,MH,053,14.562255
2007-01-01,MH,053,11.205784
2006-01-01,MH,053,2.735118
2005-01-01,MH,053,10.669603
2004-01-01,MH,053,3.200342
2003-01-01,MH,053,-3.426263
2002-01-01,MH,053,7.780951
2001-01-01,MH,053,-5.594956
2000-01-01,MH,053,-12.214257
1999-01-01,MH,053,-14.613244
1998-01-01,MH,053,-11.715217
1997-01-01,MH,053,-15.063626
1996-01-01,MH,053,-33.037271
1995-01-01,MH,053,-19.544604
2018-01-01,MH,054,24.0
2017-01-01,MH,054,6.1
2016-01-01,MH,054,-8.1
2015-01-01,MH,054,-3.8
2014-01-01,MH,054,-2.6
2013-01-01,MH,054,-15.4
2012-01-01,MH,054,-10.7
2011-01-01,MH,054,-3.3
2010-01-01,MH,054,-8.8
2009-01-01,MH,054,-17.4
2008-01-01,MH,054,-3.6
2007-01-01,MH,054,-5.3
