date,country_code,indicator_code,value
2017-07-01,MK,001,3.559
2017-04-01,MK,001,5.849
2017-01-01,MK,001,2.936
2016-10-01,MK,001,3.122
2016-07-01,MK,001,7.311
2016-04-01,MK,001,6.239
2016-01-01,MK,001,-1.323
2015-10-01,MK,001,4.378
2015-07-01,MK,001,11.802
2015-04-01,MK,001,2.33
2015-01-01,MK,001,1.202
2014-10-01,MK,001,5.081
2014-07-01,MK,001,3.5
2014-04-01,MK,001,1.188
2014-01-01,MK,001,0.798
2013-10-01,MK,001,3.031
2013-07-01,MK,001,3.981
2013-04-01,MK,001,9.51
2013-01-01,MK,001,11.108
2012-10-01,MK,001,5.351
2012-07-01,MK,001,4.298
2012-04-01,MK,001,4.532
2012-01-01,MK,001,4.328
2011-10-01,MK,001,-9.277
2011-07-01,MK,001,5.808
2011-04-01,MK,001,-6.766
2011-01-01,MK,001,-9.982
2010-10-01,MK,001,10.784
2010-07-01,MK,001,21.644
2010-04-01,MK,001,11.167
2010-01-01,MK,001,-6.758
2009-10-01,MK,001,-19.821
2009-07-01,MK,001,6.385
2009-04-01,MK,001,17.967
2009-01-01,MK,001,9.648
2008-10-01,MK,001,-11.261
2008-07-01,MK,001,12.677
2008-04-01,MK,001,6.532
2008-01-01,MK,001,6.539
2007-10-01,MK,001,-4.273
2007-07-01,MK,001,9.073
2007-04-01,MK,001,9.953
2007-01-01,MK,001,0.491
2006-10-01,MK,001,1.997
2006-07-01,MK,001,10.52
2006-04-01,MK,001,6.591
2006-01-01,MK,001,0.00199999999995
2005-10-01,MK,001,-5.18
2005-07-01,MK,001,12.08
2005-04-01,MK,001,41.369
2005-01-01,MK,001,12.561
2004-10-01,MK,001,-33.34
2004-07-01,MK,001,-9.1
2004-04-01,MK,001,21.72
1998-10-01,MK,001,0.073
1997-10-01,MK,001,-2.513
1997-07-01,MK,001,-14.253
1997-04-01,MK,001,-0.987
1997-01-01,MK,001,-5.303
1996-10-01,MK,001,-3.22
1996-07-01,MK,001,-5.727
1996-04-01,MK,001,-2.633
1996-01-01,MK,001,-3.294
1995-10-01,MK,001,-1.253
1995-07-01,MK,001,-16.76
1995-04-01,MK,001,-13.44
2017-06-01,MK,002,110.97
2017-05-01,MK,002,111.36
2017-04-01,MK,002,110.31
2017-03-01,MK,002,109.2
2017-02-01,MK,002,108.73
2017-01-01,MK,002,110.69
2016-12-01,MK,002,114.13
2016-11-01,MK,002,108.89
2016-10-01,MK,002,109.27
2016-09-01,MK,002,107.97
2016-08-01,MK,002,108.47
2016-07-01,MK,002,108.66
2016-06-01,MK,002,107.95
2016-05-01,MK,002,108.61
2016-04-01,MK,002,108.77
2016-03-01,MK,002,107.29
2016-02-01,MK,002,106.13
2016-01-01,MK,002,108.27
2015-12-01,MK,002,110.52
2015-11-01,MK,002,106.92
2015-10-01,MK,002,108.07
2015-09-01,MK,002,107.15
2015-08-01,MK,002,106.46
2015-07-01,MK,002,106.36
2015-06-01,MK,002,107.16
2015-05-01,MK,002,107.38
2015-04-01,MK,002,105.8
2015-03-01,MK,002,104.13
2015-02-01,MK,002,102.68
2015-01-01,MK,002,106.2
2014-12-01,MK,002,109.02
2014-11-01,MK,002,105.03
2014-10-01,MK,002,105.66
2014-09-01,MK,002,103.52
2014-08-01,MK,002,103.23
2014-07-01,MK,002,103.87
2014-06-01,MK,002,103.31
2014-05-01,MK,002,104.52
2014-04-01,MK,002,103.02
2014-03-01,MK,002,102.21
2014-02-01,MK,002,101.88
2014-01-01,MK,002,103.76
2013-12-01,MK,002,104.6
2013-11-01,MK,002,102.43
2013-10-01,MK,002,103.37
2013-09-01,MK,002,102.46
2013-08-01,MK,002,102.7
2013-07-01,MK,002,102.23
2013-06-01,MK,002,102.7
2013-05-01,MK,002,103.57
2013-04-01,MK,002,102.09
2013-03-01,MK,002,103.6
2013-02-01,MK,002,101.73
2013-01-01,MK,002,103.07
2012-12-01,MK,002,104.45
2012-11-01,MK,002,101.48
2012-10-01,MK,002,102.32
2012-09-01,MK,002,101.1
2012-08-01,MK,002,102.0
2012-07-01,MK,002,101.11
2012-06-01,MK,002,100.47
2012-05-01,MK,002,101.52
2012-04-01,MK,002,100.92
2012-03-01,MK,002,102.57
2012-02-01,MK,002,100.35
2012-01-01,MK,002,102.08
2011-12-01,MK,002,104.19
2011-11-01,MK,002,101.36
2011-10-01,MK,002,101.69
2011-09-01,MK,002,100.51
2011-08-01,MK,002,101.74
2011-07-01,MK,002,101.26
2011-06-01,MK,002,102.75
2011-05-01,MK,002,101.95
2011-04-01,MK,002,99.83
2011-03-01,MK,002,100.15
2011-02-01,MK,002,99.41
2011-01-01,MK,002,102.31
2010-12-01,MK,002,104.38
2010-11-01,MK,002,100.39
2010-10-01,MK,002,100.15
2010-09-01,MK,002,100.0
2010-08-01,MK,002,99.94
2010-07-01,MK,002,98.76
2010-06-01,MK,002,99.37
2010-05-01,MK,002,101.19
2010-04-01,MK,002,99.49
2010-03-01,MK,002,98.95
2010-02-01,MK,002,98.47
2010-01-01,MK,002,98.91
2009-12-01,MK,002,99.66
2009-11-01,MK,002,96.91
2009-10-01,MK,002,97.87
2009-09-01,MK,002,97.52
2009-08-01,MK,002,96.66
2009-07-01,MK,002,96.15
2009-06-01,MK,002,97.65
2009-05-01,MK,002,97.85
2009-04-01,MK,002,98.12
2009-03-01,MK,002,96.07
2009-02-01,MK,002,95.35
2009-01-01,MK,002,95.44
2008-12-01,MK,002,84.48
2008-11-01,MK,002,82.02
2008-10-01,MK,002,82.81
2008-09-01,MK,002,82.15
2008-08-01,MK,002,76.97
2008-07-01,MK,002,76.91
2008-06-01,MK,002,76.67
2008-05-01,MK,002,76.52
2008-04-01,MK,002,75.92
2008-03-01,MK,002,75.55
2008-02-01,MK,002,73.99
2008-01-01,MK,002,75.68
2007-12-01,MK,002,75.62
2007-11-01,MK,002,74.54
2007-10-01,MK,002,75.94
2007-09-01,MK,002,73.3
2007-08-01,MK,002,70.29
2007-07-01,MK,002,69.57
2007-06-01,MK,002,69.29
2007-05-01,MK,002,69.71
2007-04-01,MK,002,69.53
2007-03-01,MK,002,68.45
2007-02-01,MK,002,67.79
2007-01-01,MK,002,67.55
2006-12-01,MK,002,67.4
2006-11-01,MK,002,67.6
2006-10-01,MK,002,67.2
2006-09-01,MK,002,66.18
2006-08-01,MK,002,66.74
2006-07-01,MK,002,65.34
2006-06-01,MK,002,65.96
2006-05-01,MK,002,65.9
2006-04-01,MK,002,64.13
2006-03-01,MK,002,64.49
2006-02-01,MK,002,63.43
2006-01-01,MK,002,64.84
2005-12-01,MK,002,63.86
2005-11-01,MK,002,62.6
2005-10-01,MK,002,62.2
2005-09-01,MK,002,61.72
2005-08-01,MK,002,61.92
2005-07-01,MK,002,60.53
2005-06-01,MK,002,61.09
2005-05-01,MK,002,61.28
2005-04-01,MK,002,59.54
2005-03-01,MK,002,60.39
2005-02-01,MK,002,59.56
2005-01-01,MK,002,60.93
2004-12-01,MK,002,60.98
2004-11-01,MK,002,59.81
2004-10-01,MK,002,61.35
2004-09-01,MK,002,60.0
2004-08-01,MK,002,60.54
2004-07-01,MK,002,59.6
2004-06-01,MK,002,59.96
2004-05-01,MK,002,61.06
2004-04-01,MK,002,58.94
2004-03-01,MK,002,59.11
