date,country_code,indicator_code,value
2019-02-01,MM,001,56970.0
2019-01-01,MM,001,82667.0
2018-12-01,MM,001,60662.0
2018-11-01,MM,001,68264.0
2018-10-01,MM,001,57457.0
2018-09-01,MM,001,74749.0
2018-08-01,MM,001,68150.0
2018-07-01,MM,001,72026.0
2018-06-01,MM,001,69954.0
2018-05-01,MM,001,100024.0
2018-04-01,MM,001,53672.0
2018-03-01,MM,001,32883.0
2018-02-01,MM,001,53265.0
2018-01-01,MM,001,69949.0
2017-12-01,MM,001,58296.0
2017-11-01,MM,001,63037.0
2017-10-01,MM,001,73438.0
2017-09-01,MM,001,60308.0
2017-08-01,MM,001,69868.0
2017-07-01,MM,001,86692.0
2017-06-01,MM,001,61736.0
2017-05-01,MM,001,118653.0
2017-04-01,MM,001,43005.0
2017-03-01,MM,001,34962.0
2017-02-01,MM,001,50347.0
2017-01-01,MM,001,57927.0
2016-12-01,MM,001,64242.0
2016-11-01,MM,001,61332.0
2016-10-01,MM,001,60007.0
2016-09-01,MM,001,62907.0
2016-08-01,MM,001,70155.0
2016-07-01,MM,001,61321.0
2016-06-01,MM,001,81006.0
2016-05-01,MM,001,126159.0
2016-04-01,MM,001,42271.0
2016-03-01,MM,001,48510.0
2016-02-01,MM,001,52810.0
2016-01-01,MM,001,55472.0
2015-12-01,MM,001,58775.0
2015-11-01,MM,001,46567.0
2015-10-01,MM,001,50936.0
2015-09-01,MM,001,53004.0
2015-08-01,MM,001,53628.0
2015-07-01,MM,001,51788.0
2015-06-01,MM,001,60002.0
2015-05-01,MM,001,77444.0
2015-04-01,MM,001,29106.0
2015-03-01,MM,001,31039.0
2015-02-01,MM,001,34836.0
2015-01-01,MM,001,40987.0
2014-12-01,MM,001,43879.0
2014-11-01,MM,001,36722.0
2014-10-01,MM,001,38755.0
2014-09-01,MM,001,45071.0
2014-08-01,MM,001,49145.0
2014-07-01,MM,001,45941.0
2014-06-01,MM,001,53353.0
2014-05-01,MM,001,60869.0
2014-04-01,MM,001,33139.0
2014-03-01,MM,001,45129.0
2014-02-01,MM,001,48123.0
2014-01-01,MM,001,51229.0
2013-12-01,MM,001,50201.0
2013-11-01,MM,001,49752.0
2013-10-01,MM,001,50390.0
2013-09-01,MM,001,52637.0
2013-08-01,MM,001,51064.0
2013-07-01,MM,001,50148.0
2013-06-01,MM,001,56610.0
2013-05-01,MM,001,58132.0
2013-04-01,MM,001,35128.0
2013-03-01,MM,001,50641.0
2013-02-01,MM,001,50638.0
2013-01-01,MM,001,57637.0
2012-12-01,MM,001,56785.0
2012-11-01,MM,001,55716.0
2012-10-01,MM,001,55875.0
2012-09-01,MM,001,54777.0
2012-08-01,MM,001,54072.0
2012-07-01,MM,001,52710.0
2012-06-01,MM,001,51566.0
2012-05-01,MM,001,50514.0
2012-04-01,MM,001,27719.0
2012-03-01,MM,001,48025.0
