date,country_code,indicator_code,value
2020-03-01,MN,001,73617.0
2020-01-01,MN,001,74776.0
2019-11-01,MN,001,77293.0
2019-10-01,MN,001,77183.0
2019-09-01,MN,001,77629.0
2019-08-01,MN,001,74905.0
2019-07-01,MN,001,73964.0
2019-06-01,MN,001,75078.0
2019-05-01,MN,001,75772.0
2019-04-01,MN,001,74940.0
2019-03-01,MN,001,74799.0
2019-02-01,MN,001,70906.0
2019-01-01,MN,001,72042.0
2018-12-01,MN,001,74167.0
2018-11-01,MN,001,74024.0
2018-10-01,MN,001,75695.0
2018-09-01,MN,001,74261.0
2018-08-01,MN,001,72455.0
2018-07-01,MN,001,70734.0
2018-06-01,MN,001,71469.0
2018-05-01,MN,001,72208.0
2018-04-01,MN,001,71600.0
2018-03-01,MN,001,69923.0
2018-02-01,MN,001,69828.0
2018-01-01,MN,001,69026.0
2017-12-01,MN,001,68305.0
2017-11-01,MN,001,71979.0
2017-10-01,MN,001,71560.0
2017-09-01,MN,001,69696.0
2017-08-01,MN,001,67058.0
2017-07-01,MN,001,66150.0
2017-06-01,MN,001,66294.0
2017-05-01,MN,001,64972.0
2017-04-01,MN,001,65141.0
2017-03-01,MN,001,63715.0
2017-02-01,MN,001,63432.0
2017-01-01,MN,001,63324.0
2016-12-01,MN,001,65682.0
2016-11-01,MN,001,67159.0
2016-10-01,MN,001,67870.0
2016-09-01,MN,001,65041.0
2016-08-01,MN,001,65974.0
2016-07-01,MN,001,64421.0
2016-06-01,MN,001,65427.0
2016-05-01,MN,001,65842.0
2016-04-01,MN,001,65831.0
2016-03-01,MN,001,62962.0
2016-02-01,MN,001,63180.0
2016-01-01,MN,001,64991.0
2015-12-01,MN,001,66003.0
2015-11-01,MN,001,64770.0
2015-10-01,MN,001,63585.0
2015-09-01,MN,001,65346.0
2015-08-01,MN,001,64677.0
2015-07-01,MN,001,64401.0
2015-06-01,MN,001,66175.0
2015-05-01,MN,001,71871.0
2015-04-01,MN,001,64227.0
2015-03-01,MN,001,63205.0
