date,country_code,indicator_code,value
2020-03-01,MO,001,397.4
2020-02-01,MO,001,390.9
2020-01-01,MO,001,393.1
2019-12-01,MO,001,389.8
2019-11-01,MO,001,387.6
2019-10-01,MO,001,387.3
2019-09-01,MO,001,387.1
2019-08-01,MO,001,387.3
2019-07-01,MO,001,387.1
2019-06-01,MO,001,387.2
2019-05-01,MO,001,387.2
2019-04-01,MO,001,385.3
2019-03-01,MO,001,387.1
2019-02-01,MO,001,388.1
2019-01-01,MO,001,391.5
2018-12-01,MO,001,388.0
2018-11-01,MO,001,386.1
2018-10-01,MO,001,386.0
2018-09-01,MO,001,387.6
2018-08-01,MO,001,385.0
2018-07-01,MO,001,385.5
2018-06-01,MO,001,385.4
2018-05-01,MO,001,383.1
2018-04-01,MO,001,381.5
2018-03-01,MO,001,380.5
2018-02-01,MO,001,378.3
2018-01-01,MO,001,376.0
2017-12-01,MO,001,375.9
2017-11-01,MO,001,377.5
2017-10-01,MO,001,379.8
2017-09-01,MO,001,381.2
2017-08-01,MO,001,384.2
2017-07-01,MO,001,384.1
2017-06-01,MO,001,382.3
2017-05-01,MO,001,381.8
2017-04-01,MO,001,381.5
2017-03-01,MO,001,379.5
2017-02-01,MO,001,379.1
2017-01-01,MO,001,381.9
2016-12-01,MO,001,385.0
2016-11-01,MO,001,385.5
2016-10-01,MO,001,389.5
2016-09-01,MO,001,394.2
2016-08-01,MO,001,392.6
2016-07-01,MO,001,392.0
2016-06-01,MO,001,390.4
2016-05-01,MO,001,388.6
2016-04-01,MO,001,389.6
2016-03-01,MO,001,389.0
2016-02-01,MO,001,390.4
2016-01-01,MO,001,390.3
2015-12-01,MO,001,393.1
2015-11-01,MO,001,393.4
2015-10-01,MO,001,394.5
2015-09-01,MO,001,394.9
2015-08-01,MO,001,395.1
2015-07-01,MO,001,397.9
2015-06-01,MO,001,398.3
2015-05-01,MO,001,398.5
2015-04-01,MO,001,399.0
2015-03-01,MO,001,399.5
2015-02-01,MO,001,396.8
2015-01-01,MO,001,397.6
2014-12-01,MO,001,398.6
2014-11-01,MO,001,396.2
2014-10-01,MO,001,394.4
2014-09-01,MO,001,392.1
2014-08-01,MO,001,388.7
2014-07-01,MO,001,387.0
2014-06-01,MO,001,383.6
2014-05-01,MO,001,381.1
2014-04-01,MO,001,381.0
2014-03-01,MO,001,377.9
2014-02-01,MO,001,376.0
2014-01-01,MO,001,372.1
2013-12-01,MO,001,370.4
2013-11-01,MO,001,368.4
2013-10-01,MO,001,366.7
2013-09-01,MO,001,364.3
2013-08-01,MO,001,361.7
2013-07-01,MO,001,359.4
2013-06-01,MO,001,357.5
2013-05-01,MO,001,354.4
2013-04-01,MO,001,352.4
2013-03-01,MO,001,351.8
2013-02-01,MO,001,350.6
2013-01-01,MO,001,351.4
2012-12-01,MO,001,350.0
2012-11-01,MO,001,349.6
2012-10-01,MO,001,346.6
2012-09-01,MO,001,344.2
2012-08-01,MO,001,343.6
2012-07-01,MO,001,341.2
2012-06-01,MO,001,338.6
2012-05-01,MO,001,337.2
2012-04-01,MO,001,338.3
2012-03-01,MO,001,340.0
2012-02-01,MO,001,338.9
2012-01-01,MO,001,338.0
2011-12-01,MO,001,336.6
2011-11-01,MO,001,333.1
2011-10-01,MO,001,334.4
2011-09-01,MO,001,330.7
2011-08-01,MO,001,330.1
2011-07-01,MO,001,325.3
2011-06-01,MO,001,323.2
2011-05-01,MO,001,322.6
2011-04-01,MO,001,319.4
2011-03-01,MO,001,320.0
2011-02-01,MO,001,319.6
2011-01-01,MO,001,318.0
2010-12-01,MO,001,321.9
2010-11-01,MO,001,319.6
2010-10-01,MO,001,320.6
2010-09-01,MO,001,320.2
2010-08-01,MO,001,317.5
2010-07-01,MO,001,316.9
2010-06-01,MO,001,317.0
2010-05-01,MO,001,316.1
2010-04-01,MO,001,313.7
2010-03-01,MO,001,313.8
2010-02-01,MO,001,313.2
2010-01-01,MO,001,311.9
2009-12-01,MO,001,312.4
2009-11-01,MO,001,312.8
2009-10-01,MO,001,314.9
2009-09-01,MO,001,315.8
2009-08-01,MO,001,318.8
2009-07-01,MO,001,320.5
2009-06-01,MO,001,321.0
2009-05-01,MO,001,320.9
2009-04-01,MO,001,320.5
2009-03-01,MO,001,320.5
2009-02-01,MO,001,319.7
2009-01-01,MO,001,325.6
2008-12-01,MO,001,326.3
2008-11-01,MO,001,326.6
2008-10-01,MO,001,328.4
2008-09-01,MO,001,326.9
2008-08-01,MO,001,326.6
2008-07-01,MO,001,324.0
2008-06-01,MO,001,321.4
2008-05-01,MO,001,319.6
2008-04-01,MO,001,318.2
2008-03-01,MO,001,317.0
2008-02-01,MO,001,313.4
2008-01-01,MO,001,314.1
2007-12-01,MO,001,313.3
2007-11-01,MO,001,310.9
2007-10-01,MO,001,308.8
2007-09-01,MO,001,307.7
2007-08-01,MO,001,304.3
2007-07-01,MO,001,301.2
2007-06-01,MO,001,296.4
2007-05-01,MO,001,291.4
2007-04-01,MO,001,286.9
2007-03-01,MO,001,284.0
2007-02-01,MO,001,282.7
2007-01-01,MO,001,280.1
2006-12-01,MO,001,277.3
2006-11-01,MO,001,274.5
2006-10-01,MO,001,272.7
2006-09-01,MO,001,269.0
2006-08-01,MO,001,267.3
2006-07-01,MO,001,264.4
2006-06-01,MO,001,260.8
2006-05-01,MO,001,258.1
2006-04-01,MO,001,253.9
2006-03-01,MO,001,253.1
2006-02-01,MO,001,250.9
2006-01-01,MO,001,248.8
2005-12-01,MO,001,247.7
2005-11-01,MO,001,243.4
2005-10-01,MO,001,242.4
2005-09-01,MO,001,240.1
2005-08-01,MO,001,239.1
2005-07-01,MO,001,234.6
2005-06-01,MO,001,232.1
2005-05-01,MO,001,231.6
2005-04-01,MO,001,230.7
2005-03-01,MO,001,230.0
2005-02-01,MO,001,228.7
2005-01-01,MO,001,228.7
2004-12-01,MO,001,228.4
2004-11-01,MO,001,226.0
2004-10-01,MO,001,224.0
2004-09-01,MO,001,221.7
2004-08-01,MO,001,219.9
2004-07-01,MO,001,217.0
2004-06-01,MO,001,213.6
2004-05-01,MO,001,212.4
2004-04-01,MO,001,210.9
2004-03-01,MO,001,212.6
2004-02-01,MO,001,212.2
2004-01-01,MO,001,212.2
2003-12-01,MO,001,209.9
2003-11-01,MO,001,206.9
2003-10-01,MO,001,206.2
2003-09-01,MO,001,204.7
2003-08-01,MO,001,204.2
2003-07-01,MO,001,203.1
2003-06-01,MO,001,203.2
2003-05-01,MO,001,203.0
2003-04-01,MO,001,204.2
2003-03-01,MO,001,203.7
2003-02-01,MO,001,204.0
2003-01-01,MO,001,203.9
2002-12-01,MO,001,202.2
2002-11-01,MO,001,202.4
2002-10-01,MO,001,201.8
2002-09-01,MO,001,203.6
2002-08-01,MO,001,204.2
2002-07-01,MO,001,204.7
2002-06-01,MO,001,206.3
2002-05-01,MO,001,206.9
2002-04-01,MO,001,206.9
2002-03-01,MO,001,207.5
2002-02-01,MO,001,210.2
2002-01-01,MO,001,211.3
2001-12-01,MO,001,211.2
2001-11-01,MO,001,211.4
2001-10-01,MO,001,211.4
2001-09-01,MO,001,210.1
2001-08-01,MO,001,204.3
2001-07-01,MO,001,200.4
2001-06-01,MO,001,200.5
2001-05-01,MO,001,199.5
2001-04-01,MO,001,200.0
2001-03-01,MO,001,198.1
2001-02-01,MO,001,196.5
2001-01-01,MO,001,197.7
2000-12-01,MO,001,197.8
2000-11-01,MO,001,196.4
2000-10-01,MO,001,194.2
2000-09-01,MO,001,193.1
2000-08-01,MO,001,193.0
2000-07-01,MO,001,192.6
2000-06-01,MO,001,194.4
2000-05-01,MO,001,195.8
2000-04-01,MO,001,196.7
2000-03-01,MO,001,195.7
2000-02-01,MO,001,197.2
2000-01-01,MO,001,199.2
1999-12-01,MO,001,199.2
1999-11-01,MO,001,197.5
1999-10-01,MO,001,195.3
1999-09-01,MO,001,195.9
1999-08-01,MO,001,196.2
1999-07-01,MO,001,195.2
1999-06-01,MO,001,193.9
1999-05-01,MO,001,194.2
1999-04-01,MO,001,195.9
1999-03-01,MO,001,195.4
1999-02-01,MO,001,196.0
1999-01-01,MO,001,197.1
1998-12-01,MO,001,196.5
1998-11-01,MO,001,196.2
1998-10-01,MO,001,194.7
1998-09-01,MO,001,196.1
1998-08-01,MO,001,195.1
1998-07-01,MO,001,195.8
1998-06-01,MO,001,196.9
1998-05-01,MO,001,197.5
1998-04-01,MO,001,197.5
1998-03-01,MO,001,196.9
1998-02-01,MO,001,198.5
1998-01-01,MO,001,200.7
1997-12-01,MO,001,200.3
1997-11-01,MO,001,197.5
1997-10-01,MO,001,195.3
1997-09-01,MO,001,195.1
