date,country_code,indicator_code,value
2018-01-01,MR,004,-58168.0
2017-01-01,MR,004,-45802.0
2016-01-01,MR,004,-44154.0
2015-01-01,MR,004,-55591.0
2014-01-01,MR,004,-43313.0
2013-01-01,MR,004,-37671.0
2012-01-01,MR,004,-41036.0
2011-01-01,MR,004,-9228.0
2010-01-01,MR,004,-12483.0
2009-01-01,MR,004,-15198.0
2008-01-01,MR,004,-20253.0
2007-01-01,MR,004,-11511.0
2006-01-01,MR,004,-4118.0
2005-01-01,MR,004,-30020.0
2004-01-01,MR,004,-19901.0
2003-01-01,MR,004,-10428.0
2002-01-01,MR,004,-5013.0
2001-01-01,MR,004,-5707.0
2000-01-01,MR,004,-4742.0
1999-01-01,MR,004,-2762.0
1998-01-01,MR,004,-2109.0
1997-01-01,MR,004,-81.0
1996-01-01,MR,004,811.0
1995-01-01,MR,004,1121.0
1994-01-01,MR,004,529.0
1993-01-01,MR,004,302.0
1992-01-01,MR,004,-86.0
1991-01-01,MR,004,-733.0
1990-01-01,MR,004,-1240.0
1989-01-01,MR,004,-563.0
1988-01-01,MR,004,-919.0
1987-01-01,MR,004,-1176.0
1986-01-01,MR,004,-1383.0
1985-01-01,MR,004,-1100.0
1984-01-01,MR,004,-1278.0
1983-01-01,MR,004,-1321.0
1982-01-01,MR,004,-1734.0
1981-01-01,MR,004,-1079.0
1980-01-01,MR,004,-971.0
1979-01-01,MR,004,-786.0
1978-01-01,MR,004,-791.0
1977-01-01,MR,004,-1005.0
1976-01-01,MR,004,-943.0
1975-01-01,MR,004,-450.0
1974-01-01,MR,004,-207.0
1973-01-01,MR,004,7.0
1972-01-01,MR,004,-13.0
1971-01-01,MR,004,196.0
1970-01-01,MR,004,184.0
1969-01-01,MR,004,159.0
1968-01-01,MR,004,167.0
1967-01-01,MR,004,173.0
1966-01-01,MR,004,195.0
1965-01-01,MR,004,175.0
1964-01-01,MR,004,157.0
1963-01-01,MR,004,-24.0
1962-01-01,MR,004,-91.0
1961-01-01,MR,004,-68.0
1960-01-01,MR,004,-35.0
2018-02-01,MR,005,17.0
2018-01-01,MR,005,17.0
2017-12-01,MR,005,17.0
2017-11-01,MR,005,17.0
2017-10-01,MR,005,17.0
2017-09-01,MR,005,17.0
2017-08-01,MR,005,17.0
2017-07-01,MR,005,17.0
2017-06-01,MR,005,17.0
2017-05-01,MR,005,17.0
2017-04-01,MR,005,17.0
2017-03-01,MR,005,17.0
2017-02-01,MR,005,17.0
2017-01-01,MR,005,17.0
2016-12-01,MR,005,17.0
2016-11-01,MR,005,17.0
2016-10-01,MR,005,17.0
2016-09-01,MR,005,17.0
2016-08-01,MR,005,17.0
2016-07-01,MR,005,17.0
2016-06-01,MR,005,17.0
2016-05-01,MR,005,17.0
2016-04-01,MR,005,17.0
2016-03-01,MR,005,17.0
2016-02-01,MR,005,17.0
2016-01-01,MR,005,17.0
2015-12-01,MR,005,17.0
2015-11-01,MR,005,17.0
2015-10-01,MR,005,17.0
2015-09-01,MR,005,17.0
2015-08-01,MR,005,17.0
2015-07-01,MR,005,17.0
2015-06-01,MR,005,17.0
2015-05-01,MR,005,17.0
2015-04-01,MR,005,17.0
2015-03-01,MR,005,17.0
2015-02-01,MR,005,17.0
2015-01-01,MR,005,17.0
2014-12-01,MR,005,17.0
2014-11-01,MR,005,17.0
2014-10-01,MR,005,17.0
2014-09-01,MR,005,17.0
2014-08-01,MR,005,17.0
2014-07-01,MR,005,17.0
2014-06-01,MR,005,17.0
2014-05-01,MR,005,17.0
2014-04-01,MR,005,17.0
2014-03-01,MR,005,17.0
2014-02-01,MR,005,17.0
2014-01-01,MR,005,17.0
2013-12-01,MR,005,17.0
2013-11-01,MR,005,17.0
2013-10-01,MR,005,17.0
2013-09-01,MR,005,17.0
2013-08-01,MR,005,17.0
2013-07-01,MR,005,17.0
2013-06-01,MR,005,17.0
2013-05-01,MR,005,17.0
2013-04-01,MR,005,17.0
2013-03-01,MR,005,17.0
2013-02-01,MR,005,17.0
2013-01-01,MR,005,17.0
2012-12-01,MR,005,17.0
2012-11-01,MR,005,17.0
2012-10-01,MR,005,17.0
2012-09-01,MR,005,17.0
2012-08-01,MR,005,17.0
2012-07-01,MR,005,17.0
2012-06-01,MR,005,17.0
2012-05-01,MR,005,17.0
2012-04-01,MR,005,17.0
2012-03-01,MR,005,17.0
2012-02-01,MR,005,17.0
2012-01-01,MR,005,17.0
2011-12-01,MR,005,17.0
2011-11-01,MR,005,17.0
2011-10-01,MR,005,17.0
2011-09-01,MR,005,17.0
2011-08-01,MR,005,17.0
2011-07-01,MR,005,17.0
2011-06-01,MR,005,17.0
2011-05-01,MR,005,17.0
2011-04-01,MR,005,17.0
2011-03-01,MR,005,17.0
2011-02-01,MR,005,17.0
2011-01-01,MR,005,17.0
2010-12-01,MR,005,17.0
2010-11-01,MR,005,17.0
2010-10-01,MR,005,17.0
2010-09-01,MR,005,17.0
2010-08-01,MR,005,17.0
2010-07-01,MR,005,17.0
2010-06-01,MR,005,17.0
2010-05-01,MR,005,17.0
2010-04-01,MR,005,17.0
2010-03-01,MR,005,17.0
2010-02-01,MR,005,17.0
2010-01-01,MR,005,17.0
2009-12-01,MR,005,17.0
2009-11-01,MR,005,17.0
2009-10-01,MR,005,20.0
2009-09-01,MR,005,20.0
2009-08-01,MR,005,20.0
2009-07-01,MR,005,20.0
2009-06-01,MR,005,20.0
2009-05-01,MR,005,20.0
2009-04-01,MR,005,20.0
2009-03-01,MR,005,20.0
2009-02-01,MR,005,20.0
2009-01-01,MR,005,20.0
2008-12-01,MR,005,20.0
2008-11-01,MR,005,20.0
2008-10-01,MR,005,20.0
2008-09-01,MR,005,20.0
2008-08-01,MR,005,20.0
2008-07-01,MR,005,20.0
2008-06-01,MR,005,20.0
2008-05-01,MR,005,20.0
2008-04-01,MR,005,20.0
2008-03-01,MR,005,20.0
2008-02-01,MR,005,22.0
2008-01-01,MR,005,22.0
2007-12-01,MR,005,22.0
2007-11-01,MR,005,22.0
2007-10-01,MR,005,22.0
2007-09-01,MR,005,24.0
2007-08-01,MR,005,24.0
2007-07-01,MR,005,24.0
2007-06-01,MR,005,24.0
2007-05-01,MR,005,24.0
2007-04-01,MR,005,24.0
2007-03-01,MR,005,24.0
2007-02-01,MR,005,24.0
2007-01-01,MR,005,24.0
2006-12-01,MR,005,24.0
2006-11-01,MR,005,24.0
2006-10-01,MR,005,24.0
2006-09-01,MR,005,24.0
2006-08-01,MR,005,24.0
2006-07-01,MR,005,24.0
2006-06-01,MR,005,24.0
2006-05-01,MR,005,24.0
2006-04-01,MR,005,24.0
2006-03-01,MR,005,24.0
2006-02-01,MR,005,24.0
2006-01-01,MR,005,24.0
2005-12-01,MR,005,24.0
2005-11-01,MR,005,24.0
2005-10-01,MR,005,24.0
2005-09-01,MR,005,23.0
2005-08-01,MR,005,23.0
2005-07-01,MR,005,23.0
2005-06-01,MR,005,23.0
2005-05-01,MR,005,23.0
2005-04-01,MR,005,23.0
2005-03-01,MR,005,23.0
2005-02-01,MR,005,23.0
2005-01-01,MR,005,21.0
2004-12-01,MR,005,21.0
2004-11-01,MR,005,21.0
2004-10-01,MR,005,21.0
2004-09-01,MR,005,21.0
2004-08-01,MR,005,21.0
2004-07-01,MR,005,21.0
2004-06-01,MR,005,21.0
2004-05-01,MR,005,21.0
2004-04-01,MR,005,21.0
2004-03-01,MR,005,21.0
2004-02-01,MR,005,21.0
2004-01-01,MR,005,21.0
2003-12-01,MR,005,21.0
2003-11-01,MR,005,21.0
2003-10-01,MR,005,21.0
2003-09-01,MR,005,21.0
2003-08-01,MR,005,21.0
2003-07-01,MR,005,21.0
2003-06-01,MR,005,21.0
2003-05-01,MR,005,21.0
2003-04-01,MR,005,21.0
2003-03-01,MR,005,21.0
2003-02-01,MR,005,21.0
2003-01-01,MR,005,21.0
2002-12-01,MR,005,21.0
2002-11-01,MR,005,21.0
2002-10-01,MR,005,21.0
2002-09-01,MR,005,21.0
2002-08-01,MR,005,21.0
2002-07-01,MR,005,21.0
2002-06-01,MR,005,21.0
2002-05-01,MR,005,21.0
2002-04-01,MR,005,21.0
2002-03-01,MR,005,21.0
2002-02-01,MR,005,21.0
2002-01-01,MR,005,21.0
2001-12-01,MR,005,21.0
2001-11-01,MR,005,21.0
2001-10-01,MR,005,21.0
2001-09-01,MR,005,23.0
2001-08-01,MR,005,23.0
2001-07-01,MR,005,23.0
2001-06-01,MR,005,23.0
2001-05-01,MR,005,23.0
2001-04-01,MR,005,23.0
2001-03-01,MR,005,23.0
2001-02-01,MR,005,23.0
2001-01-01,MR,005,23.0
2000-12-01,MR,005,23.0
2000-11-01,MR,005,23.0
2000-10-01,MR,005,25.0
2000-09-01,MR,005,25.0
2000-08-01,MR,005,25.0
2000-07-01,MR,005,25.0
2000-06-01,MR,005,25.0
2000-05-01,MR,005,26.0
2000-04-01,MR,005,26.0
2000-03-01,MR,005,28.0
2000-02-01,MR,005,28.0
2000-01-01,MR,005,28.0
1999-12-01,MR,005,28.0
1999-11-01,MR,005,28.0
1999-10-01,MR,005,28.0
1999-09-01,MR,005,28.0
1999-08-01,MR,005,28.0
1999-07-01,MR,005,28.0
1999-06-01,MR,005,28.0
1999-05-01,MR,005,28.0
1999-04-01,MR,005,28.0
1999-03-01,MR,005,28.0
1999-02-01,MR,005,28.0
1999-01-01,MR,005,28.0
1998-12-01,MR,005,28.0
1998-11-01,MR,005,28.0
1998-10-01,MR,005,28.0
1998-09-01,MR,005,28.0
1998-08-01,MR,005,28.0
1998-07-01,MR,005,28.0
1998-06-01,MR,005,28.0
1998-05-01,MR,005,22.0
1998-04-01,MR,005,22.0
1998-03-01,MR,005,22.0
1998-02-01,MR,005,22.0
1998-01-01,MR,005,22.0
1997-12-01,MR,005,22.0
1997-11-01,MR,005,22.0
1997-10-01,MR,005,22.0
1997-09-01,MR,005,22.0
1997-08-01,MR,005,22.0
1997-07-01,MR,005,22.0
1997-06-01,MR,005,22.0
1997-05-01,MR,005,22.0
1997-04-01,MR,005,22.0
1997-03-01,MR,005,22.0
1997-02-01,MR,005,22.0
1997-01-01,MR,005,22.0
1996-12-01,MR,005,22.0
1996-11-01,MR,005,22.0
1996-10-01,MR,005,22.0
1996-09-01,MR,005,22.0
1996-08-01,MR,005,22.0
1996-07-01,MR,005,22.0
1996-06-01,MR,005,22.0
1996-05-01,MR,005,22.0
1996-04-01,MR,005,22.0
1996-03-01,MR,005,22.0
1996-02-01,MR,005,22.0
1996-01-01,MR,005,22.0
1995-12-01,MR,005,22.0
1995-11-01,MR,005,22.0
1995-10-01,MR,005,20.0
1995-09-01,MR,005,20.0
1995-08-01,MR,005,20.0
1995-07-01,MR,005,20.0
1995-06-01,MR,005,20.0
1995-05-01,MR,005,20.0
1995-04-01,MR,005,20.0
1995-03-01,MR,005,20.0
1995-02-01,MR,005,20.0
1995-01-01,MR,005,20.0
1994-12-01,MR,005,20.0
1994-11-01,MR,005,18.0
1994-10-01,MR,005,18.0
1994-09-01,MR,005,18.0
1994-08-01,MR,005,18.0
1994-07-01,MR,005,18.0
1994-06-01,MR,005,18.0
1994-05-01,MR,005,18.0
1994-04-01,MR,005,18.0
1994-03-01,MR,005,18.0
1994-02-01,MR,005,18.0
1994-01-01,MR,005,18.0
1993-12-01,MR,005,18.0
1993-11-01,MR,005,18.0
1993-10-01,MR,005,18.0
1993-09-01,MR,005,18.0
1993-08-01,MR,005,18.0
1993-07-01,MR,005,18.0
1993-06-01,MR,005,18.0
1993-05-01,MR,005,17.0
1993-04-01,MR,005,17.0
1993-03-01,MR,005,17.0
1993-02-01,MR,005,17.0
1993-01-01,MR,005,17.0
1992-12-01,MR,005,17.0
1992-11-01,MR,005,17.0
1992-10-01,MR,005,17.0
1992-09-01,MR,005,17.0
1992-08-01,MR,005,17.0
1992-07-01,MR,005,17.0
1992-06-01,MR,005,17.0
1992-05-01,MR,005,17.0
1992-04-01,MR,005,17.0
1992-03-01,MR,005,17.0
1992-02-01,MR,005,10.0
1992-01-01,MR,005,10.0
1991-12-01,MR,005,10.0
1991-11-01,MR,005,10.0
