date,country_code,indicator_code,value
2015-01-01,MS,004,45.0
2014-01-01,MS,004,46.0
2013-01-01,MS,004,51.0
2012-01-01,MS,004,41.0
2011-01-01,MS,004,39.0
2010-01-01,MS,004,33.0
2009-01-01,MS,004,41.0
2008-01-01,MS,004,49.0
2007-01-01,MS,004,48.0
2006-01-01,MS,004,45.0
2005-01-01,MS,004,45.0
2004-01-01,MS,004,53.0
2003-01-01,MS,004,39.0
2002-01-01,MS,004,43.0
2001-01-01,MS,004,42.0
2000-01-01,MS,004,47.0
2019-12-01,MS,005,6.63
2019-11-01,MS,005,6.62
2019-10-01,MS,005,6.62
2019-09-01,MS,005,6.62
2019-08-01,MS,005,6.62
2019-07-01,MS,005,6.62
2019-06-01,MS,005,6.62
2019-05-01,MS,005,6.65
2019-04-01,MS,005,6.65
2019-03-01,MS,005,6.65
2019-02-01,MS,005,6.68
2019-01-01,MS,005,6.68
2018-12-01,MS,005,6.68
2018-11-01,MS,005,6.75
2018-10-01,MS,005,6.75
2018-09-01,MS,005,6.75
2018-08-01,MS,005,6.77
2018-07-01,MS,005,6.77
2018-06-01,MS,005,6.77
2018-05-01,MS,005,6.77
2018-04-01,MS,005,6.77
2018-03-01,MS,005,6.77
2018-02-01,MS,005,6.89
2018-01-01,MS,005,6.89
2017-12-01,MS,005,6.89
2017-11-01,MS,005,6.89
2017-10-01,MS,005,6.89
2017-09-01,MS,005,6.9
2017-08-01,MS,005,6.9
2017-07-01,MS,005,6.9
2017-06-01,MS,005,6.96
2017-05-01,MS,005,6.96
2017-04-01,MS,005,6.96
2017-03-01,MS,005,7.03
2017-02-01,MS,005,7.03
2017-01-01,MS,005,7.03
2016-12-01,MS,005,7.07
2016-11-01,MS,005,7.07
2016-10-01,MS,005,7.07
2016-09-01,MS,005,7.12
2016-08-01,MS,005,7.12
2016-07-01,MS,005,7.12
2016-06-01,MS,005,7.25
2016-05-01,MS,005,7.25
2016-04-01,MS,005,7.25
2016-03-01,MS,005,7.39
2016-02-01,MS,005,7.39
2016-01-01,MS,005,7.39
2015-12-01,MS,005,7.49
2015-11-01,MS,005,7.49
2015-10-01,MS,005,7.49
2015-09-01,MS,005,7.67
2015-08-01,MS,005,7.67
