date,country_code,indicator_code,value
2017-07-01,MU,001,1.14
2017-04-01,MU,001,2.31
2017-01-01,MU,001,1.5
2016-10-01,MU,001,0.18
2016-07-01,MU,001,-0.04
2016-04-01,MU,001,-1.03
2016-01-01,MU,001,-0.17
2015-10-01,MU,001,1.24
2015-07-01,MU,001,1.28
2015-04-01,MU,001,2.78
2015-01-01,MU,001,1.13
2014-10-01,MU,001,0.67
2014-07-01,MU,001,0.67
2014-04-01,MU,001,-5.39
2014-01-01,MU,001,-4.73
2013-10-01,MU,001,-3.74
2013-07-01,MU,001,-4.21
2013-04-01,MU,001,1.77
2013-01-01,MU,001,2.56
2012-10-01,MU,001,2.64
2012-07-01,MU,001,2.14
2012-04-01,MU,001,3.18
2012-01-01,MU,001,-0.02
2011-10-01,MU,001,0.76
2011-07-01,MU,001,-0.81
2011-04-01,MU,001,-1.94
2011-01-01,MU,001,2.14
2010-10-01,MU,001,0.24
2010-07-01,MU,001,2.83
2010-04-01,MU,001,4.67
2010-01-01,MU,001,1.24
2009-10-01,MU,001,0.77
2009-07-01,MU,001,1.68
2009-04-01,MU,001,-0.06
2009-01-01,MU,001,1.93
2008-10-01,MU,001,5.03
2008-07-01,MU,001,2.21
2008-04-01,MU,001,2.98
2008-01-01,MU,001,4.42
2007-10-01,MU,001,2.22
2007-07-01,MU,001,1.85
2007-04-01,MU,001,1.95
2007-01-01,MU,001,-1.95
2006-10-01,MU,001,-0.04
2006-07-01,MU,001,-0.02
2006-04-01,MU,001,2.11
2006-01-01,MU,001,2.39
2005-10-01,MU,001,2.8
2005-07-01,MU,001,3.45
2005-04-01,MU,001,-1.55
2005-01-01,MU,001,-1.64
2018-01-01,MU,004,-65262.0
2017-01-01,MU,004,-58019.0
2016-01-01,MU,004,-41237.0
2015-01-01,MU,004,-38059.0
2014-01-01,MU,004,-40957.0
2013-01-01,MU,004,-48914.0
2012-01-01,MU,004,-41782.0
2011-01-01,MU,004,-41829.0
2010-01-01,MU,004,-33819.0
2009-01-01,MU,004,-26478.0
2008-01-01,MU,004,-37943.0
2007-01-01,MU,004,-23330.0
2006-01-01,MU,004,-22677.0
2005-01-01,MU,004,-9947.0
2004-01-01,MU,004,-3297.0
2003-01-01,MU,004,3077.0
2002-01-01,MU,004,4924.0
2001-01-01,MU,004,8326.0
2000-01-01,MU,004,-152.0
1999-01-01,MU,004,-3376.0
1998-01-01,MU,004,-832.0
1997-01-01,MU,004,-4304.0
1996-01-01,MU,004,-545.0
1995-01-01,MU,004,-1703.0
1994-01-01,MU,004,-5584.0
1993-01-01,MU,004,-3478.0
1992-01-01,MU,004,-1627.0
1991-01-01,MU,004,-1674.0
1990-01-01,MU,004,-2839.0
1989-01-01,MU,004,-2438.0
1988-01-01,MU,004,-1423.0
1987-01-01,MU,004,498.0
1986-01-01,MU,004,1312.0
1985-01-01,MU,004,-315.0
1984-01-01,MU,004,-481.0
1983-01-01,MU,004,-46.0
1982-01-01,MU,004,-330.0
1981-01-01,MU,004,-1068.0
1980-01-01,MU,004,-892.0
1979-01-01,MU,004,-898.0
1978-01-01,MU,004,-772.0
1977-01-01,MU,004,-579.0
1976-01-01,MU,004,-324.0
2020-03-01,MU,005,8.35
2020-02-01,MU,005,8.35
2020-01-01,MU,005,8.35
2019-12-01,MU,005,8.35
2019-11-01,MU,005,8.35
2019-10-01,MU,005,8.35
2019-09-01,MU,005,8.35
2019-08-01,MU,005,8.5
2019-07-01,MU,005,8.5
2019-06-01,MU,005,8.5
2019-05-01,MU,005,8.5
2019-04-01,MU,005,8.5
2019-03-01,MU,005,8.5
2019-02-01,MU,005,8.5
2019-01-01,MU,005,8.5
2018-12-01,MU,005,8.5
2018-11-01,MU,005,8.5
2018-10-01,MU,005,8.5
2018-09-01,MU,005,8.5
2018-08-01,MU,005,8.5
2018-07-01,MU,005,8.5
2018-06-01,MU,005,8.5
2018-05-01,MU,005,8.5
2018-04-01,MU,005,8.5
2018-03-01,MU,005,8.5
2018-02-01,MU,005,8.5
2018-01-01,MU,005,8.5
2017-12-01,MU,005,8.5
2017-11-01,MU,005,8.5
2017-10-01,MU,005,8.5
2017-09-01,MU,005,8.5
2017-08-01,MU,005,8.5
2017-07-01,MU,005,8.5
2017-06-01,MU,005,8.5
2017-05-01,MU,005,8.5
2017-04-01,MU,005,8.5
2017-03-01,MU,005,8.5
2017-02-01,MU,005,8.5
2017-01-01,MU,005,8.5
2016-12-01,MU,005,8.5
2016-11-01,MU,005,8.5
2016-10-01,MU,005,8.5
2016-09-01,MU,005,8.5
2016-08-01,MU,005,8.5
2016-07-01,MU,005,8.5
2016-06-01,MU,005,8.5
2016-05-01,MU,005,8.5
2016-04-01,MU,005,8.5
2016-03-01,MU,005,8.5
2016-02-01,MU,005,8.5
2016-01-01,MU,005,8.5
2015-12-01,MU,005,8.5
2015-11-01,MU,005,8.5
2015-10-01,MU,005,8.5
2015-09-01,MU,005,8.5
2015-08-01,MU,005,8.5
2015-07-01,MU,005,8.5
2015-06-01,MU,005,8.5
2015-05-01,MU,005,8.5
2015-04-01,MU,005,8.5
2015-03-01,MU,005,8.5
2015-02-01,MU,005,8.5
2015-01-01,MU,005,8.5
2014-12-01,MU,005,8.5
2014-11-01,MU,005,8.5
2014-10-01,MU,005,8.5
2014-09-01,MU,005,8.5
2014-08-01,MU,005,8.5
2014-07-01,MU,005,8.5
2014-06-01,MU,005,8.5
2014-05-01,MU,005,8.5
2014-04-01,MU,005,8.5
2014-03-01,MU,005,8.5
2014-02-01,MU,005,8.5
2014-01-01,MU,005,8.5
2013-12-01,MU,005,8.5
2013-11-01,MU,005,8.5
2013-10-01,MU,005,8.5
2013-09-01,MU,005,8.5
2013-08-01,MU,005,8.5
2013-07-01,MU,005,8.5
2013-06-01,MU,005,8.5
2013-05-01,MU,005,8.5
2013-04-01,MU,005,8.5
2013-03-01,MU,005,8.5
2013-02-01,MU,005,8.5
2013-01-01,MU,005,8.5
2012-12-01,MU,005,8.5
2012-11-01,MU,005,8.5
2012-10-01,MU,005,8.5
2012-09-01,MU,005,8.5
2012-08-01,MU,005,8.5
2012-07-01,MU,005,8.5
2012-06-01,MU,005,8.5
2012-05-01,MU,005,8.5
2012-04-01,MU,005,9.0
2012-03-01,MU,005,9.0
2012-02-01,MU,005,9.0
2012-01-01,MU,005,9.0
2011-12-01,MU,005,9.0
2011-11-01,MU,005,9.0
2011-10-01,MU,005,9.0
2011-09-01,MU,005,9.0
2011-08-01,MU,005,9.0
2011-07-01,MU,005,9.0
2011-06-01,MU,005,9.0
2011-05-01,MU,005,9.0
2011-04-01,MU,005,9.0
2011-03-01,MU,005,9.0
2011-02-01,MU,005,8.5
2011-01-01,MU,005,8.5
2010-12-01,MU,005,8.5
2010-11-01,MU,005,8.5
2010-10-01,MU,005,8.5
2010-09-01,MU,005,9.0
2010-08-01,MU,005,9.0
2010-07-01,MU,005,9.0
2010-06-01,MU,005,9.0
2010-05-01,MU,005,9.0
2010-04-01,MU,005,9.0
2010-03-01,MU,005,9.0
2010-02-01,MU,005,9.0
2010-01-01,MU,005,9.0
2009-12-01,MU,005,9.0
2009-11-01,MU,005,9.0
2009-10-01,MU,005,9.0
2009-09-01,MU,005,9.0
2009-08-01,MU,005,9.0
2009-07-01,MU,005,9.0
2009-06-01,MU,005,9.0
