date,country_code,indicator_code,value
2018-01-01,MV,004,54453.0
2017-01-01,MV,004,50699.0
2016-01-01,MV,004,48505.0
2015-01-01,MV,004,48465.0
2014-01-01,MV,004,50838.0
2013-01-01,MV,004,44810.0
2012-01-01,MV,004,38209.0
2011-01-01,MV,004,37674.0
2010-01-01,MV,004,25754.0
2009-01-01,MV,004,21955.0
2008-01-01,MV,004,25271.0
2007-01-01,MV,004,23171.0
2006-01-01,MV,004,9947.0
2005-01-01,MV,004,6202.0
2004-01-01,MV,004,8814.0
2003-01-01,MV,004,7474.0
2002-01-01,MV,004,6340.0
2001-01-01,MV,004,5943.0
2000-01-01,MV,004,5381.0
1999-01-01,MV,004,5111.0
1998-01-01,MV,004,5025.0
1997-01-01,MV,004,4730.0
1996-01-01,MV,004,4343.0
1995-01-01,MV,004,3741.0
1994-01-01,MV,004,3161.0
1993-01-01,MV,004,2338.0
1992-01-01,MV,004,2319.0
1991-01-01,MV,004,1787.0
1990-01-01,MV,004,1735.0
1989-01-01,MV,004,1376.0
1988-01-01,MV,004,1140.0
1987-01-01,MV,004,1040.0
1986-01-01,MV,004,701.0
1985-01-01,MV,004,663.0
1984-01-01,MV,004,602.0
1983-01-01,MV,004,549.0
1982-01-01,MV,004,558.0
1981-01-01,MV,004,569.0
1980-01-01,MV,004,498.0
1979-01-01,MV,004,316.0
1978-01-01,MV,004,116.0
1977-01-01,MV,004,89.0
1976-01-01,MV,004,73.0
1975-01-01,MV,004,41.0
1974-01-01,MV,004,35.0
1973-01-01,MV,004,30.0
1972-01-01,MV,004,30.0
1971-01-01,MV,004,37.0
1970-01-01,MV,004,35.0
1969-01-01,MV,004,28.0
1968-01-01,MV,004,24.0
2020-02-01,MV,005,11.62
2020-01-01,MV,005,11.61
2019-12-01,MV,005,11.6
2019-11-01,MV,005,11.58
2019-10-01,MV,005,11.57
2019-09-01,MV,005,11.56
2019-08-01,MV,005,11.54
2019-07-01,MV,005,11.54
2019-06-01,MV,005,11.52
2019-05-01,MV,005,11.48
2019-04-01,MV,005,11.47
2019-03-01,MV,005,11.46
2019-02-01,MV,005,11.49
2019-01-01,MV,005,11.47
2018-12-01,MV,005,11.47
2018-11-01,MV,005,11.39
2018-10-01,MV,005,11.37
2018-09-01,MV,005,11.35
2018-08-01,MV,005,11.37
2018-07-01,MV,005,11.38
2018-06-01,MV,005,10.06
2018-05-01,MV,005,9.84
2018-04-01,MV,005,9.94
2018-03-01,MV,005,10.07
2018-02-01,MV,005,10.12
2018-01-01,MV,005,9.76
2017-12-01,MV,005,9.82
2017-11-01,MV,005,9.9
2017-10-01,MV,005,9.97
2017-09-01,MV,005,10.03
2017-08-01,MV,005,10.04
2017-07-01,MV,005,9.95
2017-06-01,MV,005,9.98
2017-05-01,MV,005,10.13
2017-04-01,MV,005,10.3
2017-03-01,MV,005,10.61
2017-02-01,MV,005,10.45
2017-01-01,MV,005,10.67
2016-12-01,MV,005,10.62
2016-11-01,MV,005,10.67
2016-10-01,MV,005,10.62
2016-09-01,MV,005,10.66
2016-08-01,MV,005,10.69
2016-07-01,MV,005,10.77
2016-06-01,MV,005,10.82
2016-05-01,MV,005,10.81
2016-04-01,MV,005,10.86
2016-03-01,MV,005,10.93
2016-02-01,MV,005,10.88
2016-01-01,MV,005,10.84
2015-12-01,MV,005,10.82
2015-11-01,MV,005,10.77
2015-10-01,MV,005,10.79
2015-09-01,MV,005,10.84
2015-08-01,MV,005,10.78
2015-07-01,MV,005,10.8
2015-06-01,MV,005,11.44
2015-05-01,MV,005,11.43
2015-04-01,MV,005,11.42
2015-03-01,MV,005,11.39
2015-02-01,MV,005,11.38
2015-01-01,MV,005,11.35
2014-12-01,MV,005,11.38
2014-11-01,MV,005,11.41
2014-10-01,MV,005,11.4
2014-09-01,MV,005,11.44
2014-08-01,MV,005,11.41
2014-07-01,MV,005,11.42
2014-06-01,MV,005,11.41
2014-05-01,MV,005,11.4
2014-04-01,MV,005,11.47
2014-03-01,MV,005,11.46
2014-02-01,MV,005,11.41
2014-01-01,MV,005,11.42
2013-12-01,MV,005,11.42
2013-11-01,MV,005,11.41
2013-10-01,MV,005,11.4
2013-09-01,MV,005,11.3
2013-08-01,MV,005,11.32
2013-07-01,MV,005,11.32
2013-06-01,MV,005,11.32
2013-05-01,MV,005,11.34
2013-04-01,MV,005,11.33
2013-03-01,MV,005,10.49
2013-02-01,MV,005,10.5
2013-01-01,MV,005,10.55
2012-12-01,MV,005,10.51
2012-11-01,MV,005,10.55
2012-10-01,MV,005,10.56
2012-09-01,MV,005,10.55
2012-08-01,MV,005,10.64
2012-07-01,MV,005,10.55
2012-06-01,MV,005,10.51
2012-05-01,MV,005,10.48
2012-04-01,MV,005,10.52
2012-03-01,MV,005,10.26
2012-02-01,MV,005,10.47
2012-01-01,MV,005,10.21
2011-12-01,MV,005,10.17
2011-11-01,MV,005,10.18
2011-10-01,MV,005,10.18
2011-09-01,MV,005,10.17
2011-08-01,MV,005,10.15
2011-07-01,MV,005,10.15
2011-06-01,MV,005,10.14
2011-05-01,MV,005,10.13
2011-04-01,MV,005,10.14
2011-03-01,MV,005,10.13
2011-02-01,MV,005,10.36
2011-01-01,MV,005,10.45
2010-12-01,MV,005,10.45
2010-11-01,MV,005,10.46
2010-10-01,MV,005,10.46
2010-09-01,MV,005,10.39
2010-08-01,MV,005,10.36
2010-07-01,MV,005,10.36
2010-06-01,MV,005,10.36
2010-05-01,MV,005,10.35
2010-04-01,MV,005,10.36
2010-03-01,MV,005,10.35
2010-02-01,MV,005,10.35
2010-01-01,MV,005,10.26
2009-12-01,MV,005,13.0
2009-11-01,MV,005,13.0
2009-10-01,MV,005,13.0
2009-09-01,MV,005,13.0
2009-08-01,MV,005,13.0
2009-07-01,MV,005,13.0
2009-06-01,MV,005,13.0
2009-05-01,MV,005,13.0
2009-04-01,MV,005,13.0
2009-03-01,MV,005,13.0
2009-02-01,MV,005,13.0
2009-01-01,MV,005,13.0
2008-12-01,MV,005,13.0
2008-11-01,MV,005,13.0
2008-10-01,MV,005,13.0
2008-09-01,MV,005,13.0
2008-08-01,MV,005,13.0
2008-07-01,MV,005,13.0
2008-06-01,MV,005,13.0
2008-05-01,MV,005,13.0
2008-04-01,MV,005,13.0
2008-03-01,MV,005,13.0
2008-02-01,MV,005,13.0
2008-01-01,MV,005,13.0
2007-12-01,MV,005,13.0
2007-11-01,MV,005,13.0
2007-10-01,MV,005,13.0
2007-09-01,MV,005,13.0
2007-08-01,MV,005,13.0
2007-07-01,MV,005,13.0
2007-06-01,MV,005,13.0
2007-05-01,MV,005,13.0
2007-04-01,MV,005,13.0
2007-03-01,MV,005,13.0
2007-02-01,MV,005,13.0
2007-01-01,MV,005,13.0
2006-12-01,MV,005,13.0
2006-11-01,MV,005,13.0
2006-10-01,MV,005,13.0
2006-09-01,MV,005,13.0
2006-08-01,MV,005,13.0
2006-07-01,MV,005,13.0
2006-06-01,MV,005,13.0
2006-05-01,MV,005,13.0
2006-04-01,MV,005,13.0
2006-03-01,MV,005,13.0
2006-02-01,MV,005,13.0
2006-01-01,MV,005,13.0
2005-12-01,MV,005,13.0
2005-11-01,MV,005,13.0
2005-10-01,MV,005,13.0
2005-09-01,MV,005,13.0
2005-08-01,MV,005,13.0
2005-07-01,MV,005,13.0
2005-06-01,MV,005,13.0
2005-05-01,MV,005,13.0
2005-04-01,MV,005,13.0
2005-03-01,MV,005,13.0
2005-02-01,MV,005,13.0
2005-01-01,MV,005,13.0
2004-12-01,MV,005,13.0
2004-11-01,MV,005,13.0
2004-10-01,MV,005,13.0
2004-09-01,MV,005,13.0
2004-08-01,MV,005,13.0
2004-07-01,MV,005,13.0
2004-06-01,MV,005,13.0
2004-05-01,MV,005,13.0
2004-04-01,MV,005,13.0
2004-03-01,MV,005,13.0
2004-02-01,MV,005,13.0
2004-01-01,MV,005,13.0
2003-12-01,MV,005,14.0
2003-11-01,MV,005,14.0
2003-10-01,MV,005,14.0
2003-09-01,MV,005,14.0
2003-08-01,MV,005,14.0
2003-07-01,MV,005,14.0
2003-06-01,MV,005,14.0
2003-05-01,MV,005,14.0
2003-04-01,MV,005,14.0
2003-03-01,MV,005,14.0
2003-02-01,MV,005,14.0
2003-01-01,MV,005,14.0
2002-12-01,MV,005,14.0
2002-11-01,MV,005,14.0
2002-10-01,MV,005,14.0
2002-09-01,MV,005,14.0
2002-08-01,MV,005,14.0
2002-07-01,MV,005,14.0
2002-06-01,MV,005,13.0
2002-05-01,MV,005,13.0
2002-04-01,MV,005,13.5
2002-03-01,MV,005,13.0
2002-02-01,MV,005,13.0
2002-01-01,MV,005,13.0
2001-12-01,MV,005,13.0
2001-11-01,MV,005,13.0
2001-10-01,MV,005,13.0
2001-09-01,MV,005,13.0
2001-08-01,MV,005,13.0
2001-07-01,MV,005,13.0
2001-06-01,MV,005,13.0
2001-05-01,MV,005,13.0
2001-04-01,MV,005,13.0
2001-03-01,MV,005,13.0
2001-02-01,MV,005,13.0
2001-01-01,MV,005,13.0
2000-12-01,MV,005,13.0
2000-11-01,MV,005,13.0
2000-10-01,MV,005,13.0
2000-09-01,MV,005,13.0
2000-08-01,MV,005,13.0
2000-07-01,MV,005,13.0
2000-06-01,MV,005,13.0
2000-05-01,MV,005,13.0
2000-04-01,MV,005,13.0
2000-03-01,MV,005,13.0
2000-02-01,MV,005,13.0
2000-01-01,MV,005,13.0
1999-12-01,MV,005,13.0
1999-11-01,MV,005,13.0
1999-10-01,MV,005,13.0
1999-09-01,MV,005,13.0
1999-08-01,MV,005,13.0
1999-07-01,MV,005,13.0
1999-06-01,MV,005,12.0
1999-05-01,MV,005,12.0
1999-04-01,MV,005,12.0
1999-03-01,MV,005,12.0
1999-02-01,MV,005,12.0
1999-01-01,MV,005,12.0
