date,country_code,indicator_code,value
1995-01-01,MW,001,1.3
1994-01-01,MW,001,-20.5
1993-01-01,MW,001,37.175
1992-01-01,MW,001,-12.875
1991-01-01,MW,001,91.775
1990-01-01,MW,001,32.175
1989-01-01,MW,001,7.575
1988-01-01,MW,001,15.5
1987-01-01,MW,001,-20.36
1986-01-01,MW,001,17.12
2017-01-01,MW,004,1415645.0
2016-01-01,MW,004,1319730.0
2015-01-01,MW,004,944179.0
2014-01-01,MW,004,873362.0
2013-01-01,MW,004,721619.0
2012-01-01,MW,004,393505.0
2011-01-01,MW,004,260286.0
2010-01-01,MW,004,238657.0
2009-01-01,MW,004,175047.0
2008-01-01,MW,004,169410.0
2007-01-01,MW,004,144629.0
2006-01-01,MW,004,95890.0
2005-01-01,MW,004,78452.0
2004-01-01,MW,004,71353.0
2003-01-01,MW,004,63068.0
2002-01-01,MW,004,42517.0
2001-01-01,MW,004,34689.0
2000-01-01,MW,004,26580.0
1999-01-01,MW,004,21941.0
1998-01-01,MW,004,17825.0
1997-01-01,MW,004,9353.0
1996-01-01,MW,004,7971.0
1995-01-01,MW,004,6486.0
1994-01-01,MW,004,3060.0
1993-01-01,MW,004,1471.0
1992-01-01,MW,004,1505.0
1991-01-01,MW,004,1438.0
1990-01-01,MW,004,1221.0
1989-01-01,MW,004,824.0
1988-01-01,MW,004,824.0
1987-01-01,MW,004,665.0
1986-01-01,MW,004,505.0
1985-01-01,MW,004,471.0
1984-01-01,MW,004,484.0
1983-01-01,MW,004,298.0
1982-01-01,MW,004,280.0
1981-01-01,MW,004,284.0
1980-01-01,MW,004,250.0
1979-01-01,MW,004,201.0
1978-01-01,MW,004,186.0
1977-01-01,MW,004,218.0
1976-01-01,MW,004,200.0
1975-01-01,MW,004,181.0
1974-01-01,MW,004,148.0
1973-01-01,MW,004,120.0
1972-01-01,MW,004,112.0
1971-01-01,MW,004,108.0
1970-01-01,MW,004,87.0
1969-01-01,MW,004,53.0
1968-01-01,MW,004,49.0
1967-01-01,MW,004,49.0
1966-01-01,MW,004,42.0
1965-01-01,MW,004,33.0
1964-01-01,MW,004,28.0
1963-01-01,MW,004,22.0
1962-01-01,MW,004,20.0
1961-01-01,MW,004,19.0
1960-01-01,MW,004,19.0
2019-02-01,MW,005,26.25
2019-01-01,MW,005,32.29
2018-12-01,MW,005,32.29
2018-11-01,MW,005,32.29
2018-10-01,MW,005,32.29
2018-09-01,MW,005,32.29
2018-08-01,MW,005,32.29
2018-07-01,MW,005,32.29
2018-06-01,MW,005,32.29
2018-05-01,MW,005,32.29
2018-04-01,MW,005,32.29
2018-03-01,MW,005,32.29
2018-02-01,MW,005,32.29
2018-01-01,MW,005,32.29
2017-12-01,MW,005,34.88
2017-11-01,MW,005,34.88
2017-10-01,MW,005,35.56
2017-09-01,MW,005,35.56
2017-08-01,MW,005,36.06
2017-07-01,MW,005,36.33
2017-06-01,MW,005,39.83
2017-05-01,MW,005,39.83
2017-04-01,MW,005,41.56
2017-03-01,MW,005,42.87
2017-02-01,MW,005,42.87
2017-01-01,MW,005,42.87
2016-12-01,MW,005,42.87
2016-11-01,MW,005,44.1
2016-10-01,MW,005,44.25
2016-09-01,MW,005,44.25
2016-08-01,MW,005,44.25
2016-07-01,MW,005,44.33
2016-06-01,MW,005,44.33
2016-05-01,MW,005,44.33
2016-04-01,MW,005,44.33
2016-03-01,MW,005,44.1
2016-02-01,MW,005,44.1
2016-01-01,MW,005,44.1
2015-12-01,MW,005,44.1
2015-11-01,MW,005,44.1
2015-10-01,MW,005,41.17
2015-09-01,MW,005,41.17
2015-08-01,MW,005,41.17
2015-07-01,MW,005,45.85
2015-06-01,MW,005,45.85
2015-05-01,MW,005,45.85
2015-04-01,MW,005,45.85
2015-03-01,MW,005,45.85
2015-02-01,MW,005,45.85
2015-01-01,MW,005,45.85
2014-12-01,MW,005,45.85
2014-11-01,MW,005,45.05
2014-10-01,MW,005,42.1
2014-09-01,MW,005,42.1
2014-08-01,MW,005,42.1
2014-07-01,MW,005,43.02
2014-06-01,MW,005,44.92
2014-05-01,MW,005,44.92
2014-04-01,MW,005,44.92
2014-03-01,MW,005,44.92
2014-02-01,MW,005,44.92
2014-01-01,MW,005,46.62
2013-12-01,MW,005,46.47
2013-11-01,MW,005,45.34
2013-10-01,MW,005,45.34
2013-09-01,MW,005,45.34
2013-08-01,MW,005,45.77
2013-07-01,MW,005,47.23
2013-06-01,MW,005,47.41
2013-05-01,MW,005,47.41
