date,country_code,indicator_code,value
2017-01-01,MX,001,-263.8
2016-10-01,MX,001,80.6
2016-07-01,MX,001,609.5
2016-04-01,MX,001,655.0
2016-01-01,MX,001,-789.9
2015-10-01,MX,001,833.8
2015-07-01,MX,001,398.6
2015-04-01,MX,001,530.0
2015-01-01,MX,001,-17.7
2014-10-01,MX,001,368.5
2014-07-01,MX,001,153.7
2014-04-01,MX,001,220.7
2014-01-01,MX,001,-864.7
2013-10-01,MX,001,636.4
2013-07-01,MX,001,13.0
2013-04-01,MX,001,937.9
2013-01-01,MX,001,-464.0
2012-10-01,MX,001,-452.7
2012-07-01,MX,001,271.6
2012-04-01,MX,001,1277.1
2012-01-01,MX,001,-581.2
2011-10-01,MX,001,956.8
2011-07-01,MX,001,459.1
2011-04-01,MX,001,885.8
2011-01-01,MX,001,93.9
2010-10-01,MX,001,-540.7
2010-07-01,MX,001,-145.0
2010-04-01,MX,001,1073.3
2010-01-01,MX,001,-819.4
2009-10-01,MX,001,600.5
2009-07-01,MX,001,716.1
2009-04-01,MX,001,399.7
2009-01-01,MX,001,-171.3
2008-10-01,MX,001,-231.1
2008-07-01,MX,001,-263.8
2008-04-01,MX,001,641.6
2008-01-01,MX,001,-594.1
2007-10-01,MX,001,1144.2
2007-07-01,MX,001,51.0
2007-04-01,MX,001,524.8
2007-01-01,MX,001,-416.5
2006-10-01,MX,001,324.7
2006-07-01,MX,001,405.5
2006-04-01,MX,001,471.5
2006-01-01,MX,001,-122.8
2005-10-01,MX,001,528.8
2005-07-01,MX,001,658.0
2005-04-01,MX,001,235.8
2005-01-01,MX,001,1039.4
2004-10-01,MX,001,-37.8
2004-07-01,MX,001,-121.5
2004-04-01,MX,001,685.2
2004-01-01,MX,001,63.5
2003-10-01,MX,001,176.9
2003-07-01,MX,001,413.9
2003-04-01,MX,001,1.1
2003-01-01,MX,001,206.4
2002-10-01,MX,001,20.5
2002-07-01,MX,001,53.8
2002-04-01,MX,001,318.9
2002-01-01,MX,001,-59.8
2001-10-01,MX,001,145.4
2001-07-01,MX,001,469.4
2001-04-01,MX,001,-4.7
2001-01-01,MX,001,-339.5
2000-10-01,MX,001,439.1
2000-07-01,MX,001,-73.6
2020-01-01,MX,002,130.4
2019-12-01,MX,002,130.0
2019-11-01,MX,002,128.5
2019-10-01,MX,002,128.2
2019-09-01,MX,002,127.6
2019-08-01,MX,002,127.0
2019-07-01,MX,002,126.0
2019-06-01,MX,002,124.7
2019-05-01,MX,002,125.4
2019-04-01,MX,002,124.4
2019-03-01,MX,002,123.5
2019-02-01,MX,002,123.2
2019-01-01,MX,002,122.6
2018-12-01,MX,002,121.6
2018-11-01,MX,002,121.4
2018-10-01,MX,002,120.1
2018-09-01,MX,002,119.0
2018-08-01,MX,002,119.8
2018-07-01,MX,002,118.4
2018-06-01,MX,002,118.2
2018-05-01,MX,002,117.3
2018-04-01,MX,002,116.7
2018-03-01,MX,002,116.5
2018-02-01,MX,002,115.6
2018-01-01,MX,002,114.4
2017-12-01,MX,002,114.5
2017-11-01,MX,002,114.6
2017-10-01,MX,002,113.5
2017-09-01,MX,002,113.4
2017-08-01,MX,002,112.1
2017-07-01,MX,002,111.6
2017-06-01,MX,002,112.1
